索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_BLD_APPLY,表全名,JHPDL:JH_BLD_APPLY,,,,,,
,表说明,输血申请,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,BAP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,BAP0001,String字符串（变长）,,BLD_APPLY_SN,输血申请单编号,输血申请单编号，系统生成三级编码，如“BA0.000.000.001”,20,是,是
,\x00\x02,BAP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,BAP0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,BAP0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x06,BAP0006,String字符串（变长）,,HIS_APPLY_NO,业务申请号,业务系统生成的输血申请单号,200,是,是
,\x00\x09,BAP0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APPLY_TIME,申请时间,申请单录入时间,19,,
,\x00\x0B,BAP0011,String字符串（变长）,,BLD_BAR_CODE,配血条码,,200,是,是
,\x00\x0C,BAP0012,String字符串（变长）,,ORDER_CODE,医嘱代码,医嘱代码（注意与关联医嘱的区别）,200,,
,\x00\x0D,BAP0013,String字符串（变长）,,ORDER_TEXT,医嘱正文,医嘱正文,500,,
,\x00\x0E,BAP0014,String字符串（变长）,,BLD_PURPOSES,输血目的,,500,,
,\x00\x0F,BAP0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_BLD_TIME,计划输血日期,,19,,
,\x00\x10,BAP0016,String字符串（变长）,,BLD_NAME,输血品种,,200,,
,\x00\x11,BAP0017,Double双精度浮点型（8个字节）,,PLAN_BLD_VOLUME,预定输血量,,38,,
,\x00\x12,BAP0018,String字符串（变长）,,PLAN_BLD_COMPONENTS,预定血液成分,,500,,
,\x00\x13,BAP0019,String字符串（变长）,,APPLY_CONF_DOCT,申请审核医师,,200,,
,\x00\x14,BAP0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APPLY_CONF_TIME,申请审核时间,,19,,
,\x00\x17,BAP0023,String字符串（变长）,,BLD_OP_NAME,手术名称,,200,是,是
,\x00\x18,BAP0024,String字符串（变长）,,PATIENT_ABO,患者ABO,患者ABO血型,200,,
,\x00\x19,BAP0025,String字符串（变长）,,PATIENT_RH,患者RH,患者RH血型,200,,
,\x00\x1A,BAP0026,String字符串（变长）,,BLD_REASON,输血理由,,4000,,
,\x00\x1F,BAP0031,Integer整型（4个字节）,,PRINT_NUM,打印次数,该申请单已经打印的次数,20,,
,\x00\x20,BAP0032,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRINT_LAST_TIME,最后打印时间,该申请单最后一次打印时间,19,,
,\x00\x22,BAP0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CANCEL_TIME,作废时间,,19,,
,\x00\x23,BAP0035,String字符串（变长）,,CANCEL_EMP,作废人,,200,,
,\x00\x26,BAP0038,Double双精度浮点型（8个字节）,,OPER_APPLY_FEE,总费用,,38,,
,\x00\x27,BAP0039,String字符串（变长）,,APPLY_REMARK,申请备注,,4000,,
,\x00\x29,BAP0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x2A,BAP0042,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,是,是
,\x00\x2B,BAP0043,String字符串（变长）,,SC_APPLY_DEPT,申请科室编码,申请科室编码,200,,
,\x00\x2C,BAP0044,String字符串（变长）,,ST_APPLY_DEPT,申请科室名称,,200,,
,\x00\x2D,BAP0045,String字符串（变长）,,SC_APPLY_DOCT,申请医师编码,申请医生编码,200,,
,\x00\x2E,BAP0046,String字符串（变长）,,ST_APPLY_DOCT,申请医师名称,,200,,
,\x00\x2F,BAP0047,String字符串（变长）,,SC_APPLY_WARD,申请病区编码,申请病区,200,,
,\x00\x30,BAP0048,String字符串（变长）,,ST_APPLY_WARD,申请病区名称,,200,,
,\x00\x31,BAP0049,简化字典（Integer整型，4个字节）,379,SD_BLD_EMY,是否急输血,,20,,
,\x00\x32,BAP0050,简化字典（Integer整型，4个字节）,379,SD_BLD_OP,是否手术输血,,20,,
,\x00\x33,BAP0051,简化字典（Integer整型，4个字节）,379,SD_BLD_HISTORY,是否输血历史,,20,,
,\x00\x34,BAP0052,简化字典（Integer整型，4个字节）,379,SD_BLD_RESPONDS,是否不良反应,,20,,
,\x00\x35,BAP0053,简化字典（Integer整型，4个字节）,379,SD_BLD_CONSENT,是否同意书,,20,,
,\x00\x36,BAP0054,简化字典（Integer整型，4个字节）,379,SD_BLD_LARGE,是否大量用血,,20,,
,\x00\x37,BAP0055,简化字典（Integer整型，4个字节）,379,SD_CANCEL,是否作废,,20,,
,\x00\x38,BAP0056,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,,20,,
,\x00\x39,BAP0057,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,,20,,
,\x00\x3A,BAP0058,简化字典（Integer整型，4个字节）,449,SD_APPLY_STATE,申请状态,"0、草稿；1、保存,申请未提交；2、已提交，待输血科确认；3、输血科已确认需配血；4、输血科已拒绝；12、待医务处审批；13、医务处审批通过；21、输血科配血完成；22、等待输血；31、输血中；32、输血完成",20,,
,\x00\x3B,BAP0059,String字符串（变长）,,PLAN_BLD_VOLUME_UNIT,预定输血量单位,预定输血量单位,200,,
,\x00\x3C,BAP0060,String字符串（变长）,,UNTOWARD_EFFECT_NOTE,输血不良反应史说明,输血不良反应史说明,4000,,
,\x00\x3D,BAP0061,Integer整型（4个字节）,,PREGNANCIES_VALUE,孕次,怀孕次数,20,,
,\x00\x3E,BAP0062,String字符串（变长）,,PREGNANCIES_UNIT,孕次单位,怀孕次数单位,200,,
,\x00\x3F,BAP0063,Integer整型（4个字节）,,CHILDBIRTHS_VALUE,产次,怀孕产次值,20,,
,\x00\x40,BAP0064,String字符串（变长）,,CHILDBIRTHS_UNIT,产次单位,怀孕产次单位,200,,
,\x00\x41,BAP0065,简化字典（Integer整型，4个字节）,114,SD_APPLY_ABO,申请ABO血型,申请ABO血型,20,,
,\x00\x42,BAP0066,String字符串（变长）,,SC_APPLY_ABO,申请ABO血型编码,业务系统申请ABO血型编码,200,,
,\x00\x43,BAP0067,String字符串（变长）,,ST_APPLY_ABO,申请ABO血型名称,业务系统申请ABO血型名称,200,,
,\x00\x44,BAP0068,简化字典（Integer整型，4个字节）,120,SD_APPLY_RH,申请RH血型,申请RH血型,20,,
,\x00\x45,BAP0069,String字符串（变长）,,SC_APPLY_RH,申请RH血型编码,业务系统申请ABO血型编码,200,,
,\x00\x46,BAP0070,String字符串（变长）,,ST_APPLY_RH,申请RH血型名称,业务系统申请ABO血型名称,200,,
,\x00\x47,BAP0071,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x48,BAP0072,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性描述,200,,
,\x00\x49,BAP0073,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x4A,BAP0074,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态描述,200,,
,\x00\x4B,BAP0075,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,200,是,是
,\x00\x4C,BAP0076,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,200,,
,\x00\x4D,BAP0077,String字符串（变长）,,SC_APPLY_STATE,申请状态编码,源业务系统的申请状态编码,200,,
,\x00\x4E,BAP0078,String字符串（变长）,,ST_APPLY_STATE,申请状态描述,源业务系统的申请状态描述,200,,
,\x00\x4F,BAP0079,String字符串（变长）,,SC_APPLY_BED,申请病床编码,申请病床编码,200,,
,\x00\x50,BAP0080,String字符串（变长）,,ST_APPLY_BED,申请病床名称,申请病床名称,200,,
,\x00\x51,BAP0081,String字符串（变长）,,SC_SAMPLE_COLLECTOR,血液样本采集人编号,,200,,
,\x00\x52,BAP0082,String字符串（变长）,,ST_SAMPLE_COLLECTOR,血液样本采集人姓名,,200,,
,\x00\x53,BAP0083,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SAMPLE_COLLECT_TIME,血液样本采集时间,,31,,
,\x00\x54,BAP0084,String字符串（变长）,,SC_MATCH_USER,交叉配血人编号,,200,,
,\x00\x55,BAP0085,String字符串（变长）,,ST_MATCH_USER,交叉配血人姓名,,200,,
,\x00\x56,BAP0086,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,MATCH_USER_TIME,交叉配血时间,,31,,
,\x00\x57,BAP0087,String字符串（变长）,,SC_BLOOD_DELIVERY_USER,发血人编号,,200,,
,\x00\x58,BAP0088,String字符串（变长）,,ST_BLOOD_DELIVERY_USER,发血人姓名,,200,,
,\x00\x59,BAP0089,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BLOOD_DELIVERY_TIME,血液出库时间,,31,,
,\x00\x5A,BAP0090,简化字典（Integer整型，4个字节）,379,AUTOTRASFUSION_FLAG,是否自体输血,,10,,
,\x00\x5B,BAP0091,String字符串（变长）,,ST_CANCEL,是否作废描述,源业务系统是否作废描述,20,,
,\x00\x5C,BAP0092,String字符串（变长）,,ST_BLD_RESPONDS,是否不良反应描述,源业务系统是否不良反应描述,20,,
,\x00\x5D,BAP0093,String字符串（变长）,,ST_BLD_CONSENT,是否同意书描述,源业务系统是否同意书描述,20,,
,\x00\x5E,BAP0094,String字符串（变长）,,ST_BLD_EMY,是否急输血描述,源业务系统是否急输血描述,20,,
,\x00\x5F,BAP0095,String字符串（变长）,,ST_BLD_HISTORY,是否输血历史描述,源业务系统是否输血历史描述,20,,
,\x00\x60,BAP0096,String字符串（变长）,,ST_BLD_LARGE,是否大量用血描述,源业务系统是否大量用血描述,20,,
,\x00\x61,BAP0097,String字符串（变长）,,ST_BLD_OP,是否手术输血描述,源业务系统是否手术输血描述,20,,
,\x00\x62,BAP0098,String字符串（变长）,,SC_CANCEL,是否作废编码,源业务系统是否作废编码,20,,
,\x00\x63,BAP0099,String字符串（变长）,,SC_BLD_HISTORY,是否输血历史编码,源业务系统是否输血历史编码,20,,
,\x00\x64,BAP0100,String字符串（变长）,,SC_BLD_LARGE,是否大量用血编码,源业务系统是否大量用血编码,20,,
,\x00\x65,BAP0101,String字符串（变长）,,SC_BLD_OP,是否手术输血编码,源业务系统是否手术输血编码,20,,
,\x00\x66,BAP0102,String字符串（变长）,,HIS_APPLY_DESC,申请单详细内容,申请单详细内容,2000,,
,\x00\x67,BAP0103,String字符串（变长）,,PRIORITY_LEVEL,优先（紧急）度,优先（紧急）度,200,,
,\x00\x68,BAP0104,String字符串（变长）,,SC_CONF_DOCT,审核者工号,审核者工号,200,,
,\x00\x69,BAP0105,String字符串（变长）,,ST_CONF_DOCT,审核者姓名,审核者姓名,200,,
,\x00\x6A,BAP0106,String字符串（变长）,,ST_PATIENT_RH,患者RH血型描述,患者RH血型描述,200,,
,\x00\x6B,BAP0107,String字符串（变长）,,PAT_HEIGHT,患者身高,患者身高,200,,
,\x00\x6C,BAP0108,String字符串（变长）,,PAT_HEIGHT_UNITS,身高单位,身高单位,200,,
,\x00\x6D,BAP0109,String字符串（变长）,,PAT_WEIGHT,患者体重,患者体重,200,,
,\x00\x6E,BAP0110,String字符串（变长）,,PAT_WEIGHT_UNITS,体重单位,体重单位,200,,
,\x00\x6F,BAP0111,String字符串（变长）,,SYS_PRESSURE,收缩压,收缩压,200,,
,\x00\x70,BAP0112,String字符串（变长）,,SYS_PRESSURE_UNITS,收缩压单位,收缩压单位,200,,
,\x00\x71,BAP0113,String字符串（变长）,,BODY_TEMPERATURE_UNITS,体温单位,体温单位,200,,
,\x00\x72,BAP0114,String字符串（变长）,,PAT_PLUSE,脉搏,脉搏,200,,
,\x00\x73,BAP0115,String字符串（变长）,,PAT_PLUSE_UNITS,脉搏单位,脉搏单位,200,,
,\x00\x74,BAP0116,String字符串（变长）,,BLOOD_MARKES,采血标记,采血标记,200,,
,\x00\x75,BAP0117,String字符串（变长）,,BLOOD_TRANS_ADD,输血地点,输血地点,200,,
,\x00\x76,BAP0118,String字符串（变长）,,BLOOD_TRANS_NATURE,输血性质,输血性质,200,,
