索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_BLD_CROSS_MATCH,表全名,JHPDL:JH_BLD_CROSS_MATCH,,,,,,
,表说明,交叉配血记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,BLA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,BLA0001,String字符串（变长）,,BLD_CROSS_MATCH_SN,交叉配血记录编号,交叉配血记录编号，系统生成三级编码，如“BF0.000.000.001”,20,是,是
,\x00\x02,BLA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,BLA0003,String字符串（变长）,,BLD_APPLY_SN,输血申请单号,输血申请单号，来源JH_BLD_APPLY的BAP0001,20,是,是
,\x00\x05,BLA0005,String字符串（变长）,,HIS_APPLY_NO,申请单号,,100,,
,\x00\x06,BLA0006,String字符串（变长）,,BAR_CODE,条码号,,100,,
,\x00\x07,BLA0007,String字符串（变长）,,SC_CX_USER,标本采集人工号,,100,,
,\x00\x08,BLA0008,String字符串（变长）,,ST_CX_USER,标本采集人姓名,,100,,
,\x00\x09,BLA0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CX_DATE,标本采集时间,,,,
,\x00\x0A,BLA0010,String字符串（变长）,,ITEM_CODE,检验项目编码,,20,,
,\x00\x0B,BLA0011,String字符串（变长）,,ITEM_NAME,检验项目名称,电子病历评级使用,200,,
,\x00\x0C,BLA0012,String字符串（变长）,,XY_SN,血液标识,,100,,
,\x00\x0D,BLA0013,String字符串（变长）,,BLD_PACKAGE_CODE,血袋条码号,,200,,
,\x00\x0E,BLA0014,String字符串（变长）,,PROC_NO,产品码,,100,,
,\x00\x0F,BLA0015,String字符串（变长）,,BLD_CONTENT,血液成分,,200,,
,\x00\x10,BLA0016,String字符串（变长）,,BLD_ABO,血袋ABO血型,,200,,
,\x00\x11,BLA0017,String字符串（变长）,,BLD_RH,血袋RH血型,,200,,
,\x00\x12,BLA0018,String字符串（变长）,,PATIENT_ABO,患者ABO,患者ABO血型,200,,
,\x00\x13,BLA0019,String字符串（变长）,,PATIENT_RH,患者RH,患者RH血型,200,,
,\x00\x14,BLA0020,String字符串（变长）,,BLD_NATURE,输血性质,,200,,
,\x00\x15,BLA0021,String字符串（变长）,,SC_PX_CODE,配血人工号,,100,,
,\x00\x16,BLA0022,String字符串（变长）,,ST_PX_NAME,配血人姓名,,100,,
,\x00\x17,BLA0023,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PX_DATE,配血时间,,,,
,\x00\x18,BLA0024,简化字典（Integer整型，4个字节）,379,SD_SEND_BLD_FLAG,是否发血,,20,,
,\x00\x19,BLA0025,String字符串（变长）,,TEAM_TYPE,组别,,100,,
,\x00\x1A,BLA0026,String字符串（变长）,,SC_EXAM_USER,实验者工号,,100,,
,\x00\x1B,BLA0027,String字符串（变长）,,ST_EXAM_NAME,实验者姓名,,100,,
,\x00\x1C,BLA0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXAM_DATE,实验时间,,100,,
,\x00\x1D,BLA0029,String字符串（变长）,,REASULT,检测结果,如：0，+，-，交叉配血相合等,200,,
,\x00\x1E,BLA0030,String字符串（变长）,,UNIT,单位,,100,,
,\x00\x1F,BLA0031,String字符串（变长）,,MAIN_CONCLUSION,主测结论,,500,,
,\x00\x20,BLA0032,String字符串（变长）,,SECOND_CONCLUSION,次测结论,,500,,
,\x00\x21,BLA0033,简化字典（Integer整型，4个字节）,379,SD_SPECIAL_FLAG,是否特配,是，否,20,,
,\x00\x22,BLA0034,String字符串（变长）,,RESPONSE_PATTERN,反应格局,,200,,
,\x00\x23,BLA0035,String字符串（变长）,,SC_CHECK_USER,审核者,,100,,
,\x00\x24,BLA0036,String字符串（变长）,,ST_CHECK_USER,审核者,,100,,
,\x00\x25,BLA0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_DATE,审核时间,,,,
,\x00\x26,BLA0038,String字符串（变长）,,MATCH_COMMENT,备注,,500,,
,\x00\x27,BLA0039,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统最后更新时间,,,是,是
,\x00\x04,BLA0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x28,BLA0040,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x29,BLA0041,String字符串（变长）,,SC_PX_METHOD,配血方法编码,配血方法编码,200,,
,\x00\x2A,BLA0042,String字符串（变长）,,ST_PX_METHOD,配血方法名称,配血方法名称,200,,
,\x00\x2B,BLA0043,String字符串（变长）,,BLD_AMOUNT,血量,血量,200,,
