索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_BLD_ISSUING_RECORD,表全名,JHPDL:JH_BLD_ISSUING_RECORD,,,,,,
,表说明,发血记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,BLB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,BLB0001,String字符串（变长）,,BLD_ISSUING_RECORD_SN,发血记录编号,发血记录编号，系统生成三级编码，如“BB0.000.000.001”,20,是,是
,\x00\x02,BLB0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,BLB0003,String字符串（变长）,,BLD_CROSS_MATCH_SN,交叉配血记录编号,通用就诊记录编号，来源JH_BLD_CROSS_MATCH的BLA0001,20,是,是
,\x00\x04,BLB0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x1B,BLB0027,String字符串（变长）,,SC_VISIT_TYPE,就诊类别编码,门诊/住院,200,,
,\x00\x1C,BLB0028,String字符串（变长）,,ST_VISIT_TYPE,就诊类别名称,门诊/住院,200,,
,\x00\x22,BLB0034,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类别编码,中台标准字典，就诊类型,,,
,\x00\x14,BLB0020,String字符串（变长）,,APPLY_NO,申请单号,,200,,
,\x00\x0C,BLB0012,String字符串（变长）,,BLD_ABO,ABO血型,,200,,
,\x00\x0D,BLB0013,String字符串（变长）,,BLD_RH,RH 血型,,200,,
,\x00\x19,BLB0025,String字符串（变长）,,BLD_NATURE,输血性质,,200,,
,\x00\x1A,BLB0026,String字符串（变长）,,BLD_PLACE,输血地点,,200,,
,\x00\x1D,BLB0029,String字符串（变长）,,BLD_GOAL,输血目的,,200,,
,\x00\x05,BLB0005,String字符串（变长）,,PX_NO,配血记录号,,200,,
,\x00\x0E,BLB0014,String字符串（变长）,,BLD_STATION,血站名称,,200,,
,\x00\x0B,BLB0011,String字符串（变长）,,PROC_NO,产品码,,200,是,是
,\x00\x09,BLB0009,String字符串（变长）,,SC_BLD_TYPE,血液种类编码,,200,,
,\x00\x0A,BLB0010,String字符串（变长）,,ST_BLD_TYPE,血液种类编码,,200,,
,\x00\x08,BLB0008,String字符串（变长）,,BLD_CONTENT,血液成分,,200,,
,\x00\x0F,BLB0015,Double双精度浮点型（8个字节）,,BLD_AMOUNT,血量,,200,,
,\x00\x10,BLB0016,String字符串（变长）,,BLD_UNIT,单位,,200,,
,\x00\x11,BLB0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,IN_STORE_DATE,入库时间,,200,,
,\x00\x07,BLB0007,String字符串（变长）,,BLD_DONATION_NO,献血码,,200,,
,\x00\x06,BLB0006,String字符串（变长）,,BLD_PACKAGE_CODE,血袋条码号,,200,是,
,\x00\x12,BLB0018,String字符串（变长）,,SEND_BLD_NO,发血单号,,200,,
,\x00\x13,BLB0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SEND_BLD_DATE,发血时间,,,,
,\x00\x15,BLB0021,String字符串（变长）,,SC_FX_DEPT,发血科室名代码,,200,,
,\x00\x16,BLB0022,String字符串（变长）,,ST_FX_DEPT,发血科室名称,,200,,
,\x00\x17,BLB0023,String字符串（变长）,,SC_FX_USER,发血人员工号,,300,,
,\x00\x18,BLB0024,String字符串（变长）,,ST_FX_USER,发血人员姓名,,200,,
,\x00\x1E,BLB0030,String字符串（变长）,,SC_CHECK_USER,发血审核人工号,,200,,
,\x00\x1F,BLB0031,String字符串（变长）,,ST_CHECK_USER,发血审核人姓名,,200,,
,\x00\x20,BLB0032,String字符串（变长）,,COMMENT,备注,,200,,
,\x00\x21,BLB0033,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统最后更新时间,,,是,是
,\x00\x23,BLB0035,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x24,BLB0036,String字符串（变长）,,SC_DEPT_RECEIVE,科室接受人工号,科室接受人工号,200,,
,\x00\x25,BLB0037,String字符串（变长）,,ST_DEPT_RECEIVE,科室接受人姓名,科室接受人姓名,200,,
,\x00\x26,BLB0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DEPT_RECEIVE_TIME,科室接收时间,科室接收时间,,,
,\x00\x27,BLB0039,String字符串（变长）,,SC_BLD_DELIVERY,血液配送人工号,血液配送人工号,200,,
,\x00\x28,BLB0040,String字符串（变长）,,ST_BLD_DELIVERY,血液配送人姓名,血液配送人姓名,200,,
,\x00\x29,BLB0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BLD_DELIVERY_TIME,血液配送时间,血液配送时间,,,
