索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_BLD_REACTION,表全名,JHPDL:JH_BLD_REACTION,,,,,,
,表说明,输血不良反应,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,BLC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,BLC0001,String字符串（变长）,,BLD_REACTION_SN,不良反应记录编号,不良反应记录编号，系统生成三级编码，如“BC0.000.000.001”,20,是,是
,\x00\x02,BLC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,BLC0003,String字符串（变长）,,BLD_ISSUING_RECORD_SN,发血记录编号,发血记录编号，来源JH_BLD_ISSUING_RECORD的BLB0001,20,,
,\x00\x05,BLC0005,String字符串（变长）,,APPLY_NO,申请单号,,200,,
,\x00\x06,BLC0006,String字符串（变长）,,BLD_CONTENT,血液成分,,200,是,
,\x00\x07,BLC0007,String字符串（变长）,,BLD_REACTION,输血反应,,200,,
,\x00\x08,BLC0008,String字符串（变长）,,BLD_HISTORY,输血史,,200,,
,\x00\x09,BLC0009,String字符串（变长）,,BLD_PACKAGE_CODE,血袋条码号,,200,,
,\x00\x0A,BLC0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REACTION_DATE,反应时间,,,是,是
,\x00\x0B,BLC0011,String字符串（变长）,,HANDLE_METHOD,处理方法,,200,,
,\x00\x0C,BLC0012,String字符串（变长）,,HANDLE_REASULT,处理结果,,200,,
,\x00\x0D,BLC0013,String字符串（变长）,,ANALYZE_REASON,分析原因,,200,,
,\x00\x0E,BLC0014,String字符串（变长）,,SC_FEEDBACK_USER,反馈人员工号,,200,,
,\x00\x0F,BLC0015,String字符串（变长）,,ST_FEEDBACK_USER,反馈人员姓名,,200,,
,\x00\x10,BLC0016,String字符串（变长）,,SC_HANDLE_USER,输血科处理人员工号,,200,,
,\x00\x11,BLC0017,String字符串（变长）,,ST_HANDLE_USER,输血科处理人员姓名,,200,,
,\x00\x12,BLC0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,HANDLE_DATE,输血科处理时间,,,,
,\x00\x13,BLC0019,String字符串（变长）,,PROC_NO,产品码,,200,,
,\x00\x14,BLC0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REACTION_START_DATE,反应开始时间,,200,,
,\x00\x15,BLC0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REACTION_END_DATE,反应结束时间,,200,,
,\x00\x16,BLC0022,String字符串（变长）,,SC_HANDLE_STATUS,输血反应记录处理状态编码,未处理、已处理,200,,
,\x00\x17,BLC0023,String字符串（变长）,,ST_HANDLE_STATUS,输血反应记录处理状态名称,未处理、已处理,300,,
,\x00\x18,BLC0024,String字符串（变长）,,EXAM_RESULT,实验结论,,200,,
,\x00\x19,BLC0025,String字符串（变长）,,SC_OPERA,操作者工号,,200,,
,\x00\x1A,BLC0026,String字符串（变长）,,ST_OPERA,操作者姓名,,200,,
,\x00\x1B,BLC0027,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPERA_DATE,操作时间,,,,
,\x00\x1C,BLC0028,String字符串（变长）,,COMMENT,备注,,200,,
,\x00\x1D,BLC0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统最后更新时间,,,,
,\x00\x04,BLC0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x1E,BLC0030,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
