索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_BLD_TRACE,表全名,JHPDL:JH_BLD_TRACE,,,,,,
,表说明,输血跟踪,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,BTR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,BTR0001,String字符串（变长）,,BLD_TRACE_SN,输血追踪编号,输血追踪编号，系统生成三级编码，如“BT0.000.000.001”,20,是,是
,\x00\x02,BTR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,BTR0003,String字符串（变长）,,BLD_APPLY_SN,输血申请单编号,输血申请单编号，来源JH_BLD_APPLY的BAP0001,20,是,是
,\x00\x04,BTR0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x06,BTR0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TRACE_TIME,事件发生时间,对应事件发生时间，如采集时间、签收时间等,19,,
,\x00\x07,BTR0007,String字符串（变长）,,TRACE_MAN,事件参与人,"对应事件发生参与人，如采集人、签收人；编码+名称，如“000#,#张三”",200,,
,\x00\x08,BTR0008,String字符串（变长）,,TRACE_NOTE,备注,,4000,,
,\x00\x09,BTR0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0A,BTR0010,简化字典（Integer整型，4个字节）,450,SD_TRACE_TYPE,追踪类型简码,"输血追踪类型，如“1#,#002#,#开始输血”（申请提交、输血科审核、医务处审核、配血、等待输血、开始输血、输血巡视、结束输血、输血完成）",20,,
,\x00\x0B,BTR0011,String字符串（变长）,,ST_TRACE_TYPE,追踪类型描述,,500,,
,\x00\x0E,BTR0014,String字符串（变长）,,SC_TRACE_TYPE,追踪类型编码,源业务系统的追踪类型编码,200,,
,\x00\x0C,BTR0012,String字符串（变长）,,SC_TRACE_EMP,事件参与人编码,对应事件发生参与人，如采集人、签收人,200,,
,\x00\x0D,BTR0013,String字符串（变长）,,ST_TRACE_EMP,事件参与人名称,,200,,
,\x00\x0F,BTR0015,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x05,BTR0005,自定义字典类型，字符串（变长）,450,BLD_TRACE_TYPE,输血追踪类型,"输血追踪类型，如“1#,#002#,#开始输血”（申请提交、输血科审核、医务处审核、配血、等待输血、开始输血、输血巡视、结束输血、输血完成）",200,,
