索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CESAREAN_RECORD,表全名,JHPDL:JH_CESAREAN_RECORD,,,,,,
,表说明,剖宫产手术记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OAA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OAA0001,String字符串（变长）,,CESA_RECORD_SN,剖宫产记录单编号,剖宫产记录单编号，系统生成三级编码，如“PG0.000.000.001”,20,是,是
,\x00\x02,OAA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,OAA0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,20,是,是
,\x00\x04,OAA0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,OAA0005,String字符串（变长）,,CESA_RECORD_NO,剖宫产记录单编号,,200,,
,\x00\x06,OAA0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CESA_PART_DATETIME,待产日期时间,,50,,
,\x00\x07,OAA0007,String字符串（变长）,,CESA_OPERA_INDIC,手术指征,,500,,
,\x00\x08,OAA0008,String字符串（变长）,,CESA_PROCEDURE,剖宫产手术过程,,1000,,
,\x00\x09,OAA0009,String字符串（变长）,,CESA_UTER_CONDITION,子宫情况,,500,,
,\x00\x0A,OAA0010,String字符串（变长）,,CESA_DELIVERY_MODE,胎儿娩出方式,,500,,
,\x00\x0B,OAA0011,String字符串（变长）,,CESA_AMN_FLUID_CHAR,羊水性状,,1000,,
,\x00\x0C,OAA0012,Double双精度浮点型（8个字节）,,CESA_AMN_FLUID_VOL,羊水量（ML）,,200,,
,\x00\x0D,OAA0013,String字符串（变长）,,CESA_PLACE_DELIVERY,胎盘娩出情况,,1000,,
,\x00\x0E,OAA0014,简化字典（Integer整型，4个字节）,379,SD_FETAL_MEMBR_COMP,胎膜完整情况标志,,50,,
,\x00\x0F,OAA0015,Double双精度浮点型（8个字节）,,UMBILICAL_CORD_LENGTH,脐带长度（CM）,,100,,
,\x00\x10,OAA0016,Double双精度浮点型（8个字节）,,CASE_AROUND_NECK,绕颈身（周）,,100,,
,\x00\x11,OAA0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CORD_ABNORMALITY_DES,脐带异常情况描述,,1000,,
,\x00\x12,OAA0018,简化字典（Integer整型，4个字节）,379,SD_CORD_BLOOD,存脐带血情况标志,,50,,
,\x00\x13,OAA0019,String字符串（变长）,,UTERINE_WALL_SUTURE,子宫壁缝合情况,,1000,,
,\x00\x14,OAA0020,String字符串（变长）,,ST_UTERINE_CONT_AGENT,宫缩剂名称,,1000,,
,\x00\x15,OAA0021,String字符串（变长）,,UTERINE_CONT_AGENT_USAGE,宫缩剂使用方法,,1000,,
,\x00\x16,OAA0022,String字符串（变长）,,SD_OPERATIVE_MEDICATION,手术用药,,1000,,
,\x00\x17,OAA0023,Double双精度浮点型（8个字节）,,CESA_OPERATION_DOSAGE,手术用药量,,50,,
,\x00\x18,OAA0024,String字符串（变长）,,UTERUS_ABD_EXPLOR,腹腔探查子宫,,1000,,
,\x00\x19,OAA0025,String字符串（变长）,,ABD_EXPL_ACCESSORY,腹腔探查附件,,1000,,
,\x00\x1A,OAA0026,String字符串（变长）,,UTERINE_ABNORMAL_EXPL_DES,宫腔探查异常情况描述,,1000,,
,\x00\x1B,OAA0027,String字符串（变长）,,SD_UTERINE_EXPL_FIBROID,宫腔探查肌瘤标志,,50,,
,\x00\x1C,OAA0028,String字符串（变长）,,UTERINE_EXPL_SITUATION,宫腔探查处理情况,,1000,,
,\x00\x1D,OAA0029,String字符串（变长）,,MATERNITY_SITUATION,手术时产妇情况,,1000,,
,\x00\x1E,OAA0030,String字符串（变长）,,CESA_BLOOD_LOSS,出血量（ML）,,50,,
,\x00\x1F,OAA0031,String字符串（变长）,,CESA_TRANS_COMPO,输血成分,,1000,,
,\x00\x20,OAA0032,String字符串（变长）,,CESA_BLOOD_TRANS,输血量（ML）,,50,,
,\x00\x21,OAA0033,String字符串（变长）,,CESA_TRANS_VOLUME,输液量（ML）,,50,,
,\x00\x22,OAA0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OXYGEN_SUPPLY_TIME,供氧时间（MIN）,,50,,
,\x00\x23,OAA0035,String字符串（变长）,,OTHER_MEDICAL_DESC,其他用药情况,,1000,,
,\x00\x24,OAA0036,String字符串（变长）,,CESA_OTHER_CASES,其他情况,,1000,,
,\x00\x25,OAA0037,Integer整型（4个字节）,,OPERATION_DURATION,手术全程时间（MIN）,,50,,
,\x00\x26,OAA0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,POS_OB_DATE_TIME,术后观察日期时间,,50,,
,\x00\x27,OAA0039,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,POS_CHECK_TIME,术后检查时间（MIN）,,50,,
,\x00\x28,OAA0040,Short短整型（2个字节）,,CESA_POS_SYS_PRESS,术后收缩压（MMHG ）,,50,,
,\x00\x29,OAA0041,Integer整型（4个字节）,,CESA_POS_DIAS_PRESS,术后舒张压（MMHG ）,,50,,
,\x00\x2A,OAA0042,Integer整型（4个字节）,,CESA_POS_PULSE,术后脉搏（次/MIN ）,,50,,
,\x00\x2B,OAA0043,Integer整型（4个字节）,,CESA_POS_HEART_RATE,术后心率（次/MIN ）,,50,,
,\x00\x2C,OAA0044,Short短整型（2个字节）,,CESA_POS_BLEE_VOL,术后出血量（ML）,,50,,
,\x00\x2D,OAA0045,String字符串（变长）,,CESA_POS_CONTRACT,术后宫缩,,1000,,
,\x00\x2E,OAA0046,Short短整型（2个字节）,,CESA_POS_FUN_HEIGHT,术后宫底高度（CM）,,50,,
,\x00\x2F,OAA0047,String字符串（变长）,,SC_NEWBORN_GENDER,新生儿性别代码,,100,,
,\x00\x30,OAA0048,String字符串（变长）,,ST_NEWBORN_GENDER,新生儿性别名称,,100,,
,\x00\x31,OAA0049,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT,新生儿出生体重(G),,50,,
,\x00\x32,OAA0050,Double双精度浮点型（8个字节）,,NEWBORN_HEIGHT,新生儿出生身长（CM）,,50,,
,\x00\x33,OAA0051,Short短整型（2个字节）,,CESA_TUMOR_SIZE,产瘤大小,,100,,
,\x00\x34,OAA0052,Short短整型（2个字节）,,CESA_TUM_LOCATION,产瘤部位,,200,,
,\x00\x35,OAA0053,String字符串（变长）,,SC_RATING_INTERVAL,APGAR评分间隔时间代码,,1000,,
,\x00\x36,OAA0054,String字符串（变长）,,ST_RATING_INTERVAL,APGAR评分间隔时间名称,,1000,,
,\x00\x37,OAA0055,String字符串（变长）,,CESA_APGAR_SCORE,APGAR评分值,,200,,
,\x00\x38,OAA0056,String字符串（变长）,,SC_DELIVERY_OUTCOME,分娩结局代码,,500,,
,\x00\x39,OAA0057,String字符串（变长）,,ST_DELIVERY_OUTCOME,分娩结局名称,,500,,
,\x00\x3A,OAA0058,String字符串（变长）,,SC_NEO_ABNORMAL,新生儿异常情况代码,,500,,
,\x00\x3B,OAA0059,String字符串（变长）,,ST_NEO_ABNORMAL,新生儿异常情况名称,,500,,
,\x00\x3C,OAA0060,String字符串（变长）,,SC_CESA_RECORDER,记录人工号,,500,,
,\x00\x3D,OAA0061,String字符串（变长）,,ST_CESA_RECORDER,记录人姓名,,500,,
,\x00\x3E,OAA0062,String字符串（变长）,,CESA_REC_SIGN,记录人签名,,500,,
,\x00\x3F,OAA0063,String字符串（变长）,,PLACENTA_DELIVERY_TIME,胎盘娩出时间,,50,,
,\x00\x40,OAA0064,String字符串（变长）,,CESA_TEXT_DES,文本描述,,1000,,
,\x00\x41,OAA0065,String字符串（变长）,,CESA_REC_DATETIME,记录日期时间,,50,,
,\x00\x42,OAA0066,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,,是,是
,\x00\x43,OAA0067,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
