索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CLINIC_PATH,表全名,JHPDL:JH_CLINIC_PATH,,,,,,
,表说明,临床路径记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IMC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IMC0001,String字符串（变长）,,CLINIC_RECORD_SN,临床路径记录单编号,临床路径记录单编号，系统生成三级编码，如“ZH0.000.000.001”,20,是,是
,\x00\x02,IMC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IMC0003,String字符串（变长）,,IN_HOSP_SN,通用就诊记录编号,住院就诊记录编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x04,IMC0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,IMC0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,是,是
,\x00\x06,IMC0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_PATH_DATE,入径日期,患者临床路径入径时间,,,
,\x00\x07,IMC0007,简化字典（Integer整型，4个字节）,,SD_PATHWAY,入出径方式,直接入径、中途入径、中途退径,,,
,\x00\x08,IMC0008,String字符串（变长）,,SC_CP_DIAG,入径临床诊断编码,对应HIS的ICD9的诊断编码,200,,
,\x00\x09,IMC0009,String字符串（变长）,,ST_CP_DIAG,入径临床诊断名称,对应HIS的ICD9的诊断名称,200,,
,\x00\x0A,IMC0010,String字符串（变长）,,SC_CP_CODE,入径编码,,200,,
,\x00\x0B,IMC0011,String字符串（变长）,,ST_CP_NAME,入径名称,科室根据维护对照诊断所起的路径名称,200,,
,\x00\x0C,IMC0012,String字符串（变长）,,SC_CP_DOCTOR,入径医生工号,,200,,
,\x00\x0D,IMC0013,String字符串（变长）,,ST_CP_DOCTOR,入径医生姓名,,200,,
,\x00\x0E,IMC0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_EXECUTE_TIME,执行入径时间,,,,
,\x00\x0F,IMC0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_VARIATION_TIME,变异时间,,,,
,\x00\x10,IMC0016,String字符串（变长）,,CP_VARIATION_TEXT,变异原因,提前出径、超出标准住院日、病症变化,200,,
,\x00\x11,IMC0017,简化字典（Integer整型，4个字节）,,SD_CP_VAR_CAUSE,变异原因分类,,,,
,\x00\x12,IMC0018,String字符串（变长）,,SC_CP_OPER_DOCTOR,变异操作医生工号,,200,,
,\x00\x13,IMC0019,String字符串（变长）,,ST_CP_OPER_DOCTOR,变异操作医生姓名,,200,,
,\x00\x14,IMC0020,String字符串（变长）,,SC_CP_CHANGE,路径调整编码,患者不适合当前路径，或者出现其他病症，需要更换路径,200,,
,\x00\x15,IMC0021,String字符串（变长）,,ST_CP_CHANGE,路径调整名称,,200,,
,\x00\x16,IMC0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_CHANGE_TIME,路径调整时间,,,,
,\x00\x17,IMC0023,Short短整型（2个字节）,,CP_DAYS_MIN,路径最少住院日,入径住院日一般是一个时间范围，比如两周，最少住院日为7天,,,
,\x00\x18,IMC0024,Short短整型（2个字节）,,CP_DAYS_MAX,路径最大住院日,入径住院日一般是一个时间范围，比如两周，最少住院日为14天,,,
,\x00\x19,IMC0025,Short短整型（2个字节）,,CP_DAYS_AVER,路径平均住院日,检索出的临床病人的住院天数总和 / 临床病人人次数,,,
,\x00\x1A,IMC0026,Short短整型（2个字节）,,CP_STAND_ADDM,标准住院日,,,,
,\x00\x1B,IMC0027,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_ENTER_CHANGE_TIME,入院日调整时间,,,,
,\x00\x1C,IMC0028,Short短整型（2个字节）,,CP_ENTER_CHANGE_DAY,入院日调整天数,,,,
,\x00\x1D,IMC0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_OPER_CHANGE_TIME,手术日调整时间,,,,
,\x00\x1E,IMC0030,Short短整型（2个字节）,,CP_OPER_CHANGE_DAY,手术日调整天数,,,,
,\x00\x1F,IMC0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CP_OUT_CHANGE_TIME,出院日调整时间,,,,
,\x00\x20,IMC0032,Short短整型（2个字节）,,CP_OUT_CHANGE_DAY,出院日调整天数,,,,
,\x00\x21,IMC0033,String字符串（变长）,,CP_STATE_CODE,是否纳入路径代码,,200,,
,\x00\x22,IMC0034,String字符串（变长）,,CP_STATE_NAME,是否纳入路径名称,,200,,
,\x00\x23,IMC0035,String字符串（变长）,,CP_EXCLUDE,不纳入原因,,200,,
,\x00\x24,IMC0036,String字符串（变长）,,CP_EXCLUDE_DATE,不纳入时间,,200,,
,\x00\x25,IMC0037,String字符串（变长）,,CONFORM_RUN_CP,符合纳入路径,,200,,
,\x00\x26,IMC0038,String字符串（变长）,,SC_TREAT_EFFECT,治疗效果代码,,200,,
,\x00\x27,IMC0039,String字符串（变长）,,ST_TREAT_EFFECT,治疗效果名称,,200,,
,\x00\x28,IMC0040,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OUT_PATH_DATE,出径日期,,,,
,\x00\x29,IMC0041,String字符串（变长）,,SC_CP_OUT_DOC,出径医生工号,,200,,
,\x00\x2A,IMC0042,String字符串（变长）,,ST_CP_OUT_DOC,出径医生姓名,,200,,
,\x00\x2B,IMC0043,String字符串（变长）,,ST_PATHWAY,入出径方式描述,源业务系统入出径方式描述,2000,,
,\x00\x2C,IMC0044,String字符串（变长）,,SC_PATHWAY,入出径方式代码,源业务系统入出径方式代码,200,,
,\x00\x2D,IMC0045,简化字典（Integer整型，4个字节）,467,SD_CP_DIAG,手术诊断,中台代码标准，ICD-9-手术,,,
,\x00\x2E,IMC0046,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
