索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CONS_APPLY,表全名,JHPDL:JH_CONS_APPLY,,,,,,
,表说明,会诊申请,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,CAP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,CAP0001,String字符串（变长）,,CONS_APY_SN,会诊申请单编号,会诊申请单编号，系统生成三级编码，如“CP0.000.000.001”,20,是,是
,\x00\x02,CAP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,CAP0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,CAP0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,CAP0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x06,CAP0006,String字符串（变长）,,CONS_APPLY_CODE,会诊申请单号,业务系统使用的会诊申请单号,200,是,是
,\x00\x07,CAP0007,简化字典（Integer整型，4个字节）,383,SD_CONS_VISIT,申请就诊类型,会诊申请单患者的就诊类型；直接引用JH_PAT_VISIT的PAV0012；使用中台标准编码“就诊类型”,20,是,是
,\x00\x08,CAP0008,简化字典（Integer整型，4个字节）,379,SD_OUTLAND_CONS,是否外院会诊,外院会诊标记，中台标准“是否”编码,20,,
,\x00\x09,CAP0009,简化字典（Integer整型，4个字节）,379,SD_REMOTE_CONS,是否远程会诊,远程网络方式会诊标记，中台标准“是否”编码,20,,
,\x00\x0A,CAP0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CONS_INVITE_TIME,申请发出时间,会诊申请发出的时间,19,是,是
,\x00\x0B,CAP0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CONS_DEAD_TIME,申请终止期限,会诊申请有效期时间,19,,
,\x00\x0C,CAP0012,String字符串（变长）,,ST_CONS_TYPE,会诊类型描述,源业务系统的会诊类型描述,500,,
,\x00\x0D,CAP0013,String字符串（变长）,,SC_APY_DEPT,申请科室编码,会诊申请发起科室的编码；源业务系统的科室编码,200,是,是
,\x00\x0E,CAP0014,String字符串（变长）,,ST_APY_DEPT,申请科室名称,会诊申请发起科室的名称；源业务系统的科室名称,200,,
,\x00\x0F,CAP0015,String字符串（变长）,,SC_APY_DOCT,申请人编码,会诊申请发起医生的编码；源业务系统的医生编码,200,,
,\x00\x10,CAP0016,String字符串（变长）,,ST_APY_DOCT,申请人名称,会诊申请发起医生的名称；源业务系统的医生名称,200,,
,\x00\x11,CAP0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CONS_PLAN_TIME,拟会诊时间,,19,,
,\x00\x12,CAP0018,String字符串（变长）,,CONS_PLAN_ADDR,拟会诊地点,,500,,
,\x00\x13,CAP0019,String字符串（变长）,,SC_CONS_DEPT,拟邀请科室编码,会诊申请邀请的科室编码；源业务系统的科室编码,200,是,是
,\x00\x14,CAP0020,String字符串（变长）,,ST_CONS_DEPT,拟邀请科室名称,会诊申请邀请的科室的名称，多个科室直接分割叠加；源业务系统的科室名称,200,,
,\x00\x15,CAP0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CONS_REAL_TIME,实际会诊时间,,500,是,是
,\x00\x16,CAP0022,String字符串（变长）,,CONS_REAL_ADDR,实际会诊地点,,500,,
,\x00\x17,CAP0023,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CONS_STOP_TIME,会诊结束时间,实际会诊结束时间,19,,
,\x00\x18,CAP0024,简化字典（Integer整型，4个字节）,456,CONS_STATE,会诊状态,会诊申请状态；中台字典：申请编辑中、申请已提交、审核通过、审核不通过、待会诊、撤销、会诊已完成,20,是,是
,\x00\x19,CAP0025,String字符串（变长）,,CONS_CONDITION,病情情况,申请会诊的一般病情描述,16000,,
,\x00\x1A,CAP0026,String字符串（变长）,,URGENT_REASON,急会诊原因,加急会诊的原因描述,4000,,
,\x00\x1B,CAP0027,String字符串（变长）,,APPLY_NOTE,申请备注,会诊申请的其他备注,4000,,
,\x00\x1C,CAP0028,String字符串（变长）,,APY_VERIFY,申请审核人,,50,,
,\x00\x1D,CAP0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APY_VERIFY_TIME,申请审核时间,,19,,
,\x00\x1E,CAP0030,String字符串（变长）,,APY_VERIFY_MEMO,申请审核反馈,会诊申请单审核结果反馈,200,,
,\x00\x1F,CAP0031,String字符串（变长）,,APY_CANCEL_REASON,会诊撤销原因,,4000,,
,\x00\x20,CAP0032,String字符串（变长）,,APY_CANCEL_DOCT,会诊撤销人,,200,,
,\x00\x21,CAP0033,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APY_CANCEL_TIME,会诊撤销时间,,19,,
,\x00\x22,CAP0034,简化字典（Integer整型，4个字节）,379,SD_CONS_RESULT,是否会诊评价,有无会诊评价标记，中台标准“是否”编码,20,,
,\x00\x23,CAP0035,String字符串（变长）,,CONS_RESULT,会诊评价内容,会诊结束后给出的会诊评价内容，主要是申请人对会诊科室参与会诊的及时性和专业性给出的评价,4000,,
,\x00\x24,CAP0036,String字符串（变长）,,ORDER_LINK,关联医嘱ID,本次会诊申请关联的医嘱ID,500,是,是
,\x00\x25,CAP0037,String字符串（变长）,,CONS_HOSPITAL_DESC,会诊院区,要求会诊的院区名称或外院名称,200,,
,\x00\x26,CAP0038,String字符串（变长）,,SC_PLAN_DOCT,邀请会诊医生编码,会诊申请邀请的会诊医生编码,200,,
,\x00\x27,CAP0039,String字符串（变长）,,ST_PLAN_DOCT,邀请会诊医生姓名,会诊申请邀请的会诊医生姓名,200,,
,\x00\x28,CAP0040,String字符串（变长）,,APL_CONS_PURPOSE,会诊目的,申请会诊的目的,200,,
,\x00\x29,CAP0041,String字符串（变长）,,APL_CONS_DIAG,会诊前诊断,会诊前填写的主要诊断内容,200,,
,\x00\x2A,CAP0042,String字符串（变长）,,SC_CONS_VISIT,申请就诊类型编码,源业务系统的申请就诊类型编码,200,,
,\x00\x2B,CAP0043,String字符串（变长）,,ST_CONS_VISIT,申请就诊类型描述,源业务系统的申请就诊类型描述,200,,
,\x00\x2C,CAP0044,String字符串（变长）,,SC_CONS_STATE,会诊状态编码,源业务系统的会诊状态编码,200,,
,\x00\x2D,CAP0045,String字符串（变长）,,ST_CONS_STATE,会诊状态描述,源业务系统的会诊状态描述,200,,
,\x00\x2E,CAP0046,简化字典（Integer整型，4个字节）,379,SD_URGENT,是否急会诊,是否急会诊,200,,
,\x00\x41,CAP0065,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,RECEIPT_TIME,接收时间,接收时间,30,,
,\x00\x2F,CAP0047,String字符串（变长）,,SC_CONS_DEPT_LARGE,拟邀请大科室编码,,200,,
,\x00\x42,CAP0066,String字符串（变长）,,ST_REC_DOCT,接收人名称,接收人名称,30,,
,\x00\x30,CAP0048,String字符串（变长）,,ST_CONS_DEPT_LARGE,拟邀请大科室名称,,200,,
,\x00\x43,CAP0067,String字符串（变长）,,SC_REC_DOCT,接收人编码,接收人编码,30,,
,\x00\x44,CAP0068,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CREATE_TIME,创建时间,业务系统数据创建时间,,,
,\x00\x31,CAP0049,String字符串（变长）,,SC_CONS_DEPT2,拟邀请科室编码2,,200,,
,\x00\x45,CAP0069,String字符串（变长）,,SC_BED,床位编码,申请时所在床位编码,100,,
,\x00\x32,CAP0050,String字符串（变长）,,ST_CONS_DEPT2,拟邀请科室名称2,,200,,
,\x00\x46,CAP0070,String字符串（变长）,,ST_BED,床位名称,申请时所在床位名称,100,,
,\x00\x47,CAP0071,String字符串（变长）,,SC_ROOM,病房编码,申请时所在病房编码,100,,
,\x00\x33,CAP0051,String字符串（变长）,,SC_CONS_DEPT3,拟邀请科室编码3,,200,,
,\x00\x48,CAP0072,String字符串（变长）,,ST_ROOM,病房名称,申请时所在病房名称,100,,
,\x00\x34,CAP0052,String字符串（变长）,,ST_CONS_DEPT3,拟邀请科室名称3,,200,,
,\x00\x49,CAP0073,String字符串（变长）,,SC_WARD,病区编码,申请时所在病区编码,100,,
,\x00\x4A,CAP0074,String字符串（变长）,,ST_WARD,病区名称,申请时所在病区名称,100,,
,\x00\x35,CAP0053,String字符串（变长）,,SC_CONS_DEPT4,拟邀请科室编码4,,200,,
,\x00\x4B,CAP0075,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x36,CAP0054,String字符串（变长）,,ST_CONS_DEPT4,拟邀请科室名称4,,200,,
,\x00\x37,CAP0055,String字符串（变长）,,SC_CONS_DEPT5,拟邀请科室编码5,,200,,
,\x00\x38,CAP0056,String字符串（变长）,,ST_CONS_DEPT5,拟邀请科室名称5,,200,,
,\x00\x39,CAP0057,String字符串（变长）,,SC_PLAN_DOCT2,邀请会诊医生编码2,,200,,
,\x00\x3A,CAP0058,String字符串（变长）,,ST_PLAN_DOCT2,邀请会诊医生姓名2,,200,,
,\x00\x3B,CAP0059,String字符串（变长）,,SC_PLAN_DOCT3,邀请会诊医生编码3,,200,,
,\x00\x3C,CAP0060,String字符串（变长）,,ST_PLAN_DOCT3,邀请会诊医生姓名3,,200,,
,\x00\x3D,CAP0061,String字符串（变长）,,SC_PLAN_DOCT4,邀请会诊医生编码4,,200,,
,\x00\x3E,CAP0062,String字符串（变长）,,ST_PLAN_DOCT4,邀请会诊医生姓名4,,200,,
,\x00\x3F,CAP0063,String字符串（变长）,,SC_PLAN_DOCT5,邀请会诊医生编码5,,200,,
,\x00\x40,CAP0064,String字符串（变长）,,ST_PLAN_DOCT5,邀请会诊医生姓名5,,200,,
