索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CRIS_DTL,表全名,JHPDL:JH_CRIS_DTL,,,,,,
,表说明,危急值处理明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,CRD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,CRD0001,String字符串（变长）,,CRIS_DTL_SN,危急值明细编号,危急值处理明细编号，系统生成三级编码，如“CD0.000.000.001”,20,是,是
,\x00\x02,CRD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,CRD0003,String字符串（变长）,,CRISIS_SN,危急值编号,危急值编号，来源JH_CRISIS的CRR0001,20,是,是
,\x00\x08,CRD0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CRIS_RECE_TIME,接收时间,,19,,
,\x00\x0A,CRD0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CRIS_READ_TIME,信息阅读时间,阅读该危急值的时间,19,,
,\x00\x0C,CRD0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CRIS_TREAT_TIME,信息处理时间,处理该危急值的时间,19,,
,\x00\x0D,CRD0013,String字符串（变长）,,TREATMENT_OPINION,处理意见,,4000,,
,\x00\x10,CRD0016,简化字典（Integer整型，4个字节）,428,SD_CRIS_RECE_TYPE,接收类型简码,危急值信息接收的类型，如“微信、院内平板、院内PC、手机短信”,20,,
,\x00\x11,CRD0017,String字符串（变长）,,ST_CRIS_RECE_TYPE,接收类型描述,源业务系统的危急值信息接收类型描述,200,,
,\x00\x12,CRD0018,简化字典（Integer整型，4个字节）,379,SD_CRIS_READ,是否已阅消息,是否有人阅读过危急值提醒信息,20,,
,\x00\x13,CRD0019,简化字典（Integer整型，4个字节）,379,SD_CRIS_TREAT,是否已处理,是否有人处理了危急值提醒信息,20,,
,\x00\x14,CRD0020,String字符串（变长）,,SC_RECE_DEPT,接收科室编码,,200,,
,\x00\x15,CRD0021,String字符串（变长）,,ST_RECE_DEPT,接收科室名称,,200,,
,\x00\x16,CRD0022,String字符串（变长）,,SC_RECE_EMP,接收者编码,,200,,
,\x00\x17,CRD0023,String字符串（变长）,,ST_RECE_EMP,接收者名称,,200,,
,\x00\x18,CRD0024,String字符串（变长）,,SC_CRIS_RECE_TYPE,接收类型编码,源业务系统的危急值信息接收类型编码,200,,
,\x00\x19,CRD0025,String字符串（变长）,,SC_CRIS_SUB_ITEM,项目子项编码,项目子项编码，产生危急值结果项目,50,,
,\x00\x1A,CRD0026,String字符串（变长）,,ST_CRIS_SUB_ITEM,项目子项名称,危急值结果项目名称,150,,
,\x00\x1B,CRD0027,String字符串（变长）,,ST_CRIS_SUB_ITEM_EN,项目子项英文名称,危急值结果项目英文名称,150,,
,\x00\x1C,CRD0028,String字符串（变长）,,CRIS_VLAUE,危急值项目结果,危急值项目结果,500,,
,\x00\x1D,CRD0029,String字符串（变长）,,CRIS_VALUE_RANGE,危急值项目结果参考范围,危急值项目结果参考范围,100,,
,\x00\x1E,CRD0030,String字符串（变长）,,SC_CRIS_VAL_TYPE,危急值结果提醒标记编码,结果类型，偏高、偏低等,100,,
,\x00\x1F,CRD0031,String字符串（变长）,,ST_CRIS_VAL_TYPE,结果提醒标记描述,结果提醒标记描述,100,,
,\x00\x20,CRD0032,简化字典（Integer整型，4个字节）,396,SD_CRIS_VAL_TYPE,结果提醒标记,结果提醒标记字典对照,,,
,\x00\x0E,CRD0014,String字符串（变长）,,HIS_KEY_SRC,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,业务主键结构,200,,
,\x00\x0F,CRD0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x21,CRD0033,String字符串（变长）,,SC_TREAT_EMP,临床确认人,,200,,
,\x00\x22,CRD0034,简化字典（Integer整型，4个字节）,379,SD_ON_TIME,危急值通报时间符合规定标识,,20,,
,\x00\x23,CRD0035,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x24,CRD0036,String字符串（变长）,,SC_CRIS_TREAT_EMP,危急值处理人编码,,100,,
,\x00\x25,CRD0037,String字符串（变长）,,ST_CRIS_TREAT_EMP,危急值处理人名称,,100,,
,\x00\x04,CRD0004,自定义字典类型，字符串（变长）,428,CRIS_RECE_TYPE,信息接收类型,危急值信息接收的类型，如“微信、院内平板、院内PC、手机短信”,200,,
,\x00\x05,CRD0005,String字符串（变长）,,CRIS_RECE_DEV,接收端,根据危急值信息接收的类型，详细描述设备，如PC端IP、微信号等,200,,
,\x00\x06,CRD0006,String字符串（变长）,,CRIS_RECE_DEPT,接收科室,接收危急值的科室，编码+名称,200,,
,\x00\x07,CRD0007,String字符串（变长）,,CRIS_RECE_NAME,接收者,接收危急值的医师，编码+名称,200,,
,\x00\x09,CRD0009,自定义字典类型，字符串（变长）,379,CRIS_READ_FLAG,信息阅读标记,是否已经阅读过危急值提醒信息,200,,
,\x00\x0B,CRD0011,自定义字典类型，字符串（变长）,379,CRIS_TREAT_FLAG,信息处理标记,是否已经处理了危急值提醒信息,200,,
