索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CU_APP_REC,表全名,JHPDL:JH_CU_APP_REC,,,,,,
,表说明,体检预约登记记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,CHA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,CHA0001,String字符串（变长）,,CHECK_APP_REC_SN,体检预约登记记录,体检预约登记记录编号，系统生成三级编码，如“CA0.000.000.001”,20,是,是
,\x00\x02,CHA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,CHA0003,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x06,CHA0006,Date日期型（yyyy-mm-dd）（10个字节）,,PRE_CHK_START_DATE,预约体检开始日期,,10,是,是
,\x00\x07,CHA0007,Date日期型（yyyy-mm-dd）（10个字节）,,PRE_CHK_END_DATE,预约体检结束日期,,10,,
,\x00\x08,CHA0008,String字符串（变长）,,SC_PRE_TYPE,预约类型编码,患者预约、团体预约登记,50,,
,\x00\x09,CHA0009,String字符串（变长）,,ST_PRE_TYPE,预约类型描述,患者预约、团体预约登记,100,,
,\x00\x1A,CHA0026,简化字典（Integer整型，4个字节）,404,SD_PRE_TY,预约类型编码,中台编码标准，预约类型编码，患者预约、团体预约登记,,,
,\x00\x16,CHA0022,String字符串（变长）,,SC_PRE_STATUS,预约状态编码,,20,,
,\x00\x17,CHA0023,String字符串（变长）,,ST_PRE_STATUS,预约状态描述,,50,,
,\x00\x0A,CHA0010,String字符串（变长）,,HIS_PAT_ID,关联患者ID,业务流转患者唯一的ID号，团体预约登记记录为空,50,,是
,\x00\x0B,CHA0011,String字符串（变长）,,CHK_PAT_ID,体检系统内部患者ID,团体预约记录时为空,30,,
,\x00\x0C,CHA0012,String字符串（变长）,,PER_PRE_VIS_ID,个人预约唯一ID,,30,,是
,\x00\x0D,CHA0013,String字符串（变长）,,TEM_PRE_VIS_ID,团体预约唯一ID,,30,,是
,\x00\x0E,CHA0014,String字符串（变长）,,SC_TEAM,团体编码,,50,,
,\x00\x0F,CHA0015,String字符串（变长）,,ST_TEAM,团体名称,,200,,
,\x00\x15,CHA0021,String字符串（变长）,,CHECK_UP_NO,体检号,,30,,
,\x00\x18,CHA0024,String字符串（变长）,,SC_CHECK_TYPE,体检类型编码,,50,,
,\x00\x19,CHA0025,String字符串（变长）,,ST_CHECK_TYPE,体检类型描述,如入职体检、员工年检等,200,,
,\x00\x13,CHA0019,String字符串（变长）,,CONTACT_TEL,联系电话,,50,,
,\x00\x14,CHA0020,String字符串（变长）,,CONTACT_NAME,联系人姓名,,100,,
,\x00\x10,CHA0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRE_UPDATE_TIME,登记更新时间,,19,,
,\x00\x11,CHA0017,String字符串（变长）,,SC_PRE_UPDATE_USER,更新人编码,,50,,
,\x00\x12,CHA0018,String字符串（变长）,,ST_PRE_UPDATE_USER,更新人姓名,,100,,
,\x00\x04,CHA0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,19,是,
,\x00\x05,CHA0005,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,20,,
