索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CU_DEPT_DIAGS,表全名,JHPDL:JH_CU_DEPT_DIAGS,,,,,,
,表说明,体检科室检查诊断建议记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,CHG,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,CHG0001,String字符串（变长）,,CU_DEPT_DIAG_SN,科室诊断意见编号,科室诊断意见编号，系统生成三级编码，如“CG0.000.000.001”,20,是,是
,\x00\x02,CHG0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,CHG0003,String字符串（变长）,,CHECK_DEPT_SUM_SN,体检科室检查编号,体检科室检查编号，来源JH_CU_DEPT_SUM的CHE0001,20,是,是
,\x00\x06,CHG0006,String字符串（变长）,,SC_CHK_DIAG,诊断代码,,100,,
,\x00\x07,CHG0007,String字符串（变长）,,ST_CHK_DIAG,诊断描述,,500,,
,\x00\x14,CHG0020,简化字典（Integer整型，4个字节）,466,SD_CHK_DIAG,诊断编码,台代码标准，ICD-,,,
,\x00\x08,CHG0008,String字符串（变长）,,CHK_DIAG_ID,诊断ID,,50,,是
,\x00\x09,CHG0009,String字符串（变长）,,ST_CHK_DIAG_DESC,诊断描述,,500,,
,\x00\x0A,CHG0010,String字符串（变长）,,DEPT_ADVICE,科室建议内容,,4000,,
,\x00\x0B,CHG0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHK_DIAG_TIME,诊断时间,,,,
,\x00\x0C,CHG0012,String字符串（变长）,,SC_CHK_USER,诊断医生代码,,100,,
,\x00\x0D,CHG0013,String字符串（变长）,,ST_CHK_USER,诊断医生姓名,,200,,
,\x00\x0E,CHG0014,简化字典（Integer整型，4个字节）,379,SD_ILLNESS_DIAG,是否疾病诊断,,,,
,\x00\x0F,CHG0015,String字符串（变长）,,ST_CHK_DIAG_ALIAS,诊断别名,,200,,
,\x00\x10,CHG0016,String字符串（变长）,,SC_DIAG_SOURCE,诊断来源代码,医生录入、系统自动带出等,50,,
,\x00\x11,CHG0017,String字符串（变长）,,ST_DIAG_SOURCE,诊断来源描述,,100,,
,\x00\x12,CHG0018,String字符串（变长）,,CHK_REMARKS,备注,,500,,
,\x00\x13,CHG0019,简化字典（Integer整型，4个字节）,379,SD_INPUT_SUMMARY,是否入总结报告,,,,
,\x00\x04,CHG0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,CHG0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,19,是,
,\x00\x15,CHG0021,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
