索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_CU_DEPT_SIGNS,表全名,JHPDL:JH_CU_DEPT_SIGNS,,,,,,
,表说明,体检科室检查结果记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,CHF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,CHF0001,String字符串（变长）,,CU_DEPT_SIGN_SN,科室检查结果编号,体检科室检查结果记录编号，系统生成三级编码，如“CF0.000.000.001”,20,是,是
,\x00\x02,CHF0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,CHF0003,String字符串（变长）,,CHECK_DEPT_SUM_SN,体检科室检查编号,体检科室检查编号，来源JH_CU_DEPT_SUM的CHE0001,20,是,是
,\x00\x04,CHF0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x06,CHF0006,String字符串（变长）,,ORDER_LINK,关联医嘱ID,,50,,
,\x00\x07,CHF0007,String字符串（变长）,,SC_CHK_ORDER,医嘱代码,,50,,是
,\x00\x08,CHF0008,String字符串（变长）,,ST_CHK_ORDER,医嘱描述,,200,,
,\x00\x09,CHF0009,String字符串（变长）,,SC_CHK_RESULT,结果项代码,,50,,是
,\x00\x0A,CHF0010,String字符串（变长）,,ST_CHK_RESULT,结果项描述,,200,,
,\x00\x0B,CHF0011,简化字典（Integer整型，4个字节）,379,SD_ABNORMAL,结果是否阳性异常,,,,是
,\x00\x0C,CHF0012,Double双精度浮点型（8个字节）,,CHK_VALUE,数字结果值,,,,
,\x00\x0D,CHF0013,String字符串（变长）,,CHK_VALUE_TEXT,文本结果,,4000,,
,\x00\x0E,CHF0014,String字符串（变长）,,CHK_VALUE_TXT_AD,诊断建议,,4000,,
,\x00\x0F,CHF0015,String字符串（变长）,,RESULT_RANGE,结果参考范围,,100,,
,\x00\x10,CHF0016,String字符串（变长）,,RESULT_UNIT,结果单位,,50,,
,\x00\x11,CHF0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,RES_UPDATE_TIME,结果更新时间,,19,,
,\x00\x16,CHF0022,String字符串（变长）,,RESULT_URL,结果外部链接地址,调用外部结果报告等链接地址,500,,
,\x00\x15,CHF0021,String字符串（变长）,,CHECK_PAT_ID,体检系统内部患者ID,,50,,是
,\x00\x14,CHF0020,String字符串（变长）,,RESULT_REMARKS,备注,,500,,
,\x00\x12,CHF0018,String字符串（变长）,,SC_UPDATE_USER,更新人编码,,100,,
,\x00\x13,CHF0019,String字符串（变长）,,ST_UPDATE_USER,更新人姓名,,200,,
,\x00\x05,CHF0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,19,是,
,\x00\x17,CHF0023,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x18,CHF0024,String字符串（变长）,,CHECK_NO,检查号,检查号CHECK_NO：与检查记录关联,200,,
