索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_BATCH_DTL,表全名,JHPDL:JH_DRUG_BATCH_DTL,,,,,,
,表说明,药品耗材进货批次记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MDB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MDB0001,String字符串（变长）,,DRUG_BATCH_SN,药品耗材入库批次唯一号,内部产生三级编号DC0.000.000.001,20,是,是
,\x00\x02,MDB0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MDB0003,String字符串（变长）,,DRUG_INFO_SN,药品耗材库唯一号,来源于JH_DRUG_INFO的MDI0001,20,是,是
,\x00\x04,MDB0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,MDB0005,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，库存项目字典的MDI0009，弱关联必须,200,是,是
,\x00\x06,MDB0006,String字符串（变长）,,BATCH_NO,业务流转使用的批次号,业务批次号,200,是,是
,\x00\x07,MDB0007,String字符串（变长）,,SC_INVENTORY_ITM,药品耗材库存项编码,,200,,
,\x00\x08,MDB0008,String字符串（变长）,,ST_INVENTORY_ITM,药品耗材库存项名称,,200,,
,\x00\x09,MDB0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0A,MDB0010,String字符串（变长）,,PERIOD_VALIDITY,有效期,36个月、2022年5月10日等,200,,
,\x00\x0B,MDB0011,String字符串（变长）,,SC_VENDOR,供应商编码,,200,,
,\x00\x0C,MDB0012,String字符串（变长）,,ST_VENDOR,供应商描述,,500,,
,\x00\x0D,MDB0013,Date日期型（yyyy-mm-dd）（10个字节）,,MANUFACTURE_TIME,生产日期,,31,,
,\x00\x0E,MDB0014,Date日期型（yyyy-mm-dd）（10个字节）,,EXPIRY_TIME,有效期截止时间,日期格式下，有效期截止时间，可能需要计算,31,,
,\x00\x0F,MDB0015,String字符串（变长）,,APPROVAL_NO,批准文号,,200,,
,\x00\x10,MDB0016,String字符串（变长）,,ADV_REACTIONS,不良反应,,500,,
,\x00\x11,MDB0017,String字符串（变长）,,CONTRAINDICATION,药物禁忌,,500,,
,\x00\x12,MDB0018,String字符串（变长）,,NEED_ATTENTION,注意事项,,500,,
,\x00\x13,MDB0019,String字符串（变长）,,SC_BATCH_STATUS,批次状态编码,,200,,
,\x00\x14,MDB0020,String字符串（变长）,,ST_BATCH_STATUS,批次状态描述,,500,,
,\x00\x15,MDB0021,Double双精度浮点型（8个字节）,,ORG_BILL_NUM,单据数量,,38,,
,\x00\x16,MDB0022,Double双精度浮点型（8个字节）,,ACTUAL_PURC_NUM,实际采购数量,对应药品包装单位,38,,
,\x00\x17,MDB0023,Double双精度浮点型（8个字节）,,ACT_TOT_AMOUNT,实际进货金额,,38,,
,\x00\x18,MDB0024,Double双精度浮点型（8个字节）,,UNIT_PRICE,采购进货单价,,38,,
,\x00\x19,MDB0025,String字符串（变长）,,INVOICE_NO,发票号,,200,,
,\x00\x1A,MDB0026,Date日期型（yyyy-mm-dd）（10个字节）,,INVOICE_DATE,发票日期,,31,,
,\x00\x1B,MDB0027,Double双精度浮点型（8个字节）,,INVOICE_AMOUNT,发票金额,,38,,
,\x00\x1C,MDB0028,String字符串（变长）,,SC_IN_STATUS,入库状态编码,,200,,
,\x00\x1D,MDB0029,String字符串（变长）,,ST_IN_STATUS,入库状态名称,,200,,
,\x00\x1E,MDB0030,Double双精度浮点型（8个字节）,,DRUG_IN_NUM,入库数量,对应药品包装单位,38,,
,\x00\x1F,MDB0031,Double双精度浮点型（8个字节）,,DRUG_REFUSE_NUM,退货数量,对应药品包装单位,38,,
,\x00\x20,MDB0032,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
