索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_CHECK,表全名,JHPDL:JH_DRUG_CHECK,,,,,,
,表说明,药库盘点记录主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MCM,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MCM0001,String字符串（变长）,,DRUG_CHECK_SN,药库盘点唯一号,三级编码DG0.000.000.001,20,是,是
,\x00\x02,MCM0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MCM0003,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,MCM0005,String字符串（变长）,,DRUG_CHK_NO,盘点单号,,200,是,是
,\x00\x06,MCM0006,String字符串（变长）,,CHK_REASON,盘点原因,,4000,,
,\x00\x07,MCM0007,String字符串（变长）,,SC_APPLY_USER,制单人编码,,200,,
,\x00\x08,MCM0008,String字符串（变长）,,ST_APPLY_USER,制单人姓名,,200,,
,\x00\x09,MCM0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHK_APPLY_TIME,制单时间,,31,是,是
,\x00\x0A,MCM0010,String字符串（变长）,,SC_CONFIRM_USER,盘点审核人编码,,200,,
,\x00\x0B,MCM0011,String字符串（变长）,,ST_CONFIRM_USER,盘点审核人姓名,,200,,
,\x00\x0C,MCM0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHK_CONFIRM_TIME,盘点审核时间,,31,,
,\x00\x0D,MCM0013,String字符串（变长）,,SC_STORAGE_ROOM,库房编码,,200,是,是
,\x00\x0E,MCM0014,String字符串（变长）,,ST_STORAGE_ROOM,库房名称,,200,,
,\x00\x0F,MCM0015,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x04,MCM0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x10,MCM0016,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
