索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_GIVE_IN,表全名,JHPDL:JH_DRUG_GIVE_IN,,,,,,
,表说明,住院发药主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MGI,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MGI0001,String字符串（变长）,,DRUG_GIVE_IN_SN,住院药房发药唯一号,内部产生三级编码DL0.000.000.001,20,是,是
,\x00\x02,MGI0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MGI0003,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,MGI0005,String字符串（变长）,,PHA_SEND_NO,住院药房发药单号,业务实际摆药单号,200,是,是
,\x00\x06,MGI0006,String字符串（变长）,,SC_PHARMACY,药房ID,,200,是,是
,\x00\x07,MGI0007,String字符串（变长）,,ST_PHARMACY,药房名称,,200,,
,\x00\x09,MGI0009,String字符串（变长）,,SC_DRUG_SD_USER,发药人编码,,200,,
,\x00\x0A,MGI0010,String字符串（变长）,,ST_DRUG_SD_USER,发药人姓名,,200,,
,\x00\x08,MGI0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_SEND_TIME,发药时间,,31,是,是
,\x00\x0B,MGI0011,String字符串（变长）,,SC_SEND_TO_WARD,病区编码,当前发药单是哪个病区的,200,,
,\x00\x0C,MGI0012,String字符串（变长）,,ST_SEND_TO_WARD,病区描述,,500,,
,\x00\x0D,MGI0013,String字符串（变长）,,SC_SEND_STATUS,当前状态编码,配药、已发、领取、打印等,200,,
,\x00\x0E,MGI0014,String字符串（变长）,,ST_SEND_STATUS,当前状态描述,,500,,
,\x00\x16,MGI0022,String字符串（变长）,,SC_DISP_TYPE,摆药单类型代码,口服类、大输液类等,200,,
,\x00\x17,MGI0023,String字符串（变长）,,ST_DISP_TYPE,摆药单类型描述,,500,,
,\x00\x0F,MGI0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_PRINT_TIME,摆药单打印时间,,31,,
,\x00\x10,MGI0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SEND_START_TIME,发药范围开始时间,本次摆药单针对发药品的时间范围区间,31,,
,\x00\x11,MGI0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SEND_END_TIME,发药范围结束时间,,31,,
,\x00\x12,MGI0018,Integer整型（4个字节）,,PHA_ITEM_QTY,药品项数量,本摆药单包含多少种药品项目个数，如25个药品,20,,
,\x00\x14,MGI0020,String字符串（变长）,,SC_TAKE_USER,领药人编码,病区领药人员,200,,
,\x00\x15,MGI0021,String字符串（变长）,,ST_TAKE_USER,领药人姓名,,200,,
,\x00\x13,MGI0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_TAKE_TIME,领药时间,,31,,
,\x00\x18,MGI0024,简化字典（Integer整型，4个字节）,379,SD_SEND_MACHINE,是否发送摆药机,,20,,
,\x00\x19,MGI0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DISP_TIME,摆药时间,,31,,
,\x00\x1B,MGI0027,String字符串（变长）,,SC_PHA_DISP_USER,配药人编码,,200,,
,\x00\x1C,MGI0028,String字符串（变长）,,ST_PHA_DISP_USER,配药人姓名,,200,,
,\x00\x1A,MGI0026,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DISPEND_TIME,配药时间,,31,,
,\x00\x1E,MGI0030,String字符串（变长）,,SC_SEND_CHK_USER,审核人编码,,200,,
,\x00\x1F,MGI0031,String字符串（变长）,,ST_SEND_CHK_USER,审核人姓名,,200,,
,\x00\x1D,MGI0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_SEND_CHK_TIME,审核时间,,31,,
,\x00\x20,MGI0032,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x21,MGI0033,String字符串（变长）,,SC_PHA_DRUG_REV,静配药审核人编号,,200,,
,\x00\x22,MGI0034,String字符串（变长）,,ST_PHA_DRUG_REV,静配药审核人姓名,,200,,
,\x00\x23,MGI0035,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_REVIETIME,静配药审核时间,,31,,
,\x00\x24,MGI0036,String字符串（变长）,,SC_PHA_LAB_PRINTER,静配药打印标签人编号,,200,,
,\x00\x25,MGI0037,String字符串（变长）,,ST_PHA_LAB_PRINTER,静配药打印标签人姓名,,200,,
,\x00\x26,MGI0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_LAB_PRINTTIME,静配药打印标签时间,,31,,
,\x00\x27,MGI0039,String字符串（变长）,,SC_PHA_DRUG_DISP,静配药摆药人编号,,200,,
,\x00\x28,MGI0040,String字符串（变长）,,ST_PHA_DRUG_DISP,静配药摆药人姓名,,200,,
,\x00\x29,MGI0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_DISPTIME,静配药摆药时间,,31,,
,\x00\x2A,MGI0042,String字符串（变长）,,SC_PHA_DRUG_LABEL,静配药贴签人编号,,200,,
,\x00\x2B,MGI0043,String字符串（变长）,,ST_PHA_DRUG_LABEL,静配药贴签人姓名,,200,,
,\x00\x2C,MGI0044,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_LABTIME,静配药贴签时间,,31,,
,\x00\x2D,MGI0045,String字符串（变长）,,SC_PHA_DRUG_CHECKER,静配药核对人编号,,200,,
,\x00\x2E,MGI0046,String字符串（变长）,,ST_PHA_DRUG_CHECKER,静配药核对人姓名,,200,,
,\x00\x2F,MGI0047,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_CHECKETIME,静配药核对时间,,200,,
,\x00\x30,MGI0048,String字符串（变长）,,SC_PHA_DRUG_USER,静配药配药人编号,,200,,
,\x00\x31,MGI0049,String字符串（变长）,,ST_PHA_DRUG_USER,静配药配药人姓名,,200,,
,\x00\x32,MGI0050,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_USERTIME,静配药配药时间,,31,,
,\x00\x33,MGI0051,String字符串（变长）,,SC_PHA_REVIE_SECOND,静配药复核人编号,,200,,
,\x00\x34,MGI0052,String字符串（变长）,,ST_PHA_REVIE_SECOND,静配药复核人姓名,,200,,
,\x00\x35,MGI0053,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_REVIE_SECTIME,静配药复核时间,,31,,
,\x00\x36,MGI0054,String字符串（变长）,,SC_PHA_DRUG_DELIVERY,静配药发药人编号,,200,,
,\x00\x37,MGI0055,String字符串（变长）,,ST_PHA_DRUG_DELIVERY,静配药发药人姓名,,200,,
,\x00\x38,MGI0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_DELITIME,静配药发药时间,,31,,
,\x00\x39,MGI0057,String字符串（变长）,,SC_PHA_DRUG_NURSE,静配药取药护士编号,,200,,
,\x00\x3A,MGI0058,String字符串（变长）,,ST_PHA_DRUG_NURSE,静配药取药护士姓名,,200,,
,\x00\x3B,MGI0059,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_TAKETIME,静配药取药时间,,31,,
,\x00\x04,MGI0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,31,是,是
,\x00\x3C,MGI0060,String字符串（变长）,,SC_PHAOM_USER,前置审方人编码,前置审方人编码,30,,
,\x00\x3D,MGI0061,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHAOM_TIME,审方时间,审方时间,30,,
,\x00\x3E,MGI0062,String字符串（变长）,,ST_PHAOM_USER,前置审方人名称,前置审方人名称,30,,
,\x00\x3F,MGI0063,String字符串（变长）,,BED_NO,床号,,20,,
,\x00\x40,MGI0064,String字符串（变长）,,SC_SEND_DEPT,发往科室编码,,200,,
,\x00\x41,MGI0065,String字符串（变长）,,ST_SEND_DEPT,发往科室名称,,200,,
,\x00\x42,MGI0066,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x43,MGI0067,简化字典（Integer整型，4个字节）,379,SD_PHA_DRUG,是否静脉药,是否静脉药,,,
