索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_GI_IN_DTL,表全名,JHPDL:JH_DRUG_GI_IN_DTL,,,,,,
,表说明,住院发药明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MGX,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MGX0001,String字符串（变长）,,GI_IN_DTL_SN,住院发退药明细唯一号,内部三级编码DM0.000.000.001,20,是,是
,\x00\x02,MGX0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MGX0003,String字符串（变长）,,DRUG_GIVE_IN_SN,住院药房发药唯一号,来源JH_DRUG_GIVE_IN的MGI0001,20,是,是
,\x00\x05,MGX0005,String字符串（变长）,,DRUG_BATCH_SN,批次SN,强关联备用，弱关联时可不用编写该字段规则,200,是,是
,\x00\x07,MGX0007,String字符串（变长）,,BATCH_NO,批次号,,200,是,是
,\x00\x04,MGX0004,String字符串（变长）,,DRUG_INFO_SN,库存项SN,强关联备用，弱关联时可不用编写该字段规则,200,是,是
,\x00\x06,MGX0006,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，库存项目字典的MDI0009，弱关联必须,200,是,是
,\x00\x0A,MGX0010,String字符串（变长）,,SC_INVENTORY_ITM,库存项编码,,200,,
,\x00\x0B,MGX0011,String字符串（变长）,,ST_INVENTORY_ITM,库存项名称,,200,,
,\x00\x08,MGX0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x09,MGX0009,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0C,MGX0012,Double双精度浮点型（8个字节）,,PHA_SEND_QTY,数量,发药数量,38,,
,\x00\x0D,MGX0013,String字符串（变长）,,SC_PHA_UNIT,单位编码,,200,,
,\x00\x0E,MGX0014,String字符串（变长）,,ST_PHA_UNIT,单位描述,,500,,
,\x00\x0F,MGX0015,Double双精度浮点型（8个字节）,,PHA_UNIT_PRICE,单价,,38,,
,\x00\x10,MGX0016,Double双精度浮点型（8个字节）,,PHA_TOT_AMOUNT,总金额,发药总金额,38,,
,\x00\x11,MGX0017,String字符串（变长）,,ORDER_LINK,关联医嘱ID,,500,是,是
,\x00\x12,MGX0018,String字符串（变长）,,ORDER_CODE,关联医嘱代码,,200,,
,\x00\x13,MGX0019,String字符串（变长）,,ORDER_NAME,关联医嘱描述,,500,,
,\x00\x15,MGX0021,String字符串（变长）,,HIS_PAT_ID,关联患者ID,,100,是,是
,\x00\x16,MGX0022,String字符串（变长）,,HIS_VIS_ID,关联就诊ID,,100,是,是
,\x00\x14,MGX0020,String字符串（变长）,,PRESC_NO,处方号,如住院有单独生成毒麻、精一等单独处方号时，使用,200,是,是
,\x00\x17,MGX0023,String字符串（变长）,,SC_CURR_LOC,患者所在科室代码,,200,,
,\x00\x18,MGX0024,String字符串（变长）,,ST_CURR_LOC,患者所在科室名称,,200,,
,\x00\x19,MGX0025,String字符串（变长）,,SC_CURR_WARD,患者所在病区代码,,200,,
,\x00\x1A,MGX0026,String字符串（变长）,,ST_CURR_WARD,患者所在病区名称,,200,,
,\x00\x1B,MGX0027,String字符串（变长）,,CURR_BED,患者所在床位,,200,,
,\x00\x1C,MGX0028,String字符串（变长）,,SC_ORDER_STATUS,医嘱状态代码,,200,,
,\x00\x1D,MGX0029,String字符串（变长）,,ST_ORDER_STATUS,医嘱状态描述,,500,,
,\x00\x1E,MGX0030,简化字典（Integer整型，4个字节）,388,SD_ORDER_TYPE,医嘱类型ID,医嘱类型标化字典ID,20,,
,\x00\x1F,MGX0031,String字符串（变长）,,SC_ORDER_TYPE,医嘱类型代码,长期医嘱、临时医嘱、出院带药等,200,,
,\x00\x20,MGX0032,String字符串（变长）,,ST_ORDER_TYPE,医嘱类型描述,,500,,
,\x00\x21,MGX0033,String字符串（变长）,,SC_PHA_SEND_STAT,发药状态代码,待发、已发、申请退、已退、拒绝发药等,200,,
,\x00\x22,MGX0034,String字符串（变长）,,ST_PHA_SEND_STAT,发药状态描述,,500,,
,\x00\x23,MGX0035,String字符串（变长）,,PHA_SEND_NO,发药单号,,200,是,是
,\x00\x24,MGX0036,String字符串（变长）,,PHA_SEND_SUB_NO,发药子序号,,200,,
,\x00\x25,MGX0037,String字符串（变长）,,REFUSE_REASON,药房拒绝发药原因,,500,,
,\x00\x2A,MGX0042,String字符串（变长）,,SC_PHARMACY,发药药房ID,,200,是,是
,\x00\x2B,MGX0043,String字符串（变长）,,ST_PHARMACY,发药药房名称,,200,,
,\x00\x37,MGX0055,String字符串（变长）,,WINDOWS_SN,发药窗口,发药窗口,50,,
,\x00\x26,MGX0038,String字符串（变长）,,SC_PHA_WAY,用药途径方法代码,,200,,
,\x00\x27,MGX0039,String字符串（变长）,,ST_PHA_WAY,用药途径方法描述,,500,,
,\x00\x28,MGX0040,String字符串（变长）,,PHA_FREQ,用药频次,,200,,
,\x00\x29,MGX0041,Double双精度浮点型（8个字节）,,PHA_DOSAGE_NUM,用药单次剂量,,38,,
,\x00\x2E,MGX0046,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DISPEND_TIME,配药时间,配药时间(兼容部分系统配药信息关联在明细数据上),,,
,\x00\x2F,MGX0047,String字符串（变长）,,SC_PHA_DISP_USER,配药人编码,配药人编码(兼容部分系统配药人信息关联在明细记录上),50,,
,\x00\x30,MGX0048,String字符串（变长）,,ST_PHA_DISP_USER,配药人姓名,配药人姓名(兼容配药信息关联在明细上),100,,
,\x00\x31,MGX0049,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_SEND_CHK_TIME,药房审核时间,审核时间(兼容审核信息关联明细数据情况),,,
,\x00\x32,MGX0050,String字符串（变长）,,SC_SEND_CHK_USER,审核人编码,审核人编码,50,,
,\x00\x33,MGX0051,String字符串（变长）,,ST_SEND_CHK_USER,审核人姓名,审核人姓名,100,,
,\x00\x34,MGX0052,String字符串（变长）,,SC_DOSAGE_UNIT,单次剂量单位编码,单次剂量单位编码,20,,
,\x00\x35,MGX0053,String字符串（变长）,,ST_DOSAGE_UNIT,单次剂量单位描述,单次剂量单位描述,20,,
,\x00\x36,MGX0054,String字符串（变长）,,MAIN_ORDER_LINK,长期医嘱主医嘱号,长期医嘱滚医嘱方式时，本条医嘱对应的主医嘱ID号,100,是,是
,\x00\x2C,MGX0044,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x2D,MGX0045,String字符串（变长）,,PHA_SPEC,规格,,200,,
,\x00\x38,MGX0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_TAKETIME,静配药取药时间,,31,,
,\x00\x39,MGX0057,String字符串（变长）,,ST_PHA_DRUG_NURSE,静配药取药护士姓名,,200,,
,\x00\x3A,MGX0058,String字符串（变长）,,SC_PHA_DRUG_NURSE,静配药取药护士编号,,200,,
,\x00\x3B,MGX0059,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_DELITIME,静配药发药时间,,31,,
,\x00\x3C,MGX0060,String字符串（变长）,,ST_PHA_DRUG_DELIVERY,静配药发药人姓名,,200,,
,\x00\x3D,MGX0061,String字符串（变长）,,SC_PHA_DRUG_DELIVERY,静配药发药人编号,,200,,
,\x00\x3E,MGX0062,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_REVIE_SECTIME,静配药复核时间,,31,,
,\x00\x3F,MGX0063,String字符串（变长）,,ST_PHA_DRUG_LABEL,静配药贴签人姓名,,200,,
,\x00\x40,MGX0064,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_LABTIME,静配药贴签时间,,31,,
,\x00\x41,MGX0065,String字符串（变长）,,SC_PHA_DRUG_CHECKER,静配药核对人编号,,200,,
,\x00\x42,MGX0066,String字符串（变长）,,ST_PHA_DRUG_CHECKER,静配药核对人姓名,,200,,
,\x00\x43,MGX0067,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_CHECKETIME,静配药核对时间,,31,,
,\x00\x44,MGX0068,String字符串（变长）,,SC_PHA_DRUG_USER,静配药配药人编号,,200,,
,\x00\x45,MGX0069,String字符串（变长）,,ST_PHA_DRUG_USER,静配药配药人姓名,,200,,
,\x00\x46,MGX0070,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_USERTIME,静配药配药时间,,31,,
,\x00\x47,MGX0071,String字符串（变长）,,SC_PHA_REVIE_SECOND,静配药复核人编号,,200,,
,\x00\x48,MGX0072,String字符串（变长）,,ST_PHA_REVIE_SECOND,静配药复核人姓名,,200,,
,\x00\x49,MGX0073,String字符串（变长）,,SC_PHA_DRUG_REV,静配药审核人编号,,200,,
,\x00\x4A,MGX0074,String字符串（变长）,,ST_PHA_DRUG_REV,静配药审核人姓名,,200,,
,\x00\x4B,MGX0075,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_REVIETIME,静配药审核时间,,31,,
,\x00\x4C,MGX0076,String字符串（变长）,,SC_PHA_LAB_PRINTER,静配药打印标签人编号,,200,,
,\x00\x4D,MGX0077,String字符串（变长）,,ST_PHA_LAB_PRINTER,静配药打印标签人姓名,,200,,
,\x00\x4E,MGX0078,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_LAB_PRINTTIME,静配药打印标签时间,,31,,
,\x00\x4F,MGX0079,String字符串（变长）,,SC_PHA_DRUG_DISP,静配药摆药人编号,,200,,
,\x00\x50,MGX0080,String字符串（变长）,,ST_PHA_DRUG_DISP,静配药摆药人姓名,,200,,
,\x00\x51,MGX0081,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PHA_DRUG_DISPTIME,静配药摆药时间,,31,,
,\x00\x52,MGX0082,String字符串（变长）,,SC_PHA_DRUG_LABEL,静配药贴签人编号,,200,,
,\x00\x53,MGX0083,String字符串（变长）,,GRP,组套医嘱,,20,,
,\x00\x54,MGX0084,String字符串（变长）,,ORDERGUBUN,医嘱区分,长、临、出院带药、术前医嘱、会诊、追加等,200,,
,\x00\x55,MGX0085,String字符串（变长）,,POWDER,医嘱标志,抗菌药的治疗、还是预防标志,5,,
,\x00\x56,MGX0086,Integer整型（4个字节）,,SD_SELF,是否保险,医嘱项目是否在医保内，是否可报销,4,,
,\x00\x57,MGX0087,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x58,MGX0088,简化字典（Integer整型，4个字节）,,SD_PHA_DRUG,是否静脉药,是否静脉药,,,
,\x00\x59,MGX0089,String字符串（变长）,,EXEC_SQN,执行单流水号,执行单流水号:用于和医嘱执行记录关联,200,,
