索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_INFO,表全名,JHPDL:JH_DRUG_INFO,,,,,,
,表说明,药品耗材字典记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MDI,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MDI0001,String字符串（变长）,,DRUG_INFO_SN,药品耗材库唯一号，中台自动编号,系统自动产生二级编I00.000.001,20,是,是
,\x00\x02,MDI0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MDI0003,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,是,是
,\x00\x04,MDI0004,String字符串（变长）,,SC_INVENTORY_ITM,药品耗材库存项编码,库存项目编码，可能区别于库存项ID,200,,
,\x00\x05,MDI0005,String字符串（变长）,,ST_INVENTORY_ITM,药品耗材库存项名称,药品耗材的别名，非通用名，通用名放在下面字段，如只有一个名字，两个放一样即可,200,是,是
,\x00\x06,MDI0006,String字符串（变长）,,ORDER_ITM_LINK,关联医嘱项字典ID,库存项对应医嘱项的关联医嘱项ID，业务可能存在两个字典表，存在对照关系,200,是,是
,\x00\x07,MDI0007,String字符串（变长）,,SC_ORDER_ITM,关联医嘱项字典编码,关联医嘱项目的业务编码,200,,
,\x00\x08,MDI0008,String字符串（变长）,,ST_ORDER_ITM,关联医嘱项字典名称,关联医嘱项目的医嘱名称，可能有别于库存名称,200,,
,\x00\x09,MDI0009,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，后续跟踪记录使用，业务实际数据流转关联的ID号，可能与HIS_KEY不同，也可能相同,200,是,是
,\x00\x0B,MDI0011,String字符串（变长）,,SC_STOCK_CAT,库存分类编码,一般材料、高值耗材、西药、中成药等,200,是,是
,\x00\x0C,MDI0012,String字符串（变长）,,ST_STOCK_CAT,库存分类描述,,500,,
,\x00\x0D,MDI0013,String字符串（变长）,,SC_CHECK_CAT,盘点类型编码,,200,,
,\x00\x0E,MDI0014,String字符串（变长）,,ST_CHECK_CAT,盘点类型描述,西药片剂、西药针剂等,500,,
,\x00\x0F,MDI0015,String字符串（变长）,,SC_ORDER_CAT,关联医嘱项分类编码,,200,,
,\x00\x10,MDI0016,String字符串（变长）,,ST_ORDER_CAT,关联医嘱项分类描述,,500,,
,\x00\x11,MDI0017,String字符串（变长）,,SC_DOSAGE_FORM,药品剂型编码,,200,,
,\x00\x12,MDI0018,String字符串（变长）,,ST_DOSAGE_FORM,药品剂型描述,,500,,
,\x00\x13,MDI0019,简化字典（Integer整型，4个字节）,379,SD_CANCEL,是否被作废,,20,,
,\x00\x14,MDI0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CANCEL_TIME,作废时间,,31,,
,\x00\x15,MDI0021,简化字典（Integer整型，4个字节）,379,SD_REQ_BATCH,是否要求批号,定义有些药品耗材，医院管理时是否要求必须有批次管理,20,,
,\x00\x16,MDI0022,简化字典（Integer整型，4个字节）,379,SD_REQ_VALIDITY,是否要求效期,定义药品耗材管理时，是否存在有效期管理，例如中草药有些可能不要求有效期,20,,
,\x00\x17,MDI0023,String字符串（变长）,,IMPORT_TYPE,产地,国产、进口、合资等,200,,
,\x00\x18,MDI0024,String字符串（变长）,,COMMON_NAME,通用名,药品耗材的通用名,200,,
,\x00\x19,MDI0025,String字符串（变长）,,SC_PRESC_TYPE,处方类型编码,OTC、处方药等,200,是,是
,\x00\x1A,MDI0026,String字符串（变长）,,ST_PRESC_TYPE,处方类型描述,,500,,
,\x00\x1B,MDI0027,String字符串（变长）,,SC_INSU_TYPE,医保类型编码,,200,是,是
,\x00\x1C,MDI0028,String字符串（变长）,,ST_INSU_TYPE,医保类型描述,甲类、乙类、丙类,500,,
,\x00\x1D,MDI0029,简化字典（Integer整型，4个字节）,379,SD_HIGH_PRICE,是否高值耗材,,20,,
,\x00\x1E,MDI0030,简化字典（Integer整型，4个字节）,379,SD_NARCO_DRUG,是否毒麻精神类药品,,20,,
,\x00\x1F,MDI0031,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x20,MDI0032,Double双精度浮点型（8个字节）,,WARING_NUM,采购预警阈值,药品包装单位对应数量,38,,
,\x00\x21,MDI0033,String字符串（变长）,,DRUG_FUNCTION,药品功能主治,,4000,,
,\x00\x22,MDI0034,String字符串（变长）,,DRUG_PROP_DESC,药品性状描述,,4000,,
,\x00\x23,MDI0035,String字符串（变长）,,DRUG_IN_HOSP_CODE,院内码,院内使用转换码,200,,
,\x00\x24,MDI0036,String字符串（变长）,,BID_MANUF_DESC,招标生产商,招标时规定的生产商,200,,
,\x00\x25,MDI0037,String字符串（变长）,,SC_MINI_UNIT,最小基本单位编码,基本单位，如片、粒等,200,,
,\x00\x26,MDI0038,String字符串（变长）,,ST_MINI_UNIT,最小基本单位描述,,500,,
,\x00\x27,MDI0039,String字符串（变长）,,SC_IN_PKG_UNIT,入库包装单位编码,如：箱，盒等,200,,
,\x00\x28,MDI0040,String字符串（变长）,,ST_IN_PKG_UNIT,入库包装单位描述,,500,,
,\x00\x29,MDI0041,String字符串（变长）,,SC_PACKAGE_UNIT,药品包装单位编码,如：盒、瓶等，可能与入库单位相同,200,,
,\x00\x2A,MDI0042,String字符串（变长）,,ST_PACKAGE_UNIT,药品包装单位名称,,200,,
,\x00\x2B,MDI0043,String字符串（变长）,,SC_MIN_PKG_UNIT,最小包装单位编码,如规则为0.24G 片/2板/盒，此处填写板，如没有该级包装如 0.24G 50粒/瓶，填写同药品包装瓶,200,,
,\x00\x2C,MDI0044,String字符串（变长）,,ST_MIN_PKG_UNIT,最小包装单位描述,,500,,
,\x00\x2D,MDI0045,Integer整型（4个字节）,,ITP_TR_FACTOR_NUM,入库包装与药品包装转换系数,如：1箱50盒，此处填写50，如入库单位和药品单位相同时，填写1，,20,,
,\x00\x2E,MDI0046,Integer整型（4个字节）,,PTMP_TR_FACTOR_NUM,药品包装与最小包装转换系数,如规则为0.24G 片/2板/盒，药品包装为盒，基本包装为板，此处填写2，如规格为0.24G 粒/瓶，基本包装同药品包装填写瓶，系数为1,20,,
,\x00\x2F,MDI0047,Double双精度浮点型（8个字节）,,PTM_TR_FACTOR_NUM,药品包装单位与最小基本单位转换系数,,38,,
,\x00\x30,MDI0048,Double双精度浮点型（8个字节）,,MTM_TR_FACTOR_NUM,最小包装单位与最小基本单位转换系数,,38,,
,\x00\x31,MDI0049,String字符串（变长）,,SC_MINI_EQ_UNIT,最小基本单位等价单位编码,,200,,
,\x00\x32,MDI0050,String字符串（变长）,,ST_MINI_EQ_UNIT,最小基本单位等价单位描述,"G,ML,MG等",500,,
,\x00\x33,MDI0051,Double双精度浮点型（8个字节）,,MTE_TR_FACTOR_NUM,最小基本单位与等价单位转换系数,,38,,
,\x00\x34,MDI0052,String字符串（变长）,,PACKAGE_SPEC,包装规格,如：0.24G 片/2板/盒,200,,
,\x00\x35,MDI0053,String字符串（变长）,,TRADEMARK,品牌名称,如：仁和等,200,,
,\x00\x36,MDI0054,String字符串（变长）,,ST_MANUFACTURER,生产厂家,如：哈药、扬子江等,200,,
,\x00\x37,MDI0055,String字符串（变长）,,SC_MINI_EQ_UNIT2,最小基本单位等价单位编码2,最小基本单位等价单位2,200,,
,\x00\x38,MDI0056,String字符串（变长）,,ST_MINI_EQ_UNIT2,最小基本单位等价单位描述2,最小基本单位等价单位2,200,,
,\x00\x39,MDI0057,Double双精度浮点型（8个字节）,,MET_TR_FACTOR_NUM2,最小基本单位与等价单位2的转换系数,最小基本单位与等价单位2的转换系数,200,,
,\x00\x3A,MDI0058,String字符串（变长）,,DDD_UNIT,抗菌药基本单位计量单位,抗菌药基本单位计量单位,100,,
,\x00\x3B,MDI0059,简化字典（Integer整型，4个字节）,379,SD_ANTIBIOTICS,抗菌药物标识,,,,
,\x00\x3C,MDI0060,简化字典（Integer整型，4个字节）,379,SD_ANTITUMOR,抗肿瘤药物标识,,,,
,\x00\x3D,MDI0061,String字符串（变长）,,ANTI_LEVER,抗菌药等级,,50,,
,\x00\x3E,MDI0062,简化字典（Integer整型，4个字节）,379,SD_INJECTION,注射剂标识,,,,
,\x00\x3F,MDI0063,简化字典（Integer整型，4个字节）,379,SD_ZY_INJECTION,中药注射剂标识,,,,
,\x00\x40,MDI0064,简化字典（Integer整型，4个字节）,379,SD_IMPREGNANT,溶剂标识,,,,
,\x00\x41,MDI0065,简化字典（Integer整型，4个字节）,379,SD_EXTERNAL,外用标识,是否外用药品,,,
,\x00\x42,MDI0066,简化字典（Integer整型，4个字节）,379,SD_BASEDRUG,国家基本药物标识,是否属于国家基本药物,,,
,\x00\x43,MDI0067,String字符串（变长）,,SC_DRUG_CLASS,最小药理分类代码,药理分类的最小分类编码,50,,
,\x00\x44,MDI0068,String字符串（变长）,,ST_DRUG_CLASS,最小药理分类描述,药理分类的最小分类描述,200,,
,\x00\x45,MDI0069,String字符串（变长）,,SC_DRUG_CLASS_CAT,药理分类对应大分类编码,药理分类的大分类编码,50,,
,\x00\x46,MDI0070,String字符串（变长）,,ST_DRUG_CLASS_CAT,药理分类大分类描述,,300,,
,\x00\x47,MDI0071,String字符串（变长）,,DRUG_LICENSE_NO,药品国药准字号,,200,,
,\x00\x48,MDI0072,String字符串（变长）,,SC_MANUFACTURER,生产厂家代码,,100,,
,\x00\x49,MDI0073,String字符串（变长）,,MIN_SPEC,药品最小规格,药品最小规格，有别于包装大规格,100,,
,\x00\x4A,MDI0074,Double双精度浮点型（8个字节）,,DDD_VALUE,抗菌药基本单位计量数值,抗菌药基本单位计量数值,,,
,\x00\x4B,MDI0075,简化字典（Integer整型，4个字节）,379,SD_ORAL,口服药标识,口服药标识,,,
,\x00\x4C,MDI0076,简化字典（Integer整型，4个字节）,379,SD_CENTRALIZED,集采标识,集采标识,,,
,\x00\x4D,MDI0077,简化字典（Integer整型，4个字节）,379,SD_HORMONE,激素用药标识,激素用药标识,,,
,\x00\x4E,MDI0078,简化字典（Integer整型，4个字节）,379,SD_ASSIST,辅助用药标识,辅助用药标识,,,
,\x00\x0A,MDI0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x4F,MDI0079,String字符串（变长）,,SD_TZYP,中选药品同种药品标识,,,,
,\x00\x50,MDI0080,String字符串（变长）,,SD_ZXYP,国家中选药品标识,,,,
,\x00\x51,MDI0081,简化字典（Integer整型，4个字节）,379,SD_NORMAL_TEMP,是否常温,,4,,
,\x00\x52,MDI0082,Integer整型（4个字节）,,MIN_TEMP,最低温度,,50,,
,\x00\x53,MDI0083,Integer整型（4个字节）,,MAX_TEMP,最高温度,,50,,
,\x00\x54,MDI0084,简化字典（Integer整型，4个字节）,379,SD_DRY,是否干燥,,4,,
,\x00\x55,MDI0085,Integer整型（4个字节）,,MIN_HUMI,最低湿度,,50,,
,\x00\x56,MDI0086,Integer整型（4个字节）,,MAX_HUMI,最高湿度,,50,,
,\x00\x57,MDI0087,简化字典（Integer整型，4个字节）,379,SD_AIRTIGHT,是否密闭,,50,,
,\x00\x58,MDI0088,简化字典（Integer整型，4个字节）,379,SD_SHADING,是否遮光,,4,,
,\x00\x59,MDI0089,简化字典（Integer整型，4个字节）,379,SD_VENTA,是否通风,,4,,
,\x00\x5A,MDI0090,简化字典（Integer整型，4个字节）,379,SD_RADI,是否防辐射,,4,,
,\x00\x5B,MDI0091,简化字典（Integer整型，4个字节）,379,SD_SEAL,是否熔封,,4,,
,\x00\x5C,MDI0092,简化字典（Integer整型，4个字节）,379,SD_DARK,是否阴暗,,4,,
,\x00\x5D,MDI0093,简化字典（Integer整型，4个字节）,379,SD_COOL_DARK,是否凉暗,,4,,
,\x00\x5E,MDI0094,简化字典（Integer整型，4个字节）,379,SD_SEAL_MRAK,是否密封,,4,,
,\x00\x5F,MDI0095,简化字典（Integer整型，4个字节）,379,SD_COLD_STOR,是否冷藏,,4,,
,\x00\x60,MDI0096,String字符串（变长）,,ST_NORMAL_TEMP,常温标志描述,,10,,
,\x00\x61,MDI0097,String字符串（变长）,,ST_DRY,干燥标志描述,,10,,
,\x00\x62,MDI0098,String字符串（变长）,,ST_AIRTIGHT,密闭标识描述,,10,,
,\x00\x63,MDI0099,String字符串（变长）,,ST_SHADING,遮光标识描述,,10,,
,\x00\x63,MDI0100,String字符串（变长）,,ST_VENTA,通风标识描述,,10,,
,\x00\x64,MDI0101,String字符串（变长）,,ST_RADI,防辐射标识描述,,10,,
,\x00\x65,MDI0102,String字符串（变长）,,ST_SEAL,熔封标识描述,,10,,
