索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_PUR_ORD_DTL,表全名,JHPDL:JH_DRUG_PUR_ORD_DTL,,,,,,
,表说明,订单明细表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MGN,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MGN0001,String字符串（变长）,,PUR_ORD_DTL_SN,采购订单明细唯一号,采购订单编号，系统生成二级编码，如“DV0.000.000.001”,20,是,是
,\x00\x02,MGN0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MGN0003,String字符串（变长）,,DRUG_PUR_ORD_SN,采购订单唯一号,来源JH_DRUG_PUR_ORDER的0001,20,是,是
,\x00\x06,MGN0006,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x08,MGN0008,String字符串（变长）,,PUR_ORD_NO,采购订单号,,200,是,是
,\x00\x09,MGN0009,String字符串（变长）,,PUR_ORD_DTL_NO,采购订单明细单号,院内来源业务系统采购订单明细唯一编号,200,,
,\x00\x16,MGN0022,String字符串（变长）,,SC_APPLY_DEPT,订货库房编码,,200,,
,\x00\x17,MGN0023,String字符串（变长）,,ST_APPLY_DEPT,订货库房名称,,200,,
,\x00\x0E,MGN0014,Date日期型（yyyy-mm-dd）（10个字节）,,PUR_DATE,订货日期,,31,,
,\x00\x0A,MGN0010,String字符串（变长）,,DRUG_IN_NO,入库单号,弱关联,200,,
,\x00\x0B,MGN0011,String字符串（变长）,,DRUG_IN_DTL_NO,入库子单号,弱关联,200,,
,\x00\x04,MGN0004,String字符串（变长）,,DRUG_INFO_SN,库存项SN,强关联备用，弱关联时可不用编写该字段规则,200,是,是
,\x00\x05,MGN0005,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，库存项目字典的MDI0009，弱关联必须,200,是,是
,\x00\x0C,MGN0012,String字符串（变长）,,SC_SUPPLIER,供应商编码,,200,,
,\x00\x0D,MGN0013,String字符串（变长）,,ST_SUPPLIER,供应商名称,,200,,
,\x00\x10,MGN0016,Double双精度浮点型（8个字节）,,PRICE,单价,,38,,
,\x00\x14,MGN0020,Double双精度浮点型（8个字节）,,DELIV_QTY,实际交货数量,,38,,
,\x00\x13,MGN0019,Double双精度浮点型（8个字节）,,PUR_QTY,实际订货数量,,38,,
,\x00\x12,MGN0018,Double双精度浮点型（8个字节）,,REQ_QTY,请求订货数量,,38,,
,\x00\x0F,MGN0015,String字符串（变长）,,UNIT,单位,,200,,
,\x00\x11,MGN0017,Double双精度浮点型（8个字节）,,TOTAL_PRICE,总额,,38,,
,\x00\x15,MGN0021,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x07,MGN0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,31,是,是
,\x00\x18,MGN0024,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
