索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_PUR_PLAN,表全名,JHPDL:JH_DRUG_PUR_PLAN,,,,,,
,表说明,采购计划主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MGP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MGP0001,String字符串（变长）,,DRUG_PUR_PLAN_SN,采购计划唯一号,采购计划编号，系统生成二级编码，如“DX0.000.000.001”,20,是,是
,\x00\x02,MGP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MGP0003,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,MGP0005,String字符串（变长）,,PUR_PLAN_NO,采购计划单号,,200,是,是
,\x00\x06,MGP0006,Date日期型（yyyy-mm-dd）（10个字节）,,PUR_PLAN_DATE,计划日期,,31,是,是
,\x00\x07,MGP0007,String字符串（变长）,,SC_PLAN_EMP,计划制作人编码,,200,,
,\x00\x08,MGP0008,String字符串（变长）,,ST_PLANT_EMP,计划制作人名称,,200,,
,\x00\x0C,MGP0012,String字符串（变长）,,SC_APPLY_DEPT,申请科室编码,,200,,
,\x00\x0D,MGP0013,String字符串（变长）,,ST_APPLY_DEPT,申请科室名称,,200,,
,\x00\x09,MGP0009,Date日期型（yyyy-mm-dd）（10个字节）,,AUDIT_DATE,审核日期,,31,,
,\x00\x0A,MGP0010,String字符串（变长）,,SC_AUDIT_EMP,审核人编码,,200,,
,\x00\x0B,MGP0011,String字符串（变长）,,ST_AUDIT_EMP,审核人名称,,200,,
,\x00\x04,MGP0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,31,是,是
,\x00\x0E,MGP0014,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
