索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_DRUG_RET_DTL,表全名,JHPDL:JH_DRUG_RET_DTL,,,,,,
,表说明,药库退货明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MRD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MRD0001,String字符串（变长）,,DRUG_RET_DTL_SN,药库退货库明细唯一号,内部三级编码DZ0.000.000.001,20,是,是
,\x00\x02,MRD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MRD0003,String字符串（变长）,,DRUG_RETURN_SN,药库退货唯一号,来源JH_DRUG_RETURN的0001,20,是,是
,\x00\x04,MRD0004,String字符串（变长）,,DRUG_INFO_SN,库存项SN,强关联备用，弱关联时可不用编写该字段规则,200,是,是
,\x00\x05,MRD0005,String字符串（变长）,,DRUG_BATCH_SN,批次SN,强关联备用，弱关联时可不用编写该字段规则,200,是,是
,\x00\x06,MRD0006,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，库存项目字典的MDI0009，弱关联必须,200,是,是
,\x00\x07,MRD0007,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x08,MRD0008,String字符串（变长）,,BATCH_NO,库存项批次号,业务批号,200,是,是
,\x00\x09,MRD0009,String字符串（变长）,,SC_INVENTORY_ITM,库存项编码,药品编码,200,,
,\x00\x0A,MRD0010,String字符串（变长）,,ST_INVENTORY_ITM,库存项名称,药品名称,200,,
,\x00\x0B,MRD0011,String字符串（变长）,,MANUFACTURER,生产企业名称,,200,,
,\x00\x0C,MRD0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DRUG_IN_TIME,入库时间,该批次药品入库时间,31,,
,\x00\x0D,MRD0013,String字符串（变长）,,SC_STORAGE_ROOM,当前库房编码,,200,,
,\x00\x0E,MRD0014,String字符串（变长）,,ST_STORAGE_ROOM,当前库房名称,,200,,
,\x00\x0F,MRD0015,String字符串（变长）,,DRUG_RET_NO,退货单主单号,,200,是,是
,\x00\x10,MRD0016,String字符串（变长）,,DRUG_RET_SUB_NO,退货单明细子序号,,200,,
,\x00\x11,MRD0017,Double双精度浮点型（8个字节）,,DRUG_RET_NUM,退货数量,对应批号的数量,38,,
,\x00\x12,MRD0018,String字符串（变长）,,DRUG_RET_UNIT,单位,退货数量对应单位,200,,
,\x00\x13,MRD0019,Double双精度浮点型（8个字节）,,DRUG_RET_AMOUNT,退货金额,对应批号的金额,38,,
,\x00\x14,MRD0020,String字符串（变长）,,INVOICE_NO,发票号,,200,,
,\x00\x15,MRD0021,Date日期型（yyyy-mm-dd）（10个字节）,,INVOICE_DATE,发票日期,,31,,
,\x00\x16,MRD0022,Double双精度浮点型（8个字节）,,INVOICE_AMOUNT,发票金额,,38,,
,\x00\x17,MRD0023,String字符串（变长）,,REMARKS,备注,,4000,,
,\x00\x18,MRD0024,简化字典（Integer整型，4个字节）,379,SD_INVOICE_PAY,发票退款标志,//0-未退款 1-已退款,20,,
,\x00\x19,MRD0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x1A,MRD0026,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
