索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_EGY_HOSP,表全名,JHPDL:JH_EGY_HOSP,,,,,,
,表说明,急诊记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,EHR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,EHR0001,String字符串（变长）,,EMERGENCY_SN,急诊就诊编号,急诊就诊编号，系统生成二级编码，如“E00.000.001”,20,是,是
,\x00\x02,EHR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x05,EHR0005,String字符串（变长）,,PVID,患者基本信息主键,就诊编号,200,,
,\x00\x03,EHR0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x06,EHR0006,String字符串（变长）,,VISITID,就诊号,就诊次数,200,,
,\x00\x07,EHR0007,String字符串（变长）,,PATIENTID,患者唯一标识,患者院内HIS系统唯一编号,200,,
,\x00\x09,EHR0009,自定义字典类型，字符串（变长）,18,SEX,患者性别,,200,,
,\x00\x0A,EHR0010,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDATE,患者出生日期,,,,
,\x00\x23,EHR0035,Integer整型（4个字节）,,AGE,年龄,,,,
,\x00\x22,EHR0034,String字符串（变长）,,CARDNO,卡号,,200,,
,\x00\x0E,EHR0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REGISTERDT,挂号时间,,,,
,\x00\x0F,EHR0015,String字符串（变长）,,STATUS,状态信息,,200,,
,\x00\x13,EHR0019,自定义字典类型，字符串（变长）,,CHARGETYPE,费别,,200,,
,\x00\x10,EHR0016,String字符串（变长）,,REGISTERFROM,挂号来源,,200,,
,\x00\x11,EHR0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,VISITDATE,就诊时间,,,,
,\x00\x12,EHR0018,String字符串（变长）,,IDENTITY,患者身份,,200,,
,\x00\x08,EHR0008,String字符串（变长）,,PATIENTNAME,到达急诊时间,急诊开始时间,200,,
,\x00\x15,EHR0021,String字符串（变长）,,REGISTERNO,挂号编号,,200,,
,\x00\x14,EHR0020,Byte字节（1个字节）,,UPDATESIGN,是否已同步,,,,
,\x00\x04,EHR0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EMEY_TIME,到达急诊时间,急诊开始时间,19,是,是
,\x00\x1A,EHR0026,String字符串（变长）,,ORGANIZATION,组织机构,,200,,
,\x00\x1B,EHR0027,String字符串（变长）,,GREENROAD,绿色通道,,200,,
,\x00\x1C,EHR0028,String字符串（变长）,,SPECIALSIGN,特殊标识,,200,,
,\x00\x1D,EHR0029,String字符串（变长）,,BULKINJURYID,群伤编号,,200,,
,\x00\x1E,EHR0030,String字符串（变长）,,BEDNO,床号,,200,,
,\x00\x1F,EHR0031,String字符串（变长）,,ISBACKNUM,是否属于黑名单,,200,,
,\x00\x20,EHR0032,String字符串（变长）,,IDENTITYTYPETAG,身份类型,,200,,
,\x00\x16,EHR0022,String字符串（变长）,,INDENTITYNO,身份证号,,200,,
,\x00\x17,EHR0023,String字符串（变长）,,NATION,民族,,200,,
,\x00\x18,EHR0024,String字符串（变长）,,COUNTRY,国家,,200,,
,\x00\x19,EHR0025,String字符串（变长）,,PHOTO,照片,,200,,
,\x00\x0B,EHR0011,String字符串（变长）,,ADDRESS,患者住址,,200,,
,\x00\x0C,EHR0012,String字符串（变长）,,CONTECTPERSON,紧急联系人,,200,,
,\x00\x0D,EHR0013,String字符串（变长）,,CONTECTPHONE,联系人电话,,200,,
,\x00\x21,EHR0033,String字符串（变长）,,MAINCHIEF,主诉,,200,,
,\x00\x24,EHR0036,String字符串（变长）,,TID,分诊唯一标识,,200,,
,\x00\x25,EHR0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,RECORDDT,记录时间,,,,
,\x00\x26,EHR0038,String字符串（变长）,,SCORETYPE,评分类型,,200,,
,\x00\x27,EHR0039,String字符串（变长）,,SCOREVALUE,分值,,200,,
,\x00\x28,EHR0040,String字符串（变长）,,SCOREDESCRIPTION,评分描述,,200,,
,\x00\x29,EHR0041,String字符串（变长）,,SCORECONTENT,评分详细,,200,,
,\x00\x2A,EHR0042,String字符串（变长）,,OPERATOR,记录护士,,200,,
,\x00\x2B,EHR0043,String字符串（变长）,,RECORDTYPE,记录类型：是否是分诊,,200,,
,\x00\x2C,EHR0044,String字符串（变长）,,EMER_PAT_GRAD,急诊患者病情分级,Ⅰ级是濒危患者，Ⅱ级是危重患者，Ⅲ级是急症患者，Ⅳ级是非急症患者,200,,
,\x00\x2D,EHR0045,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EMER_ROOM_RESIDTIME,抢救室滞留时间,,19,,
,\x00\x2E,EHR0046,简化字典（Integer整型，4个字节）,,SD_ACUTE__MYOC_INFARC,是否急性心肌梗死患者,,5,,
,\x00\x2F,EHR0047,简化字典（Integer整型，4个字节）,,SD_THROM_DRUG_THER,是否行溶栓药物治疗,,5,,
,\x00\x30,EHR0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DOSING_TIME,门药时间(MIN),在溶栓药物时间窗（发病12小时）内，就诊的急性心肌梗死（STEMI）患者门药时间在30分钟内,19,,
,\x00\x31,EHR0049,简化字典（Integer整型，4个字节）,,SD_DOS_TIME_QUALIFIED,是否门药时间达标,,5,,
,\x00\x32,EHR0050,简化字典（Integer整型，4个字节）,,SD_EMER_PERC_CORO_INTER,是否行急诊经皮冠状动脉介入治疗(PCI),,5,,
,\x00\x33,EHR0051,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,GOALBALL_TIME,门球时间(MIN),急诊PCI的急性心肌梗死（STEMI）患者，从进入急诊科到开始PCI的平均时间,19,,
,\x00\x34,EHR0052,简化字典（Integer整型，4个字节）,,SD_GOAL_TIME_QUALIFIED,是否门球时间达标,,5,,
,\x00\x35,EHR0053,简化字典（Integer整型，4个字节）,,SD_ENTER_EMER_ROOM,是否进入急诊抢救室,,5,,
,\x00\x36,EHR0054,简化字典（Integer整型，4个字节）,,SD_72H_UNPLAN_RETURN_EMER,是否72小时内非计划重返急诊抢救室,,5,,
,\x00\x37,EHR0055,简化字典（Integer整型，4个字节）,,SD_CARD_RESU_SPON_RESP,是否心肺复苏术后自主呼吸循环恢复(ROSC)成功,,5,,
,\x00\x38,EHR0056,简化字典（Integer整型，4个字节）,,SD_EMER_RESP_CARD_ARREST,是否急诊呼吸心脏骤停患者行心肺复苏术,,5,,
,\x00\x39,EHR0057,简化字典（Integer整型，4个字节）,,SD_EMER_OPER_DISE_DIED,是否患者急诊手术无关原发疾病引起的死亡,,5,,
,\x00\x3A,EHR0058,简化字典（Integer整型，4个字节）,,SD_EMER_OPER,是否急诊手术,,5,,
,\x00\x3B,EHR0059,简化字典（Integer整型，4个字节）,,SD_PAT_EMER_RESC_72H_DIED,是否患者急诊抢救72小时内死亡,,5,,
,\x00\x3C,EHR0060,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
