索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_EXAM_APY_DTL,表全名,JHPDL:JH_EXAM_APY_DTL,,,,,,
,表说明,检查申请明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,EAD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,EAD0001,String字符串（变长）,,EXAM_APY_DTL_SN,检查申请明细编号,检查申请明细编号，系统生成三级编码，如“ED0.000.000.001”,20,是,是
,\x00\x02,EAD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,EAD0003,String字符串（变长）,,EXAM_APPLY_SN,检查申请单编号,检查申请单编号，来源JH_EXAM_APPLY的EAP0001,20,是,是
,\x00\x04,EAD0004,String字符串（变长）,,EXAM_DTL_CODE,检查明细项编码,,50,,
,\x00\x05,EAD0005,String字符串（变长）,,EXAM_DTL_ITEM,检查明细项名称,,200,,
,\x00\x07,EAD0007,String字符串（变长）,,EXAM_DTL_DESC,检查明细说明,,2000,,
,\x00\x06,EAD0006,String字符串（变长）,,EXAM_DTL_PART,检查部位,,500,,
,\x00\x08,EAD0008,String字符串（变长）,,EXAM_DTL_ORDER,关联医嘱主键,关联住院医嘱或门诊处方唯一键值,50,是,是
,\x00\x09,EAD0009,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0A,EAD0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0B,EAD0011,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
