索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_EXAM_APY_SCH,表全名,JHPDL:JH_EXAM_APY_SCH,,,,,,
,表说明,检查预约排期,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,EAS,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,EAS0001,String字符串（变长）,,EXAM_APY_SCH_SN,检查排期编号,检查申请明细编号，系统生成三级编码，如“ED0.000.000.001”,20,是,是
,\x00\x02,EAS0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,EAS0003,String字符串（变长）,,EXAM_APPLY_SN,检查申请单编号,检查申请单编号，来源JH_EXAM_APPLY的EAP0001,20,是,是
,\x00\x1B,EAS0027,自定义字典类型，字符串（变长）,400,EXAM_CLASS,检查类别,"检查类别，如“1#,#001#,#放射”",200,,
,\x00\x2F,EAS0047,简化字典（Integer整型，4个字节）,400,SD_EXAM_CLASS,检查类别,检查类别，中台标准字典，如“放射”,20,,
,\x00\x31,EAS0049,String字符串（变长）,,SC_EXAM_CLASS,检查类别编码,源业务系统的检查类别编码,200,是,是
,\x00\x32,EAS0050,String字符串（变长）,,ST_EXAM_CLASS,检查类别说明,源业务系统的检查类别描述,200,,
,\x00\x04,EAS0004,String字符串（变长）,,MSR_NO,影像号,,200,,
,\x00\x05,EAS0005,String字符串（变长）,,APPOINT_NO,预约号,,200,,
,\x00\x06,EAS0006,String字符串（变长）,,APT_TIME_INTERVAL,预约时段,,200,,
,\x00\x07,EAS0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXAM_APPOINT_DATE,预约检查日期,,31,是,是
,\x00\x08,EAS0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FIRST_EXAM_APT_TIME,预约检查最早时间,关联住院医嘱或门诊处方唯一键值,19,,
,\x00\x09,EAS0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_EXAM_APT_TIME,预约检查最晚时间,,19,,
,\x00\x0A,EAS0010,String字符串（变长）,,APPOINT_ADDR,预约检查地点,,200,,
,\x00\x0B,EAS0011,String字符串（变长）,,APPOINT_SORT_NO,预约排序号,,200,,
,\x00\x0C,EAS0012,String字符串（变长）,,APPOINT_DOCTOR,预约医师,,200,,
,\x00\x22,EAS0034,String字符串（变长）,,SC_APPOINT_DOCT,预约医师编码,,200,,
,\x00\x23,EAS0035,String字符串（变长）,,ST_APPOINT_DOCT,预约医师名称,,200,,
,\x00\x0D,EAS0013,String字符串（变长）,,APPOINT_PERFORM_DEPT,预约执行科室,,200,,
,\x00\x24,EAS0036,String字符串（变长）,,SC_APPO_PERF_DEPT,预约执行科室编码,,200,,
,\x00\x25,EAS0037,String字符串（变长）,,ST_APPO_PERF_DEPT,预约执行科室名称,,200,,
,\x00\x0E,EAS0014,String字符串（变长）,,APPOINT_EXAM_ROOM,预约检查室,,200,,
,\x00\x0F,EAS0015,String字符串（变长）,,APPOINT_EXAM_DEV,预约检查设备,,200,,
,\x00\x10,EAS0016,String字符串（变长）,,STAY_DEPT,病人科室,,200,,
,\x00\x26,EAS0038,String字符串（变长）,,SC_STAY_DEPT,病人科室编码,住院患者所在科室,200,是,是
,\x00\x27,EAS0039,String字符串（变长）,,ST_STAY_DEPT,病人科室名称,,200,,
,\x00\x11,EAS0017,String字符串（变长）,,APPOINTER,预约员,,200,,
,\x00\x3B,EAS0059,String字符串（变长）,,SC_APPOINT_EXAM_DEV,预约设备编码(ID),,,,
,\x00\x12,EAS0018,自定义字典类型，字符串（变长）,379,ADDNO_FLAG,是否加号,,200,,
,\x00\x28,EAS0040,简化字典（Integer整型，4个字节）,379,SD_ADDNO,是否加号,,20,,
,\x00\x33,EAS0051,String字符串（变长）,,SC_ADDNO,是否加号编码,源业务系统的是否加号编码,20,,
,\x00\x37,EAS0055,String字符串（变长）,,ST_ADDNO,是否加号描述,源业务系统的是否加号描述,20,,
,\x00\x13,EAS0019,自定义字典类型，字符串（变长）,379,SIGN_IN_FLAG,是否签到,,200,,
,\x00\x29,EAS0041,简化字典（Integer整型，4个字节）,379,SD_SIGN_IN,是否签到,,20,,
,\x00\x36,EAS0054,String字符串（变长）,,SC_SIGN_IN,是否签到编码,源业务系统的是否签到编码,20,,
,\x00\x3A,EAS0058,String字符串（变长）,,ST_SIGN_IN,是否签到描述,源业务系统的是否签到描述,20,,
,\x00\x14,EAS0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SIGN_IN_TIME,签到时间,,19,,
,\x00\x15,EAS0021,自定义字典类型，字符串（变长）,379,EXAM_FLAG,是否已检查,,200,,
,\x00\x2A,EAS0042,简化字典（Integer整型，4个字节）,379,SD_EXAM_END,是否已检查,,20,,
,\x00\x38,EAS0056,String字符串（变长）,,ST_EXAM_END,是否已检查描述,源业务系统的是否已检查描述,20,,
,\x00\x1D,EAS0029,自定义字典类型，字符串（变长）,379,FEE_FLAG,是否已收费,,200,,
,\x00\x30,EAS0048,简化字典（Integer整型，4个字节）,379,SD_FEE_END,是否已收费,,20,,
,\x00\x35,EAS0053,String字符串（变长）,,SC_FEE_END,是否已收费编码,源业务系统的是否已收费编码,20,,
,\x00\x39,EAS0057,String字符串（变长）,,ST_FEE_END,是否已收费描述,源业务系统的是否已收费描述,20,,
,\x00\x1C,EAS0028,String字符串（变长）,,EXAM_ITEM_DESC,检查项目,,500,,
,\x00\x16,EAS0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXAM_TIME,实际检查时间,,19,是,是
,\x00\x17,EAS0023,String字符串（变长）,,EXAM_DOCTOR,实际检查医师,,200,,
,\x00\x2B,EAS0043,String字符串（变长）,,SC_EXAM_DOCT,实际检查医师编码,,200,,
,\x00\x34,EAS0052,String字符串（变长）,,SC_EXAM_END,是否已检查编码,源业务系统的是否已检查编码,20,,
,\x00\x2C,EAS0044,String字符串（变长）,,ST_EXAM_DOCT,实际检查医师名称,,200,,
,\x00\x18,EAS0024,String字符串（变长）,,EXAM_DEPT,实际执行科室,,200,,
,\x00\x2D,EAS0045,String字符串（变长）,,SC_EXAM_DEPT,实际执行科室编码,,200,,
,\x00\x2E,EAS0046,String字符串（变长）,,ST_EXAM_DEPT,实际执行科室名称,,200,,
,\x00\x19,EAS0025,String字符串（变长）,,EXAM_ROOM,实际检查室,,200,,
,\x00\x1A,EAS0026,String字符串（变长）,,EXAM_DEVICE,实际检查设备,,200,,
,\x00\x1E,EAS0030,String字符串（变长）,,EXAM_SCH_NOTE,备注,,2000,,
,\x00\x1F,EAS0031,String字符串（变长）,,INPUT_EMP,登记人员,,200,,
,\x00\x20,EAS0032,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x21,EAS0033,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x3C,EAS0060,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
