索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_EXAM_REPORT,表全名,JHPDL:JH_EXAM_REPORT,,,,,,
,表说明,检查报告,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,ERT,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,ERT0001,String字符串（变长）,,EXAM_REPORT_SN,检查报告编号,检查报告编号，系统生成三级编码，如“ER0.000.000.001”,20,是,是
,\x00\x02,ERT0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,ERT0003,String字符串（变长）,,EXAM_APPLY_SN,检查申请单编号,检查申请单编号，来源JH_EXAM_APPLY的EAP0001,20,是,是
,\x00\x04,ERT0004,String字符串（变长）,,EXAM_REPORT_CODE,检查报告单号,业务系统使用的检查报告单号,200,是,是
,\x00\x05,ERT0005,String字符串（变长）,,EXAM_APPLY_CODE,检查申请单号,业务系统使用的检查申请单号,200,是,是
,\x00\x47,ERT0071,String字符串（变长）,,SC_ORDER_DOCT,申请医生编码,申请医生，源业务系统的医生工号,,,
,\x00\x48,ERT0072,String字符串（变长）,,ST_ORDER_DOCT,申请医生名称,申请医生，源业务系统的医生名称,,,
,\x00\x49,ERT0073,String字符串（变长）,,SC_ORDER_DEPT,申请科室编码,申请科室，源业务系统的科室编号,,,
,\x00\x4A,ERT0074,String字符串（变长）,,ST_ORDER_DEPT,申请科室名称,申请科室，源业务系统的科室描述,100,,
,\x00\x25,ERT0037,String字符串（变长）,,EXAM_ITEM_CODE,检查项目编码,检查项目编码,200,,
,\x00\x26,ERT0038,String字符串（变长）,,EXAM_ITEM_NAME,检查项目名称,检查项目名称,500,,
,\x00\x06,ERT0006,String字符串（变长）,,EXAM_PARA,检查参数,,200,,
,\x00\x07,ERT0007,String字符串（变长）,,EXAM_DESC,检查所见,,16000,,
,\x00\x08,ERT0008,String字符串（变长）,,EXAM_DIAG,检查诊断,,16000,,
,\x00\x09,ERT0009,String字符串（变长）,,EXAM_IMPR,印象,,200,,
,\x00\x0A,ERT0010,String字符串（变长）,,EXAM_RECOMM,建议,,4000,,
,\x00\x0B,ERT0011,自定义字典类型，字符串（变长）,379,ABNORMAL_FLAG,是否阳性,引用是否标记,200,,
,\x00\x28,ERT0040,简化字典（Integer整型，4个字节）,379,SD_ABNORMAL,是否阳性,引用是否标记,20,,
,\x00\x3D,ERT0061,String字符串（变长）,,SC_ABNORMAL,是否阳性编码,源业务系统是否阳性编码,20,,
,\x00\x41,ERT0065,String字符串（变长）,,ST_ABNORMAL,是否阳性描述,源业务系统是否阳性描述,20,,
,\x00\x0C,ERT0012,String字符串（变长）,,IMAGE_NO,报告图象编号,报告中图象涉及的编号、文件名等唯一号码,200,,
,\x00\x0D,ERT0013,String字符串（变长）,,IMAGE_URL,报告图象链接,报告中图象的访问地址URL,200,,
,\x00\x0E,ERT0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REPORT_TIME,出报告时间,报告结果发布日期及时间,19,是,是
,\x00\x0F,ERT0015,String字符串（变长）,,REPORT_DOCTOR,报告者,"报告结果发布人，人员编号＋名称，如“001#,#张三”",200,,
,\x00\x29,ERT0041,String字符串（变长）,,SC_REPORT_DOCT,报告者编码,报告结果发布人，源业务系统的人员工号,200,,
,\x00\x2A,ERT0042,String字符串（变长）,,ST_REPORT_DOCT,报告者名称,报告结果发布人，源业务系统的人员名称,200,,
,\x00\x37,ERT0055,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CREATE_TIME,报告生成时间,系统报告已出时间，但还未审核,31,,
,\x00\x10,ERT0016,String字符串（变长）,,REPORT_CHECK,报告审核者,"报告结果审核人，人员编号＋名称，如“001#,#张三”",200,,
,\x00\x2B,ERT0043,String字符串（变长）,,SC_REPORT_CHECK,报告审核者编码,报告结果审核人，源业务系统的人员工号,200,,
,\x00\x2C,ERT0044,String字符串（变长）,,ST_REPORT_CHECK,报告审核者名称,报告结果审核人，源业务系统的人员名称,200,,
,\x00\x1B,ERT0027,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,AUTH_TIME,审核时间,审核时间,19,,
,\x00\x17,ERT0023,自定义字典类型，字符串（变长）,402,REPORT_STATUS,报告状态,"报告状态，如“1#,#002#,#发布”（未检查、检查中、报告未审核、已发布、召回、再发布）",200,,
,\x00\x31,ERT0049,简化字典（Integer整型，4个字节）,402,SD_REPORT_STA,报告状态,,20,,
,\x00\x39,ERT0057,String字符串（变长）,,SC_REPORT_STA,报告状态编码,源业务系统的报告状态编码,200,是,是
,\x00\x3A,ERT0058,String字符串（变长）,,ST_REPORT_STA,报告状态描述,源业务系统的报告状态描述,200,,
,\x00\x1E,ERT0030,自定义字典类型，字符串（变长）,379,CANCEL_FLAG,是否作废,此报告是否被作废,200,,
,\x00\x33,ERT0051,简化字典（Integer整型，4个字节）,379,SD_CANCEL,是否作废,此报告是否被作废,20,,
,\x00\x3E,ERT0062,String字符串（变长）,,SC_CANCEL,是否作废编码,源业务系统是否作废编码,20,,
,\x00\x42,ERT0066,String字符串（变长）,,ST_CANCEL,是否作废描述,源业务系统作是否废描述,20,,
,\x00\x1F,ERT0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CANCEL_TIME,作废时间,,19,,
,\x00\x20,ERT0032,String字符串（变长）,,CANCEL_EMP,作废医生,,200,,
,\x00\x11,ERT0017,String字符串（变长）,,EXAM_ROOM,检查室,"实际检查室，科室编号＋名称，如“001#,#放射一室”",200,,
,\x00\x12,ERT0018,String字符串（变长）,,EXAM_DOCTOR,检查医师,"实际检查医师，人员编号＋名称，如“001#,#张三”",200,,
,\x00\x2D,ERT0045,String字符串（变长）,,SC_EXAM_DOCT,检查医师编码,实际检查医师，源业务系统的人员工号,200,,
,\x00\x2E,ERT0046,String字符串（变长）,,ST_EXAM_DOCT,检查医师名称,实际检查医师，源业务系统的人员名称,200,,
,\x00\x13,ERT0019,String字符串（变长）,,EXAM_DEVICE,使用仪器,实际检查使用仪器,200,,
,\x00\x14,ERT0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXAM_TIME,检查时间,实际检查的日期与时间,19,是,是
,\x00\x15,ERT0021,String字符串（变长）,,EXAM_PART,检查部位,,500,,
,\x00\x16,ERT0022,自定义字典类型，字符串（变长）,409,EXAM_METHOD,检查方法,,200,,
,\x00\x2F,ERT0047,简化字典（Integer整型，4个字节）,409,SD_EXAM_METHOD,检查方法简码,中体标准字典,20,,
,\x00\x38,ERT0056,String字符串（变长）,,SC_EXAM_METHOD,检查方法编码,源业务系统的检查方法编码,200,,
,\x00\x30,ERT0048,String字符串（变长）,,ST_EXAM_METHOD,检查方法描述,,500,,
,\x00\x1D,ERT0029,String字符串（变长）,,EXAM_ORDER_NO,检查序号,,50,,
,\x00\x21,ERT0033,String字符串（变长）,,EXAM_DEPT,检查执行科室,,200,,
,\x00\x34,ERT0052,String字符串（变长）,,SC_EXAM_DEPT,检查执行科室编码,,200,,
,\x00\x35,ERT0053,String字符串（变长）,,ST_EXAM_DEPT,检查执行科室名称,,200,,
,\x00\x3B,ERT0059,String字符串（变长）,,SC_EXAM_DEVICE,检查设备编号,,200,,
,\x00\x3C,ERT0060,String字符串（变长）,,ST_EXAM_DEVICE,检查设备名称,,200,,
,\x00\x23,ERT0035,自定义字典类型，字符串（变长）,379,CRISIS_FLAG,是否危急值,是否有危急值项目,200,,
,\x00\x36,ERT0054,简化字典（Integer整型，4个字节）,379,SD_CRISIS,是否危急值,是否有危急值项目,20,,
,\x00\x3F,ERT0063,String字符串（变长）,,SC_CRISIS,是否危急值编码,源业务系统是否危急值编码,20,,
,\x00\x43,ERT0067,String字符串（变长）,,ST_CRISIS,是否危急值描述,源业务系统是否危急值描述,20,,
,\x00\x19,ERT0025,自定义字典类型，字符串（变长）,379,SELF_PRINTED,是否自助打印,是否自助打印,200,,
,\x00\x32,ERT0050,简化字典（Integer整型，4个字节）,379,SD_SELF_PRINT,是否自助打印,是否自助打印,20,,
,\x00\x40,ERT0064,String字符串（变长）,,SC_SELF_PRINT,是否自助打印编码,源业务系统是否自助打印编码,20,,
,\x00\x44,ERT0068,String字符串（变长）,,ST_SELF_PRINT,是否自助打印描述,源业务系统是否自助打印描述,20,,
,\x00\x1A,ERT0026,Integer整型（4个字节）,,PRINT_NUM,打印次数,结果单已经打印的次数,20,,
,\x00\x1C,ERT0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRINT_LAST_TIME,最后打印时间,该结果单最后一次打印时间,19,,
,\x00\x45,ERT0069,String字符串（变长）,,SC_RT_RECORDER,报告记录人编码,编写报告记录的医技医师,100,,
,\x00\x46,ERT0070,String字符串（变长）,,ST_RT_RECORDER,报告记录人姓名,编写报告记录的医技医师,200,,
,\x00\x4B,ERT0075,String字符串（变长）,,SC_RIS_CHECK_OPER,登记人编码,为数据中心提供登记人信息,200,,
,\x00\x4C,ERT0076,String字符串（变长）,,ST_RIS_CHECK_OPER,登记人名称,为数据中心提供登记人信息,200,,
,\x00\x4D,ERT0077,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,RIS_CHECK_TIME,登记时间,为数据中心提供检查报告登记时间,19,,
,\x00\x18,ERT0024,String字符串（变长）,,REPORT_NOTE,备注,,4000,,
,\x00\x22,ERT0034,String字符串（变长）,,EXAM_ORG,检查机构,区分本院或者外院,200,,
,\x00\x24,ERT0036,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x27,ERT0039,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x4E,ERT0078,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,核对时间,核对时间,30,,
,\x00\x4F,ERT0079,String字符串（变长）,,CHECK_FLAG,核对标志,核对标志,10,,
,\x00\x51,ERT0081,String字符串（变长）,,SC_DEVICE_TYPE,设备类型编号,设备类型编号,,,
,\x00\x52,ERT0082,String字符串（变长）,,ST_DEVICE_TYPE,设备类型名称,设备类型名称,200,,
,\x00\x53,ERT0083,String字符串（变长）,,SC_EXAM_PART,部位编码,部位编码,,,
,\x00\x54,ERT0084,String字符串（变长）,,ST_EXAM_PART,部位名称,部位名称,,,
,\x00\x55,ERT0085,Integer整型（4个字节）,,IMG_COUNT,影像数量,影像数量,,,
,\x00\x50,ERT0080,String字符串（变长）,,DISTRI_STATUS,分发ID,分发ID,30,,
,\x00\x56,ERT0086,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x57,ERT0087,String字符串（变长）,,ORDER_LINK,关联医嘱,关联住院医嘱或门诊处方的唯一码,200,,
,\x00\x58,ERT0088,String字符串（变长）,,PATIENT_NAME,患者姓名,患者姓名,100,,
,\x00\x59,ERT0089,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,50,,
,\x00\x5A,ERT0090,String字符串（变长）,,SC_EXAM_CLASS,检查类别编码,检查类别编码,200,,
,\x00\x5B,ERT0091,String字符串（变长）,,ST_EXAM_CLASS,检查类别名称,检查类别名称,200,,
