索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_EXAM_RF_INX,表全名,JHPDL:JH_EXAM_RF_INX,,,,,,
,表说明,检查报告版式索引,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,ERF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,ERF0001,String字符串（变长）,,EXAM_RF_INX_SN,检查报告版式编号,检查报告版式文件索引编号，系统生成三级编码，如“EF0.000.000.001”,20,是,是
,\x00\x02,ERF0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,ERF0003,String字符串（变长）,,EXAM_REPORT_SN,检查报告编号,检查报告编号，来源JH_EXAM_REPORT的ERT0001,20,是,是
,\x00\x04,ERF0004,String字符串（变长）,,EXAM_RF_SHOW_NO,显示编号,用于检查报告版式文件的可显示编号,200,,
,\x00\x05,ERF0005,Integer整型（4个字节）,,EXAM_RF_ORDER_ID,顺序号,版式结果文件显示的顺序号（顺序自增量号）,20,,
,\x00\x06,ERF0006,String字符串（变长）,,EXAM_RF_GROUP,分组号,内容相同格式不同的，分组号一样,200,,
,\x00\x08,ERF0008,String字符串（变长）,,EXAM_RF_LINK_SN,版式文件编号,可以是版式文件唯一名称或编号等,200,,
,\x00\x09,ERF0009,String字符串（变长）,,EXAM_RF_LINK_URL,版式文件地址,可以是版式文件获取的URL地址，或详细的获得串等,500,,
,\x00\x0A,ERF0010,String字符串（变长）,,EXAM_RF_LINK_EXT,版式文件参数,用于从第三方获取版式文件的额外参数或扩展记录用,500,,
,\x00\x0C,ERF0012,String字符串（变长）,,LINK_PARA,版式处理参数,指定展示与处理（获取）第三方版式文件的程序需要用到的扩展参数,500,,
,\x00\x0D,ERF0013,String字符串（变长）,,EXAM_RF_CONTENT,内容关联号,如果有版式具体内容，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,200,是,是
,\x00\x0E,ERF0014,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0F,ERF0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x10,ERF0016,简化字典（Integer整型，4个字节）,439,SD_EXAM_RF_TYPE,版式文件格式,PDF、JPG等,20,,
,\x00\x11,ERF0017,简化字典（Integer整型，4个字节）,438,SD_LINK_APP,版式处理程序,指定展示与处理（获取）第三方版式文件的程序（与上面“版式文件编号、版式文件地址、版式文件参数”配合使用）,20,,
,\x00\x12,ERF0018,String字符串（变长）,,SC_EXAM_RF_TYPE,版式文件格式编码,源业务系统的版式文件格式编码,200,,
,\x00\x13,ERF0019,String字符串（变长）,,ST_EXAM_RF_TYPE,版式文件格式描述,源业务系统的版式文件格式描述,200,,
,\x00\x14,ERF0020,String字符串（变长）,,SC_LINK_APP,版式处理程序编码,源业务系统的版式处理程序编码,200,,
,\x00\x15,ERF0021,String字符串（变长）,,ST_LINK_APP,版式处理程序描述,源业务系统的版式处理程序描述,200,,
,\x00\x16,ERF0022,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x07,ERF0007,自定义字典类型，字符串（变长）,439,EXAM_RF_TYPE,版式文件格式,PDF、JPG等,200,,
,\x00\x0B,ERF0011,自定义字典类型，字符串（变长）,438,LINK_APP,版式处理程序,指定展示与处理（获取）第三方版式文件的程序（与上面“版式文件编号、版式文件地址、版式文件参数”配合使用）,200,,
