索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FEE_BL_DTL,表全名,JHPDL:JH_FEE_BL_DTL,,,,,,
,表说明,费用账单明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,PFD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,PFD0001,String字符串（变长）,,FEE_BL_DTL_SN,费用账单明细编号,费用账单明细编号，系统生成三级编码，如“PD0.000.000.001”,20,是,是
,\x00\x02,PFD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,PFD0003,String字符串（变长）,,FEE_BILL_SN,费用账单编号,费用账单编号，来源JH_FEE_BILL的PFB0001,20,是,是
,\x00\x04,PFD0004,String字符串（变长）,,BL_DTL_CODE,费用明细号,显示给患者看的费用明细编号,50,,
,\x00\x05,PFD0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BL_DTL_TIME,费用发生时间,,19,,
,\x00\x06,PFD0006,Integer整型（4个字节）,,BL_DTL_ORDER,费用显示顺序,费用项在账单中的排列顺序,20,,
,\x00\x07,PFD0007,Double双精度浮点型（8个字节）,,TOTAL_COST,总费用金额,如有退费发生需要更新总费用和其他对应的费用,38,,
,\x00\x08,PFD0008,Double双精度浮点型（8个字节）,,SELF_COST,自费金额,,38,,
,\x00\x09,PFD0009,Double双精度浮点型（8个字节）,,SOC_INS_COST,医保金额,,38,,
,\x00\x0A,PFD0010,Double双精度浮点型（8个字节）,,BUS_INS_COST,商业保险金额,,38,,
,\x00\x0B,PFD0011,Double双精度浮点型（8个字节）,,OTHER_INS_COST,其它付费金额,,38,,
,\x00\x0C,PFD0012,Double双精度浮点型（8个字节）,,REDUCED_COST,减免金额,,38,,
,\x00\x0D,PFD0013,String字符串（变长）,,REDUCED_CAUSE,减免原因,,500,,
,\x00\x0E,PFD0014,Double双精度浮点型（8个字节）,,EXPECT_COST,项目定价,项目原定价,38,,
,\x00\x10,PFD0016,Double双精度浮点型（8个字节）,,PAY_TOTAL,实际结算总额,,38,,
,\x00\x11,PFD0017,Double双精度浮点型（8个字节）,,PAY_SELF,实际自费金额,,38,,
,\x00\x12,PFD0018,Double双精度浮点型（8个字节）,,PAY_SOC_INS,实际医保金额,,38,,
,\x00\x13,PFD0019,Double双精度浮点型（8个字节）,,PAY_BUS_INS,实际商保金额,,38,,
,\x00\x14,PFD0020,Double双精度浮点型（8个字节）,,PAY_OTHER_INS,实际其它付费金额,,38,,
,\x00\x15,PFD0021,String字符串（变长）,,LINK_ORDER,关联医嘱号,该费用关联医嘱项唯一编号,200,是,是
,\x00\x16,PFD0022,String字符串（变长）,,LINK_ORDER_TAB,关联医嘱表,该费用关联的医嘱项在那张表保存,200,,
,\x00\x17,PFD0023,String字符串（变长）,,LINK_REMARK,关联说明,该费用关联的医嘱说明，如把对应的医嘱内容写入，不需要关联再读取医嘱信息,500,,
,\x00\x19,PFD0025,Double双精度浮点型（8个字节）,,REFUND_TOTAL,退费总额,,38,,
,\x00\x1A,PFD0026,Double双精度浮点型（8个字节）,,REFUND_SELF,自费退费金额,,38,,
,\x00\x1B,PFD0027,Double双精度浮点型（8个字节）,,REFUND_SOC_INS,医保退费金额,,38,,
,\x00\x1C,PFD0028,Double双精度浮点型（8个字节）,,REFUND_BUS_INS,商保退费金额,,38,,
,\x00\x1D,PFD0029,Double双精度浮点型（8个字节）,,REFUND_OTHER_INS,其它付费退费金额,,38,,
,\x00\x1E,PFD0030,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_PAY_TIME,最后结算时间,,19,,
,\x00\x1F,PFD0031,String字符串（变长）,,CHARGE_CODE,费用项目编码,,200,,
,\x00\x20,PFD0032,String字符串（变长）,,CHARGE_NAME,费用项目名称,,200,,
,\x00\x21,PFD0033,String字符串（变长）,,APPLY_DETP,开单科室,,200,,
,\x00\x22,PFD0034,String字符串（变长）,,APPLY_OPERA,申请人                                  ,,200,,
,\x00\x23,PFD0035,String字符串（变长）,,EXEC_DEPT,执行科室,,200,,
,\x00\x24,PFD0036,String字符串（变长）,,CHARGE_TYPE,项目类别,,200,,
,\x00\x25,PFD0037,Double双精度浮点型（8个字节）,,CHARGE_AMOUNT,数量,,38,,
,\x00\x26,PFD0038,String字符串（变长）,,CHARGE_UNIT,单位,,50,,
,\x00\x27,PFD0039,String字符串（变长）,,CHARGE_STATE,费用状态,费用状态描述,50,,
,\x00\x28,PFD0040,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,INPUT_TIME,录入时间,,19,,
,\x00\x29,PFD0041,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x2A,PFD0042,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x2B,PFD0043,简化字典（Integer整型，4个字节）,379,SD_REFUND,是否退费,,20,,
,\x00\x2C,PFD0044,简化字典（Integer整型，4个字节）,379,SD_IS_PAY,是否结算,,20,,
,\x00\x2D,PFD0045,String字符串（变长）,,MAIN_ORDER_NO,长期医嘱主医嘱ID号,长期医嘱为滚医嘱方式时，对应的主医嘱ID号,100,,是
,\x00\x2E,PFD0046,String字符串（变长）,,SC_BILL_USER,计费人工号,收费项目的计费人的工号,200,,
,\x00\x2F,PFD0047,String字符串（变长）,,ST_BILL_USER,计费人名称,收费项目的计费人的名称,200,,
,\x00\x30,PFD0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHARGE_CONFIRM_TIME,计费审核时间,,,,
,\x00\x31,PFD0049,String字符串（变长）,,SC_CHARGE_CONFIRMER,计费审核人编码,,50,,
,\x00\x32,PFD0050,String字符串（变长）,,ST_CHARGE_CONFIRMER,计费审核人名称,,50,,
,\x00\x33,PFD0051,String字符串（变长）,,SC_TAR_GCDR,收费大类编码,,50,,
,\x00\x34,PFD0052,String字符串（变长）,,SC_TAR_SCDR,收费子分类编码,,50,,
,\x00\x35,PFD0053,String字符串（变长）,,SC_ARCIGDR,医嘱大类编码,,50,,
,\x00\x36,PFD0054,String字符串（变长）,,SC_ARCICDR,医嘱子类编码,,50,,
,\x00\x37,PFD0055,String字符串（变长）,,SC_ARCBGDR,帐单大类编码,,50,,
,\x00\x38,PFD0056,String字符串（变长）,,SC_ARCBSDR,帐单子类编码,,50,,
,\x00\x39,PFD0057,String字符串（变长）,,SC_PHCCDR,药学大类编码,,50,,
,\x00\x3A,PFD0058,String字符串（变长）,,SC_PHCSCDR,药学子类编码,,50,,
,\x00\x3B,PFD0059,String字符串（变长）,,SC_TAR_AGCDR,会计大类编码,,50,,
,\x00\x3C,PFD0060,String字符串（变长）,,SC_TAR_ACDR,会计子类编码,,50,,
,\x00\x3D,PFD0061,String字符串（变长）,,SC_TAR_EGCDR,核算大类编码,,50,,
,\x00\x3E,PFD0062,String字符串（变长）,,SC_TAR_ECDR,核算子类编码,,50,,
,\x00\x3F,PFD0063,String字符串（变长）,,SC_TAR_IGCDR,住院大类编码,,50,,
,\x00\x40,PFD0064,String字符串（变长）,,SC_TAR_ICDR,住院子类编码,,50,,
,\x00\x41,PFD0065,String字符串（变长）,,SC_TAR_MGCDR,病案大类编码,,50,,
,\x00\x42,PFD0066,String字符串（变长）,,SC_TAR_MCDR,病案子类编码,,50,,
,\x00\x43,PFD0067,String字符串（变长）,,SC_TAR_OUTGDR,门诊大类编码,,50,,
,\x00\x44,PFD0068,String字符串（变长）,,SC_TAR_OUTDR,门诊子类编码,,50,,
,\x00\x45,PFD0069,String字符串（变长）,,ST_TAR_GCDR,收费大类说明,,50,,
,\x00\x46,PFD0070,String字符串（变长）,,ST_TAR_SCDR,收费子分类说明,,50,,
,\x00\x47,PFD0071,String字符串（变长）,,ST_ARCIGDR,医嘱大类说明,,50,,
,\x00\x48,PFD0072,String字符串（变长）,,ST_ARCICDR,医嘱子类说明,,50,,
,\x00\x49,PFD0073,String字符串（变长）,,ST_ARCBGDR,帐单大类说明,,50,,
,\x00\x4A,PFD0074,String字符串（变长）,,ST_ARCBSDR,帐单子类说明,,50,,
,\x00\x4B,PFD0075,String字符串（变长）,,ST_PHCCDR,药学大类说明,,50,,
,\x00\x4C,PFD0076,String字符串（变长）,,ST_PHCSCDR,药学子类说明,,50,,
,\x00\x4D,PFD0077,String字符串（变长）,,ST_TAR_AGCDR,会计大类说明,,50,,
,\x00\x4E,PFD0078,String字符串（变长）,,ST_TAR_ACDR,会计子类说明,,50,,
,\x00\x4F,PFD0079,String字符串（变长）,,ST_TAR_EGCDR,核算大类说明,,50,,
,\x00\x50,PFD0080,String字符串（变长）,,ST_TAR_ECDR,核算子类说明,,50,,
,\x00\x51,PFD0081,String字符串（变长）,,ST_TAR_IGCDR,住院大类说明,,50,,
,\x00\x52,PFD0082,String字符串（变长）,,ST_TAR_ICDR,住院子类说明,,50,,
,\x00\x53,PFD0083,String字符串（变长）,,ST_TAR_MGCDR,病案大类说明,,50,,
,\x00\x54,PFD0084,String字符串（变长）,,ST_TAR_MCDR,病案子类说明,,50,,
,\x00\x55,PFD0085,String字符串（变长）,,ST_TAR_OUTGDR,门诊大类说明,,50,,
,\x00\x56,PFD0086,String字符串（变长）,,ST_TAR_OUTDR,门诊子类说明,,50,,
,\x00\x57,PFD0087,简化字典（Integer整型，4个字节）,379,SD_YB_FLAG,是否医保,,,,
,\x00\x58,PFD0088,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x0F,PFD0015,自定义字典类型，字符串（变长）,379,PLAY_FLAG,结算标记,,200,,
,\x00\x18,PFD0024,自定义字典类型，字符串（变长）,379,REFUND_FLAG,退费标记,,200,,
