索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FEE_PAY,表全名,JHPDL:JH_FEE_PAY,,,,,,
,表说明,费用结算记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,PFP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,PFP0001,String字符串（变长）,,FEE_PAY_SN,费用结算编号,费用结算编号，系统生成三级编码，如“PP0.000.000.001”,20,是,是
,\x00\x02,PFP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,PFP0003,String字符串（变长）,,FEE_BILL_SN,费用账单编号,费用账单编号，来源JH_FEE_BILL的PFB0001,20,是,是
,\x00\x0B,PFP0011,String字符串（变长）,,LINK_BILL,账单号,费用账单上的编号（纸质的）,100,,
,\x00\x09,PFP0009,自定义字典类型，字符串（变长）,383,COST_TYPE,账单类型,与就诊类型一致，表示是什么类型的费用，如门诊、住院,200,,
,\x00\x15,PFP0021,简化字典（Integer整型，4个字节）,383,SD_COST_TYPE,账单类型简码,与就诊类型一致，表示是什么类型的费用，如门诊、住院,20,,
,\x00\x16,PFP0022,String字符串（变长）,,ST_COST_TYPE,账单类型描述,,500,,
,\x00\x1C,PFP0028,String字符串（变长）,,SC_COST_TYPE,账单类型编码,源业务系统的就诊类型编码,200,,
,\x00\x0C,PFP0012,Double双精度浮点型（8个字节）,,BILL_COST,账单总金额,关联费用账单上的总金额,38,,
,\x00\x08,PFP0008,String字符串（变长）,,OPERATOR_NAME,操作人员,编码＋名称,200,,
,\x00\x19,PFP0025,String字符串（变长）,,SC_OPERATOR,操作人员编码,,200,,
,\x00\x1A,PFP0026,String字符串（变长）,,ST_OPERATOR,操作人员名称,,200,,
,\x00\x04,PFP0004,String字符串（变长）,,POSTRANS_NO,结算交易号,,200,,
,\x00\x05,PFP0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FEE_PAY_TIME,结算时间,,19,,
,\x00\x07,PFP0007,自定义字典类型，字符串（变长）,242,PAY_TYPE,结算方式,结算方式：现金、微信、网银、支付宝、银行卡、社保、商业保险、其它,200,,
,\x00\x13,PFP0019,简化字典（Integer整型，4个字节）,242,SD_PAY_TYPE,结算方式简码,结算方式：现金、微信、网银、支付宝、银行卡、社保、商业保险、其它,20,,
,\x00\x14,PFP0020,String字符串（变长）,,ST_PAY_TYPE,结算方式描述,,500,,
,\x00\x1B,PFP0027,String字符串（变长）,,SC_PAY_TYPE,结算方式编码,源业务系统的结算方式编码,200,,
,\x00\x06,PFP0006,Double双精度浮点型（8个字节）,,TOTAL_PAY,结算金额,如果是退费，使用负数,38,,
,\x00\x1D,PFP0029,Double双精度浮点型（8个字节）,,SELF_PAY,个人支付金额,,,,
,\x00\x1E,PFP0030,Double双精度浮点型（8个字节）,,SOC_INS_ACC_PAY,医保账户支付金额,医保卡账户支付金额,,,
,\x00\x1F,PFP0031,Double双精度浮点型（8个字节）,,SOC_INS_PAY,医保基金支付金额,,,,
,\x00\x10,PFP0016,String字符串（变长）,,FEE_PAY_REMARK,结算备注,,2000,,
,\x00\x0D,PFP0013,自定义字典类型，字符串（变长）,379,INVOICE_FLAG,开发票标记,,200,,
,\x00\x18,PFP0024,简化字典（Integer整型，4个字节）,379,SD_INVOICE,是否开发票,,20,,
,\x00\x21,PFP0033,String字符串（变长）,,SC_INVOICE_STATE,发票状态编码,,10,,
,\x00\x20,PFP0032,String字符串（变长）,,ST_INVOICE_STATE,发票状态说明,,20,,
,\x00\x0E,PFP0014,String字符串（变长）,,INVOICE_CODE,发票编号,开具的发票编号,100,,
,\x00\x0F,PFP0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,INVOICE_TIME,开发票时间,,19,,
,\x00\x0A,PFP0010,自定义字典类型，字符串（变长）,379,REFUND_FLAG,退费标记,,200,,
,\x00\x17,PFP0023,简化字典（Integer整型，4个字节）,379,SD_REFUND,是否退费,,20,,
,\x00\x22,PFP0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REFUND_TIME,退费时间,,,,
,\x00\x11,PFP0017,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,是,是
,\x00\x12,PFP0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x23,PFP0035,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
