索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FILE_CONTENT,表全名,JHPDL:JH_FILE_CONTENT,,,,,,
,表说明,流式数据或文件内容记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,FBC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,FBC0001,String字符串（变长）,,FILE_SN_CODE,文件唯一号,文件或流数据的唯一号，系统生成三级编码，如“FC0.000.000.001”,20,是,是
,\x00\x02,FBC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,FBC0003,Long长整型（8个字节）,,FILE_SIZE,文件大小,,20,是,是
,\x00\x08,FBC0008,String字符串（变长）,,LINK_PARA,展示处理参数,指定展示与处理的程序所需要的输入参数,500,,
,\x00\x0B,FBC0011,简化字典（Integer整型，4个字节）,439,SD_FILE_TYPE,文件格式,PDF、JPG等,20,,
,\x00\x0C,FBC0012,简化字典（Integer整型，4个字节）,438,SD_LINK_APP,展示处理程序,指定展示与处理的程序,20,,
,\x00\x0D,FBC0013,String字符串（变长）,,SC_FILE_TYPE,文件格式编码,源业务系统的文件格式编码,200,,
,\x00\x0E,FBC0014,String字符串（变长）,,ST_FILE_TYPE,文件格式描述,源业务系统的文件格式描述,200,,
,\x00\x0F,FBC0015,String字符串（变长）,,SC_LINK_APP,展示处理程序编码,源业务系统的展示处理程序编码,200,,
,\x00\x10,FBC0016,String字符串（变长）,,ST_LINK_APP,展示处理程序描述,源业务系统的展示处理程序描述,200,,
,\x00\x05,FBC0005,Blob字节流（变长）,,FILE_CONTENT,文件内容,,16000,,
,\x00\x04,FBC0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_UPDATE,最后更新时间,,31,是,是
,\x00\x09,FBC0009,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0A,FBC0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x11,FBC0017,Blob字节流（变长）,,FILE_MEDIA,文件图片 ,文件图片 （辅助字段，当一个病历分为两个部分组成时可以考虑使用这个字段）,,,
,\x00\x12,FBC0018,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x13,FBC0019,String字符串（变长）,,HIS_PAT_ID,患者业务唯一号,院内来源业务系统业务流通的患者唯一编号,100,,
,\x00\x14,FBC0020,String字符串（变长）,,HIS_VIS_ID,就诊业务唯一号,院内来源业务系统业务流通的就诊唯一编号,100,,
,\x00\x06,FBC0006,自定义字典类型，字符串（变长）,439,FILE_TYPE,文件格式,PDF、JPG等,200,,
,\x00\x07,FBC0007,自定义字典类型，字符串（变长）,438,LINK_APP,展示处理程序,指定展示与处理的程序,200,,
