索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FIRST_PAGE,表全名,JHPDL:JH_FIRST_PAGE,,,,,,
,表说明,住院病案首页（编目后）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFP0001,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，系统生成三级编码，如“FR0.000.000.001”,20,是,是
,\x00\x02,IFP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFP0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x04,IFP0004,String字符串（变长）,,PATIENT_NAME,患者姓名,患者姓名,200,,
,\x00\x05,IFP0005,String字符串（变长）,,ALIAS_NAME,别名,别名,200,,
,\x00\x07,IFP0007,Date日期型（yyyy-mm-dd）（10个字节）,,DATE_OF_BIRTH,出生日期,出生日期,19,,
,\x00\x09,IFP0009,String字符串（变长）,,BIRTH_PLACE,出生地点,出生地点,200,,
,\x00\x0B,IFP0011,Byte字节（1个字节）,,MULTI_BIRTH_ORDER,双胞胎顺序,双胞胎顺序,3,,
,\x00\x0E,IFP0014,Byte字节（1个字节）,,BABY_NUMBER,携带婴儿数,携带婴儿数量,3,,
,\x00\x10,IFP0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DEATH_TIME,死亡时间,死亡时间,19,,
,\x00\x13,IFP0019,String字符串（变长）,,DISABILITY_CODE,残疾码,残疾码,200,,
,\x00\x16,IFP0022,String字符串（变长）,,NATIVE_PROVINCE,籍贯,籍贯,200,,
,\x00\x18,IFP0024,Date日期型（yyyy-mm-dd）（10个字节）,,WORK_TIME,参加工作时间,参加工作时间,19,,
,\x00\x19,IFP0025,String字符串（变长）,,BUSINESS_PHONE_PHONE,单位电话,单位电话,500,,
,\x00\x1A,IFP0026,String字符串（变长）,,HOME_PHONE,家庭电话,家庭电话,500,,
,\x00\x1B,IFP0027,String字符串（变长）,,OTHER_PHONE,其他电话,其他电话,500,,
,\x00\x1C,IFP0028,String字符串（变长）,,MOBILE,手机,手机,500,,
,\x00\x1D,IFP0029,String字符串（变长）,,POSTCODE,邮编,邮编,50,,
,\x00\x1E,IFP0030,String字符串（变长）,,MAILING_ADDR_PROVINCE,联系地址省份,联系地址省份,200,,
,\x00\x1F,IFP0031,String字符串（变长）,,MAILING_ADDR_CITY,联系地址地市,联系地址地市,200,,
,\x00\x20,IFP0032,String字符串（变长）,,MAILING_ADDR_COUNTY,联系地址区县,联系地址区县,200,,
,\x00\x21,IFP0033,String字符串（变长）,,MAILING_ADDR_STREET,联系地址街道,联系地址街道,200,,
,\x00\x22,IFP0034,String字符串（变长）,,MAILING_ADDRESS,联系详细地址,联系详细地址,500,,
,\x00\x23,IFP0035,String字符串（变长）,,FAMILY_ADDR_PROVINCE,户籍所在地省份,户籍所在地省份,200,,
,\x00\x24,IFP0036,String字符串（变长）,,FAMILY_ADDR_CITY,户籍所在地地市,户籍所在地地市,200,,
,\x00\x25,IFP0037,String字符串（变长）,,FAMILY_ADDR_COUNTY,户籍所在地区县,户籍所在地区县,200,,
,\x00\x26,IFP0038,String字符串（变长）,,FAMILY_ADDRESS,户籍详细地址,户籍详细地址,500,,
,\x00\x27,IFP0039,String字符串（变长）,,EMPLOYER_COMPANY,工作单位名称,工作单位名称,200,,
,\x00\x28,IFP0040,String字符串（变长）,,EMPLOYER_POSTCODE,工作单位邮编,工作单位邮编,200,,
,\x00\x29,IFP0041,String字符串（变长）,,EMPLOYER_ADDRESS,工作单位地址,工作单位地址,500,,
,\x00\x2A,IFP0042,String字符串（变长）,,NEXT_OF_KIN,联系人,联系人,200,,
,\x00\x2C,IFP0044,String字符串（变长）,,NEXT_OF_KIN_PHONE,联系人电话,联系人电话,500,,
,\x00\x2D,IFP0045,String字符串（变长）,,NEXT_OF_KIN_POST,联系人邮编,联系人邮编,200,,
,\x00\x2E,IFP0046,String字符串（变长）,,NEXT_OF_KIN_ADDR,联系人地址,联系人地址,500,,
,\x00\x2F,IFP0047,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REGISTRATION_TIME,首次登记时间,首次登记时间,19,,
,\x00\x30,IFP0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_UPDATE,最后更新时间,最后更新时间,31,,
,\x00\x38,IFP0056,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,200,,
,\x00\x39,IFP0057,String字符串（变长）,,SSN_NO,社保号,国家社保号码,200,,
,\x00\x3A,IFP0058,String字符串（变长）,,HEALTH_CARD_NO,健康卡号,国家健康卡号码,200,,
,\x00\x3B,IFP0059,String字符串（变长）,,SOLDIER_NO,军人证号,军人证件号码,200,,
,\x00\x3C,IFP0060,String字符串（变长）,,PASSPORT_NO,护照号,外国人护照号码,200,,
,\x00\x3D,IFP0061,String字符串（变长）,,HK_MO_NO,港澳通行号,港澳通行证号码,200,,
,\x00\x3E,IFP0062,String字符串（变长）,,TW_NO,台湾通行号,台湾通行证号码,200,,
,\x00\x3F,IFP0063,String字符串（变长）,,INSURANCE_NO,商业保险号,商业医疗保险号码,200,,
,\x00\x40,IFP0064,String字符串（变长）,,BANK_NO,银行卡号,银行信用、储蓄卡号码,200,,
,\x00\x41,IFP0065,String字符串（变长）,,VISIT_CARD_NO,就诊卡号,院内就诊卡号码,200,,
,\x00\x42,IFP0066,String字符串（变长）,,CASE_NO,病案号,院内病案号,200,,
,\x00\x43,IFP0067,String字符串（变长）,,INP_NO,住院号,院内住院号,200,,
,\x00\x44,IFP0068,String字符串（变长）,,MSR_NO,放射号,院内放射科号码,200,,
,\x00\x45,IFP0069,String字符串（变长）,,OUTP_NO,门诊号,院内门诊号,200,,
,\x00\x46,IFP0070,String字符串（变长）,,PLS_NO,病理号,院内病理号,200,,
,\x00\x47,IFP0071,Integer整型（4个字节）,,VISIT_NUM,住院次数,该患者第几次住院,6,,
,\x00\x48,IFP0072,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ADMISSION_TIME,入院时间,患者入院的日期与时间,19,是,是
,\x00\x53,IFP0083,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISCHARGE_TIME,出院时间,患者出院的日期与时间,19,是,是
,\x00\x5F,IFP0095,String字符串（变长）,,DOCTOR_STUDIES,进修医生,编号＋名称,200,,
,\x00\x60,IFP0096,String字符串（变长）,,DOCTOR_OF_GRADUATE,实习医生,编号＋名称,200,,
,\x00\x61,IFP0097,String字符串（变长）,,DOCTOR_OUT,门诊医师,编号＋名称,200,,
,\x00\x63,IFP0099,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CATALOG_TIME,编目时间,,19,,
,\x00\x66,IFP0102,Short短整型（2个字节）,,CURRENT_AGE,入院年龄,大于1岁的患者，入院时候的年龄,6,,
,\x00\x67,IFP0103,Double双精度浮点型（8个字节）,,BODY_WEIGHT,入院体重,入院时患者体重（千克）,6,,
,\x00\x68,IFP0104,Double双精度浮点型（8个字节）,,BODY_HEIGHT,入院身高,入院时患者身高（厘米）,6,,
,\x00\x69,IFP0105,Short短整型（2个字节）,,BABY_DAYS,新生儿年龄,小于1岁的新生儿患者，入院时候的出生天数,6,,
,\x00\x6A,IFP0106,Double双精度浮点型（8个字节）,,BABY_WEIGHT,新生儿体重,小于1岁的新生儿患者，入院时候的体重（克）,6,,
,\x00\x6B,IFP0107,Double双精度浮点型（8个字节）,,BABY_HEIGHT,新生儿身高,小于1岁的新生儿患者，入院时候的身高（厘米）,6,,
,\x00\x6C,IFP0108,String字符串（变长）,,ALLERGY_NOTE,过敏描述,描述出过敏源，如药物、食物、植物、动物等过敏源,4000,,
,\x00\x6D,IFP0109,Short短整型（2个字节）,,IN_HOSP_DAYS,实际住院天数,,6,,
,\x00\x6E,IFP0110,Short短整型（2个字节）,,EMER_TREAT_TIMES,抢救次数,,6,,
,\x00\x6F,IFP0111,Short短整型（2个字节）,,EMER_TREAT_SUC,抢救成功次数,,6,,
,\x00\x70,IFP0112,Short短整型（2个字节）,,NURS_SP_LV_DAYS,特级护理天数,,6,,
,\x00\x71,IFP0113,Short短整型（2个字节）,,NURS_FI_LV_DAYS,一级护理天数,,6,,
,\x00\x72,IFP0114,Short短整型（2个字节）,,NURS_SE_LV_DAYS,二级护理天数,,6,,
,\x00\x73,IFP0115,Short短整型（2个字节）,,NURS_TH_LV_DAYS,三级护理天数,,6,,
,\x00\x74,IFP0116,Short短整型（2个字节）,,SERIOUS_COND_DAYS,病重天数,,6,,
,\x00\x75,IFP0117,Short短整型（2个字节）,,CRITICAL_COND_DAYS,病危天数,,6,,
,\x00\x76,IFP0118,Short短整型（2个字节）,,ICU_DAYS,ICU天数,,6,,
,\x00\x77,IFP0119,Short短整型（2个字节）,,CCU_DAYS,CCU天数,,6,,
,\x00\x78,IFP0120,String字符串（变长）,,DEATH_REASON,死亡原因,,4000,,
,\x00\x79,IFP0121,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DEATH_DATE_TIME,死亡时间,,31,,
,\x00\x7B,IFP0123,Short短整型（2个字节）,,BLOOD_TRAN_TIMES,输血次数,,6,,
,\x00\x7C,IFP0124,String字符串（变长）,,BLOOD_TRAN_VOL,输血总量,,50,,
,\x00\x7D,IFP0125,Short短整型（2个字节）,,BLOOD_TRAN_REACT_TIMES,输血反应次数,,6,,
,\x00\x7E,IFP0126,Short短整型（2个字节）,,INFUSION_REACT_TIMES,输液反应次数,,6,,
,\x00\x7F,IFP0127,Short短整型（2个字节）,,DECUBITAL_ULCER_TIMES,发生褥疮次数,,6,,
,\x00\x80,IFP0128,Short短整型（2个字节）,,ADVERSE_REACT_DRUGS,药物不良反应次数,,6,,
,\x00\x82,IFP0130,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,MR_RECE_TIME,病案归档时间,,19,,
,\x00\x83,IFP0131,String字符串（变长）,,MR_RECE_EMP,病案归档人员,,200,,
,\x00\x84,IFP0132,Double双精度浮点型（8个字节）,,MR_SCORE,病案评分,,6,,
,\x00\x85,IFP0133,String字符串（变长）,,MR_VALUE,病案价值,,500,,
,\x00\x86,IFP0134,String字符串（变长）,,MR_QUALITY,病案质量,,500,,
,\x00\x87,IFP0135,String字符串（变长）,,MRQC_DOCTOR,环节质控医生,,200,,
,\x00\x88,IFP0136,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,MRQC_TIME,环节质控时间,,19,,
,\x00\x89,IFP0137,String字符串（变长）,,FIN_MRQC_DOCTOR,终末质控医生,,200,,
,\x00\x8A,IFP0138,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FIN_MRQC_TIME,终末质控时间,,19,,
,\x00\x8B,IFP0139,Double双精度浮点型（8个字节）,,FEE_TOTAL,总费用,,38,,
,\x00\x8C,IFP0140,Double双精度浮点型（8个字节）,,FEE_DRUG,西药费,,38,,
,\x00\x8D,IFP0141,Double双精度浮点型（8个字节）,,FEE_CN_PT_DRUG,中成药费,,38,,
,\x00\x8E,IFP0142,Double双精度浮点型（8个字节）,,FEE_CN_HB_DRUG,中草药费,,38,,
,\x00\x8F,IFP0143,Double双精度浮点型（8个字节）,,FEE_BED,床位费,,38,,
,\x00\x90,IFP0144,Double双精度浮点型（8个字节）,,FEE_MED_TREAT,诊疗费,,38,,
,\x00\x91,IFP0145,Double双精度浮点型（8个字节）,,FEE_EXAM,检查费,,38,,
,\x00\x92,IFP0146,Double双精度浮点型（8个字节）,,FEE_LAB,化验费,,38,,
,\x00\x93,IFP0147,Double双精度浮点型（8个字节）,,FEE_TREAT,治疗费,,38,,
,\x00\x94,IFP0148,Double双精度浮点型（8个字节）,,FEE_OPERA,手术费,,38,,
,\x00\x95,IFP0149,Double双精度浮点型（8个字节）,,FEE_NURSE,护理费,,38,,
,\x00\x96,IFP0150,Double双精度浮点型（8个字节）,,FEE_SVR_MED,药事服务费,,38,,
,\x00\x97,IFP0151,Double双精度浮点型（8个字节）,,FEE_NOR_TREAT,一般诊疗费,,38,,
,\x00\x98,IFP0152,Double双精度浮点型（8个字节）,,FEE_MATE,卫生材料费,,38,,
,\x00\x99,IFP0153,Double双精度浮点型（8个字节）,,FEE_OTHER,其他收费,,38,,
,\x00\x9B,IFP0155,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x9C,IFP0156,String字符串（变长）,,CURRENT_AGE_UNIT,年龄单位,年龄单位,20,,
