索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FOLLOW_UP_PLAN,表全名,JHPDL:JH_FOLLOW_UP_PLAN,,,,,,
,表说明,随访计划,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,PAA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,PAA0001,String字符串（变长）,,FOLLOWUP_PLAN_SN,随访计划编号,随访计划编号，系统生成三级编码，如“AD0.000.000.001”,20,是,是
,\x00\x02,PAA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,PAA0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x06,PAA0006,String字符串（变长）,,FOLLOW_PLAN_CODE,随访计划编码,业务系统记录随访计划的唯一编码,50,是,是
,\x00\x07,PAA0007,String字符串（变长）,,SC_FOLLOWUP_TYPE,随访类型编码,,100,,
,\x00\x08,PAA0008,String字符串（变长）,,ST_FOLLOWUP_TYPE,随访类型描述,,200,,
,\x00\x09,PAA0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_FOLLOW_TIME,拟随访时间,,19,,
,\x00\x0A,PAA0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ACT_FOLLOW_TIME,实际随访时间,,19,,
,\x00\x0B,PAA0011,String字符串（变长）,,SC_PLAN_FOLLOW_USER,拟随访人编码,,200,,
,\x00\x0C,PAA0012,String字符串（变长）,,ST_PLAN_FOLLOW_USER,拟随访人姓名,,200,,
,\x00\x0D,PAA0013,String字符串（变长）,,SC_ACT_FOLLOW_USER,实际随访人编码,,200,,
,\x00\x0E,PAA0014,String字符串（变长）,,ST_ACT_FOLLOW_USER,实际随访人姓名,,200,,
,\x00\x0F,PAA0015,Integer整型（4个字节）,,FOLLOWUP_TIMES,随访次数,,4,,
,\x00\x10,PAA0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_START_TIME,随访计划开始时间,,19,,
,\x00\x11,PAA0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_END_TIME,随访计划结束时间,,19,,
,\x00\x12,PAA0018,String字符串（变长）,,ST_FOLLOW_METHOD,随访周期,,100,,
,\x00\x13,PAA0019,String字符串（变长）,,FOLLOW_FEEDBACK,随访反馈结果,,500,,
,\x00\x15,PAA0021,String字符串（变长）,,SC_FOLLOW_METHOD,随访方式编码,,200,,
,\x00\x14,PAA0020,String字符串（变长）,,REMARKS,备注,,500,,
,\x00\x04,PAA0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,是,是
,\x00\x05,PAA0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,19,是,是
,\x00\x16,PAA0022,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
