索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FP_DIAG,表全名,JHPDL:JH_FP_DIAG,,,,,,
,表说明,首页编目诊断记录（编目后）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFD0001,String字符串（变长）,,FP_DIAG_SN,编目诊断编号,编目诊断编号，系统生成三级编码，如“FD0.000.000.001”,20,是,是
,\x00\x02,IFD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFD0003,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，来源JH_FIRST_PAGE的IFP0001,20,是,是
,\x00\x04,IFD0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIAGNOSIS_TIME,临床诊断时间,临床医生下达诊断的时间,19,,
,\x00\x06,IFD0006,String字符串（变长）,,DIAGNOSIS_CODE,临床诊断编码,临床医生下达诊断的编码,200,,
,\x00\x07,IFD0007,String字符串（变长）,,DIAGNOSIS_NAME,临床诊断名称,临床医生下达诊断的名称,500,,
,\x00\x08,IFD0008,String字符串（变长）,,DIAGNOSIS_DESC,临床诊断描述,临床医生下达诊断的描述,16000,,
,\x00\x09,IFD0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CATA_DIAG_TIME,编目时间,编目员重新编目诊断的时间,19,,
,\x00\x0B,IFD0011,String字符串（变长）,,CATA_DIAG_CODE,编目诊断编码,编目员重新编目诊断的编码,200,,
,\x00\x0C,IFD0012,String字符串（变长）,,CATA_DIAG_NAME,编目诊断名称,编目员重新编目诊断的名称,500,,
,\x00\x0D,IFD0013,String字符串（变长）,,CATA_DIAG_DESC,编目诊断描述,编目员重新编目诊断的描述,4000,,
,\x00\x0E,IFD0014,Integer整型（4个字节）,,CATA_DIAG_SORT,诊断序号,诊断序号,20,,
,\x00\x10,IFD0016,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x11,IFD0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x12,IFD0018,简化字典（Integer整型，4个字节）,420,SD_DIAG_TYPE,L临床诊断类型简码,临床医生下达诊断的类型，门诊诊断、入院诊断等,20,,
,\x00\x13,IFD0019,String字符串（变长）,,ST_DIAG_TYPE,临床诊断类型描述,,200,,
,\x00\x21,IFD0033,String字符串（变长）,,SC_DIAG_TYPE,临床诊断类型编码,源业务系统的临床诊断类型编码,200,,
,\x00\x14,IFD0020,简化字典（Integer整型，4个字节）,420,SD_CATA_DIAG_TYPE,编目诊断类型简码,编目员重新编目诊断的类型,20,,
,\x00\x15,IFD0021,String字符串（变长）,,ST_CATA_DIAG_TYPE,编目诊断类型描述,,200,,
,\x00\x22,IFD0034,String字符串（变长）,,SC_CATA_DIAG_TYPE,编目诊断类型编码,源业务系统的编目诊断类型编码,200,,
,\x00\x16,IFD0022,简化字典（Integer整型，4个字节）,441,SD_CATA_DIAG_EFF,治疗结果简码,治疗结果,20,,
,\x00\x17,IFD0023,String字符串（变长）,,ST_CATA_DIAG_EFF,治疗结果描述,,4000,,
,\x00\x23,IFD0035,String字符串（变长）,,SC_CATA_DIAG_EFF,治疗结果编码,源业务系统的治疗结果编码,200,,
,\x00\x18,IFD0024,String字符串（变长）,,ADM_CONDITION_NAME,入院病情描述,病案首页诊断对应的入院病情描述，例如：有、无、临床未确定、情况不明,2000,,
,\x00\x19,IFD0025,String字符串（变长）,,ADM_CONDITION_CODE,入院病情编码,病案首页诊断对应的入院病情：1，2，3，4,200,,
,\x00\x1A,IFD0026,String字符串（变长）,,CURATIVE_EFFECT,疗效,,500,,
,\x00\x1B,IFD0027,String字符串（变长）,,PATHOLOGY_DIAG_CODE,病理诊断编码,,200,,
,\x00\x1C,IFD0028,String字符串（变长）,,PATHOLOGY_DIAG_NAME,病诊断名称,,200,,
,\x00\x1D,IFD0029,String字符串（变长）,,PATHOLOGY_DIAG_BASIS,病理诊断依据,,1000,,
,\x00\x1E,IFD0030,String字符串（变长）,,PATHOLOGY_DIFF_DEGREE,病理分化程度,,200,,
,\x00\x1F,IFD0031,String字符串（变长）,,DIAGNOSIS_CODE_BJ,北京诊断编码,,200,,
,\x00\x20,IFD0032,String字符串（变长）,,DIAGNOSIS_NAME_BJ,北京诊断名称,,200,,
,\x00\x24,IFD0036,简化字典（Integer整型，4个字节）,379,SD_MAIN_DIAG,主要诊断标志,主要诊断标志,,,
,\x00\x25,IFD0037,String字符串（变长）,,PATHOLOGY_DIAG_CODE1,病理诊断编码1,病理诊断编码1,,,
,\x00\x26,IFD0038,String字符串（变长）,,PATHOLOGY_DIAG_NAME1,病理诊断名称1,病理诊断名称1,,,
,\x00\x27,IFD0039,String字符串（变长）,,CATA_DIAG_CODE1,编目诊断编码1,编目诊断编码1,,,
,\x00\x28,IFD0040,String字符串（变长）,,CATA_DIAG_CODE2,编目诊断编码2,编目诊断编码2,,,
,\x00\x29,IFD0041,String字符串（变长）,,CATA_DIAG_NAME1,编目诊断名称1,编目诊断名称1,,,
,\x00\x2A,IFD0042,String字符串（变长）,,CATA_DIAG_NAME2,编目诊断名称2,编目诊断名称2,,,
,\x00\x2B,IFD0043,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x2C,IFD0044,String字符串（变长）,,CATALOG_MARK,编目标识,编目标识,200,,
,\x00\x2D,IFD0045,String字符串（变长）,,MEDICAL_STATE,病案状态,病案状态,200,,
,\x00\x05,IFD0005,自定义字典类型，字符串（变长）,420,DIAGNOSIS_TYPE,临床诊断类型,临床医生下达诊断的类型，门诊诊断、入院诊断等,200,,
,\x00\x0A,IFD0010,自定义字典类型，字符串（变长）,420,CATA_DIAG_TYPE,编目诊断类型,编目员重新编目诊断的类型,200,,
,\x00\x0F,IFD0015,自定义字典类型，字符串（变长）,441,CATA_DIAG_EFFECT,治疗结果,治疗结果,200,,
