索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FP_OPER,表全名,JHPDL:JH_FP_OPER,,,,,,
,表说明,首页编目手术记录（编目后）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFR0001,String字符串（变长）,,FP_OPER_SN,编目手术编号,编目手术编号，系统生成三级编码，如“FP0.000.000.001”,20,是,是
,\x00\x02,IFR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFR0003,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，来源JH_FIRST_PAGE的IFP0001,20,是,是
,\x00\x04,IFR0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPERATION_TIME,临床手术下达时间,临床医生下达手术的时间,19,,
,\x00\x05,IFR0005,String字符串（变长）,,OPERATION_CODE,临床手术编码,临床医生下达手术的编码,200,,
,\x00\x06,IFR0006,String字符串（变长）,,OPERATION_NAME,临床手术名称,临床医生下达手术的名称,200,,
,\x00\x07,IFR0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CATA_OPERA_TIME,编目时间,编目员重新编目手术的时间,19,,
,\x00\x08,IFR0008,String字符串（变长）,,CATA_OPERA_CODE,编目手术编码,编目员重新编目手术的编码,200,,
,\x00\x09,IFR0009,String字符串（变长）,,CATA_OPERA_NAME,编目手术名称,编目员重新编目手术的名称,200,,
,\x00\x0A,IFR0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPERATION_START_TIME,手术开始时间,,19,,
,\x00\x0B,IFR0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPERATION_END_TIME,手术结束时间,,19,,
,\x00\x14,IFR0020,Integer整型（4个字节）,,CATA_OPERA_SORT,手术顺序,手术顺序,20,,
,\x00\x16,IFR0022,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x17,IFR0023,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x18,IFR0024,简化字典（Integer整型，4个字节）,421,SD_OPER_SCALE,手术级别简码,,20,是,是
,\x00\x19,IFR0025,String字符串（变长）,,ST_OPER_SCALE,手术级别描述,,500,是,是
,\x00\x27,IFR0039,String字符串（变长）,,SC_OPER_SCALE,手术级别编码,源业务系统的手术级别编码,200,是,是
,\x00\x1A,IFR0026,String字符串（变长）,,SC_OPER_DOCT,手术医师编码,,200,,
,\x00\x1B,IFR0027,String字符串（变长）,,ST_OPER_DOCT,手术医师名称,,200,,
,\x00\x1C,IFR0028,简化字典（Integer整型，4个字节）,422,SD_WOUND_GRADE,切口等级简码,,20,,
,\x00\x1D,IFR0029,String字符串（变长）,,ST_WOUND_GRADE,切口等级描述,,500,,
,\x00\x28,IFR0040,String字符串（变长）,,SC_WOUND_GRADE,切口等级编码,源业务系统的切口等级编码,200,,
,\x00\x1E,IFR0030,简化字典（Integer整型，4个字节）,423,SD_WOUND_HEAL,愈合情况简码,,20,,
,\x00\x1F,IFR0031,String字符串（变长）,,ST_WOUND_HEAL,愈合情况描述,,4000,,
,\x00\x29,IFR0041,String字符串（变长）,,SC_WOUND_HEAL,愈合情况编码,源业务系统的愈合情况编码,200,,
,\x00\x20,IFR0032,简化字典（Integer整型，4个字节）,233,SD_ANES_METHOD,麻醉方式简码,,20,,
,\x00\x21,IFR0033,String字符串（变长）,,ST_ANES_METHOD,麻醉方式描述,,500,,
,\x00\x2A,IFR0042,String字符串（变长）,,SC_ANES_METHOD,麻醉方式编码,源业务系统的麻醉方式编码,200,,
,\x00\x22,IFR0034,String字符串（变长）,,SC_ANES_DOCT,麻醉医师编码,,200,,
,\x00\x23,IFR0035,String字符串（变长）,,ST_ANES_DOCT,麻醉医师名称,,200,,
,\x00\x24,IFR0036,简化字典（Integer整型，4个字节）,440,SD_CATA_OP_TYPE,手术类型简码,手术类型标识,20,是,是
,\x00\x25,IFR0037,String字符串（变长）,,ST_CATA_OP_TYPE,手术类型描述,,200,,
,\x00\x2B,IFR0043,String字符串（变长）,,SC_CATA_OP_TYPE,手术类型编码,源业务系统的手术类型编码,200,,
,\x00\x26,IFR0038,String字符串（变长）,,ANESTHESIA_LEVEL,麻醉分级,,200,,
,\x00\x2C,IFR0044,简化字典（Integer整型，4个字节）,379,SD_MAIN_OPER,主要手术标志,主要手术标志,,,
,\x00\x2D,IFR0045,String字符串（变长）,,SC_FIRST_ASSISTANT,一助编码,,200,,
,\x00\x2E,IFR0046,String字符串（变长）,,ST_FIRST_ASSISTANT,一助姓名,,200,,
,\x00\x2F,IFR0047,String字符串（变长）,,SC_SECOND_ASSISTANT,二助编码,,200,,
,\x00\x30,IFR0048,String字符串（变长）,,ST_SECOND_ASSISTANT,二助姓名,,200,,
,\x00\x31,IFR0049,Short短整型（2个字节）,,OPERATION_BEFORE_DAYS,主术前天数,患者入院时间到第一次开始做手术时的天数,10,,
,\x00\x32,IFR0050,Short短整型（2个字节）,,OPERATION_AFTER_DAYS,主术后天数,患者第一次手术完成后到出院时的天数,10,,
,\x00\x33,IFR0051,简化字典（Integer整型，4个字节）,,SD_OPERATION_BEFORE_3D,大于等于3D术前住院日标识,,10,,
,\x00\x34,IFR0052,简化字典（Integer整型，4个字节）,,IS_48HRTN_FLAG,48小时再手术标志,,10,,
,\x00\x35,IFR0053,String字符串（变长）,,SC_OPER_POSITION,手术部位编码,院内手术部位编码,200,,
,\x00\x36,IFR0054,String字符串（变长）,,ST_OPER_POSITION,手术部位名称,院内手术部位名称,200,,
,\x00\x37,IFR0055,String字符串（变长）,,SC_OP_PRE_DIAG,术前主要诊断编码,术前主要诊断编码,200,,
,\x00\x38,IFR0056,String字符串（变长）,,OPERATION_CODE_BJ,北京手术编码,,200,,
,\x00\x39,IFR0057,String字符串（变长）,,OPERATION_NAME_BJ,北京手术名称,,200,,
,\x00\x3A,IFR0058,String字符串（变长）,,ST_OP_PRE_DIAG,术前主要诊断描述,术前主要诊断描述,200,,
,\x00\x3B,IFR0059,String字符串（变长）,,SC_OP_FIN_DIAG,术后主要诊断编码,术后主要诊断编码,200,,
,\x00\x3C,IFR0060,String字符串（变长）,,ST_OP_FIN_DIAG,术后主要诊断描述,术后主要诊断描述,200,,
,\x00\x3D,IFR0061,Integer整型（4个字节）,,DURATION,持续时间,一次执行的持续时间,,,
,\x00\x3E,IFR0062,String字符串（变长）,,SC_MAIN_OPERA_METHOD,主要术式编码,主要术式编码,200,,
,\x00\x3F,IFR0063,String字符串（变长）,,ST_MAIN_OPERA_METHOD,主要术式名称,主要术式名称,200,,
,\x00\x40,IFR0064,String字符串（变长）,,SC_OTH_OPERA_METHOD1,非主要术式I编码,非主要术式I编码,200,,
,\x00\x41,IFR0065,String字符串（变长）,,ST_OTH_OPERA_METHOD1,非主要术式I名称,非主要术式I名称,200,,
,\x00\x42,IFR0066,String字符串（变长）,,SC_OTH_OPERA_METHOD2,非主要术式II编码,非主要术式II编码,200,,
,\x00\x43,IFR0067,String字符串（变长）,,ST_OTH_OPERA_METHOD2,非主要术式II名称,非主要术式II名称,200,,
,\x00\x44,IFR0068,String字符串（变长）,,SC_OTH_OPERA_METHOD3,非主要术式III编码,非主要术式III编码,200,,
,\x00\x45,IFR0069,String字符串（变长）,,ST_OTH_OPERA_METHOD3,非主要术式III名称,非主要术式III名称,200,,
,\x00\x46,IFR0070,String字符串（变长）,,SC_OTH_OPERA_METHOD4,非主要术式IV编码,非主要术式IV编码,200,,
,\x00\x47,IFR0071,String字符串（变长）,,ST_OTH_OPERA_METHOD4,非主要术式IV名称,非主要术式IV名称,200,,
,\x00\x48,IFR0072,String字符串（变长）,,OPERATION_CODE1,手术编码1,手术编码1,200,,
,\x00\x49,IFR0073,String字符串（变长）,,OPERATION_NAME1,手术名称1,手术名称1,200,,
,\x00\x4A,IFR0074,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x4B,IFR0075,String字符串（变长）,,CATALOG_MARK,编目标识,编目标识,200,,
,\x00\x4C,IFR0076,String字符串（变长）,,MEDICAL_STATE,病案状态,病案状态,200,,
,\x00\x0C,IFR0012,自定义字典类型，字符串（变长）,421,OPERATION_SCALE,手术级别,,200,是,是
,\x00\x0D,IFR0013,String字符串（变长）,,OPERATION_DOCTOR,手术医师,,200,,
,\x00\x0E,IFR0014,String字符串（变长）,,FIRST_ASSISTANT,一助,,200,,
,\x00\x0F,IFR0015,String字符串（变长）,,SECOND_ASSISTANT,二助,,200,,
,\x00\x10,IFR0016,自定义字典类型，字符串（变长）,422,WOUND_GRADE,切口等级,,200,,
,\x00\x11,IFR0017,自定义字典类型，字符串（变长）,423,WOUND_HEAL,愈合情况,,200,,
,\x00\x12,IFR0018,自定义字典类型，字符串（变长）,233,ANESTHESIA_METHOD,麻醉方式,,200,,
,\x00\x13,IFR0019,String字符串（变长）,,ANESTHESIA_DOCTOR,麻醉医师,,200,,
,\x00\x15,IFR0021,自定义字典类型，字符串（变长）,440,CATA_OPERA_TYPE,手术类型标识,手术类型标识,200,,
