索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_FP_SUB,表全名,JHPDL:JH_FP_SUB,,,,,,
,表说明,病案首页附页（编目后）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFS,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFS0001,String字符串（变长）,,FP_SUB_SN,首页附页编号,首页附页编号，系统生成三级编码，如“FS0.000.000.001”,20,是,是
,\x00\x02,IFS0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFS0003,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，来源JH_FIRST_PAGE的IFP0001,20,是,是
,\x00\x04,IFS0004,Short短整型（2个字节）,,FIRST_COMA_DAY,入院前昏迷天,,6,,
,\x00\x05,IFS0005,Short短整型（2个字节）,,BACK_COMA_DAY,入院后昏迷天,,6,,
,\x00\x06,IFS0006,String字符串（变长）,,TREAT_RESULT_HL,化疗治疗方式,,500,,
,\x00\x07,IFS0007,String字符串（变长）,,TREAT_RESULT_SS,手术治疗方式,,500,,
,\x00\x08,IFS0008,String字符串（变长）,,TREAT_RESULT_CZ,操作治疗方式,,500,,
,\x00\x09,IFS0009,String字符串（变长）,,TREAT_RESULT_FL,放疗治疗方式,,500,,
,\x00\x0B,IFS0011,String字符串（变长）,,RISKTYPE,手术风险分级,,200,,
,\x00\x0D,IFS0013,Short短整型（2个字节）,,SAME_SPACEIN_TIME,同病种再入院间隔,本次因同病种再入院与上次出院日间隔天数,6,,
,\x00\x0F,IFS0015,Short短整型（2个字节）,,UNSAME_SPACEIN_TIME,非同病种再入院间隔,本次因非同病种再入院与上次出院日间隔天数,6,,
,\x00\x11,IFS0017,String字符串（变长）,,RETURN_OPERA_REASON,重返原因,,4000,,
,\x00\x13,IFS0019,String字符串（变长）,,COML_OPERA_DIAG,并发症诊断名称,,200,,
,\x00\x15,IFS0021,String字符串（变长）,,RETURN_ICU_REASON,重返ICU原因,,4000,,
,\x00\x17,IFS0023,String字符串（变长）,,NOSOCOM_INFE_NAME,医源性感染名称,,200,,
,\x00\x18,IFS0024,String字符串（变长）,,NOSOCOM_INFE_PART,医源性感染部位,,200,,
,\x00\x23,IFS0035,String字符串（变长）,,ANAPHYLACTOGEN,过敏源,,200,,
,\x00\x25,IFS0037,Short短整型（2个字节）,,USE_ANT_DRUG_DAYS,使用抗菌药物天数,,6,,
,\x00\x26,IFS0038,Double双精度浮点型（8个字节）,,FEE_SELF,住院总费用其中自付金额,自己支付的金额,38,,
,\x00\x27,IFS0039,Double双精度浮点型（8个字节）,,FEE_SOC_INS,医保金额,,38,,
,\x00\x28,IFS0040,Double双精度浮点型（8个字节）,,FEE_BUS_INS,商业保险金额,,38,,
,\x00\x29,IFS0041,Double双精度浮点型（8个字节）,,FEE_OTHER_INS,其它付费金额,,38,,
,\x00\x2A,IFS0042,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT,一般医疗服务费,(一般医疗服务费)床位费+(一般医疗服务费)诊查费+(一般医疗服务费)挂号费,38,,
,\x00\x2B,IFS0043,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP,一般治疗操作费,(一般治疗操作费)监护及辅助呼吸设备费+(一般治疗操作费)输氧费+(一般治疗操作费)护理治疗费+(一般治疗操作费)一般治疗费,38,,
,\x00\x2C,IFS0044,Double双精度浮点型（8个字节）,,FEE_TYPE_PHLY,病理诊断费,,38,,
,\x00\x2D,IFS0045,Double双精度浮点型（8个字节）,,FEE_TYPE_LAB,实验室诊断费,,38,,
,\x00\x2E,IFS0046,Double双精度浮点型（8个字节）,,FEE_TYPE_EXAM,影像学诊断费,,38,,
,\x00\x2F,IFS0047,Double双精度浮点型（8个字节）,,FEE_TYPE_DIAG,临床诊断项目费,,38,,
,\x00\x30,IFS0048,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_NOR,非手术治疗项目费,,38,,
,\x00\x31,IFS0049,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_PHY,临床物理治疗费,,38,,
,\x00\x32,IFS0050,Double双精度浮点型（8个字节）,,FEE_TYPE_OPER,手术治疗费,,38,,
,\x00\x33,IFS0051,Double双精度浮点型（8个字节）,,FEE_TYPE_ANES,麻醉费,,38,,
,\x00\x34,IFS0052,Double双精度浮点型（8个字节）,,FEE_TYPE_REST,康复费,,38,,
,\x00\x35,IFS0053,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_TREAT,中医治疗费,,38,,
,\x00\x36,IFS0054,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_TREAT1,中医治疗费1,,38,,
,\x00\x37,IFS0055,Double双精度浮点型（8个字节）,,FEE_TYPE_ANT_DRUG,抗菌药物费用,,38,,
,\x00\x38,IFS0056,Double双精度浮点型（8个字节）,,FEE_TYPE_BLOOD,血费,,38,,
,\x00\x39,IFS0057,Double双精度浮点型（8个字节）,,FEE_TYPE_ALBU,白蛋白类制品费,,38,,
,\x00\x3A,IFS0058,Double双精度浮点型（8个字节）,,FEE_TYPE_GLOBU,球蛋白类制品费,,38,,
,\x00\x3B,IFS0059,Double双精度浮点型（8个字节）,,FEE_TYPE_CLOT,凝血因子类制品费,,38,,
,\x00\x3C,IFS0060,Double双精度浮点型（8个字节）,,FEE_TYPE_CELL,细胞因子类制品费,,38,,
,\x00\x3D,IFS0061,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_EXAM,检查材料费,,38,,
,\x00\x3E,IFS0062,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_TREAT,治疗材料费,,38,,
,\x00\x3F,IFS0063,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_OPER,手术材料费,手术材料费,38,,
,\x00\x40,IFS0064,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x41,IFS0065,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x42,IFS0066,简化字典（Integer整型，4个字节）,379,SD_IS_CHOOSEDAY,是否择期手术,,20,,
,\x00\x43,IFS0067,简化字典（Integer整型，4个字节）,379,SD_IS_SAMEIN,同病种再入院标记,,20,,
,\x00\x44,IFS0068,简化字典（Integer整型，4个字节）,379,SD_IS_UNSAMEIN,非同病种再入院标记,非同病种再入院标记,20,,
,\x00\x45,IFS0069,简化字典（Integer整型，4个字节）,379,SD_IS_RETURN_OP,重返手术标记,手术患者重返手术室再次手术,20,,
,\x00\x46,IFS0070,简化字典（Integer整型，4个字节）,379,SD_IS_COML_OPER,手术并发症,是否发生手术并发症,20,,
,\x00\x47,IFS0071,简化字典（Integer整型，4个字节）,379,SD_IS_RETURN_ICU,重返ICU标记,,20,,
,\x00\x48,IFS0072,简化字典（Integer整型，4个字节）,379,SD_IS_NOSO_INFE,是否医源性感染,,20,,
,\x00\x49,IFS0073,简化字典（Integer整型，4个字节）,379,SD_IS_PNEUMOTH,是否医源性气胸,,20,,
,\x00\x4A,IFS0074,简化字典（Integer整型，4个字节）,379,SD_IS_PUNCTURE,是否意外穿刺,是否发生医源性意外穿刺或撕裂伤,20,,
,\x00\x4B,IFS0075,简化字典（Integer整型，4个字节）,379,SD_IS_FOREIGN,是否异物遗留,是否发生手术过程中异物遗留,20,,
,\x00\x4C,IFS0076,简化字典（Integer整型，4个字节）,379,SD_IS_BLD_TRAN,是否输血反应,,20,,
,\x00\x4D,IFS0077,简化字典（Integer整型，4个字节）,379,SD_IS_INFUSION,是否输液反应,,20,,
,\x00\x4E,IFS0078,简化字典（Integer整型，4个字节）,379,SD_IS_IN_CP,是否进入临床路径,,20,,
,\x00\x4F,IFS0079,简化字典（Integer整型，4个字节）,379,SD_IS_FINISH_CP,是否完成临床路径,,20,,
,\x00\x50,IFS0080,简化字典（Integer整型，4个字节）,379,SD_DIE_DURING,是否围手术期死亡,,20,,
,\x00\x51,IFS0081,简化字典（Integer整型，4个字节）,379,SD_DIE_AFTER_OP,是否术后猝死,,20,,
,\x00\x52,IFS0082,简化字典（Integer整型，4个字节）,379,SD_IS_CP_SAMP,临床路径病例,是否临床路径病例,20,,
,\x00\x53,IFS0083,简化字典（Integer整型，4个字节）,379,SD_USE_ANT_DRUG,是否使用抗菌药物,,20,,
,\x00\x54,IFS0084,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_BED,(一般医疗服务费)床位费,,38,,
,\x00\x55,IFS0085,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_EXAM,(一般医疗服务费)诊查费,,38,,
,\x00\x56,IFS0086,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_REG,(一般医疗服务费)挂号费,,38,,
,\x00\x57,IFS0087,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP_SN,(一般治疗操作费)监护及辅助呼吸设备费,,38,,
,\x00\x58,IFS0088,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP_OX,(一般治疗操作费)输氧费,,38,,
,\x00\x59,IFS0089,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP_NU,(一般治疗操作费)护理治疗费,,38,,
,\x00\x5A,IFS0090,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP_GE,(一般治疗操作费)一般治疗费,,38,,
,\x00\x5B,IFS0091,Double双精度浮点型（8个字节）,,FEE_TYPE_SER_OTHER,综合医疗服务类其他费用,,38,,
,\x00\x5C,IFS0092,Double双精度浮点型（8个字节）,,FEE_TYPE_EXAM_ECT,(影像学诊断费)核素检查,,38,,
,\x00\x5D,IFS0093,Double双精度浮点型（8个字节）,,FEE_TYPE_EXAM_B,(影像学诊断费)超声费,,38,,
,\x00\x5E,IFS0094,Double双精度浮点型（8个字节）,,FEE_TYPE_EXAM_X,(影像学诊断费)放射费,,38,,
,\x00\x5F,IFS0095,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_NOR_SP,(非手术治疗项目费)特殊治疗费,,38,,
,\x00\x60,IFS0096,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_NOR_NE,(非手术治疗项目费)精神治疗费,,38,,
,\x00\x61,IFS0097,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_PHY_CL,(临床物理治疗费)临床物理治疗费,,38,,
,\x00\x62,IFS0098,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_PHY_ECT,(临床物理治疗费)核素治疗,,38,,
,\x00\x63,IFS0099,Double双精度浮点型（8个字节）,,FEE_TYPE_OPER_DE,(手术治疗费)接生费,,38,,
,\x00\x64,IFS0100,Double双精度浮点型（8个字节）,,FEE_TYPE_OPER_IN,(手术治疗费)介入治疗费,,38,,
,\x00\x65,IFS0101,Double双精度浮点型（8个字节）,,FEE_TYPE_ONE_MAT_EXAM,检查用一次性医用材料费,,38,,
,\x00\x66,IFS0102,Double双精度浮点型（8个字节）,,FEE_TYPE_ONE_MAT_TREAT,治疗用一次性医用材料费,,38,,
,\x00\x67,IFS0103,Double双精度浮点型（8个字节）,,FEE_TYPE_ONE_MAT_OPER,手术用一次性医用材料费,(手术用一次性医用材料费)手术用一次性医用材料费+(手术用一次性医用材料费)介入用一次性医用材料费,38,,
,\x00\x68,IFS0104,Double双精度浮点型（8个字节）,,FEE_TYPE_ONE_MAT_OPER_OP,(手术用一次性医用材料费)手术用一次性医用材料费,,38,,
,\x00\x69,IFS0105,Double双精度浮点型（8个字节）,,FEE_TYPE_ONE_MAT_OPER_IN,(手术用一次性医用材料费)介入用一次性医用材料费,,38,,
,\x00\x6A,IFS0106,简化字典（Integer整型，4个字节）,243,SD_MEDICAL_COSTPAY,医疗付费方式,医疗付费方式,10,,
,\x00\x79,IFS0121,String字符串（变长）,,SC_MEDICAL_COSTPAY,医疗付费方式编码,医疗付费方式编码,200,,
,\x00\x7A,IFS0122,String字符串（变长）,,ST_MEDICAL_COSTPAY,医疗付费方式名称,医疗付费方式名称,200,,
,\x00\x6B,IFS0107,Double双精度浮点型（8个字节）,,FIRST_COMA_HOUR,患者入院前昏迷时间-H,患者入院前昏迷时间-H,38,,
,\x00\x6C,IFS0108,Double双精度浮点型（8个字节）,,FIRST_COMA_MIN,患者入院前昏迷时间-MIN,患者入院前昏迷时间-MIN,38,,
,\x00\x6D,IFS0109,Double双精度浮点型（8个字节）,,BACK_COMA_HOUR,患者入院后昏迷时间-H,患者入院后昏迷时间-H,38,,
,\x00\x6E,IFS0110,Double双精度浮点型（8个字节）,,BACK_COMA_MIN,患者入院后昏迷时间-MIN,患者入院后昏迷时间-MIN,38,,
