索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_HEMODIALYSIS_APY,表全名,JHPDL:JH_HEMODIALYSIS_APY,,,,,,
,表说明,血透申请单,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,HMA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,HMA0001,String字符串（变长）,,HEMODIALYSIS_APY_SN,血透申请单编号,内部三级编码HA0.000.000.001,20,是,是
,\x00\x02,HMA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,HMA0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x38,HMA0056,String字符串（变长）,,HIS_PAT_ID,患者业务唯一号,患者业务唯一号,200,是,是
,\x00\x39,HMA0057,String字符串（变长）,,HIS_VIS_ID,就诊业务唯一号,就诊业务唯一号,200,是,是
,\x00\x04,HMA0004,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,,
,\x00\x05,HMA0005,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,20,,
,\x00\x06,HMA0006,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,40,,
,\x00\x07,HMA0007,String字符串（变长）,,SC_DIAG,诊断编码,源业务系统的诊断编码，可能存在无编码的情况,200,,
,\x00\x08,HMA0008,String字符串（变长）,,ST_DIAG,诊断名称,源业务系统的诊断名称,200,,
,\x00\x09,HMA0009,String字符串（变长）,,SC_PRI_DIS,原发疾病编码,源业务系统的原发疾病编码，可能存在无编码的情况,200,,
,\x00\x0A,HMA0010,String字符串（变长）,,ST_PRI_DIS,原发疾病名称,源业务系统的原发疾病名称,200,,
,\x00\x0B,HMA0011,简化字典（Integer整型，4个字节）,379,SD_CONS,是否会诊,是否会诊，中台标准“是否”编码,20,,
,\x00\x0C,HMA0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APPLY_DATE,申请日期,血透申请的时间,31,,
,\x00\x0D,HMA0013,String字符串（变长）,,VASCULAR_ACCESS,血管通路,血管通路（1.自体动静脉内瘘(左、右)；2.人工血管（左、右）；3.临时导管（左、右）、颈内静脉、股静脉、锁骨下静脉；4.半永久透析导管（左、右）、颈内静脉、股静脉；5.无通路，需要插管）,200,,
,\x00\x0E,HMA0014,简化字典（Integer整型，4个字节）,379,SD_USE_ANTI,是否使用抗凝剂,是否使用抗凝剂，中台标准“是否”编码,40,,
,\x00\x0F,HMA0015,String字符串（变长）,,ANTI_REASON,不能使用抗凝剂原因,不能使用抗凝剂的原因描述,1000,,
,\x00\x10,HMA0016,String字符串（变长）,,ANIMAL_HEAT,患者体温,患者的一般情况：体温，单位℃,20,,
,\x00\x11,HMA0017,String字符串（变长）,,BP,患者血压,患者的一般情况：血压，如145/80,20,,
,\x00\x12,HMA0018,String字符串（变长）,,BREATH,呼吸,患者的一般情况：呼吸,20,,
,\x00\x13,HMA0019,String字符串（变长）,,HEART_RATE,心率,患者的一般情况：心率,20,,
,\x00\x14,HMA0020,String字符串（变长）,,WEIGHT,体重,患者的一般情况：体重，单位默认KG,20,,
,\x00\x15,HMA0021,String字符串（变长）,,WBC,血常规WBC值,患者血常规WBC值，一般为具体值×109/L,20,,
,\x00\x16,HMA0022,String字符串（变长）,,HGB,血常规HGB值,患者血常规HGB值，单位一般为G/L,20,,
,\x00\x17,HMA0023,String字符串（变长）,,PLT,血常规PLT值,患者血常规PLT值，一般为具体值×109/L,20,,
,\x00\x18,HMA0024,String字符串（变长）,,BUN,血生化BUN值,患者血生化BUN值，单位一般为MMOL/L,20,,
,\x00\x19,HMA0025,String字符串（变长）,,CR,血生化CR值,患者血生化CR值，单位一般为UMOL/L,20,,
,\x00\x1A,HMA0026,String字符串（变长）,,UA,血生化UA值,患者血生化UA值，单位一般为UMOL/L,20,,
,\x00\x1B,HMA0027,String字符串（变长）,,PTH,血生化PTH值,患者血生化PTH值，单位一般为PG/ML,20,,
,\x00\x1C,HMA0028,String字符串（变长）,,CL,血生化CL值,患者血生化CL值，单位一般为MMOL/L,20,,
,\x00\x1D,HMA0029,String字符串（变长）,,GLU,血生化GLU值,患者血生化GLU值，单位一般为MMOL/L,20,,
,\x00\x1E,HMA0030,String字符串（变长）,,K,血生化K值,患者血生化K值，单位一般为MMOL/L,20,,
,\x00\x1F,HMA0031,String字符串（变长）,,,血生化NA值,患者血生化NA值，单位一般为MMOL/L,20,,
,\x00\x20,HMA0032,String字符串（变长）,,CA,血生化CA值,患者血生化CA值，单位一般为MMOL/L,20,,
,\x00\x21,HMA0033,String字符串（变长）,,PHOS,血生化PHOS值,患者血生化PHOS值，单位一般为MMOL/L,20,,
,\x00\x22,HMA0034,String字符串（变长）,,HCO3,血生化HCO3值,患者血生化HCO3值，单位一般为MMOL/L,20,,
,\x00\x23,HMA0035,String字符串（变长）,,ISINS_STATUS,术前四项状态,患者术前四项检查状态：未送检、已送检结果未回,20,,
,\x00\x24,HMA0036,String字符串（变长）,,HBSAG,术前四项HBSAG值,结果值一般为阴性、阳性,20,,
,\x00\x25,HMA0037,String字符串（变长）,,HBSAB,术前四项HBSAB值,结果值一般为阴性、阳性,20,,
,\x00\x26,HMA0038,String字符串（变长）,,HBEAG,术前四项HBEAG值,结果值一般为阴性、阳性,20,,
,\x00\x27,HMA0039,String字符串（变长）,,HBEAB,术前四项HBEAB值,结果值一般为阴性、阳性,20,,
,\x00\x28,HMA0040,String字符串（变长）,,HBCAB,术前四项HBCAB值,结果值一般为阴性、阳性,20,,
,\x00\x29,HMA0041,String字符串（变长）,,HBVDNA,术前四项HBVDNA值,结果值一般为阴性、阳性,20,,
,\x00\x2A,HMA0042,String字符串（变长）,,HCV,术前四项HCV值,结果值一般为阴性、阳性,20,,
,\x00\x2B,HMA0043,String字符串（变长）,,HIV,术前四项HIV值,结果值一般为阴性、阳性,20,,
,\x00\x2C,HMA0044,String字符串（变长）,,TPPA,术前四项TPPA值,结果值一般为阴性、阳性,20,,
,\x00\x2D,HMA0045,String字符串（变长）,,TRUST,术前四项TRUST值,结果值一般为阴性、阳性,20,,
,\x00\x2E,HMA0046,String字符串（变长）,,COVID,核酸检测结果,结果值一般为阴性、阳性,20,,
,\x00\x2F,HMA0047,String字符串（变长）,,BLOOD_TYPE,血型,患者血型值,20,,
,\x00\x30,HMA0048,String字符串（变长）,,RHD,患者血型RHD值,患者血型RHD值，阴性、阳性、未查,20,,
,\x00\x31,HMA0049,String字符串（变长）,,OTHER_DES,其他需要说明的情况,申请单上医生填写的其他需要说明的情况,500,,
,\x00\x32,HMA0050,String字符串（变长）,,DVC_SIGN,深静脉置管同意书签署情况,一般为已签字、未签字,20,,
,\x00\x33,HMA0051,String字符串（变长）,,BP_SIGN,血液净化同意书签署情况,一般为已签字、未签字,20,,
,\x00\x34,HMA0052,String字符串（变长）,,SFD_SIGN,自费药品及高值耗材同意书签署情况,一般为已签字、未签字,20,,
,\x00\x35,HMA0053,String字符串（变长）,,COMMENT,备注,备注信息,500,,
,\x00\x36,HMA0054,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x37,HMA0055,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,PDL最新更新时间,31,是,是
,\x00\x3A,HMA0058,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
