索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_HEMODIALYSIS_MOR,表全名,JHPDL:JH_HEMODIALYSIS_MOR,,,,,,
,表说明,血透治疗监测记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,HMD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,HMD0001,String字符串（变长）,,ITEMS_OUT_DTL_SN,治疗监测记录唯一号,内部三级编码HD0.000.000.001,20,是,是
,\x00\x02,HMD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,HMD0003,String字符串（变长）,,DIALYSISREC_SN,血透记录唯一号,来源JH_HEMODIALYSIS_DIALYSISRECORD的PAV0001,20,是,是
,\x00\x25,HMD0037,String字符串（变长）,,HIS_PAT_ID,患者业务唯一号,患者业务唯一号,200,是,是
,\x00\x26,HMD0038,String字符串（变长）,,HIS_VIS_ID,就诊业务唯一号,就诊业务唯一号,200,是,是
,\x00\x04,HMD0004,String字符串（变长）,,MONITOR_TIME,监测时间,MONITORTIME,31,,
,\x00\x05,HMD0005,String字符串（变长）,,BLOOD_FLOW,血流量,,20,,
,\x00\x06,HMD0006,String字符串（变长）,,ARTERIAL_PRE,动脉压(MMHG),,20,,
,\x00\x07,HMD0007,String字符串（变长）,,VENOUS_PRE,静脉压(MMHG),,20,,
,\x00\x08,HMD0008,String字符串（变长）,,TRANS_PRE,跨膜压(MMHG),,20,,
,\x00\x09,HMD0009,String字符串（变长）,,DIALYSTATE_FLOW,透析液流量(ML/MIN),,20,,
,\x00\x0A,HMD0010,String字符串（变长）,,DIALYSTATE_TEM,透析液温度(℃),,20,,
,\x00\x0B,HMD0011,String字符串（变长）,,DIALYSTATE_CON,透析液电导度(MS/CM),,20,,
,\x00\x0C,HMD0012,String字符串（变长）,,DIALYSTATE_NA,透析液钠浓度,,20,,
,\x00\x0D,HMD0013,String字符串（变长）,,UF_RATE,超滤率(ML/H),,20,,
,\x00\x0E,HMD0014,String字符串（变长）,,UF_VOLUME,超滤量(ML),,20,,
,\x00\x0F,HMD0015,String字符串（变长）,,UF_GOAL,超滤目标(ML)/定容,,20,,
,\x00\x10,HMD0016,String字符串（变长）,,UF_PROFILE,超滤程序/超滤曲线,,20,,
,\x00\x11,HMD0017,String字符串（变长）,,SYSTOLIC_PRE,收缩压(MMHG),,20,,
,\x00\x12,HMD0018,String字符串（变长）,,DIASTOLIC_PRE,舒张压(MMHG),,20,,
,\x00\x13,HMD0019,String字符串（变长）,,MEANARTERIAL_PRE,平均动脉压(MMHG),,20,,
,\x00\x14,HMD0020,String字符串（变长）,,PULSERATE,心率,,20,,
,\x00\x15,HMD0021,String字符串（变长）,,TEMPERATURE,体温(℃),,20,,
,\x00\x16,HMD0022,String字符串（变长）,,BREATH,呼吸(次/分),,20,,
,\x00\x17,HMD0023,String字符串（变长）,,HEPARIN_BOLUS,肝素追加量(ML/H),,20,,
,\x00\x18,HMD0024,String字符串（变长）,,HEPARIN_REMAIN,肝素余量(ML),,20,,
,\x00\x19,HMD0025,String字符串（变长）,,HEPARIN_TOTAL,肝素总量(ML),,20,,
,\x00\x1A,HMD0026,String字符串（变长）,,HDF_RATE,置换液流量(ML/MIN),,20,,
,\x00\x1B,HMD0027,String字符串（变长）,,HDF_VOLUME,置换液量(ML),,20,,
,\x00\x1C,HMD0028,String字符串（变长）,,PULSE_OXYGEN,脉氧(%),,20,,
,\x00\x1D,HMD0029,String字符串（变长）,,PIPELINE_CON,管路情况,,100,,
,\x00\x1E,HMD0030,String字符串（变长）,,EXUDATION_SIT,渗血情况,,100,,
,\x00\x1F,HMD0031,String字符串（变长）,,ANTI_SITUATION,抗凝情况,,100,,
,\x00\x20,HMD0032,String字符串（变长）,,COMPLICATION_SIT,并发症情况,,500,,
,\x00\x21,HMD0033,String字符串（变长）,,CLINICAL_SIT,临床表现,,500,,
,\x00\x22,HMD0034,String字符串（变长）,,MONITOR_NUR,监测护士,,40,,
,\x00\x23,HMD0035,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x24,HMD0036,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x27,HMD0039,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
