索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_HEMODIALYSIS_REC,表全名,JHPDL:JH_HEMODIALYSIS_REC,,,,,,
,表说明,血透记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,HMC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,HMC0001,String字符串（变长）,,DIALYSISREC_SN,血透记录唯一号,内部三级编码HC0.000.000.001,20,是,是
,\x00\x02,HMC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,HMC0003,String字符串（变长）,,HEMODIALYSIS_APY_SN,血透申请单号,来源JH_HEMODIALYSIS_APPLY的HMA0001，无则空,200,,
,\x00\x31,HMC0049,String字符串（变长）,,HIS_PAT_ID,患者业务唯一号,患者业务唯一号,200,是,是
,\x00\x32,HMC0050,String字符串（变长）,,HIS_VIS_ID,就诊业务唯一号,就诊业务唯一号,200,是,是
,\x00\x04,HMC0004,String字符串（变长）,,ID_CARD_NO,身份证号,患者身份证号,40,是,
,\x00\x05,HMC0005,String字符串（变长）,,PATIENTID,血透系统患者ID,血透系统内部患者ID,100,,
,\x00\x06,HMC0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIALYSIS_DATE,透析日期,,31,,
,\x00\x07,HMC0007,String字符串（变长）,,SC_DIALYSIS_WAY,治疗方式编码,血透治疗方式，对应电子病历评级SQL的治疗项目编码,20,,
,\x00\x08,HMC0008,String字符串（变长）,,ST_DIALYSIS_WAY,治疗方式名称,血透治疗方式，对应电子病历SQL的治疗项目名称,20,,
,\x00\x09,HMC0009,String字符串（变长）,,DIALYSIS_DURATION,治疗时长,血透治疗时长,20,,
,\x00\x0A,HMC0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIALYSIS_START_TIME,透析开始时间,,31,,
,\x00\x0B,HMC0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIALYSIS_END_TIME,透析结束时间,,31,,
,\x00\x0C,HMC0012,String字符串（变长）,,DIALYSIS_NUM,透析次数,,20,,
,\x00\x0D,HMC0013,String字符串（变长）,,BFV,血流量,,20,,
,\x00\x0E,HMC0014,String字符串（变长）,,DIALYZER_SN,透析机序号,透析机序号,20,,
,\x00\x0F,HMC0015,String字符串（变长）,,SC_DIALYZER,透析机设备ID,,20,,
,\x00\x10,HMC0016,String字符串（变长）,,ST_DIALYZER,透析机设备名称,,40,,
,\x00\x11,HMC0017,String字符串（变长）,,DEVICE_MODEL,机器型号,,40,,
,\x00\x12,HMC0018,String字符串（变长）,,DIALYZER_MODEL,透析器型号,,40,,
,\x00\x13,HMC0019,String字符串（变长）,,VASCULAR_ACCESS,血管通路,,100,,
,\x00\x14,HMC0020,简化字典（Integer整型，4个字节）,379,SD_CRITICAL,危重标识,是否危重患者,20,,
,\x00\x15,HMC0021,Double双精度浮点型（8个字节）,,SPECIAL_TREATEMENT,特殊治疗,SPECIAL TREATMENT,200,,
,\x00\x16,HMC0022,String字符串（变长）,,ONNURSE,上机护士,对应电子病历SQL的治疗师,40,,
,\x00\x17,HMC0023,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PUNCTURE_NAME,穿刺者,PUNCTURE NURSES,40,,
,\x00\x18,HMC0024,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TARGET_DRY_WEIGHT,目标干体重,TARGET DRY WEIGHT,20,,
,\x00\x19,HMC0025,Double双精度浮点型（8个字节）,,LAST_DIALYSIS_WEIGHT,上次透析后体重,,20,,
,\x00\x1A,HMC0026,String字符串（变长）,,PRE_DIALYSIS_WEIGHT,透前体重,,20,,
,\x00\x1B,HMC0027,String字符串（变长）,,ADD_WEIGHT,体重增加,,20,,
,\x00\x1C,HMC0028,String字符串（变长）,,TARGET_DEWATER,目标脱水量,TARGET DEWATERING,20,,
,\x00\x1D,HMC0029,String字符串（变长）,,POST_WEIGHT,透后体重,,20,,
,\x00\x1E,HMC0030,String字符串（变长）,,ACTUAL_DEWATER,实际脱水,,20,,
,\x00\x1F,HMC0031,String字符串（变长）,,MACHINE_DEWATER,机器脱水,,20,,
,\x00\x20,HMC0032,String字符串（变长）,,DIALYSIS_K,透析液成分K,,20,,
,\x00\x21,HMC0033,String字符串（变长）,,DIALYSIS_CA,透析液成分CA,,20,,
,\x00\x22,HMC0034,String字符串（变长）,,DIALYSATE_FLOW,透析液流量,,20,,
,\x00\x23,HMC0035,String字符串（变长）,,SUB_FLUID_AMOUNT,置换液总量,SUBSTITUTION FLUID,20,,
,\x00\x24,HMC0036,String字符串（变长）,,ANTI,抗凝剂,,20,,
,\x00\x25,HMC0037,String字符串（变长）,,FIRST_ANTI,首剂,,20,,
,\x00\x26,HMC0038,String字符串（变长）,,KEEP_ANTI,维持,,20,,
,\x00\x27,HMC0039,String字符串（变长）,,TOTAL_ANTI,总量,,20,,
,\x00\x28,HMC0040,String字符串（变长）,,REPLACE_WAY,置换方式,,20,,
,\x00\x29,HMC0041,String字符串（变长）,,DOCTOR,责任医生,,40,,
,\x00\x2A,HMC0042,String字符串（变长）,,AUDIT_NURSE,核对护士,,40,,
,\x00\x2B,HMC0043,String字符串（变长）,,PATHPGRAPHY,病情记录,,500,,
,\x00\x2C,HMC0044,String字符串（变长）,,DIALYSIS_SUMMARY,透析小结,,1000,,
,\x00\x2D,HMC0045,String字符串（变长）,,DIALYSIS_SUMMARY_DOC,透析小结医生,,40,,
,\x00\x2E,HMC0046,String字符串（变长）,,DIALYSIS_SUMMARY_NUR,透析小结护士,,40,,
,\x00\x2F,HMC0047,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x30,HMC0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x33,HMC0051,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
