索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_ICU_RECORD,表全名,JHPDL:JH_ICU_RECORD,,,,,,
,表说明,临床重症监护列表记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,ICR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,ICR0001,String字符串（变长）,,ICU_CLINIC_SN,临床重症记录唯一号,重症记录编号，系统生成二级编码，如“IR0.000.000.001”,20,是,是
,\x00\x02,ICR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,ICR0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,ICR0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,ICR0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,31,是,是
,\x00\x06,ICR0006,String字符串（变长）,,ICU_PAT_NO,患者ID,,200,,
,\x00\x07,ICR0007,String字符串（变长）,,ICU_PAT_NAME,患者姓名,,200,,
,\x00\x08,ICR0008,String字符串（变长）,,ICU_PAT_MEDICARE,病案号,,200,,
,\x00\x09,ICR0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_ADMISSION_TIME,监护开始日期,,,,
,\x00\x0A,ICR0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_DISCHARGE_TIME,监护结束日期,,,,
,\x00\x0B,ICR0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_TRANS_DATE,转归日期,,,,
,\x00\x0C,ICR0012,String字符串（变长）,,SC_ADMISSION_DEPT,当前科室编码,,200,,
,\x00\x0D,ICR0013,String字符串（变长）,,ST_ADMISSION_DEPT,当前科室名称,,200,,
,\x00\x0E,ICR0014,自定义字典类型，字符串（变长）,,SC_ICU_STATUS,监护状态编码,R:安排、M:监护、T:停止,200,,
,\x00\x0F,ICR0015,自定义字典类型，字符串（变长）,,ST_ICU_STATUS,监护状态名称,,200,,
,\x00\x10,ICR0016,简化字典（Integer整型，4个字节）,,SD_ICU_STATUS,监护状态,,,,
,\x00\x11,ICR0017,String字符串（变长）,,ICU_BED,床位号,,200,,
,\x00\x12,ICR0018,String字符串（变长）,,SC_ADMISSION_WARD,当前病区编码,,200,,
,\x00\x13,ICR0019,String字符串（变长）,,ST_ADMISSION_WARD,当前病区名称,,200,,
,\x00\x14,ICR0020,String字符串（变长）,,SC_DOCTOR_ATT,主治医师编码,,200,,
,\x00\x15,ICR0021,String字符串（变长）,,ST_DOCTOR_ATT,主治医师名称,,200,,
,\x00\x16,ICR0022,String字符串（变长）,,SC_DOCTOR_RES,住院医师编码,,200,,
,\x00\x17,ICR0023,String字符串（变长）,,ST_DOCTOR_RES,住院医师名称,,200,,
,\x00\x18,ICR0024,String字符串（变长）,,SC_DUTY_NURSE,主管护士编码,,200,,
,\x00\x19,ICR0025,String字符串（变长）,,ST_DUTY_NURSE,主管护士名称,,200,,
,\x00\x1A,ICR0026,String字符串（变长）,,SC_SECOND_NUR,第二主管护士编码,,200,,
,\x00\x1B,ICR0027,String字符串（变长）,,ST_SECOND_NUR,第二主管护士编码,,200,,
,\x00\x1C,ICR0028,Double双精度浮点型（8个字节）,,ICU_PAT_HEIGHT,身高,,,,
,\x00\x1D,ICR0029,Double双精度浮点型（8个字节）,,ICU_PAT_WEIGHT,体重,,,,
,\x00\x1E,ICR0030,Double双精度浮点型（8个字节）,,ICU_BODY_AREA,身体表面积,,,,
,\x00\x1F,ICR0031,String字符串（变长）,,ICU_TRANS,转归去向,D:死亡、A:自动出院、N:转非特护、T:转科、M:治愈出院、O:外出治疗,200,,
,\x00\x20,ICR0032,String字符串（变长）,,ICU_LIMIT_TREAT,限制治疗,W:维持原有治疗、D:撤出治疗、N:无限制治疗,200,,
,\x00\x21,ICR0033,Double双精度浮点型（8个字节）,,ICU_APACHE,APACHE评分,,,,
,\x00\x22,ICR0034,Short短整型（2个字节）,,BUNDLE_FINISH_INICU_TIME,集束化治疗完成与收治ICU时间间隔,,50,,
,\x00\x23,ICR0035,简化字典（Integer整型，4个字节）,,SD_SEVER_PAT_APAC_SC>=15,是否重症患者大于等于APACHE15分,,10,,
,\x00\x24,ICR0036,Short短整型（2个字节）,,RETURN_TRANSOUT_TIME,重返ICU后与转出ICU的时间间隔,,50,,
,\x00\x25,ICR0037,String字符串（变长）,,ST_ICU_RTN_TYPE,重返ICU类型名称,1手术、2导尿管、3呼吸机、4中心静脉置管、5放射,200,,
,\x00\x26,ICR0038,String字符串（变长）,,SC_ICU_RTN_TYPE,重返ICU类型编码,,100,,
,\x00\x27,ICR0039,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_RETURN_TIME,重返ICU时间,,200,,
,\x00\x28,ICR0040,简化字典（Integer整型，4个字节）,,SD_URIN_CATHE,导尿管留置标识,,10,,
,\x00\x29,ICR0041,简化字典（Integer整型，4个字节）,,SD_CAUTI_FLAG,CAUTI标识,CAUTI发生例数占同期 ICU患者导尿管留置总天数的比例,10,,
,\x00\x2A,ICR0042,简化字典（Integer整型，4个字节）,,SD_INTRA_CATH_IND,血管内导管留置标识,,10,,
,\x00\x2B,ICR0043,简化字典（Integer整型，4个字节）,,SD_CRBSI_FLAG,CRBSI标识,CRBSI发生例数占同期 ICU患者血管内导管留置总天数的比例,10,,
,\x00\x2C,ICR0044,简化字典（Integer整型，4个字节）,,SD_INVA_MACHINE_VENT,有创机械通气标识,,10,,
,\x00\x2D,ICR0045,简化字典（Integer整型，4个字节）,,SD_VAP_FLAG,VAP标识,VAP 发生例数占同期 ICU 患者有创机械通气总天 数的比例,10,,
,\x00\x2E,ICR0046,简化字典（Integer整型，4个字节）,,SD_OUT_48H_RETURN,转出ICU后48H内重返ICU标识,,10,,
,\x00\x2F,ICR0047,简化字典（Integer整型，4个字节）,,SD_OUT_ICU,转出ICU标识,,10,,
,\x00\x30,ICR0048,简化字典（Integer整型，4个字节）,,SD_TRAN_ICU,转入ICU标识,,10,,
,\x00\x31,ICR0049,简化字典（Integer整型，4个字节）,,SD_UNPLAN_TRAN_ICU,,,10,,
,\x00\x32,ICR0050,简化字典（Integer整型，4个字节）,,SD_PLAN_TRAC_INTUB_EXTUB_48H,气管插管计划拔管后48H内再插管标识,,10,,
,\x00\x33,ICR0051,简化字典（Integer整型，4个字节）,,SD_PLAN_TRAC_INTUB_EXTUB,气管插管拔管标识,,10,,
,\x00\x34,ICR0052,简化字典（Integer整型，4个字节）,,SD_UNPLAN_TRAC_INTUB_EXTUB,非计划气管插管拔管标识,,10,,
,\x00\x35,ICR0053,简化字典（Integer整型，4个字节）,,SD_ICU_DEATH,ICU死亡标识,,10,,
,\x00\x36,ICR0054,简化字典（Integer整型，4个字节）,,SD_DVT_FLAG,深静脉血栓(DVT)预防标识,深静脉血栓预防措施包括药物预防(肝素或低分子肝素抗凝)、机械预防(肢体加压泵、梯 度压力弹力袜等)以及下腔静脉滤器等,10,,
,\x00\x37,ICR0055,简化字典（Integer整型，4个字节）,,SD_ANTIDRUG_FLAG,抗菌药物治疗标识,,10,,
,\x00\x38,ICR0056,简化字典（Integer整型，4个字节）,,SD_ANTI_SENT_FLAG,使用抗菌药物前病原学检验标本送检标识,,10,,
,\x00\x39,ICR0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BUNDLE_FINISH_TIME,集束化治疗完成时间,,20,,
,\x00\x3A,ICR0058,简化字典（Integer整型，4个字节）,,SD_BUNDLE_FLAG,BUNDLE标识,"感染性休克3H集束化治疗,是指感染性休克诊断后3小时内完成：测量乳酸浓度；抗菌药物治疗前进行血培养；予以广谱抗菌药物；低血压或乳酸≥4MMOL/L 给予30ML/KG晶体液进行目标复苏",10,,
,\x00\x3B,ICR0059,简化字典（Integer整型，4个字节）,,SD_APACHEⅡ_SCORE,APACHEⅡ评分,,10,,
,\x00\x3C,ICR0060,简化字典（Integer整型，4个字节）,,SD_APACHEⅡ_SCORE>15,APACHEⅡ评分>15标记,,10,,
,\x00\x3D,ICR0061,简化字典（Integer整型，4个字节）,,OPER_FLAG,手术标记,,10,,
,\x00\x3E,ICR0062,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_OUT_DATE,转出ICU日期,,20,,
,\x00\x3F,ICR0063,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ICU_TRANSFER_DATE,转入ICU日期,,20,,
,\x00\x40,ICR0064,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
