索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_HOSP,表全名,JHPDL:JH_IN_HOSP,,,,,,
,表说明,患者住院就诊记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IHR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IHR0001,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，系统生成二级编码，如“H00.000.001”,20,是,是
,\x00\x02,IHR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IHR0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,IHR0004,Integer整型（4个字节）,,VISIT_NUM,住院次数,"该患者第几次住院，继承“JH_PAT_VISIT”的“PAV0009""",6,是,是
,\x00\x25,IHR0037,String字符串（变长）,,CASE_NO,病案号,院内病案号,200,是,是
,\x00\x29,IHR0041,String字符串（变长）,,PLS_NO,病理号,院内病理号,200,,
,\x00\x5E,IHR0094,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIS_DEPT_TIME,出科时间,,50,,
,\x00\x14,IHR0020,String字符串（变长）,,DISCHARGE_ROOM,出院病房,"患者出院时病房编码＋名称，如“001#,#306房”",200,,
,\x00\x47,IHR0071,String字符串（变长）,,SC_DIS_ROOM,出院病房编码,,200,,
,\x00\x48,IHR0072,String字符串（变长）,,ST_DIS_ROOM,出院病房名称,,200,,
,\x00\x13,IHR0019,String字符串（变长）,,DISCHARGE_WARD,出院病区,"患者出院时病区编码＋名称，如“001#,#内科一病区”",200,,
,\x00\x45,IHR0069,String字符串（变长）,,SC_DIS_WARD,出院病区编码,,200,,
,\x00\x46,IHR0070,String字符串（变长）,,ST_DIS_WARD,出院病区名称,,200,,
,\x00\x15,IHR0021,String字符串（变长）,,DISCHARGE_BED,出院床位,"患者出院时床位编码＋名称，如“001#,#36床”",200,,
,\x00\x49,IHR0073,String字符串（变长）,,SC_DIS_BED,出院床位编码,,200,,
,\x00\x4A,IHR0074,String字符串（变长）,,ST_DIS_BED,出院床位名称,,200,,
,\x00\x11,IHR0017,自定义字典类型，字符串（变长）,418,DISCHARGE_MODE,出院方式,出院方式（）,200,,
,\x00\x41,IHR0065,String字符串（变长）,,SC_DIS_MODE,出院方式编码,源业务系统的出院方式编码,200,是,是
,\x00\x42,IHR0066,String字符串（变长）,,ST_DIS_MODE,出院方式描述,源业务系统的出院方式描述,500,,
,\x00\x12,IHR0018,String字符串（变长）,,DISCHARGE_DEPT,出院科室,"患者出院的科室编码＋名称，如“001#,#内科”",200,是,是
,\x00\x43,IHR0067,String字符串（变长）,,SC_DIS_DEPT,出院科室编码,,200,,
,\x00\x44,IHR0068,String字符串（变长）,,ST_DIS_DEPT,出院科室名称,,200,,
,\x00\x10,IHR0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISCHARGE_TIME,出院时间,患者出院的日期与时间,19,是,是
,\x00\x61,IHR0097,String字符串（变长）,,SC_TREAT_RESULTS,出院治疗结果编码,,100,,
,\x00\x68,IHR0104,简化字典（Integer整型，4个字节）,,SD_TREAT_RESULTS,出院治疗结果编码,中台标准出院治疗结果编码,4,,
,\x00\x60,IHR0096,String字符串（变长）,,ST_TREAT_RESULTS,出院治疗结果名称,,100,,
,\x00\x0E,IHR0014,String字符串（变长）,,CURRENT_ROOM,当前病房,"患者入院时病房编码＋名称，如“001#,#306房”",200,,
,\x00\x3D,IHR0061,String字符串（变长）,,SC_CUR_ROOM,当前病房编码,,200,,
,\x00\x3E,IHR0062,String字符串（变长）,,ST_CUR_ROOM,当前病房名称,,200,,
,\x00\x0D,IHR0013,String字符串（变长）,,CURRENT_WARD,当前病区,"患者最新的所在病区编码＋名称，如“001#,#内科一病区”",200,,
,\x00\x3B,IHR0059,String字符串（变长）,,SC_CUR_WARD,当前病区编码,,200,,
,\x00\x3C,IHR0060,String字符串（变长）,,ST_CUR_WARD,当前病区名称,,200,,
,\x00\x0F,IHR0015,String字符串（变长）,,CURRENT_BED,当前床位,"患者最新的所在床位编码＋名称，如“001#,#36床”",200,,
,\x00\x3F,IHR0063,String字符串（变长）,,SC_CUR_BED,当前床位编码,,200,,
,\x00\x40,IHR0064,String字符串（变长）,,ST_CUR_BED,当前床位名称,,200,,
,\x00\x0C,IHR0012,String字符串（变长）,,CURRENT_DEPT,当前科室,"患者最新的所在科室编码＋名称，如“001#,#内科”",200,,
,\x00\x39,IHR0057,String字符串（变长）,,SC_CUR_DEPT,当前科室编码,,200,,
,\x00\x3A,IHR0058,String字符串（变长）,,ST_CUR_DEPT,当前科室名称,,200,,
,\x00\x27,IHR0039,String字符串（变长）,,MSR_NO,放射号,院内放射科号码,200,,
,\x00\x69,IHR0105,String字符串（变长）,,SC_CHARGE_TYPE,费别编码,,100,,
,\x00\x6A,IHR0106,String字符串（变长）,,ST_CHARGE_TYPE,费别说明,,100,,
,\x00\x23,IHR0035,String字符串（变长）,,ALLERGY_NOTE,过敏描述,描述出过敏源，如药物、食物、植物、动物等过敏源,4000,,
,\x00\x67,IHR0103,简化字典（Integer整型，4个字节）,,SD_NURSE_LV,护理等级编码,中台标准护理等级编码,4,,
,\x00\x16,IHR0022,自定义字典类型，字符串（变长）,419,NURSE_LV,护理级别,"护理级别编码＋名称，如“001#,#一级护理”",200,,
,\x00\x4B,IHR0075,String字符串（变长）,,SC_NURSE_LV,护理级别编码,,200,,
,\x00\x4C,IHR0076,String字符串（变长）,,ST_NURSE_LV,护理级别名称,,200,,
,\x00\x18,IHR0024,String字符串（变长）,,DOCTOR_IN_CHARGE,经治医师,"经治医师编码＋名称，如“1001#,#张三”",200,,
,\x00\x4F,IHR0079,String字符串（变长）,,SC_DOCT_IN,经治医师编码,,200,,
,\x00\x50,IHR0080,String字符串（变长）,,ST_DOCT_IN,经治医师名称,,200,,
,\x00\x24,IHR0036,String字符串（变长）,,VISIT_CARD_NO,就诊卡号,院内就诊卡号码,200,,
,\x00\x2B,IHR0043,自定义字典类型，字符串（变长）,383,VISIT_TYPE,就诊类型,"就诊类型，如“3#,#4#,#门诊”（直接复制JH_PAT_VISIT）",200,是,是
,\x00\x57,IHR0087,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,是,是
,\x00\x5A,IHR0090,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,200,是,是
,\x00\x5B,IHR0091,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,200,,
,\x00\x28,IHR0040,String字符串（变长）,,OUTP_NO,门诊号,院内门诊号,200,,
,\x00\x2D,IHR0045,String字符串（变长）,,CURRENT_AGE_UNIT,年龄单位,年龄单位,20,,
,\x00\x5F,IHR0095,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ADM_DEPT_TIME,入科时间,,50,,
,\x00\x0A,IHR0010,String字符串（变长）,,ADMISSION_ROOM,入院病房,"患者入院时病房编码＋名称，如“001#,#306房”",200,,
,\x00\x35,IHR0053,String字符串（变长）,,SC_ADM_ROOM,入院病房编码,,200,,
,\x00\x36,IHR0054,String字符串（变长）,,ST_ADM_ROOM,入院病房名称,,200,,
,\x00\x09,IHR0009,String字符串（变长）,,ADMISSION_WARD,入院病区,"患者入院时病区编码＋名称，如“001#,#内科一病区”",200,,
,\x00\x33,IHR0051,String字符串（变长）,,SC_ADM_WARD,入院病区编码,源业务系统的病区编码,200,,
,\x00\x34,IHR0052,String字符串（变长）,,ST_ADM_WARD,入院病区名称,源业务系统的病区名称,200,,
,\x00\x0B,IHR0011,String字符串（变长）,,ADMISSION_BED,入院床位,"患者入院时床位编码＋名称，如“001#,#36床”",200,,
,\x00\x37,IHR0055,String字符串（变长）,,SC_ADM_BED,入院床位编码,,200,,
,\x00\x38,IHR0056,String字符串（变长）,,ST_ADM_BED,入院床位名称,,200,,
,\x00\x08,IHR0008,String字符串（变长）,,ADMISSION_DEPT,入院科室,"患者入院时科室编码＋名称，如“001#,#内科”",200,是,是
,\x00\x31,IHR0049,String字符串（变长）,,SC_ADM_DEPT,入院科室编码,源业务系统的科室编码,200,是,是
,\x00\x32,IHR0050,String字符串（变长）,,ST_ADM_DEPT,入院科室名称,源业务系统的科室名称,200,,
,\x00\x1D,IHR0029,Short短整型（2个字节）,,CURRENT_AGE,入院年龄,大于1岁的患者，入院时候的年龄,6,,
,\x00\x06,IHR0006,自定义字典类型，字符串（变长）,384,IN_CIRCS,入院情况,入院情况,200,,
,\x00\x2F,IHR0047,String字符串（变长）,,ST_IN_CIRCS,入院情况,源业务系统的入院情况文字描述,4000,,
,\x00\x66,IHR0102,简化字典（Integer整型，4个字节）,,SD_IN_CIRCS,入院情况,中台标准入院情况编码,4,,
,\x00\x63,IHR0099,String字符串（变长）,,SC_IN_CIRCS,入院情况编码,源业务系统入院情况编码,20,,
,\x00\x1F,IHR0031,Double双精度浮点型（8个字节）,,BODY_HEIGHT,入院身高,入院时患者身高（厘米）,6,,
,\x00\x05,IHR0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ADMISSION_TIME,入院时间,患者入院的日期与时间,19,是,是
,\x00\x1E,IHR0030,Double双精度浮点型（8个字节）,,BODY_WEIGHT,入院体重,入院时患者体重（千克）,6,,
,\x00\x07,IHR0007,自定义字典类型，字符串（变长）,385,IN_AVENUE,入院途径,入院途径,200,,
,\x00\x30,IHR0048,String字符串（变长）,,ST_IN_AVENUE,入院途径,源业务系统的入院途径文字描述,200,,
,\x00\x65,IHR0101,简化字典（Integer整型，4个字节）,,SD_IN_AVENUE,入院途径,中台标准入院途径编码,4,,
,\x00\x62,IHR0098,String字符串（变长）,,SC_IN_AVENUE,入院途径编码,源业务系统入院途径编码,20,,
,\x00\x1C,IHR0028,String字符串（变长）,,INPUT_EMP,数据登记员,"数据录入登记员编码＋名称，如“1001#,#张三”",200,,
,\x00\x58,IHR0088,String字符串（变长）,,SC_INPUT_EMP,数据登记员编码,,200,,
,\x00\x59,IHR0089,String字符串（变长）,,ST_INPUT_EMP,数据登记员名称,,200,,
,\x00\x2E,IHR0046,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x20,IHR0032,Short短整型（2个字节）,,BABY_DAYS,新生儿年龄,小于1岁的新生儿患者，入院时候的出生天数,6,,
,\x00\x22,IHR0034,Double双精度浮点型（8个字节）,,BABY_HEIGHT,新生儿身高,小于1岁的新生儿患者，入院时候的身高（厘米）,6,,
,\x00\x21,IHR0033,Double双精度浮点型（8个字节）,,BABY_WEIGHT,新生儿体重,小于1岁的新生儿患者，入院时候的体重（克）,6,,
,\x00\x2A,IHR0042,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x2C,IHR0044,String字符串（变长）,,INSURANCE_TYPE,医保类型,医保类型,50,,
,\x00\x17,IHR0023,自定义字典类型，字符串（变长）,424,DIET_TYPE,饮食类型,"饮食编码＋名称，如“001#,#流食”",200,,
,\x00\x64,IHR0100,简化字典（Integer整型，4个字节）,,SD_DIET_TYPE,饮食类型,中台标准饮食类型编码,4,,
,\x00\x4D,IHR0077,String字符串（变长）,,SC_DIET_TYPE,饮食类型编码,,200,,
,\x00\x4E,IHR0078,String字符串（变长）,,ST_DIET_TYPE,饮食类型名称,,200,,
,\x00\x1B,IHR0027,String字符串（变长）,,DUTY_NURSE,责任护士,"责任护士编码＋名称，如“1001#,#张三”",200,,
,\x00\x55,IHR0085,String字符串（变长）,,SC_DUTY_NURSE,责任护士编码,,200,,
,\x00\x56,IHR0086,String字符串（变长）,,ST_DUTY_NURSE,责任护士名称,,200,,
,\x00\x1A,IHR0026,String字符串（变长）,,DOCTOR_CHIEF,主任医师,"主任医师编码＋名称，如“1001#,#张三”",200,,
,\x00\x53,IHR0083,String字符串（变长）,,SC_DOCT_CHIEF,主任医师编码,,200,,
,\x00\x54,IHR0084,String字符串（变长）,,ST_DOCT_CHIEF,主任医师名称,,200,,
,\x00\x5D,IHR0093,String字符串（变长）,,SC_MAIN_SYMP_COM,主要症状代码组合代码,,100,,
,\x00\x5C,IHR0092,String字符串（变长）,,ST_MAIN_SYMP_COM,主要症状代码组合名称,,100,,
,\x00\x19,IHR0025,String字符串（变长）,,DOCTOR_ATTENDING,主治医师,"主治医师编码＋名称，如“1001#,#张三”",200,,
,\x00\x51,IHR0081,String字符串（变长）,,SC_DOCT_ATT,主治医师编码,,200,,
