索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_HOSP_SUB,表全名,JHPDL:JH_IN_HOSP_SUB,,,,,,
,表说明,患者住院就诊记录（附）表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,SUA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,SUA0001,String字符串（变长）,,IN_HOSP_SUB_SN,住院就诊编号,住院就诊附页编号，系统生成二级编码，如“H00.000.001”,20,是,是
,\x00\x02,SUA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,SUA0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x04,SUA0004,String字符串（变长）,,SC_PTE_ICD,急性PTE诊断编码,急性PTE诊断编码,200,,
,\x00\x05,SUA0005,String字符串（变长）,,ST_PTE_ICD,急性PTE诊断名称,急性PTE诊断名称,200,,
,\x00\x06,SUA0006,简化字典（Integer整型，4个字节）,379,SD_PTE_FLAG,急性PTE患者标志,急性PTE患者标志,,,
,\x00\x07,SUA0007,简化字典（Integer整型，4个字节）,379,SD_PTE_CHECK_FLAG,急性PTE患者行确诊检查标志,急性PTE患者行确诊检查标志,,,
,\x00\x08,SUA0008,简化字典（Integer整型，4个字节）,379,SD_PTE_DVT_CHECK_FLAG,急性PTE患者行深静脉血栓相关检查标志,急性PTE患者行深静脉血栓相关检查标志,,,
,\x00\x09,SUA0009,简化字典（Integer整型，4个字节）,379,SD_PTE_HSI_CHECK_FLAG,急性PTE患者行危险分层相关检查标志,急性PTE患者行危险分层相关检查标志,,,
,\x00\x0A,SUA0010,简化字典（Integer整型，4个字节）,379,SD_PTE_GW_FLAG,高危急性PTE患者标志,高危急性PTE患者标志,,,
,\x00\x0B,SUA0011,简化字典（Integer整型，4个字节）,379,SD_RSZL_FLAG,溶栓治疗,溶栓治疗,,,
,\x00\x0C,SUA0012,简化字典（Integer整型，4个字节）,379,SD_PTE_KN_FLAG,急性PTE患者住院期间抗凝治疗标志,急性PTE患者住院期间抗凝治疗标志,,,
,\x00\x0D,SUA0013,简化字典（Integer整型，4个字节）,379,SD_BLOOD_FLAG,急性 PTE 患者发生大出血标记,急性 PTE 患者发生大出血标记,,,
,\x00\x0E,SUA0014,简化字典（Integer整型，4个字节）,379,SD_AECOPD_FLAG,慢阻肺标记,慢阻肺标记,,,
,\x00\x0F,SUA0015,简化字典（Integer整型，4个字节）,379,SD_AECOPD_JXJZ_FLAG,慢阻肺急性加重标记,慢阻肺急性加重标记,,,
,\x00\x10,SUA0016,简化字典（Integer整型，4个字节）,379,SD_AECOPD_DMXQFX_FLAG,行动脉血气分析标记,行动脉血气分析标记,,,
,\x00\x11,SUA0017,简化字典（Integer整型，4个字节）,379,SD_AECOPD_XBYXXJC_FLAG,行胸部影像学检查标记,行胸部影像学检查标记,,,
,\x00\x12,SUA0018,简化字典（Integer整型，4个字节）,379,SD_AECOPD_XDT_FLAG,行心电图检查标记,行心电图检查标记,,,
,\x00\x13,SUA0019,简化字典（Integer整型，4个字节）,379,SD_AECOPD_CSXDT_FLAG,行超声心动图检查标记,行超声心动图检查标记,,,
,\x00\x14,SUA0020,简化字典（Integer整型，4个字节）,379,SD_AECOPD_BYXSJ_FLAG,抗感染治疗前病原学送检标记,抗感染治疗前病原学送检标记,,,
,\x00\x15,SUA0021,简化字典（Integer整型，4个字节）,379,SD_AECOPD_WHXR_FLAG,应用雾化吸入支气管扩张剂治疗标记,应用雾化吸入支气管扩张剂治疗标记,,,
,\x00\x16,SUA0022,简化字典（Integer整型，4个字节）,379,SD_AECOPD_YCJQTQ_FLAG,使用有创机械通气治疗标记,使用有创机械通气治疗标记,,,
,\x00\x17,SUA0023,简化字典（Integer整型，4个字节）,379,SD_CAP_ASSESS_FLAG,进行CAP严重程度评估标记,进行CAP严重程度评估标记,,,
,\x00\x18,SUA0024,简化字典（Integer整型，4个字节）,379,SD_CAP_LOWRISK_FLAG,低危CAP标记,低危CAP标记,,,
,\x00\x19,SUA0025,简化字典（Integer整型，4个字节）,379,SD_CAP_FLAG,CAP标记,CAP标记,,,
,\x00\x1A,SUA0026,简化字典（Integer整型，4个字节）,379,SD_YSJH_FLAG,实施药学监护标记,实施药学监护标记,,,
,\x00\x1B,SUA0027,简化字典（Integer整型，4个字节）,379,SD_YYCW_FLAG,用药错误标记,用药错误标记,,,
,\x00\x1C,SUA0028,简化字典（Integer整型，4个字节）,379,SD_YPBLFY_ FLAG,严重或新的药品不良反应标记,严重或新的药品不良反应标记,,,
,\x00\x1D,SUA0029,简化字典（Integer整型，4个字节）,379,SD_KJY_FLAG,抗菌药物标记,患者就诊过程医嘱中只要有一个抗菌药物，符合该标记,,,
,\x00\x1E,SUA0030,简化字典（Integer整型，4个字节）,379,SD_TSKJY_FLAG,使用特殊级抗菌药物标志,患者就诊过程医嘱中只要有一个特殊抗菌药物，符合该标记,,,
,\x00\x1F,SUA0031,简化字典（Integer整型，4个字节）,379,SD_ILQKKJY_FLAG,Ⅰ类切口手术预防使用标记,Ⅰ类切口手术预防使用标记,,,
,\x00\x20,SUA0032,简化字典（Integer整型，4个字节）,379,SD_JMSY_FLAG,静脉输液标记,静脉输液标记,,,
,\x00\x21,SUA0033,简化字典（Integer整型，4个字节）,379,SD_ZYJMSY_FLAG,中药注射剂静脉输液标记,中药注射剂静脉输液标记,,,
,\x00\x22,SUA0034,简化字典（Integer整型，4个字节）,379,SD_JMZZBYZY_FLAG,静脉质子泵抑制药注射剂标记,静脉质子泵抑制药注射剂标记,,,
,\x00\x23,SUA0035,简化字典（Integer整型，4个字节）,379,SD_JY_FLAG,基药标志,患者就诊过程医嘱中只要使用一个基药，符合该标记,,,
,\x00\x24,SUA0036,Double双精度浮点型（8个字节）,,DDDS_VALUE,住院患者抗菌药物使用量（累计 DDD 数）,住院患者抗菌药物使用量（累计 DDD 数）,,,
,\x00\x25,SUA0037,简化字典（Integer整型，4个字节）,379,SD_FZJL_FLAG,癫痫各种发作类型的发作频率均得到记录标识,癫痫各种发作类型的发作频率均得到记录标识,,,
,\x00\x26,SUA0038,简化字典（Integer整型，4个字节）,379,SD_DX_FLAG,癫痫患者标识,癫痫患者标识,,,
,\x00\x27,SUA0039,简化字典（Integer整型，4个字节）,379,SD_DXQZ_FLAG,癫痫确诊3月及以上标识,癫痫确诊3月及以上标识,,,
,\x00\x28,SUA0040,简化字典（Integer整型，4个字节）,379,SD_GFYWZL_FLAG,3月及以上规范使用抗癫痫药物治疗标识,3月及以上规范使用抗癫痫药物治疗标识,,,
,\x00\x29,SUA0041,简化字典（Integer整型，4个字节）,379,SD_YWBL_FLAG,抗癫痫药物严重不良反应标识,抗癫痫药物严重不良反应标识,,,
,\x00\x2A,SUA0042,简化字典（Integer整型，4个字节）,379,SD_WCJC_FLAG,癫痫患者完成神经影像学及脑电图学相关检查标识,癫痫患者完成神经影像学及脑电图学相关检查标识,,,
,\x00\x2B,SUA0043,简化字典（Integer整型，4个字节）,379,SD_JSGHBSC_FLAG,癫痫患者精神行为共患病筛查标识,癫痫患者精神行为共患病筛查标识,,,
,\x00\x2C,SUA0044,简化字典（Integer整型，4个字节）,379,SD_YLQDXXJ_FLAG,育龄期女性癫痫患者妊娠宣教标识,育龄期女性癫痫患者妊娠宣教标识,,,
,\x00\x2D,SUA0045,简化字典（Integer整型，4个字节）,379,SD_YLQNX_FLAG,育龄期女性癫痫患者标识,育龄期女性癫痫患者标识,,,
,\x00\x2E,SUA0046,简化字典（Integer整型，4个字节）,379,SD_XDXZQSS_FLAG,行癫痫择期手术标识,行癫痫择期手术标识,,,
,\x00\x2F,SUA0047,简化字典（Integer整型，4个字节）,379,SD_XDXSS_FLAG,行癫痫手术标识,行癫痫手术标识,,,
,\x00\x30,SUA0048,简化字典（Integer整型，4个字节）,379,SD_DXBFZ_FLAG,行癫痫手术后在院并发症标识,行癫痫手术后在院并发症标识,,,
,\x00\x31,SUA0049,简化字典（Integer整型，4个字节）,379,SD_BLMQ_FALG,行癫痫手术后病理明确标识,行癫痫手术后病理明确标识,,,
,\x00\x32,SUA0050,简化字典（Integer整型，4个字节）,379,SD_JXYY_FLAG,出院时继续抗癫痫药物治疗标识,出院时继续抗癫痫药物治疗标识,,,
,\x00\x33,SUA0051,简化字典（Integer整型，4个字节）,379,SD_JJXDXCX_FLAG,惊厥性癫痫持续状态,惊厥性癫痫持续状态,,,
,\x00\x34,SUA0052,简化字典（Integer整型，4个字节）,379,SD_DDKZ_FLAG,1小时内得到控制标识,1小时内得到控制标识,,,
,\x00\x35,SUA0053,简化字典（Integer整型，4个字节）,379,SD_BZZLFA_FLAG,应用标准初始治疗方案治疗标识,应用标准初始治疗方案治疗标识,,,
,\x00\x36,SUA0054,简化字典（Integer整型，4个字节）,379,SD_NZX_FLAG,难治性标识,难治性标识,,,
,\x00\x37,SUA0055,简化字典（Integer整型，4个字节）,379,SD_MZYWZL_FLAG,应用麻醉药物治疗标识,应用麻醉药物治疗标识,,,
,\x00\x38,SUA0056,简化字典（Integer整型，4个字节）,379,SD_QGCGJXTQ_FLAG,启动气管插管或机械通气标识,启动气管插管或机械通气标识,,,
,\x00\x39,SUA0057,简化字典（Integer整型，4个字节）,379,SD_WCTBNDJC_FLAG,入院24小时内完成同步脑电监测标识,入院24小时内完成同步脑电监测标识,,,
,\x00\x3A,SUA0058,简化字典（Integer整型，4个字节）,379,SD_WCSYYXJC_FLAG,入院72小时内完成神经影像学检查标识,入院72小时内完成神经影像学检查标识,,,
,\x00\x3B,SUA0059,简化字典（Integer整型，4个字节）,379,SD_WCNJYBYJC_FLAG,入院72小时内完成脑脊液相关病因学检查标识,入院72小时内完成脑脊液相关病因学检查标识,,,
,\x00\x3C,SUA0060,简化字典（Integer整型，4个字节）,379,SD_BYXMQ_FLAG,住院期间病因学明确标识,住院期间病因学明确标识,,,
,\x00\x3D,SUA0061,简化字典（Integer整型，4个字节）,379,SD_CYDEAD_FALG,出院30天内死亡标识,出院30天内死亡标识,,,
,\x00\x3E,SUA0062,简化字典（Integer整型，4个字节）,379,SD_DELI_FLAG,分娩标志,分娩标志,,,
,\x00\x3F,SUA0063,简化字典（Integer整型，4个字节）,379,SD_CCF_FLAG,初产妇标志,初产妇标志,,,
,\x00\x40,SUA0064,简化字典（Integer整型，4个字节）,379,SD_YDFM_FLAG,阴道分娩标志,阴道分娩标志,,,
,\x00\x41,SUA0065,简化字典（Integer整型，4个字节）,379,SD_YDFMZGNMZ_FLAG,阴道分娩实施椎管内麻醉标志,阴道分娩实施椎管内麻醉标志,,,
,\x00\x42,SUA0066,简化字典（Integer整型，4个字节）,379,SD_ZC_FLAG,早产标志,早产标志,,,
,\x00\x43,SUA0067,简化字典（Integer整型，4个字节）,379,SD_ZQZC_FLAG,早期早产标志,早期早产标志,,,
,\x00\x44,SUA0068,简化字典（Integer整型，4个字节）,379,SD_JDE_FLAG,巨大儿标志,巨大儿标志,,,
,\x00\x45,SUA0069,简化字典（Integer整型，4个字节）,379,SD_HC_FLAG,活产标志,活产标志,,,
,\x00\x46,SUA0070,简化字典（Integer整型，4个字节）,379,SD_YZCHCX_FLAG,严重产后出血标志,严重产后出血标志,,,
,\x00\x47,SUA0071,简化字典（Integer整型，4个字节）,379,SD_YZCHCXSXZL_FLAG,严重产后出血输血治疗标志,严重产后出血输血治疗标志,,,
,\x00\x48,SUA0072,简化字典（Integer整型，4个字节）,379,SD_YCFSW_FLAG,孕产妇死亡标志,孕产妇死亡标志,,,
,\x00\x49,SUA0073,简化字典（Integer整型，4个字节）,379,SD_YSXGZGQC_FLAG,妊娠相关子宫切除标志,妊娠相关子宫切除标志,,,
,\x00\x4A,SUA0074,简化字典（Integer整型，4个字节）,379,SD_CHHSHFJHZCSS_FLAG,产后或术后非计划再次手术标志,产后或术后非计划再次手术标志,,,
,\x00\x4B,SUA0075,简化字典（Integer整型，4个字节）,379,SD_APGAR_FLAG,足月新生儿 5 分钟 APGAR 评分＜7 分标志,足月新生儿 5 分钟 APGAR 评分＜7 分标志,,,
,\x00\x4C,SUA0076,简化字典（Integer整型，4个字节）,379,SD_XQBDBFMTX_FLAG,血清白蛋白≥35G/L的腹膜透析标志,血清白蛋白≥35G/L的腹膜透析标志,100,,
,\x00\x4D,SUA0077,简化字典（Integer整型，4个字节）,379,SD_XQBDBXYTX_FLAG,血清白蛋白≥35G/L的维持性血液透析标志,血清白蛋白≥35G/L的维持性血液透析标志,100,,
,\x00\x4E,SUA0078,简化字典（Integer整型，4个字节）,379,SD_CKDMBDFMTX_FLAG,CKD-MBD指标控制达标的腹膜透析标志,CKD-MBD指标控制达标的腹膜透析标志,100,,
