索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_HOSP_SUB2,表全名,JHPDL:JH_IN_HOSP_SUB2,,,,,,
,表说明,住院就诊附表2,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,SUC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,SUC0001,String字符串（变长）,,IN_HOSP_SUB2_SN,住院就诊附表编号,"住院就诊附表编号，系统生成三级编码，如""SC0.000.000.001""",20,是,是
,\x00\x02,SUC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,SUC0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x04,SUC0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,200,,
,\x00\x05,SUC0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
,\x00\x06,SUC0006,简化字典（Integer整型，4个字节）,379,SD_HFJHECSS_FLAG,先心病介入治疗后非计划二次手术标识,,,,
,\x00\x07,SUC0007,简化字典（Integer整型，4个字节）,379,SD_HJRSX_FLAG,先心病介入治疗后给予输血标识,,,,
,\x00\x08,SUC0008,简化字典（Integer整型，4个字节）,379,SD_FSXZYS_FLAG,先心病介入治疗发生心脏压塞标识,,,,
,\x00\x09,SUC0009,简化字典（Integer整型，4个字节）,379,SD_FSRX_FLAG,先心病介入治疗发生溶血标识,,,,
,\x00\x0A,SUC0010,简化字典（Integer整型，4个字节）,379,SD_TFQSXFXDXQBYJWHZTLL_FLAG,先心病介入治疗同发期生行封先堵心器病移介位入或治脱疗落标识,,,,
,\x00\x0B,SUC0011,简化字典（Integer整型，4个字节）,379,SD_ZYQJSW_FLAG,先心病介入治疗住院期间死亡,,,,
,\x00\x0C,SUC0012,简化字典（Integer整型，4个字节）,379,SD_ASD/VSD_FLAG,ASD/VSD 介入治疗标识,,,,
,\x00\x0D,SUC0013,简化字典（Integer整型，4个字节）,379,SD_FSYZFSCDZZ_FLAG,ASD/VSD 介入治疗术中或术后发生严重房室传导阻滞标识,,,,
,\x00\x0E,SUC0014,简化字典（Integer整型，4个字节）,379,SD_XXBJRZLHZ_FLAG,先心病介入治疗患者标识,,,,
,\x00\x0F,SUC0015,简化字典（Integer整型，4个字节）,379,SD_XXBJRZLCG_FLAG,先心病介入治疗成功标识,,,,
,\x00\x10,SUC0016,简化字典（Integer整型，4个字节）,379,SD_DCGZDMPLYZSHZ_FLAG,单纯冠状动脉旁路移植术患者标识,单纯冠状动脉旁路移植术患者标识,5,,
,\x00\x11,SUC0017,简化字典（Integer整型，4个字节）,379,SZYQQJSW_FLAG,单纯冠状动脉旁路移植术住院期间死亡标识,单纯冠状动脉旁路移植术住院期间死亡标识,5,,
,\x00\x12,SUC0018,简化字典（Integer整型，4个字节）,379,SHLJXTQSJDYDYESSXS_FLAG,单纯冠状动脉旁路移植术后连续机械通气时间大于等于24小时标识,单纯冠状动脉旁路移植术后连续机械通气时间大于等于24小时标识,5,,
,\x00\x13,SUC0019,简化字典（Integer整型，4个字节）,379,HFSGSBGR_FLAG,单纯冠状动脉旁路移植术后发生胸骨深部感染标识,单纯冠状动脉旁路移植术后发生胸骨深部感染标识,5,,
,\x00\x14,SUC0020,简化字典（Integer整型，4个字节）,379,SHFSNZZZ_FLAG,单纯冠状动脉旁路移植术后发生脑卒中标识,单纯冠状动脉旁路移植术后发生脑卒中标识,5,,
,\x00\x15,SUC0021,简化字典（Integer整型，4个字节）,379,SHFJHECSS_FLAG,单纯冠状动脉旁路移植术后非计划二次手术标识,单纯冠状动脉旁路移植术后非计划二次手术标识,5,,
,\x00\x16,SUC0022,简化字典（Integer整型，4个字节）,379,SFSJXSSJ_FLAG,单纯冠状动脉旁路移植术后发生急性肾衰竭标识,单纯冠状动脉旁路移植术后发生急性肾衰竭标识,5,,
,\x00\x17,SUC0023,简化字典（Integer整型，4个字节）,379,SQESSXSNSSTZZJ_FLAG,单纯冠状动脉旁路移植术前24小时内使受体阻滞剂标识,单纯冠状动脉旁路移植术前24小时内使受体阻滞剂标识,5,,
,\x00\x18,SUC0024,简化字典（Integer整型，4个字节）,379,SWSQSX_FLAG,单纯冠状动脉旁路移植术围术期输血标识,单纯冠状动脉旁路移植术围术期输血标识,5,,
,\x00\x19,SUC0025,简化字典（Integer整型，4个字节）,379,SZSYRNDMXGQ_FLAG,单纯冠状动脉旁路移植术中使用乳内动脉血管桥标识,单纯冠状动脉旁路移植术中使用乳内动脉血管桥标识,5,,
,\x00\x1A,SUC0026,简化字典（Integer整型，4个字节）,379,SESSXSNASPL_FLAG,单纯冠状动脉旁路移植术后24小时内阿司匹林使用标识,单纯冠状动脉旁路移植术后24小时内阿司匹林使用标识,5,,
,\x00\x1B,SUC0027,简化字典（Integer整型，4个字节）,379,SCYTDLYWSY_FLAG,单纯冠状动脉旁路移植术出院他汀类药物使用标识,单纯冠状动脉旁路移植术出院他汀类药物使用标识,5,,
,\x00\x1C,SUC0028,简化字典（Integer整型，4个字节）,379,SCYASPLSY_FLAG,单纯冠状动脉旁路移植术出院阿司匹林使用标识,单纯冠状动脉旁路移植术出院阿司匹林使用标识,5,,
,\x00\x1D,SUC0029,简化字典（Integer整型，4个字节）,379,SCYSTZZJSY_FLAG,单纯冠状动脉旁路移植术出院Β受体阻滞剂使用标识,单纯冠状动脉旁路移植术出院Β受体阻滞剂使用标识,5,,
,\x00\x1E,SUC0030,简化字典（Integer整型，4个字节）,379,EJBSSHZ_FLAG,二尖瓣手术患者标识,二尖瓣手术患者标识,5,,
,\x00\x1F,SUC0031,简化字典（Integer整型，4个字节）,379,ZYJQSW_FLAG,二尖瓣手术住院期间死亡标识,二尖瓣手术住院期间死亡标识,5,,
,\x00\x20,SUC0032,简化字典（Integer整型，4个字节）,379,LXJXTQSJDYESSXS_FLAG,二尖瓣手术后连续机械通气时间大于等于 24 小时标识,二尖瓣手术后连续机械通气时间大于等于 24 小时标识,5,,
,\x00\x21,SUC0033,简化字典（Integer整型，4个字节）,379,XGSBGRFS_FLAG,二尖瓣手术后胸骨深部感染发生标识,二尖瓣手术后胸骨深部感染发生标识,5,,
,\x00\x22,SUC0034,简化字典（Integer整型，4个字节）,379,NZZFS_FLAG,二尖瓣手术后脑卒中发生标识,二尖瓣手术后脑卒中发生标识,5,,
,\x00\x23,SUC0035,简化字典（Integer整型，4个字节）,379,FJHECSS_FLAG,二尖瓣手术非计划二次手术标识,二尖瓣手术非计划二次手术标识,5,,
,\x00\x24,SUC0036,简化字典（Integer整型，4个字节）,379,EJBSSHFSJXSSJ_FLAG,二尖瓣手术后发生急性肾衰竭标识,二尖瓣手术后发生急性肾衰竭标识,5,,
,\x00\x25,SUC0037,简化字典（Integer整型，4个字节）,379,YTXXBBDZEJBGBBQXEJBXFS_FLAG,因退行性病变导致二尖瓣关闭不全行二尖瓣修复术标识,因退行性病变导致二尖瓣关闭不全行二尖瓣修复术标识,5,,
,\x00\x26,SUC0038,简化字典（Integer整型，4个字节）,379,YTXXBBDZEJBGBBQXEJBSS_FLAG,因退行性病变导致二尖瓣关闭不全行二尖瓣手术标识,因退行性病变导致二尖瓣关闭不全行二尖瓣手术标识,5,,
,\x00\x27,SUC0039,简化字典（Integer整型，4个字节）,379,CYSYKNYW_FLAG,二尖瓣手术出院使用抗凝药物标识,二尖瓣手术出院使用抗凝药物标识,5,,
,\x00\x28,SUC0040,简化字典（Integer整型，4个字节）,379,SYJSDCS_FLAG,二尖瓣手术术中使用经食道超声标识,二尖瓣手术术中使用经食道超声标识,5,,
,\x00\x29,SUC0041,简化字典（Integer整型，4个字节）,379,ZDMBSSHZ_FLAG,主动脉瓣手术患者标识,主动脉瓣手术患者标识,5,,
,\x00\x2A,SUC0042,简化字典（Integer整型，4个字节）,379,ZYSW_FLAG,主动脉瓣手术住院死亡标识,主动脉瓣手术住院死亡标识,5,,
,\x00\x2B,SUC0043,简化字典（Integer整型，4个字节）,379,XGSBGR_FLAG,主动脉瓣手术后发生胸骨深部感染标识,主动脉瓣手术后发生胸骨深部感染标识,5,,
,\x00\x2C,SUC0044,简化字典（Integer整型，4个字节）,379,SSNZZ_FLAG,主动脉瓣手术后发生脑卒中标识,主动脉瓣手术后发生脑卒中标识,5,,
,\x00\x2D,SUC0045,简化字典（Integer整型，4个字节）,379,FSJXSSJ_FLAG,主动脉瓣手术后发生急性肾衰竭标识,主动脉瓣手术后发生急性肾衰竭标识,5,,
,\x00\x2E,SUC0046,简化字典（Integer整型，4个字节）,379,SCYSYKNYW_FLAG,主动脉瓣手术出院使用抗凝药物标识,主动脉瓣手术出院使用抗凝药物标识,5,,
,\x00\x2F,SUC0047,简化字典（Integer整型，4个字节）,379,SSZSYJSDCS_FLAG,主动脉瓣手术术中使用经食道超声标识,主动脉瓣手术术中使用经食道超声标识,5,,
,\x00\x30,SUC0048,简化字典（Integer整型，4个字节）,379,SZRGZDMYXBMMJZSDY0.85_FLAG,主动脉瓣置换术中人工主动脉瓣有效瓣膜面积指数大于 0.85CM2/M2的患者标识,主动脉瓣置换术中人工主动脉瓣有效瓣膜面积指数大于 0.85CM2/M2的患者标识,5,,
,\x00\x31,SUC0049,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
