索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_MR,表全名,JHPDL:JH_IN_MR,,,,,,
,表说明,住院电子病历记录（病历索引和大文本编码）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IMR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IMR0001,String字符串（变长）,,IN_MR_SN,住院病历记录编号,住院病历记录编号，系统生成三级编码，如“ZM0.000.000.001”,20,是,是
,\x00\x02,IMR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IMR0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x04,IMR0004,String字符串（变长）,,MR_CODE,病历编号,,200,,
,\x00\x05,IMR0005,String字符串（变长）,,MR_NAME,病历文件名,,200,,
,\x00\x06,IMR0006,String字符串（变长）,,MR_TOPIC,文书标题,,200,,
,\x00\x08,IMR0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CREATE_TIME,创建时间,,19,是,是
,\x00\x0A,IMR0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_MODIFY_TIME,最后修改时间,,19,是,是
,\x00\x0C,IMR0012,String字符串（变长）,,MR_CLASS,模板大类,,200,是,是
,\x00\x0D,IMR0013,String字符串（变长）,,MR_SUB_CLASS,模板小类,,200,,
,\x00\x0F,IMR0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CAPTION_DATE_TIME,病历标题时间,,31,,
,\x00\x13,IMR0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PARENT_TIME,上级审签时间,,19,,
,\x00\x15,IMR0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SUPPER_TIME,主任审签时间,,19,,
,\x00\x16,IMR0022,String字符串（变长）,,TOPIC_DOCTOR_NAME,标题中的医生姓名,,200,,
,\x00\x19,IMR0025,String字符串（变长）,,FILE_COMMENT,备注,文件备注，用于照片、图片、录音等特殊文件备注,4000,,
,\x00\x1A,IMR0026,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FIRST_SIGN_TIME,首次签名时间,首次签名时间用于后续质控分析，分析是不是应付质控,19,,
,\x00\x1C,IMR0028,String字符串（变长）,,MR_CONTENT_HTML,HTML内容号,病历内容转成HTML格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,,
,\x00\x1D,IMR0029,String字符串（变长）,,MR_CONTENT_TEXT,TEXT内容号,病历内容转成TEXT格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,,
,\x00\x1E,IMR0030,String字符串（变长）,,MR_CONTENT_CDA,CDA内容号,病历内容转成CDA格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,,
,\x00\x1F,IMR0031,String字符串（变长）,,MR_CONTENT_PDF,PDF内容号,病历内容转成PDF格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,,
,\x00\x21,IMR0033,String字符串（变长）,,MR_LINK_URL,病历访问地址,可以是病历文件获取的URL地址，或详细的获得串等,500,,
,\x00\x22,IMR0034,String字符串（变长）,,MR_LINK_EXT,病历访问参数,用于从第三方获取病历内容的额外参数或扩展记录用,500,,
,\x00\x24,IMR0036,String字符串（变长）,,LINK_PARA,展示处理参数,指定展示与处理（获取）第三方病历内容文件的程序需要用到的扩展参数,200,,
,\x00\x25,IMR0037,String字符串（变长）,,MR_CONTENT_1,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x26,IMR0038,String字符串（变长）,,MR_CONTENT_2,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x27,IMR0039,String字符串（变长）,,MR_CONTENT_3,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x28,IMR0040,String字符串（变长）,,MR_CONTENT_4,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x29,IMR0041,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x2A,IMR0042,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x2B,IMR0043,String字符串（变长）,,SC_CREATOR,创建者编码,,200,,
,\x00\x2C,IMR0044,String字符串（变长）,,ST_CREATOR,创建者名称,,200,,
,\x00\x2D,IMR0045,String字符串（变长）,,SC_LAST_MODIFY,最后修改人编码,,200,,
,\x00\x41,IMR0065,String字符串（变长）,,SC_PHOTOCOPY,复印状态编码,源业务系统的复印状态编码,200,,
,\x00\x42,IMR0066,String字符串（变长）,,ST_PHOTOCOPY,复印状态描述,源业务系统的复印状态描述,200,,
,\x00\x2E,IMR0046,String字符串（变长）,,ST_LAST_MODIFY,最后修改人名称,,200,,
,\x00\x2F,IMR0047,简化字典（Integer整型，4个字节）,432,SD_MR_TYPE,文书归类简码,,20,,
,\x00\x30,IMR0048,String字符串（变长）,,ST_MR_TYPE,文书归类描述,,500,,
,\x00\x3F,IMR0063,String字符串（变长）,,SC_MR_TYPE,文书归类编码,源业务系统的文书归类编码,200,,
,\x00\x31,IMR0049,简化字典（Integer整型，4个字节）,433,SD_FILE_STA,病历状态简码,草稿、提交、经治医师审签、副主治医师审签、主治医师审签、科主任审签、已归档,20,,
,\x00\x32,IMR0050,String字符串（变长）,,ST_FILE_STA,病历状态描述,,200,,
,\x00\x40,IMR0064,String字符串（变长）,,SC_FILE_STA,病历状态编码,源业务系统的病历状态编码,200,,
,\x00\x33,IMR0051,String字符串（变长）,,SC_HOUSEMAN,实习医生编码,,200,,
,\x00\x34,IMR0052,String字符串（变长）,,ST_HOUSEMAN,实习医生名称,,200,,
,\x00\x35,IMR0053,简化字典（Integer整型，4个字节）,379,SD_ON_DUTY,是否值班医生,,20,,
,\x00\x36,IMR0054,String字符串（变长）,,SC_PARENT,上级医师编码,,200,,
,\x00\x37,IMR0055,String字符串（变长）,,ST_PARENT,上级医师名称,,200,,
,\x00\x38,IMR0056,String字符串（变长）,,SC_SUPPER,主任医师编码,,200,,
,\x00\x39,IMR0057,String字符串（变长）,,ST_SUPPER,主任医师名称,,200,,
,\x00\x3A,IMR0058,简化字典（Integer整型，4个字节）,434,SD_PHOTOCOPY,复印状态,复印状态；未复印、已复印、封存,20,,
,\x00\x3B,IMR0059,简化字典（Integer整型，4个字节）,435,SD_FILE_VISIT_TYPE,病历属性,病历属性；门诊、急诊留观、住院、体检、随访、科研,20,,
,\x00\x43,IMR0067,String字符串（变长）,,SC_FILE_VISIT_TYPE,病历属性编码,源业务系统的病历属性编码,200,,
,\x00\x44,IMR0068,String字符串（变长）,,ST_FILE_VISIT_TYPE,病历属性描述,源业务系统的病历属性描述,200,,
,\x00\x3C,IMR0060,简化字典（Integer整型，4个字节）,379,SD_DELETE,是否删除,是否删除,20,,
,\x00\x3D,IMR0061,简化字典（Integer整型，4个字节）,439,SD_MR_LINK_TYPE,病历内容格式,PDF、JPG等,20,,
,\x00\x45,IMR0069,String字符串（变长）,,SC_MR_LINK_TYPE,病历内容格式编码,源业务系统的病历内容格式编码,200,,
,\x00\x46,IMR0070,String字符串（变长）,,ST_MR_LINK_TYPE,病历内容格式描述,源业务系统的病历内容格式描述,200,,
,\x00\x3E,IMR0062,简化字典（Integer整型，4个字节）,438,SD_LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,20,,
,\x00\x47,IMR0071,String字符串（变长）,,SC_LINK_APP,展示处理程序编码,源业务系统的展示处理程序编码,200,,
,\x00\x48,IMR0072,String字符串（变长）,,ST_LINK_APP,展示处理程序描述,源业务系统的展示处理程序描述,200,,
,\x00\x49,IMR0073,String字符串（变长）,,SIGN_TYPE,签名类型,签名类型,10,,
,\x00\x4A,IMR0074,String字符串（变长）,,SIGN_STATUS,签名状态,签名状态,10,,
,\x00\x4B,IMR0075,String字符串（变长）,,SC_SIGN,签名人工号,签名人工号,200,,
,\x00\x4C,IMR0076,String字符串（变长）,,ST_SIGN,签名人姓名,签名人姓名,200,,
,\x00\x4D,IMR0077,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SIGNTIME,签名时间,签名时间,,,
,\x00\x4E,IMR0078,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x07,IMR0007,String字符串（变长）,,CREATOR_NAME,创建者,创建人员的编码＋名称,200,,
,\x00\x09,IMR0009,String字符串（变长）,,LAST_MODIFY_NAME,最后修改人,人员的编码＋名称,200,,
,\x00\x0B,IMR0011,自定义字典类型，字符串（变长）,432,MR_TYPE,文书归类,文书归类；如：病历概要、门（急）诊病历、急诊留观病历等,200,,
,\x00\x0E,IMR0014,自定义字典类型，字符串（变长）,433,FILE_FLAG,病历状态,草稿、提交、经治医师审签、副主治医师审签、主治医师审签、科主任审签、已归档,200,是,是
,\x00\x10,IMR0016,String字符串（变长）,,HOUSEMAN,实习医生,人员的编码＋名称,200,,
,\x00\x11,IMR0017,自定义字典类型，字符串（变长）,379,ON_DUTY_FLAG,值班医生标志,,200,,
,\x00\x12,IMR0018,String字符串（变长）,,PARENT_NAME,上级审签医师,人员的编码＋名称,200,,
,\x00\x14,IMR0020,String字符串（变长）,,SUPPER_NAME,主任审签医师,人员的编码＋名称,200,,
,\x00\x17,IMR0023,自定义字典类型，字符串（变长）,434,PHOTOCOPY,复印状态,复印状态；未复印、已复印、封存,200,,
,\x00\x18,IMR0024,自定义字典类型，字符串（变长）,435,FILE_VISIT_TYPE,病历属性,病历属性；门诊、急诊留观、住院、体检、随访、科研,200,,
,\x00\x1B,IMR0027,自定义字典类型，字符串（变长）,379,DELETE_FLAG,删除标记,是否删除,200,,
,\x00\x20,IMR0032,自定义字典类型，字符串（变长）,439,MR_LINK_TYPE,病历内容格式,PDF、JPG等,200,,
,\x00\x23,IMR0035,自定义字典类型，字符串（变长）,438,LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,200,,
