索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_ORDERS,表全名,JHPDL:JH_IN_ORDERS,,,,,,
,表说明,住院医嘱表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IOR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IOR0001,String字符串（变长）,,IN_ORDER_SN,医嘱项编号,住院医嘱项目编号，系统生成三级编码，如“ZD0.000.000.001”,20,是,是
,\x00\x02,IOR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IOR0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x17,IOR0023,String字符串（变长）,,FREQUENCY_DESC,执行频次描述,,200,,
,\x00\x15,IOR0021,Integer整型（4个字节）,,FREQ_INTERVAL,执行频次间隔,,20,,
,\x00\x14,IOR0020,Integer整型（4个字节）,,FREQUENCY,执行频次,,20,,
,\x00\x53,IOR0083,String字符串（变长）,,ST_PERFORM_DEPT,执行科室名称,,200,,
,\x00\x52,IOR0082,String字符串（变长）,,SC_PERFORM_DEPT,执行科室编码,,200,,
,\x00\x55,IOR0085,String字符串（变长）,,ST_PERFORM_WARD,执行病区名称,,200,,
,\x00\x54,IOR0084,String字符串（变长）,,SC_PERFORM_WARD,执行病区编码,,200,,
,\x00\x63,IOR0099,String字符串（变长）,,MAIN_ORDER_NO,长期医嘱主医嘱号,住院长期医嘱为滚医嘱方式时，对应的主医嘱ID号,100,,是
,\x00\x64,IOR0100,String字符串（变长）,,LAST_ORDER_NO,长期医嘱对应上一条医嘱号,长期医嘱滚医嘱方式时，对应的上一条滚出的长期医嘱ID号,100,,
,\x00\x6E,IOR0110,String字符串（变长）,,ST_REPEAT_INDI,长期医嘱标志名称,源业务系统长期医嘱标志名称,20,,
,\x00\x6C,IOR0108,String字符串（变长）,,SC_REPEAT_INDI,长期医嘱标志编码,源业务系统长期医嘱标志编码,20,,
,\x00\x3D,IOR0061,简化字典（Integer整型，4个字节）,379,SD_REPEAT_INDI,长期医嘱标志,长期医嘱标记，中台标准“是否”编码,20,,
,\x00\x80,IOR0128,String字符串（变长）,,ORDER_CANCEL_REASON,原因（医嘱撤销）,原因（医嘱撤销）,2000,,
,\x00\x2E,IOR0046,String字符串（变长）,,PRESC_DRUG_CAUSE,用药目的,,50,,
,\x00\x05,IOR0005,String字符串（变长）,,ORDER_SUB_NO,医嘱子序号,医嘱子序号，独立医嘱该项为1，成组医嘱则顺序增加,50,,
,\x00\x5D,IOR0093,String字符串（变长）,,ST_ORDER_STATE,医嘱状态说明,源业务系统的医嘱状态描述,200,,
,\x00\x58,IOR0088,String字符串（变长）,,ORDER_CHANGE_REASON,医嘱状态变更原因,医嘱状态变更原因,4000,,
,\x00\x5C,IOR0092,String字符串（变长）,,SC_ORDER_STATE,医嘱状态编码,源业务系统的医嘱状态编码,200,是,是
,\x00\x44,IOR0068,简化字典（Integer整型，4个字节）,390,SD_ORDER_STATE,医嘱状态,,20,,
,\x00\x73,IOR0115,String字符串（变长）,,ST_FREQ_INTERVAL,医嘱执行频率名称,源业务系统医嘱执行频率名称,200,,
,\x00\x72,IOR0114,String字符串（变长）,,SC_FREQ_INTERVAL,医嘱执行频率编码,源业务系统医嘱执行频率编码,200,,
,\x00\x74,IOR0116,简化字典（Integer整型，4个字节）,468,SD_FREQ_INTERVAL,医嘱执行频率,医嘱执行频率,20,,
,\x00\x07,IOR0007,String字符串（变长）,,ORDER_TEXT,医嘱正文,医嘱正文,500,是,是
,\x00\x04,IOR0004,String字符串（变长）,,ORDER_NO,医嘱序号,医嘱序号，主医嘱顺序号，该值相同则为一组，前提是住院就诊编号一样,50,,
,\x00\x1D,IOR0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,医嘱校对时间,,50,,
,\x00\x2B,IOR0043,String字符串（变长）,,ORDER_ID_CODE,医嘱唯一标识,医嘱系统的记录项唯一编号，若与业务主键一致可以不记录,50,是,是
,\x00\x22,IOR0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_CHECK_TIME,医嘱停止校对时间,校对医嘱停止的时间,19,,
,\x00\x28,IOR0040,String字符串（变长）,,ORDER_DESC,医嘱说明,,200,,
,\x00\x23,IOR0035,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_DATE_TIME,医嘱实际停止时间,护士实际停止医嘱的时间,31,是,是
,\x00\x5B,IOR0091,String字符串（变长）,,ST_AUDIT_STAFF,医嘱审核者姓名,医嘱审核者姓名,200,,
,\x00\x5A,IOR0090,String字符串（变长）,,SC_AUDIT_STAFF,医嘱审核者工号,医嘱审核者工号,200,,
,\x00\x59,IOR0089,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,AUDICT_TIME,医嘱审核时间,医嘱审核时间,31,,
,\x00\x3C,IOR0060,String字符串（变长）,,ST_ORDER_CLASS,医嘱类别描述,源业务系统的医嘱类别描述,500,,
,\x00\x3B,IOR0059,String字符串（变长）,,SC_ORDER_CLASS,医嘱类别编码,源业务系统的医嘱类别编码,200,是,是
,\x00\x6A,IOR0106,Integer整型（4个字节）,,SD_ORDER_CLASS,医嘱类别编码,"中台标准医嘱类别编码（医嘱类别，如“1#,#001#,#药品”）",4,,
,\x00\x1B,IOR0027,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_TIME,医嘱开立时间,,19,是,是
,\x00\x06,IOR0006,String字符串（变长）,,ORDER_CODE,医嘱代码,医嘱代码,100,是,是
,\x00\x27,IOR0039,Integer整型（4个字节）,,PRINT_NUM,医嘱打印次数,该医嘱已经打印的次数,20,,
,\x00\x36,IOR0054,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x7D,IOR0125,String字符串（变长）,,ST_DRUG_INS_CLASS,药物医保类别名称,药物医保类别名称,200,,
,\x00\x7C,IOR0124,String字符串（变长）,,SC_DRUG_INS_CLASS,药物医保类别编码,药物医保类别编码,200,,
,\x00\x7B,IOR0123,String字符串（变长）,,DRUG_INS_INFO,药物所属医保信息,药物所属医保信息,200,,
,\x00\x76,IOR0118,String字符串（变长）,,ST_DOSAGE_FORM,药物剂型名称,源业务系统药物剂型名称,200,,
,\x00\x75,IOR0117,String字符串（变长）,,SC_DOSAGE_FORM,药物剂型编码,源业务系统药物剂型编码,200,,
,\x00\x56,IOR0086,自定义字典类型，字符串（变长）,268,DOSAGE_FORM,药物剂型,药物剂型,200,,
,\x00\x77,IOR0119,简化字典（Integer整型，4个字节）,268,SD_DOSAGE_FORM,药物剂型,药物剂型,20,,
,\x00\x79,IOR0121,String字符串（变长）,,SC_DRUG_SPECIFICA,药物规格编码,药物规格编码,200,,
,\x00\x7A,IOR0122,String字符串（变长）,,ST_DRUG_SPECIFICA,药物规格编码,药物规格编码,200,,
,\x00\x57,IOR0087,String字符串（变长）,,DRUG_SPECIFICA,药物规格,药物规格,100,,
,\x00\x4D,IOR0077,String字符串（变长）,,ST_CHECK_NURSE,校对护士名称,,200,,
,\x00\x4C,IOR0076,String字符串（变长）,,SC_CHECK_NURSE,校对护士编码,,200,,
,\x00\x37,IOR0055,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x20,IOR0032,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_ENTER_TIME,停止医嘱录入时间,医生录入停止医嘱的时间,19,,
,\x00\x1F,IOR0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_DOCT_TIME,停止医嘱计划时间,医生计划停止医嘱的时间,19,,
,\x00\x4F,IOR0079,String字符串（变长）,,ST_STOP_DOCT,停止医生名称,,200,,
,\x00\x4E,IOR0078,String字符串（变长）,,SC_STOP_DOCT,停止医生编码,,200,,
,\x00\x51,IOR0081,String字符串（变长）,,ST_STOP_NURSE,停止护士名称,,200,,
,\x00\x50,IOR0080,String字符串（变长）,,SC_STOP_NURSE,停止护士编码,,200,,
,\x00\x6F,IOR0111,String字符串（变长）,,ST_SKIN_TEST,是否皮试名称,源业务系统是否皮试名称,20,,
,\x00\x6D,IOR0109,String字符串（变长）,,SC_SKIN_TEST,是否皮试编码,源业务系统是否皮试编码,20,,
,\x00\x47,IOR0071,简化字典（Integer整型，4个字节）,379,SD_SKIN_TEST,是否皮试,,20,,
,\x00\x43,IOR0067,String字符串（变长）,,ST_FREQ_INTE_UNIT,频次间隔单位描述,,500,,
,\x00\x70,IOR0112,String字符串（变长）,,SC_FREQ_INTE_UNIT,频次间隔单位编码,源业务系统频次间隔单位,20,,
,\x00\x69,IOR0105,Integer整型（4个字节）,,SD_FREQ_INTE_UNIT,频次间隔单位,中台标准频次间隔单位编码,4,,
,\x00\x34,IOR0052,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SKIN_TEST_TIME,皮试时间,,19,,
,\x00\x35,IOR0053,String字符串（变长）,,SKIN_TEST_RES,皮试结果,,500,,
,\x00\x13,IOR0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,WILL_STOP_TIME,拟停止时间,,19,,
,\x00\x12,IOR0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,WILL_START_TIME,拟开始时间,,19,是,是
,\x00\x39,IOR0057,String字符串（变长）,,SRC_OS_STATE,内部医嘱状态说明,源业务系统医嘱状态说明,200,,
,\x00\x38,IOR0056,String字符串（变长）,,SRC_OS_CODE,内部医嘱状态编码,源业务系统医嘱状态编码,200,是,是
,\x00\x2A,IOR0042,Double双精度浮点型（8个字节）,,DOSAGE_ONCE,每次剂量,,38,,
,\x00\x62,IOR0098,String字符串（变长）,,OPA_ANAEST_NO,麻醉单号,,100,,
,\x00\x4B,IOR0075,String字符串（变长）,,ST_ENTER_DOCT,开立医生名称,,200,,
,\x00\x4A,IOR0074,String字符串（变长）,,SC_ENTER_DOCT,开立医生编码,,200,,
,\x00\x49,IOR0073,String字符串（变长）,,ST_ENTER_DEPT,开立科室描述,,200,,
,\x00\x48,IOR0072,String字符串（变长）,,SC_ENTER_DEPT,开立科室编码,,200,,
,\x00\x3F,IOR0063,String字符串（变长）,,ST_DOSAGE_UNITS,剂量单位描述,,500,,
,\x00\x3E,IOR0062,String字符串（变长）,,SC_DOSAGE_UNITS,剂量单位编码,,200,,
,\x00\x67,IOR0103,Integer整型（4个字节）,,SD_DOSAGE_UNITS,剂量单位,中台标准剂量单位编码,4,,
,\x00\x0A,IOR0010,Double双精度浮点型（8个字节）,,DOSAGE,剂量,可以理解为医生开嘱后的药品按照频次及天数算出来的总剂量，具体药品用的总量是多少，可以在医嘱执行规范表中去体现,38,,
,\x00\x61,IOR0097,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态说明,200,,
,\x00\x60,IOR0096,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x46,IOR0070,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,,20,,
,\x00\x5F,IOR0095,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性说明,200,,
,\x00\x5E,IOR0094,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x45,IOR0069,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,,20,,
,\x00\x24,IOR0036,String字符串（变长）,,APPLY_SN,关联申请单号,该医嘱关联的申请单号,200,是,是
,\x00\x66,IOR0102,String字符串（变长）,,ST_LINKREPSTA_CODE,关联报告状态名称,,50,,
,\x00\x65,IOR0101,String字符串（变长）,,SC_LINKREPSTA_CODE,关联报告状态编码,,50,,
,\x00\x41,IOR0065,String字符串（变长）,,ST_PHAR_WAY,给药途径描述,源业务系统的给药途径和方法文字描述,500,,
,\x00\x40,IOR0064,String字符串（变长）,,SC_PHAR_WAY,给药途径编码,源业务系统的给药途径和方法编码,200,是,是
,\x00\x6B,IOR0107,Integer整型（4个字节）,,SD_PHAR_WAY,给药途径编码,中台标准给药途径编码,4,,
,\x00\x0E,IOR0014,String字符串（变长）,,INFUSION_SPEED,给药速度,,200,,
,\x00\x0C,IOR0012,String字符串（变长）,,DRUG_USING_TIME_POINT,给药时机,,200,,
,\x00\x0F,IOR0015,String字符串（变长）,,DRUG_USING_AREA,给药部位,,200,,
