索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_ORD_EXEC,表全名,JHPDL:JH_IN_ORD_EXEC,,,,,,
,表说明,住院医嘱执行表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IER,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IER0001,String字符串（变长）,,IN_ORD_EXEC_SN,医嘱执行编号,住院医嘱执行项目编号，系统生成三级编码，如“ZE0.000.000.001”,20,是,是
,\x00\x02,IER0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IER0003,String字符串（变长）,,IN_ORDER_SN,医嘱项编号,住院医嘱项目编号，来源JH_IN_ORDERS的IOR0001,20,是,是
,\x00\x04,IER0004,String字符串（变长）,,EXEC_SQN,执行单流水号,,200,,
,\x00\x11,IER0017,Integer整型（4个字节）,,DURATION,持续时间,一次执行的持续时间,20,,
,\x00\x54,IER0084,String字符串（变长）,,SC_DURA_UNITS,持续时间单位编码,源业务系统的持续时间单位编码,200,,
,\x00\x39,IER0057,简化字典（Integer整型，4个字节）,417,SD_DURA_UNITS,持续时间单位简码,,20,,
,\x00\x3A,IER0058,String字符串（变长）,,ST_DURA_UNITS,持续时间单位描述,,200,,
,\x00\x10,IER0016,String字符串（变长）,,DRUG_USING_AREA,给药部位,,200,,
,\x00\x0E,IER0014,String字符串（变长）,,DRUG_USING_TIME_POINT,给药时机,,200,,
,\x00\x0F,IER0015,String字符串（变长）,,INFUSION_SPEED,给药速度,,200,,
,\x00\x5A,IER0090,String字符串（变长）,,SC_PHAR_WAY,给药途径编码,电子病历评级SQL需要用到给药途径编码,100,,
,\x00\x5B,IER0091,String字符串（变长）,,ST_PHAR_WAY,给药途径描述,源业务系统的给药途径和方法文字描述,200,,
,\x00\x5C,IER0092,String字符串（变长）,,NIS_LEVEL,护理级别,护理级别,200,,
,\x00\x3E,IER0062,String字符串（变长）,,ST_PLAN_PRESC_WAY,计划执行方法描述,给药途径和方法,500,,
,\x00\x1F,IER0031,Double双精度浮点型（8个字节）,,PLAN_PRESC_DOSAGE,计划执行剂量,,38,,
,\x00\x4C,IER0076,String字符串（变长）,,SC_PLAN_NURSE,计划执行人编码,,200,,
,\x00\x4D,IER0077,String字符串（变长）,,ST_PLAN_NURSE,计划执行人名称,,200,,
,\x00\x21,IER0033,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_PRESC_TIME,计划执行时间,,19,,
,\x00\x41,IER0065,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,,20,,
,\x00\x56,IER0086,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x57,IER0087,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性描述,200,,
,\x00\x2F,IER0047,String字符串（变长）,,BILLING_CODE,计价项关联号,该执行项对应的费用明细项关联号码,200,,
,\x00\x42,IER0066,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,,20,,
,\x00\x58,IER0088,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x59,IER0089,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态描述,200,,
,\x00\x26,IER0038,String字符串（变长）,,DOSAGE_OFFSET_REASON,剂量不符原因,,4000,,
,\x00\x53,IER0083,String字符串（变长）,,SC_DOSAGE_UNITS,剂量单位编码,源业务系统的剂量单位编码,200,,
,\x00\x37,IER0055,简化字典（Integer整型，4个字节）,410,SD_DOSAGE_UNITS,剂量单位简码,剂量单位,20,,
,\x00\x38,IER0056,String字符串（变长）,,ST_DOSAGE_UNITS,剂量单位描述,,500,,
,\x00\x48,IER0072,String字符串（变长）,,SC_ENTER_DEPT,开立科室编码,,200,,
,\x00\x49,IER0073,String字符串（变长）,,ST_ENTER_DEPT,开立科室名称,,200,,
,\x00\x4A,IER0074,String字符串（变长）,,SC_ENTER_DOCT,开立医生编码,,200,,
,\x00\x4B,IER0075,String字符串（变长）,,ST_ENTER_DOCT,开立医生名称,,200,,
,\x00\x55,IER0085,String字符串（变长）,,SC_FREQ_INTE_UNIT,频次间隔单位编码,源业务系统的频次间隔单位编码,200,,
,\x00\x3B,IER0059,简化字典（Integer整型，4个字节）,417,SD_FREQ_INTE_UNIT,频次间隔单位简码,,20,,
,\x00\x3C,IER0060,String字符串（变长）,,ST_FREQ_INTE_UNIT,频次间隔单位描述,,500,,
,\x00\x22,IER0034,Double双精度浮点型（8个字节）,,REAL_DOSAGE,实际剂量,,38,,
,\x00\x25,IER0037,String字符串（变长）,,REAL_PRESC_WAY,实际执行方法,,200,,
,\x00\x4E,IER0078,String字符串（变长）,,SC_REAL_NURSE,实际执行人编码,,200,,
,\x00\x4F,IER0079,String字符串（变长）,,ST_REAL_NURSE,实际执行人名称,,200,,
,\x00\x23,IER0035,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REAL_PRESC_TIME,实际执行时间,,19,是,是
,\x00\x3D,IER0061,简化字典（Integer整型，4个字节）,379,SD_SPLIT_ORDER,是否分解医嘱,该执行单的医嘱是否从医嘱单上分解出来的,20,,
,\x00\x43,IER0067,简化字典（Integer整型，4个字节）,379,SD_MOBILE,是否移动执行,使用移动护理系统执行的,20,,
,\x00\x3F,IER0063,简化字典（Integer整型，4个字节）,379,SD_FINISH,是否已完成,执行完成标记,20,,
,\x00\x36,IER0054,简化字典（Integer整型，4个字节）,379,SD_REPEAT,是否长期医嘱,是否长期医嘱,20,,
,\x00\x40,IER0064,简化字典（Integer整型，4个字节）,379,SD_VALID,是否作废,,20,,
,\x00\x61,IER0097,String字符串（变长）,,SC_FINISH_EXEC,完成人编码,医嘱执行完成人编码,200,,
,\x00\x62,IER0098,String字符串（变长）,,ST_FINISH_EXEC,完成人名称,医嘱执行完成人名称,200,,
,\x00\x33,IER0051,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x32,IER0050,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x1B,IER0027,String字符串（变长）,,ORDER_NOTE,医嘱备注,,4000,,
,\x00\x09,IER0009,String字符串（变长）,,ORDER_CODE,医嘱代码,医嘱代码,200,,
,\x00\x19,IER0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_TIME,医嘱开立时间,,19,,
,\x00\x52,IER0082,String字符串（变长）,,SC_ORDER_CLASS,医嘱类别编码,源业务系统的医嘱类别编码,200,是,是
,\x00\x34,IER0052,简化字典（Integer整型，4个字节）,388,SD_ORDER_CLASS,医嘱类别简码,医嘱类别，如“药品”,20,,
,\x00\x35,IER0053,String字符串（变长）,,ST_ORDER_CLASS,医嘱类别描述,源业务系统的医嘱类别描述,500,,
,\x00\x1A,IER0026,String字符串（变长）,,ORDER_DESC,医嘱说明,,4000,,
,\x00\x07,IER0007,String字符串（变长）,,ORDER_NO,医嘱序号,医嘱序号，主医嘱顺序号，该值相同则为一组，前提是住院就诊编号一样,200,是,是
,\x00\x08,IER0008,String字符串（变长）,,ORDER_SUB_NO,医嘱子序号,医嘱子序号，独立医嘱该项为1，成组医嘱则顺序增加,200,,
,\x00\x0A,IER0010,String字符串（变长）,,ORDER_TEXT,医嘱正文,医嘱正文,500,是,是
,\x00\x5D,IER0093,String字符串（变长）,,MAIN_ORDER_NO,长期医嘱主医嘱号,长期医嘱滚医嘱方式时，本条记录对应的主医嘱ID号,100,,是
,\x00\x30,IER0048,Integer整型（4个字节）,,PRINT_NUM,执行单打印次数,该执行单已经打印的次数,20,,
,\x00\x1C,IER0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXEC_BUILD_TIME,执行单生成时间,,19,,
,\x00\x28,IER0040,String字符串（变长）,,WAY_OFFSET_REASON,执行方法不符原因,,4000,,
,\x00\x46,IER0070,String字符串（变长）,,SC_NURSE_CELL,执行护理站编码,,200,,
,\x00\x47,IER0071,String字符串（变长）,,ST_NURSE_CELL,执行护理站名称,,200,,
,\x00\x44,IER0068,String字符串（变长）,,SC_EXEC_DEPT,执行科室编码,,200,,
,\x00\x45,IER0069,String字符串（变长）,,ST_EXEC_DEPT,执行科室名称,,200,,
,\x00\x13,IER0019,Integer整型（4个字节）,,FREQUENCY,执行频次,,20,,
,\x00\x14,IER0020,Integer整型（4个字节）,,FREQ_INTERVAL,执行频次间隔,,20,,
,\x00\x16,IER0022,String字符串（变长）,,FREQUENCY_DESC,执行频次描述,,4000,,
,\x00\x27,IER0039,String字符串（变长）,,TIME_OFFSET_REASON,执行时间不符原因,,4000,,
,\x00\x60,IER0096,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FINISH_TIME,执行完成时间,医嘱执行完成时间,,,
,\x00\x5E,IER0094,String字符串（变长）,,SC_SHIFT_STATE,执行状态编码,源业务系统的当前执行状态编码,200,,
,\x00\x5F,IER0095,String字符串（变长）,,ST_SHIFT_STATE,执行状态说明,源业务系统的当前执行状态描述,200,,
,\x00\x50,IER0080,String字符串（变长）,,SC_VALID_USERCD,作废人编码,,200,,
,\x00\x51,IER0081,String字符串（变长）,,ST_VALID_USERCD,作废人名称,,200,,
,\x00\x2B,IER0043,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,VALID_TIME,作废时间,,19,,
,\x00\x63,IER0099,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x64,IER0100,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DRUG_RECV_TIME,药品接收时间,药品接收时间,,,
,\x00\x65,IER0101,String字符串（变长）,,SC_DRUG_RECV,药品接收人编码,药品接收人编码,200,,
,\x00\x66,IER0102,String字符串（变长）,,ST_DRUG_RECV,药品接收人姓名,药品接收人姓名,,,
,\x00\x67,IER0103,String字符串（变长）,,SC_BAIYAO_USER,摆药人编码,摆药人编码,200,,
,\x00\x68,IER0104,String字符串（变长）,,ST_BAIYAO_USER,摆药人姓名,摆药人姓名,200,,
,\x00\x69,IER0105,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BAIYAO_TIME,摆药时间,摆药时间,,,
,\x00\x6A,IER0106,String字符串（变长）,,SC_PEIYE_UESR,配液人编码,配液人编码,200,,
,\x00\x6B,IER0107,String字符串（变长）,,ST_PEIYE_USER,配液人姓名,配液人姓名,200,,
,\x00\x6C,IER0108,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PEIYE_TIME,配液时间,配液时间,,,
,\x00\x6D,IER0109,String字符串（变长）,,SC_DISPENSINF,配药人编号,配药人编号,200,,
,\x00\x6E,IER0110,String字符串（变长）,,ST_DISPENSINF,配药人姓名,配药人姓名,200,,
,\x00\x6F,IER0111,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISPENSINF_TIME,配药时间,配药时间,,,
,\x00\x05,IER0005,String字符串（变长）,,DEPT_NAME,执行科室,编码＋名称,200,,
,\x00\x06,IER0006,String字符串（变长）,,NURSE_CELL_NAME,执行护理站,编码＋名称,200,,
,\x00\x0B,IER0011,自定义字典类型，字符串（变长）,388,ORDER_CLASS,医嘱类别,"医嘱类别，如“1#,#001#,#药品”",200,是,是
,\x00\x0C,IER0012,自定义字典类型，字符串（变长）,379,REPEAT_INDICATOR,长期医嘱标志,是否长期医嘱,200,,
,\x00\x0D,IER0013,自定义字典类型，字符串（变长）,410,DOSAGE_UNITS,剂量单位,剂量单位,200,,
,\x00\x12,IER0018,自定义字典类型，字符串（变长）,417,DURATION_UNITS,持续时间单位,,200,,
,\x00\x15,IER0021,自定义字典类型，字符串（变长）,417,FREQ_INTERVAL_UNIT,执行频次间隔单位,,200,,
,\x00\x17,IER0023,String字符串（变长）,,ENTER_DEPT,医嘱开立科室,"开立医嘱医生所在的科室，科室编号＋名称，如“001#,#内科”",200,,
,\x00\x18,IER0024,String字符串（变长）,,ENTER_DOCTOR,医嘱开立医生,"医嘱开立的医生，医生编号＋名称，如“001#,#张三”",200,,
,\x00\x1D,IER0029,自定义字典类型，字符串（变长）,379,SPLIT_ORDER_FLAG,分解医嘱标记,该执行单的医嘱是否从医嘱单上分解出来的,200,,
,\x00\x1E,IER0030,String字符串（变长）,,PLAN_PRESC_NURSE,计划执行人,编码＋名称,200,,
