索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_ITEMS_DTL,表全名,JHPDL:JH_ITEMS_DTL,,,,,,
,表说明,耗材消耗明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MDE,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MDE0001,String字符串（变长）,,ITEMS_OUT_DTL_SN,耗材消耗明细唯一号,内部三级编码IC0.000.000.001,20,是,是
,\x00\x02,MDE0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MDE0003,String字符串（变长）,,PAT_VISIT_SN,就诊流水号,来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,MDE0004,String字符串（变长）,,PATIENT_ID,患者ID,,200,,
,\x00\x05,MDE0005,String字符串（变长）,,PATIENT_NAME,患者姓名,,200,,
,\x00\x06,MDE0006,String字符串（变长）,,ITEMS_SN,耗材唯一号,来源JH_DRUG_INFO表的MDI0001,200,,
,\x00\x07,MDE0007,String字符串（变长）,,SC_ORDER_ITM,HIS库字典编码,HIS系统里药品耗材的编码,200,,
,\x00\x08,MDE0008,String字符串（变长）,,ST_ORDER_ITM,HIS库字典名称,HIS系统里药品耗材的名称,200,,
,\x00\x09,MDE0009,String字符串（变长）,,SC_INVENTORY_ITM,药品耗材库存项编码,库存项目编码，可能区别于库存项ID,200,,
,\x00\x0A,MDE0010,String字符串（变长）,,ST_INVENTORY_ITM,药品耗材库存项名称,药品耗材的别名，非通用名，通用名放在下面字段，如只有一个名字，两个放一样即可,200,,
,\x00\x0B,MDE0011,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，后续跟踪记录使用，业务实际数据流转关联的ID号，可能与HIS_KEY不同，也可能相同,200,,
,\x00\x0C,MDE0012,Double双精度浮点型（8个字节）,,CHARGE_PRICE,单价,患者实际支付单价,200,,
,\x00\x0D,MDE0013,Double双精度浮点型（8个字节）,,CHARGE_AMOUNT,数量,患者实际支付数量,200,,
,\x00\x0E,MDE0014,String字符串（变长）,,CHARGE_UNIT,单位,,200,,
,\x00\x0F,MDE0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,INPUT_TIME,录入时间,,31,,
,\x00\x10,MDE0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHARGE_TIME,计费时间,,31,,
,\x00\x11,MDE0017,Double双精度浮点型（8个字节）,,CHARGE_TOTAL,总价,,38,,
,\x00\x12,MDE0018,String字符串（变长）,,SC_CHARGE_STATUS,费用状态,已收费、未收费、已退费等,200,,
,\x00\x13,MDE0019,String字符串（变长）,,ST_CHARGE_STATUS,费用状态,已收费、未收费、已退费等,200,,
,\x00\x14,MDE0020,String字符串（变长）,,SC_APPLY_DEPT,开单科室,,200,,
,\x00\x15,MDE0021,String字符串（变长）,,ST_APPLY_DEPT,开单科室,,200,,
,\x00\x16,MDE0022,String字符串（变长）,,SC_APPLY_OPERA,申请人,,200,,
,\x00\x17,MDE0023,String字符串（变长）,,ST_APPLY_OPERA,申请人,,200,,
,\x00\x18,MDE0024,String字符串（变长）,,SC_EXEC_DEPT,执行科室,,200,,
,\x00\x19,MDE0025,String字符串（变长）,,ST_EXEC_DEPT,执行科室,,200,,
,\x00\x1A,MDE0026,String字符串（变长）,,SC_EXEC_OPERA,执行人,,200,,
,\x00\x1B,MDE0027,String字符串（变长）,,ST_EXEC_OPERA,执行人,,200,,
,\x00\x1C,MDE0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXEC_TIME,执行时间,,31,,
,\x00\x1D,MDE0029,简化字典（Integer整型，4个字节）,379,SD_HIGH_PRICE,是否高值耗材,是否高值耗材,20,,
,\x00\x1E,MDE0030,String字符串（变长）,,BAR_CODE,条码号,一般高值耗材才有条码号,100,,
,\x00\x1F,MDE0031,简化字典（Integer整型，4个字节）,379,SD_IMPLAN_CONSU,是否植入,是否植入耗材,20,,
,\x00\x20,MDE0032,String字符串（变长）,,REMARKS,备注,,200,,
,\x00\x23,MDE0035,简化字典（Integer整型，4个字节）,392,SD_CHARGE_STATUS,费用状态简码,中台标准代码，计价状态,,,
,\x00\x21,MDE0033,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x22,MDE0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x24,MDE0036,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
