索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_ITEMS_OUT,表全名,JHPDL:JH_ITEMS_OUT,,,,,,
,表说明,耗材出库明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MDD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MDD0001,String字符串（变长）,,ITEMS_OUT_DTL_SN,耗材出库一号,内部三级编码IB0.000.000.001,20,是,是
,\x00\x02,MDD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MDD0003,String字符串（变长）,,DRUG_INFO_SN,耗材唯一号,来源JH_DRUG_INFO表的MDI0001,20,是,是
,\x00\x04,MDD0004,String字符串（变长）,,ITEMS_INFO_SN,库存项SN,强关联备用，弱关联时可不用编写该字段规则,200,,
,\x00\x05,MDD0005,String字符串（变长）,,ITEMS_BATCH_SN,批次SN,强关联备用，弱关联时可不用编写该字段规则,200,,
,\x00\x06,MDD0006,String字符串（变长）,,HIS_INV_ITM_ID,库存项ID,库存项业务唯一ID，库存项目字典的MDI0009，弱关联必须,200,,
,\x00\x07,MDD0007,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x08,MDD0008,String字符串（变长）,,BATCH_NO,批次号,业务实际批次号,200,,
,\x00\x09,MDD0009,String字符串（变长）,,SC_INVENTORY_ITM,库存项编码,,200,,
,\x00\x0A,MDD0010,String字符串（变长）,,ST_INVENTORY_ITM,库存项名称,,200,,
,\x00\x0B,MDD0011,String字符串（变长）,,ITEMS_OUT_NO,出库单号,出库单主单号,200,,
,\x00\x0C,MDD0012,String字符串（变长）,,ITEMS_OUT_SUB_NO,出库子序号,出库单明细子顺序号,200,,
,\x00\x0D,MDD0013,Double双精度浮点型（8个字节）,,ITEMS_OUT_NUM,出库数量,申请数量,38,,
,\x00\x0E,MDD0014,Double双精度浮点型（8个字节）,,ITEMS_KC_NUM,当前库存,当前耗材在转出库的库存量,38,,
,\x00\x0F,MDD0015,String字符串（变长）,,ITEMS_SPEC,耗材规格,在转出库的规格,200,,
,\x00\x10,MDD0016,String字符串（变长）,,SC_ITEMS_OUT_UNIT,耗材单位,在转出库的单位,200,,
,\x00\x11,MDD0017,Double双精度浮点型（8个字节）,,OUT_BAT_AMOUNT,调拨批次总金额,耗材批发价,38,,
,\x00\x12,MDD0018,Double双精度浮点型（8个字节）,,OUT_BAT_AVE_PRICE,出库批次单价,,38,,
,\x00\x13,MDD0019,Double双精度浮点型（8个字节）,,OUT_PUR_AMOUNT,进价总金额,耗材进货价,38,,
,\x00\x14,MDD0020,Double双精度浮点型（8个字节）,,OUT_PUR_AVE_PRICE,出库进价单价,,38,,
,\x00\x15,MDD0021,Double双精度浮点型（8个字节）,,OUT_SEL_AMOUNT,出库售价总金额,耗材零售价,38,,
,\x00\x16,MDD0022,Double双精度浮点型（8个字节）,,OUT_SEL_AVE_PRICE,出库售价单价,,38,,
,\x00\x17,MDD0023,String字符串（变长）,,SC_IN_STORAGE_ROOM,入库库房/科室ID,类似二级库概念,200,,
,\x00\x18,MDD0024,String字符串（变长）,,ST_IN_STORAGE_ROOM,入库库房/科室名称,类似二级库概念,200,,
,\x00\x19,MDD0025,String字符串（变长）,,SC_OUT_STORAGE_ROOM,出库库房/科室ID,类似一级库概念,200,,
,\x00\x1A,MDD0026,String字符串（变长）,,ST_OUT_STORAGE_ROOM,出库库房/科室名称,类似一级库概念,200,,
,\x00\x1B,MDD0027,简化字典（Integer整型，4个字节）,379,SD_HIGH_PRICE,是否高值耗材,是否高值耗材,20,,
,\x00\x1C,MDD0028,String字符串（变长）,,BAR_CODE,条码号,一般高值耗材才有条码号,100,,
,\x00\x1D,MDD0029,String字符串（变长）,,REMARKS,备注,,200,,
,\x00\x1E,MDD0030,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x1F,MDD0031,String字符串（变长）,,ST_ITEMS_OUT_UNIT,耗材单位文字描述,在转出库的单位中文名称，如果耗材单位为KG，则对应中文名称：千克,200,,
,\x00\x20,MDD0032,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
