索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_LAB_APPLY,表全名,JHPDL:JH_LAB_APPLY,,,,,,
,表说明,患者检验申请单,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,LAP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,LAP0001,String字符串（变长）,,LAB_APPLY_SN,检验申请单编号,检验申请单编号，系统生成三级编码，如“LA0.000.000.001”,20,是,是
,\x00\x02,LAP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,LAP0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x56,LAP0086,String字符串（变长）,,SAMPLE_STATUS,标本状态,标本状态,200,,
,\x00\x0A,LAP0010,String字符串（变长）,,SPECIMEN_DESC,标本说明,标本采集的条件说明，如饭前、饭后一小时等，自由输入,200,,
,\x00\x0C,LAP0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SPCM_REC_TIME,标本收到时间,标本实际收到日期及时间,23,,
,\x00\x42,LAP0066,String字符串（变长）,,ST_SPEC_TYPE,标本类型描述,源业务系统标本类型描述,500,,
,\x00\x40,LAP0064,简化字典（Integer整型，4个字节）,437,SD_SPEC_TYPE,标本类型简码,标本分类，中台字典：粪便、尿、血液,20,,
,\x00\x41,LAP0065,String字符串（变长）,,SC_SPEC_TYPE,标本类型编码,源业务系统标本类型编码,200,,
,\x00\x48,LAP0072,String字符串（变长）,,ST_SPCM_RECIVE_EMP,标本接收人名称,标本接收人名称,200,,
,\x00\x49,LAP0073,String字符串（变长）,,SC_SPCM_RECIVE_EMP,标本接收人编码,标本接收人编码,200,,
,\x00\x0B,LAP0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SPCM_SAM_TIME,标本采样时间,标本实际采样日期及时间,23,,
,\x00\x46,LAP0070,String字符串（变长）,,ST_SPCM_COLLECT_EMP,标本采集人名称,标本采集人名称,200,,
,\x00\x45,LAP0069,String字符串（变长）,,SC_SPCM_COLLECT_EMP,标本采集人编码,标本采集人编码,200,,
,\x00\x1A,LAP0026,Integer整型（4个字节）,,SPCM_SAM_NUM,标本采集量,,20,,
,\x00\x31,LAP0049,Double双精度浮点型（8个字节）,,SPCM_SAM_NUM_D,标本采集量,修改成浮点型,38,,
,\x00\x09,LAP0009,String字符串（变长）,,SPECIMEN,标本,使用标准描述，如血、尿等,200,,
,\x00\x1E,LAP0030,String字符串（变长）,,APPLY_NOTE,备注,,4000,,
,\x00\x5A,LAP0090,String字符串（变长）,,PRIORITY_LEVEL,优先级别,优先级别,200,,
,\x00\x20,LAP0032,String字符串（变长）,,ORDER_TEXT,医嘱正文,医嘱正文,500,,
,\x00\x1F,LAP0031,String字符串（变长）,,ORDER_CODE,医嘱代码,医嘱代码,50,,
,\x00\x2D,LAP0045,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x32,LAP0050,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x19,LAP0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BAR_CODE_TIME,条码生成时间,标本采集容器上的条码生成时间,23,,
,\x00\x18,LAP0024,String字符串（变长）,,BAR_CODE,条码编码,标本采集容器上的条码,200,,
,\x00\x59,LAP0089,String字符串（变长）,,ST_CANCEL_FLAG,是否作废名称,源业务系统是否作废名称,20,,
,\x00\x58,LAP0088,String字符串（变长）,,SC_CANCEL_FLAG,是否作废编码,源业务系统是否作废编码,20,,
,\x00\x3F,LAP0063,简化字典（Integer整型，4个字节）,379,SD_CANCEL_FLAG,是否作废,,20,,
,\x00\x24,LAP0036,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CANCEL_TIME,作废时间,,23,,
,\x00\x25,LAP0037,String字符串（变长）,,CANCEL_EMP,作废人,,50,,
,\x00\x2C,LAP0044,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRINT_LAST_TIME,最后打印时间,该申请单最后一次打印时间,23,,
,\x00\x27,LAP0039,Double双精度浮点型（8个字节）,,LAB_APPLY_FEE,总费用,,38,,
,\x00\x38,LAP0056,String字符串（变长）,,ST_LAB_DEPT,执行科室名称,,200,,
,\x00\x37,LAP0055,String字符串（变长）,,SC_LAB_DEPT,执行科室编码,,200,,
,\x00\x5D,LAP0093,String字符串（变长）,,ST_APPLY_CHECK,审核者姓名,审核者姓名,200,,
,\x00\x5C,LAP0092,String字符串（变长）,,SC_APPLY_CHECK,审核者编码,审核者编码,200,,
,\x00\x5B,LAP0091,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,审核日期时间 ,审核日期时间 ,19,,
,\x00\x4B,LAP0075,String字符串（变长）,,ST_LAB_APY_STATE,申请状态说明,源业务系统的申请状态描述,200,,
,\x00\x4A,LAP0074,String字符串（变长）,,SC_LAB_APY_STATE,申请状态编码,源业务系统的申请状态编码,200,是,是
,\x00\x39,LAP0057,简化字典（Integer整型，4个字节）,393,SD_LAB_APY_STATE,申请状态,,20,是,是
,\x00\x36,LAP0054,String字符串（变长）,,ST_ORDER_DOCT,申请医生名称,,200,,
,\x00\x35,LAP0053,String字符串（变长）,,SC_ORDER_DOCT,申请医生编码,,200,,
,\x00\x0D,LAP0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ORDER_TIME,申请时间,申请日期及时间,23,是,是
,\x00\x34,LAP0052,String字符串（变长）,,ST_ORDER_DEPT,申请科室名称,,200,,
,\x00\x33,LAP0051,String字符串（变长）,,SC_ORDER_DEPT,申请科室编码,,200,,
,\x00\x21,LAP0033,String字符串（变长）,,ORDER_WARD,申请病区,申请病区,50,,
,\x00\x57,LAP0087,String字符串（变长）,,CONTAINERS,容器类别,容器类别,200,,
,\x00\x06,LAP0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,WILL_EXE_DATE,拟执行时间,准备执行日期或时间,31,,
,\x00\x08,LAP0008,String字符串（变长）,,CLINIC_DIAG,临床诊断,"临床诊断编码+描述，如“2222#,#肺炎”",200,,
,\x00\x53,LAP0083,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,200,,
,\x00\x52,LAP0082,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,200,是,是
,\x00\x44,LAP0068,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,是,是
,\x00\x55,LAP0085,String字符串（变长）,,ST_SPCM_EXEC_EMP,检验执行人名称,检验执行人名称,200,,
,\x00\x54,LAP0084,String字符串（变长）,,SC_SPCM_EXEC_EMP,检验执行人编码,检验执行人编码,200,,
,\x00\x2A,LAP0042,String字符串（变长）,,LAB_TEST_HOSP,检验医院,,200,,
,\x00\x30,LAP0048,String字符串（变长）,,LAB_ITEM_NAME,检验项目名称,检验项目名称,700,,
,\x00\x2F,LAP0047,String字符串（变长）,,LAB_ITEM_CODE,检验项目编码,检验项目编码,200,,
,\x00\x47,LAP0071,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAB_TIME,检验时间,实际检验时间,31,是,是
,\x00\x05,LAP0005,String字符串（变长）,,LAB_APPLY_SRC,检验申请来源,检验申请单来源，如门诊、住院、外来、急诊,200,是,是
,\x00\x04,LAP0004,String字符串（变长）,,LAB_APPLY_CODE,检验申请单号,业务系统使用的检验申请单号,50,是,是
,\x00\x28,LAP0040,String字符串（变长）,,LAB_DEVICE,检验设备,,200,,
,\x00\x07,LAP0007,String字符串（变长）,,TEST_CAUSE,检验目的,正文描述，如查体等,800,,
,\x00\x3E,LAP0062,String字符串（变长）,,ST_LAB_APPLY_TYPE,检验类别描述,源业务系统检验类型描述,500,,
,\x00\x3C,LAP0060,简化字典（Integer整型，4个字节）,399,SD_LAB_APPLY_TYPE,检验类别简码,检验大类，中台字典：血液、生化、免疫,20,,
,\x00\x3D,LAP0061,String字符串（变长）,,SC_LAB_APPLY_TYPE,检验类别编码,源业务系统检验类型编码,200,,
,\x00\x5F,LAP0095,String字符串（变长）,,ST_LIS_METHOD,检验方法名,检验方法名,200,,
,\x00\x5E,LAP0094,String字符串（变长）,,SC_LIS_METHOD,检验方法编码,检验方法编码,200,,
,\x00\x4F,LAP0079,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态描述,200,,
,\x00\x4E,LAP0078,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x3B,LAP0059,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,未计价、计价完成、已缴费、申请退费、已退费,20,,
,\x00\x4D,LAP0077,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性描述,200,,
,\x00\x4C,LAP0076,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x3A,LAP0058,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,正常计价、自带药,20,,
,\x00\x1C,LAP0028,String字符串（变长）,,LAB_APPLY_URGENT,急查类型,急查类型，如急诊、特诊,50,,
,\x00\x1D,LAP0029,String字符串（变长）,,ORDER_LINK,关联医嘱,关联住院医嘱或门诊处方的唯一码,500,是,是
,\x00\x29,LAP0041,String字符串（变长）,,LAB_TEST_ORG,第三方检验机构,区分院外或院内检验,200,,
,\x00\x17,LAP0023,Integer整型（4个字节）,,PRINT_NUM,打印次数,该申请单已经打印的次数,20,,
,\x00\x51,LAP0081,String字符串（变长）,,ST_INFE_FLAG,传染标志说明,源业务系统的传染标志描述,200,,
,\x00\x50,LAP0080,String字符串（变长）,,SC_INFE_FLAG,传染标志编码,源业务系统的传染标志编码,200,,
,\x00\x43,LAP0067,简化字典（Integer整型，4个字节）,379,SD_INFE_FLAG,传染标志,,20,,
,\x00\x12,LAP0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,RESULTS_TIME,出报告时间,报告结果发布日期及时间,23,,
,\x00\x1B,LAP0027,String字符串（变长）,,SPCM_SAM_NUM_UNIT,采集量单位,采集量单位，如ML、管、G,50,,
,\x00\x13,LAP0019,String字符串（变长）,,RESULTS_DOCTOR,报告者,报告结果发布人,200,,
,\x00\x14,LAP0020,String字符串（变长）,,RESULTS_CHECK,报告审核者,报告结果审核人,200,,
,\x00\x60,LAP0096,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x61,LAP0097,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SPCM_TRANS_TIME,标本运送时间,,,,
,\x00\x62,LAP0098,String字符串（变长）,,SC_SPCM_TRANS_EMP,标本运送人编码,,100,,
,\x00\x63,LAP0099,String字符串（变长）,,ST_SPCM_TRANS_EMP,标本运送人名称,,100,,
,\x00\x64,LAP0100,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SPCM_REJ_TIME,标本拒收时间,,,,
,\x00\x65,LAP0101,String字符串（变长）,,SC_SPCM_REJ_EMP,标本拒收人编码,,100,,
,\x00\x66,LAP0102,String字符串（变长）,,ST_SPCM_REJ_EMP,标本拒收人名称,,100,,
,\x00\x67,LAP0103,String字符串（变长）,,ST_SPCM_CHECK_EMP,标本核收人名称,,100,,
,\x00\x68,LAP0104,String字符串（变长）,,SC_SPCM_CHECK_EMP,标本核收人编码,,100,,
,\x00\x69,LAP0105,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SPCM_CHECK_TIME,标本核收时间,,,,
,\x00\x6A,LAP0106,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BARCODE_PRINT_TIME,条码打印时间,条码打印时间,,,
,\x00\x6B,LAP0107,String字符串（变长）,,SC_BARCODE_PRINT,条码打印人编码,条码打印人编码,200,,
,\x00\x6C,LAP0108,String字符串（变长）,,ST_BARCODE_PRINT,条码打印人名称,条码打印人名称,200,,
,\x00\x0E,LAP0014,String字符串（变长）,,ORDER_DEPT,申请科室,"申请科室，科室编号＋名称，如“001#,#内科”",200,是,是
,\x00\x0F,LAP0015,String字符串（变长）,,ORDER_DOCTOR,申请医生,"申请医生，医生编号＋名称，如“001#,#张三”",200,,
