索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_LAB_APY_DTL,表全名,JHPDL:JH_LAB_APY_DTL,,,,,,
,表说明,检验申请单明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,LAD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,LAD0001,String字符串（变长）,,LAB_APY_DTL_SN,检验申请明细编号,检验申请明细编号，系统生成三级编码，如“LD0.000.000.001”,20,是,是
,\x00\x02,LAD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,LAD0003,String字符串（变长）,,LAB_APPLY_SN,检验申请单编号,检验申请单编号，来源JH_LAB_APPLY的LAP0001,20,是,是
,\x00\x04,LAD0004,String字符串（变长）,,LAB_DTL_CODE,检验明细项编码,检验明细项编码,200,是,是
,\x00\x05,LAD0005,String字符串（变长）,,LAB_DTL_ITEM,检验明细项名称,检验明细项名称,200,,
,\x00\x06,LAD0006,String字符串（变长）,,LAB_DTL_DESC,检验明细说明,检验明细说明,500,,
,\x00\x07,LAD0007,String字符串（变长）,,LAB_DTL_ORDER,关联医嘱主键,,200,,
,\x00\x08,LAD0008,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x09,LAD0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0A,LAD0010,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
