索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_LAB_TRACE,表全名,JHPDL:JH_LAB_TRACE,,,,,,
,表说明,检验标本跟踪,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,LTR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,LTR0001,String字符串（变长）,,LAB_TRACE_SN,检验标本追踪编号,检验标本追踪编号，系统生成三级编码，如“LT0.000.000.001”,20,是,是
,\x00\x02,LTR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,LTR0003,String字符串（变长）,,LAB_APPLY_SN,检验申请单编号,检验申请单编号，来源JH_LAB_APPLY的LAP0001,20,是,是
,\x00\x04,LTR0004,自定义字典类型，字符串（变长）,394,LAB_TRACE_TYPE,检验追踪类型,"检验追踪类型，如“1#,#002#,#取容器”（打印条码、取容器、采集完成、运输交接、收取、实验室签收、报告发布）",200,是,是
,\x00\x0A,LTR0010,简化字典（Integer整型，4个字节）,394,SD_LAB_TRACE_TYPE,检验追踪类型,检验追踪类型的中台标准编码,20,是,是
,\x00\x0B,LTR0011,String字符串（变长）,,SC_LAB_TRACE_TYPE,检验追踪类型编码,源业务系统的检验追踪类型编码,200,,
,\x00\x0C,LTR0012,String字符串（变长）,,ST_LAB_TRACE_TYPE,检验追踪类型说明,源业务系统的检验追踪类型描述,200,,
,\x00\x05,LTR0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TRACE_TIME,事件发生时间,对应事件发生时间，如采集时间、签收时间等,19,,
,\x00\x06,LTR0006,String字符串（变长）,,TRACE_MAN,事件参与人,"对应事件发生参与人，如采集人、签收人；编码+名称，如“000#,#张三”",200,,
,\x00\x0D,LTR0013,String字符串（变长）,,SC_TRACE_MAN,事件参与人编码,源业务系统事件参与人编码,20,,
,\x00\x07,LTR0007,String字符串（变长）,,TRACE_NOTE,备注,,4000,,
,\x00\x08,LTR0008,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x09,LTR0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0E,LTR0014,String字符串（变长）,,SPECIMEN_NO,检验标本号,检验标本号,100,,
,\x00\x0F,LTR0015,String字符串（变长）,,SPECIMEN,标本,使用标准描述，如血、尿等,200,,
,\x00\x14,LTR0020,简化字典（Integer整型，4个字节）,437,SD_SPEC_TYPE,标本类型简码,标本分类，中台字典：粪便、尿、血液,100,,
,\x00\x15,LTR0021,String字符串（变长）,,SC_SPEC_TYPE,标本类型编码,源业务系统标本类型编码,100,,
,\x00\x16,LTR0022,String字符串（变长）,,ST_SPEC_TYPE,标本类型描述,源业务系统标本类型描述,100,,
,\x00\x10,LTR0016,String字符串（变长）,,SPECIMEN_DESC,标本说明,标本采集的条件说明，如饭前、饭后一小时等，自由输入,200,,
,\x00\x11,LTR0017,String字符串（变长）,,BAR_CODE,条码编码,标本采集容器上的条码,100,,
,\x00\x12,LTR0018,String字符串（变长）,,SAMPLE_STATUS,标本状态,标本状态,100,,
,\x00\x13,LTR0019,String字符串（变长）,,CONTAINERS,容器类别,容器类别,100,,
,\x00\x17,LTR0023,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
