索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_MED_ORG,表全名,JHPDL:JH_MED_ORG,,,,,,
,表说明,医疗机构记录表（用于多院区、集团医疗、区域医疗等）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,ORG,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,ORG0001,String字符串（变长）,,MED_ORG_SN,医疗机构编号,医疗机构唯一编号，系统生成一级编码，如“MG0.001”,20,是,是
,\x00\x02,ORG0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,ORG0003,String字符串（变长）,,ORG_NAME,机构名称,,200,是,是
,\x00\x07,ORG0007,String字符串（变长）,,ORG_ALIAS,别名,,500,,
,\x00\x0D,ORG0013,Integer整型（4个字节）,,BED_NUM,床位数,常规床位数,20,,
,\x00\x21,ORG0033,String字符串（变长）,,SC_ORG_LV,等级编码,源业务系统的等级编码,200,,
,\x00\x16,ORG0022,简化字典（Integer整型，4个字节）,430,SD_ORG_LV,等级简码,三级特等、三级甲等、三级乙等、二级、专科医院、其他,20,,
,\x00\x17,ORG0023,String字符串（变长）,,ST_ORG_LV,等级描述,,500,,
,\x00\x20,ORG0032,String字符串（变长）,,SC_ORG_TYPE,机构类型编码,源业务系统的机构类型编码,200,,
,\x00\x14,ORG0020,简化字典（Integer整型，4个字节）,429,SD_ORG_TYPE,机构类型简码,公立医院、民营医院、社区诊所、卫生站、其他,20,,
,\x00\x15,ORG0021,String字符串（变长）,,ST_ORG_TYPE,机构类型描述,,500,,
,\x00\x06,ORG0006,String字符串（变长）,,ORG_NAME_ABB,简称,,500,,
,\x00\x10,ORG0016,String字符串（变长）,,LINK_PHONE,联系电话,,200,,
,\x00\x11,ORG0017,String字符串（变长）,,LINK_EMAIL,联系邮箱,,200,,
,\x00\x25,ORG0037,String字符串（变长）,,SC_ORG_REGION,所属区编码,源业务系统的所属区编码,200,,
,\x00\x1E,ORG0030,简化字典（Integer整型，4个字节）,17,SD_ORG_REGION,所属区简码,,20,,
,\x00\x1F,ORG0031,String字符串（变长）,,ST_ORG_REGION,所属区描述,,200,,
,\x00\x22,ORG0034,String字符串（变长）,,SC_ORG_PROVINCE,所属省份编码,源业务系统的所属省份编码,200,,
,\x00\x18,ORG0024,简化字典（Integer整型，4个字节）,17,SD_ORG_PROVINCE,所属省份简码,行政省份与直辖市,20,,
,\x00\x19,ORG0025,String字符串（变长）,,ST_ORG_PROVINCE,所属省份描述,,500,,
,\x00\x23,ORG0035,String字符串（变长）,,SC_ORG_CITY,所属市编码,源业务系统的所属市编码,200,,
,\x00\x1A,ORG0026,简化字典（Integer整型，4个字节）,17,SD_ORG_CITY,所属市简码,省内地级市,20,,
,\x00\x1B,ORG0027,String字符串（变长）,,ST_ORG_CITY,所属市描述,,200,,
,\x00\x24,ORG0036,String字符串（变长）,,SC_ORG_COUNTY,所属县编码,源业务系统的所属县编码,200,,
,\x00\x1C,ORG0028,简化字典（Integer整型，4个字节）,17,SD_ORG_COUNTY,所属县简码,省内县、县级市,20,,
,\x00\x1D,ORG0029,String字符串（变长）,,ST_ORG_COUNTY,所属县描述,,200,,
,\x00\x0E,ORG0014,String字符串（变长）,,WEB_ADDR,网站地址,,500,,
,\x00\x0F,ORG0015,String字符串（变长）,,ORG_WEIXIN,微信公众号,,200,,
,\x00\x13,ORG0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0C,ORG0012,String字符串（变长）,,ORG_ADDR,详细地址,,500,,
,\x00\x12,ORG0018,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x26,ORG0038,String字符串（变长）,,ORG_CODE,组织机构代码,组织机构代码,200,,
,\x00\x27,ORG0039,String字符串（变长）,,SECOND_ORG_CODE,二级机构编码,二级机构编码,200,,
,\x00\x28,ORG0040,String字符串（变长）,,SECOND_ORG_NAME,二级机构名称,二级机构名称,200,,
,\x00\x29,ORG0041,String字符串（变长）,,EMOI_CODE,标准组织机构代码,标准组织机构代码,200,,
,\x00\x2A,ORG0042,String字符串（变长）,,EMOI_NAME,标准组织机构名称,标准组织机构名称,200,,
,\x00\x04,ORG0004,自定义字典类型，字符串（变长）,429,ORG_TYPE,机构类型,公立医院、民营医院、社区诊所、卫生站、其他,200,,
,\x00\x05,ORG0005,自定义字典类型，字符串（变长）,430,ORG_LV,等级,三级特等、三级甲等、三级乙等、二级、专科医院、其他,200,,
,\x00\x08,ORG0008,自定义字典类型，字符串（变长）,17,ORG_PROVINCE,所属省份,行政省份与直辖市,200,,
,\x00\x09,ORG0009,自定义字典类型，字符串（变长）,17,ORG_CITY,所属市,省内地级市,200,,
,\x00\x0A,ORG0010,自定义字典类型，字符串（变长）,17,ORG_COUNTY,所属县,省内县、县级市,200,,
,\x00\x0B,ORG0011,自定义字典类型，字符串（变长）,17,ORG_REGION,所属区,,200,,
