索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_NIS_MR_DTL,表全名,JHPDL:JH_NIS_MR_DTL,,,,,,
,表说明,护理记录明细（评估明细）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IND,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IND0001,String字符串（变长）,,NURSE_R_DTL_SN,护理记录明细编号,护理记录明细编号，系统生成三级编码，如“ND0.000.000.001”,20,是,是
,\x00\x02,IND0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IND0003,String字符串（变长）,,NURSE_REC_SN,护理记录编号,护理记录编号，来源JH_NIS_MR的INR0001,20,是,是
,\x00\x04,IND0004,String字符串（变长）,,NR_DTL_NO,项目类型码,护理记录明细项（评估项）编码，院内编码,200,是,是
,\x00\x05,IND0005,String字符串（变长）,,NR_DTL_NAME,项目类型名,护理记录明细项名称，可以是英文,500,,
,\x00\x06,IND0006,String字符串（变长）,,NR_DTL_DESC,项目类型描述,显示给用户的护理记录明细项名称描述，如“自理能力”中的“完全依赖”,4000,,
,\x00\x07,IND0007,String字符串（变长）,,NR_DTL_UNIT,项目单位,记录项使用的单位，若有,50,,
,\x00\x08,IND0008,Double双精度浮点型（8个字节）,,NR_DTL_VAL_N,项目数值,数值型记录值，用于计算；评估项选中后的得分值,100,,
,\x00\x09,IND0009,String字符串（变长）,,NR_DTL_VAL_C,项目值描述,如果是非数值型记录项目在这用文字描述，评估项选中后描述值,4000,,
,\x00\x0A,IND0010,String字符串（变长）,,NR_DTL_MEMO,项目备注,,2000,,
,\x00\x0B,IND0011,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0C,IND0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x0D,IND0013,Integer整型（4个字节）,,NR_DTL_ORDER,项目显示顺序,该项目显示顺序编号,20,是,是
,\x00\x0E,IND0014,简化字典（Integer整型，4个字节）,379,SD_ICU_FLAG,重症记录标识,重症记录标识,,,
,\x00\x0F,IND0015,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
