索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_ANALGESIA,表全名,JHPDL:JH_OP_ANALGESIA,,,,,,
,表说明,术中术后镇痛记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAX,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAX0001,String字符串（变长）,,OPER_APY_ANAL_SN,镇痛治疗记录编号,镇痛治疗记录编号,50,是,
,\x00\x02,MAX0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAX0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,50,是,
,\x00\x04,MAX0004,String字符串（变长）,,OPER_ANALGESIA_NO,镇痛治疗记录号,镇痛治疗记录号,50,,
,\x00\x05,MAX0005,String字符串（变长）,,ANALGESIA_TYPE,术中术后镇痛,术中、术后,100,,
,\x00\x06,MAX0006,String字符串（变长）,,ANALGESIC1,镇痛药1,镇痛药1,100,,
,\x00\x07,MAX0007,String字符串（变长）,,ANALGESIC1_DOSAGE,镇痛药1剂量,镇痛药1剂量,100,,
,\x00\x08,MAX0008,String字符串（变长）,,ANALGESIC1_DOSAGE_UNITS,镇痛药1剂量单位	,镇痛药1剂量单位	,100,,
,\x00\x09,MAX0009,String字符串（变长）,,ANALGESIC2,镇痛药2,镇痛药2,100,,
,\x00\x0A,MAX0010,String字符串（变长）,,ANALGESIC2_DOSAGE,镇痛药2剂量,镇痛药2剂量,100,,
,\x00\x0B,MAX0011,String字符串（变长）,,DRUGA_DOSAGE,配方:药品A剂量,配方:药品A剂量,100,,
,\x00\x0C,MAX0012,String字符串（变长）,,ANALGESIC2_DOSAGE_UNITS,镇痛药2剂量单位	,镇痛药2剂量单位	,100,,
,\x00\x0D,MAX0013,String字符串（变长）,,ANALGESIC3,镇痛药3,镇痛药3,100,,
,\x00\x0E,MAX0014,String字符串（变长）,,ANALGESIC3_DOSAGE,镇痛药3剂量,镇痛药3剂量,100,,
,\x00\x0F,MAX0015,String字符串（变长）,,ANALGESIC3_DOSAGE_UNITS,镇痛药3剂量单位	,镇痛药3剂量单位	,100,,
,\x00\x10,MAX0016,String字符串（变长）,,DRUGA,配方:药品A		,配方:药品A		,100,,
,\x00\x11,MAX0017,String字符串（变长）,,DRUGA_DOSAGE_UNITS,配方:药品A剂量单位,配方:药品A剂量单位,100,,
,\x00\x12,MAX0018,String字符串（变长）,,DRUGB,配方:药品B				,配方:药品B				,100,,
,\x00\x13,MAX0019,String字符串（变长）,,DRUGB_DOSAGE,配方:药品B剂量		,配方:药品B剂量		,100,,
,\x00\x14,MAX0020,String字符串（变长）,,DRUGB_DOSAGE_UNITS,配方:药品B剂量单位,配方:药品B剂量单位,100,,
,\x00\x15,MAX0021,String字符串（变长）,,DRUGC,配方:药品C				,配方:药品C				,100,,
,\x00\x16,MAX0022,String字符串（变长）,,DRUGC_DOSAGE,配方:药品C剂量		,配方:药品C剂量		,100,,
,\x00\x17,MAX0023,String字符串（变长）,,DRUGC_DOSAGE_UNITS,配方:药品C剂量单位,配方:药品C剂量单位,100,,
,\x00\x18,MAX0024,String字符串（变长）,,TOTAL_CAPACITY,总容量,总容量,100,,
,\x00\x19,MAX0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PCA_START,PCA开机时间	,PCA开机时间	,19,,
,\x00\x1A,MAX0026,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PCA_STOP,PCA关机时间	,PCA关机时间	,19,,
,\x00\x1B,MAX0027,String字符串（变长）,,FIRST_DOSAGE,首次剂量,首次剂量,100,,
,\x00\x1C,MAX0028,String字符串（变长）,,DURATIVE_DOSAGE,持续剂量,持续剂量,100,,
,\x00\x1D,MAX0029,String字符串（变长）,,PCA_DOSAGE,PCA剂量,PCA剂量,100,,
,\x00\x1E,MAX0030,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LOCK_TIME,锁定时间,锁定时间,19,,
,\x00\x1F,MAX0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_DATE_TIME,录入日期及时间	,录入日期及时间	,19,,
,\x00\x20,MAX0032,String字符串（变长）,,ENTERED_BY,录入者					,录入者					,100,,
,\x00\x21,MAX0033,String字符串（变长）,,ANALGESIC_CATHETER,镇痛术毕导管处置,镇痛术毕导管处置,100,,
,\x00\x22,MAX0034,String字符串（变长）,,PLEXUS_CATHETER_LOCATION,神经丛导管位置,神经丛导管位置,100,,
,\x00\x23,MAX0035,String字符串（变长）,,EXTRADURAL_CATHETER_LOCATION,硬膜外导管位置,硬膜外导管位置,100,,
,\x00\x24,MAX0036,String字符串（变长）,,INTRAVENOUS_CATHETER_LOCATION,静脉导管位置	,静脉导管位置	,100,,
,\x00\x25,MAX0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_DRUG_DATE_TIME,末次给药时间	,末次给药时间	,19,,
,\x00\x26,MAX0038,String字符串（变长）,,ANALGESIC_METHOD,镇痛方式			,镇痛方式			,100,,
,\x00\x27,MAX0039,String字符串（变长）,,ANALGESIC_PUMPS_TYPE,镇痛泵机型		,镇痛泵机型		,100,,
,\x00\x28,MAX0040,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x29,MAX0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x2A,MAX0042,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
