索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_APPLY,表全名,JHPDL:JH_OP_APPLY,,,,,,
,表说明,手术申请,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OAP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OAP0001,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，系统生成三级编码，如“PA0.000.000.001”,20,是,是
,\x00\x02,OAP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,OAP0003,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,OAP0004,String字符串（变长）,,OPER_PRE_DIAG,术前主要诊断,手术前的主要临床诊断描述,2000,,
,\x00\x05,OAP0005,String字符串（变长）,,OPERATION_NAME,手术操作,申请的手术名称,200,,
,\x00\x06,OAP0006,String字符串（变长）,,OPERATION_SCALE,手术级别,申请手术的级别,200,是,是
,\x00\x07,OAP0007,String字符串（变长）,,HIS_APPLY_NO,业务申请号,业务系统生成的手术申请单号,200,是,是
,\x00\x0A,OAP0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APPLY_TIME,申请时间,申请单录入时间,19,是,是
,\x00\x0C,OAP0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,APPLY_OPER_TIME,申请手术时间,申请开始手术的时间,19,,
,\x00\x0D,OAP0013,String字符串（变长）,,APPLY_OPER_ROOM,申请手术室,申请具体手术室,200,,
,\x00\x0E,OAP0014,String字符串（变长）,,APPLY_REMARK,申请备注,,4000,,
,\x00\x0F,OAP0015,String字符串（变长）,,SCHEDULING_NURSE,排班护士,,200,,
,\x00\x10,OAP0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SCHEDULING_TIME,排班时间,,19,,
,\x00\x11,OAP0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_OPER_TIME,拟手术时间,排班后拟手术时间,19,,
,\x00\x12,OAP0018,String字符串（变长）,,PLAN_OPER_ROOM,拟手术室,,200,,
,\x00\x13,OAP0019,String字符串（变长）,,PLAN_OPER_ROOM_NO,拟手术间,,200,,
,\x00\x14,OAP0020,String字符串（变长）,,PLAN_OPER_DOCTOR,拟手术医师,,200,,
,\x00\x15,OAP0021,String字符串（变长）,,PLAN_FIRST_ASST,拟第一手术助手,,200,,
,\x00\x16,OAP0022,String字符串（变长）,,PLAN_SECOND_ASST,拟第二手术助手,,200,,
,\x00\x17,OAP0023,String字符串（变长）,,PLAN_INST_NURSE,拟器械护士,,200,,
,\x00\x18,OAP0024,String字符串（变长）,,PLAN_CIRCUIT_NURSE,拟巡回护士,,200,,
,\x00\x19,OAP0025,String字符串（变长）,,PLAN_ANES_DOCTOR,拟麻醉医师,,200,,
,\x00\x1A,OAP0026,String字符串（变长）,,PLAN_ANES_ASST,拟麻醉助手,,200,,
,\x00\x1C,OAP0028,String字符串（变长）,,ORDER_CODE,医嘱代码,医嘱代码,200,,
,\x00\x1D,OAP0029,String字符串（变长）,,ORDER_TEXT,医嘱正文,医嘱正文,500,,
,\x00\x1F,OAP0031,Integer整型（4个字节）,,PRINT_NUM,打印次数,该申请单已经打印的次数,20,,
,\x00\x20,OAP0032,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRINT_LAST_TIME,最后打印时间,该申请单最后一次打印时间,19,,
,\x00\x22,OAP0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CANCEL_TIME,作废时间,,19,,
,\x00\x23,OAP0035,String字符串（变长）,,CANCEL_EMP,作废人,,200,,
,\x00\x26,OAP0038,Double双精度浮点型（8个字节）,,OPER_APPLY_FEE,总费用,,38,,
,\x00\x27,OAP0039,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x29,OAP0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x2A,OAP0042,简化字典（Integer整型，4个字节）,425,SD_OPER_TYPE,手术类型简码,手术类型，择期手术、当天手术、急诊手术、抢救手术,20,,
,\x00\x2B,OAP0043,String字符串（变长）,,ST_OPER_TYPE,手术类型描述,,500,,
,\x00\x2C,OAP0044,简化字典（Integer整型，4个字节）,233,SD_PLAN_ANES_METH,拟麻醉方式简码,,20,,
,\x00\x2D,OAP0045,String字符串（变长）,,ST_PLAN_ANES_METH,拟麻醉方式描述,,500,,
,\x00\x2E,OAP0046,String字符串（变长）,,SC_APPLY_DEPT,申请科室编码,申请科室编码,200,,
,\x00\x2F,OAP0047,String字符串（变长）,,ST_APPLY_DEPT,申请科室名称,,200,,
,\x00\x30,OAP0048,String字符串（变长）,,SC_APPLY_DOCT,申请医师编码,申请医生编码,200,,
,\x00\x31,OAP0049,String字符串（变长）,,ST_APPLY_DOCT,申请医师名称,,200,,
,\x00\x32,OAP0050,String字符串（变长）,,SC_ORDER_WARD,申请病区编码,申请病区,200,,
,\x00\x33,OAP0051,String字符串（变长）,,ST_ORDER_WARD,申请病区名称,,200,,
,\x00\x34,OAP0052,简化字典（Integer整型，4个字节）,379,SD_CANCEL,是否作废,,20,,
,\x00\x35,OAP0053,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,,20,,
,\x00\x36,OAP0054,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,,20,,
,\x00\x37,OAP0055,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,是,是
,\x00\x38,OAP0056,简化字典（Integer整型，4个字节）,449,SD_APPLY_STATE,申请状态,"0、草稿；1、保存,申请未提交；2、已提交，待手术室确认；3、手术室已确认；4、手术室已拒绝；12、待医务处审批；13、医务处审批通过；21、已安排手术室；22、等待手术；31、手术中；32、手术完成",20,,
,\x00\x39,OAP0057,String字符串（变长）,,SC_OPER_TYPE,手术类型编码,源业务系统的手术类型编码,200,,
,\x00\x3A,OAP0058,String字符串（变长）,,SC_PLAN_ANES_METH,拟麻醉方式编码,源业务系统的拟麻醉方式编码,200,,
,\x00\x3B,OAP0059,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x3C,OAP0060,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性描述,200,,
,\x00\x3D,OAP0061,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x3E,OAP0062,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态描述,200,,
,\x00\x3F,OAP0063,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,200,是,是
,\x00\x40,OAP0064,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,200,,
,\x00\x41,OAP0065,String字符串（变长）,,SC_APPLY_STATE,申请状态编码,源业务系统的申请状态编码,200,,
,\x00\x42,OAP0066,String字符串（变长）,,ST_APPLY_STATE,申请状态描述,源业务系统的申请状态描述,200,,
,\x00\x43,OAP0067,String字符串（变长）,,ORDER_LINK,关联医嘱,,200,,
,\x00\x44,OAP0068,String字符串（变长）,,OPA_ANAEST_NO,麻醉单号,,100,,
,\x00\x45,OAP0069,String字符串（变长）,,ST_CANCEL,是否作废描述,源业务系统作是否废描述,20,,
,\x00\x46,OAP0070,String字符串（变长）,,SC_CANCEL,是否作废编码,源业务系统是否作废编码,20,,
,\x00\x47,OAP0071,String字符串（变长）,,APPLY_DESC,手术申请描述,手术申请描述,200,,
,\x00\x48,OAP0072,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,审核日期,手术申请审核日期,19,,
,\x00\x49,OAP0073,String字符串（变长）,,SC_APPLY_CHECK,审核医师工号,手术申请审核医师工号,200,,
,\x00\x4A,OAP0074,String字符串（变长）,,ST_APPLY_CHECK,审核医师姓名,手术申请审核医师姓名,200,,
,\x00\x4B,OAP0075,String字符串（变长）,,SC_OPERATION,手术名称编码,手术名称编码,200,,
,\x00\x4C,OAP0076,String字符串（变长）,,ST_OPERATION,手术名称,手术名称,200,,
,\x00\x4D,OAP0077,简化字典（Integer整型，4个字节）,240,SD_OPERATION,手术标准编码,手术标准编码,20,,
,\x00\x4E,OAP0078,String字符串（变长）,,SC_OPERATION_SCALE,手术等级编码,手术等级编码,200,,
,\x00\x4F,OAP0079,String字符串（变长）,,SC_PLAN_OPER_DOCTOR,手术医师工号,手术医师工号,200,,
,\x00\x50,OAP0080,String字符串（变长）,,ST_PLAN_OPER_DOCTOR,手术医师姓名,手术医师姓名,200,,
,\x00\x51,OAP0081,String字符串（变长）,,SC_APPLY_OPER_DEPT,执行科室编码,执行科室编码,200,,
,\x00\x52,OAP0082,String字符串（变长）,,ST_APPLY_OPER_DEPT,执行科室名称,执行科室名称,200,,
,\x00\x53,OAP0083,String字符串（变长）,,ST_OPERATION_SCALE,手术等级描述,手术等级描述,200,,
,\x00\x54,OAP0084,简化字典（Integer整型，4个字节）,421,SD_OPERATION_SCALE,手术等级,手术等级,20,,
,\x00\x55,OAP0085,Integer整型（4个字节）,,SD_PLAN_ANES_METH2,拟麻醉方式简码2,,4,,
,\x00\x56,OAP0086,String字符串（变长）,,SC_PLAN_ANES_METH2,拟麻醉方式编码2,,50,,
,\x00\x57,OAP0087,String字符串（变长）,,ST_PLAN_ANES_METH2,拟麻醉方式说明2,,100,,
,\x00\x58,OAP0088,简化字典（Integer整型，4个字节）,233,SD_PLAN_ANES_METH3,拟麻醉方式简码3,,4,,
,\x00\x59,OAP0089,String字符串（变长）,,SC_PLAN_ANES_METH3,拟麻醉方式编码3,,50,,
,\x00\x5A,OAP0090,String字符串（变长）,,ST_PLAN_ANES_METH3,拟麻醉方式描述3,,100,,
,\x00\x5B,OAP0091,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x08,OAP0008,String字符串（变长）,,APPLY_DEPT,申请科室,申请手术的科室,200,,
,\x00\x09,OAP0009,String字符串（变长）,,APPLY_DOCTOR,申请医师,申请手术的医生,200,,
,\x00\x0B,OAP0011,自定义字典类型，字符串（变长）,425,OPER_TYPE,手术类型,手术类型，择期手术、当天手术、急诊手术、抢救手术,200,是,是
,\x00\x1B,OAP0027,自定义字典类型，字符串（变长）,233,PLAN_ANES_METHOD,拟麻醉方式,,200,,
,\x00\x1E,OAP0030,String字符串（变长）,,ORDER_WARD,申请病区,申请病区,200,,
,\x00\x21,OAP0033,自定义字典类型，字符串（变长）,379,CANCEL_FLAG,是否作废,,200,,
,\x00\x24,OAP0036,自定义字典类型，字符串（变长）,391,BILLING_ATTR,计价属性,正常计价、自带药,200,,
,\x00\x25,OAP0037,自定义字典类型，字符串（变长）,392,BILLING_DONE,计价状态,未计价、计价完成、已缴费、申请退费、已退费,200,,
,\x00\x28,OAP0040,自定义字典类型，字符串（变长）,383,VISIT_TYPE,就诊类型,"就诊类型，如“3#,#4#,#门诊”（直接复制JH_PAT_VISIT）",200,是,是
