索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_CARE,表全名,JHPDL:JH_OP_CARE,,,,,,
,表说明,手术护理记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAU,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAU0001,String字符串（变长）,,OPER_APY_CARE_SN,手术护理编号,,50,是,
,\x00\x02,MAU0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAU0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,50,是,
,\x00\x04,MAU0004,String字符串（变长）,,OPER_CARE_NO,手术护理记录单号,手术护理记录单号,50,,
,\x00\x05,MAU0005,String字符串（变长）,,HIS_APPLY_NO,手术申请号,业务系统生成的手术申请单号,50,,
,\x00\x06,MAU0006,String字符串（变长）,,OPER_SN_NO,手术号,手术系统生成的手术编号,50,,
,\x00\x07,MAU0007,String字符串（变长）,,OPERATION_NAME,手术名称,手术名称,200,,
,\x00\x08,MAU0008,String字符串（变长）,,SC_OPERATION_SCALE,手术级别,手术的级别（等级）,50,,
,\x00\x09,MAU0009,String字符串（变长）,,ST_OPERATION_SCALE,手术级别说明,手术级别说明,50,,
,\x00\x0A,MAU0010,String字符串（变长）,,OPER_ROOM,手术室,手术室,50,,
,\x00\x0B,MAU0011,String字符串（变长）,,OPER_ROOM_NO,手术间,手术间,50,,
,\x00\x0C,MAU0012,String字符串（变长）,,SC_OP_PRE_DIAG,术前主要诊断编码,术前主要诊断编码,200,,
,\x00\x0D,MAU0013,String字符串（变长）,,ST_OP_PRE_DIAG,术前主要诊断描述,术前主要诊断描述,200,,
,\x00\x0E,MAU0014,简化字典（Integer整型，4个字节）,233,SD_ANES_METHOD,麻醉方式简码,麻醉方式简码,4,,
,\x00\x0F,MAU0015,String字符串（变长）,,SC_ANES_METHOD,麻醉方式编码,麻醉方式编码,50,,
,\x00\x10,MAU0016,String字符串（变长）,,ST_ANES_METHOD,麻醉方式描述,源业务系统麻醉方式，例如全身麻醉,50,,
,\x00\x11,MAU0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_ROOM_TIME,进入手术室时间,进入手术室时间,19,,
,\x00\x12,MAU0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXIT_ROOM_TIME,离开手术室时间,离开手术室时间,19,,
,\x00\x13,MAU0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_START_TIME,手术开始时间,手术开始时间,19,,
,\x00\x14,MAU0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_STOP_TIME,手术结束时间,手术结束时间,19,,
,\x00\x15,MAU0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ANES_START_TIME,麻醉开始时间,麻醉开始时间,19,,
,\x00\x16,MAU0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ANES_STOP_TIME,麻醉结束时间,麻醉结束时间,19,,
,\x00\x17,MAU0023,String字符串（变长）,,SC_OP_DEPT,手术科室编码,执行手术的科室,50,,
,\x00\x18,MAU0024,String字符串（变长）,,ST_OP_DEPT,手术科室名称,手术科室名称,50,,
,\x00\x19,MAU0025,String字符串（变长）,,SC_OP_DOCT,手术医师编码,执行手术的医生,50,,
,\x00\x1A,MAU0026,String字符串（变长）,,ST_OP_DOCT,手术医师名称,手术医师名称,50,,
,\x00\x1B,MAU0027,String字符串（变长）,,FIRST_ASST,第一手术助手,第一手术助手,50,,
,\x00\x1C,MAU0028,String字符串（变长）,,SECOND_ASST,第二手术助手,第二手术助手,50,,
,\x00\x1D,MAU0029,String字符串（变长）,,THIRD_ASST,第三手术助手,第三手术助手,50,,
,\x00\x1E,MAU0030,String字符串（变长）,,FOURTH_ASST,第四手术助手,第四手术助手,50,,
,\x00\x1F,MAU0031,String字符串（变长）,,SC_ANES_DOCT,麻醉医师编码,麻醉医师编码,50,,
,\x00\x20,MAU0032,String字符串（变长）,,ST_ANES_DOCT,麻醉医师名称,麻醉医师名称,50,,
,\x00\x21,MAU0033,String字符串（变长）,,ANES_ASST,麻醉助手,麻醉助手,50,,
,\x00\x22,MAU0034,String字符串（变长）,,INST_NURSE,器械护士,器械护士,50,,
,\x00\x23,MAU0035,String字符串（变长）,,CIRCUIT_NURSE,巡回护士,巡回护士,50,,
,\x00\x24,MAU0036,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FIRST_TRIP_VERIFICA_TIME,第一次三方核查时间,第一次三方核查时间,19,,
,\x00\x25,MAU0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SECOND_TRIP_VERIFICA,第二次三方核查时间,第二次三方核查时间,19,,
,\x00\x26,MAU0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,THIRD_TRIP_VERIFICA,第三次三方核查时间,第三次三方核查时间,19,,
,\x00\x27,MAU0039,Double双精度浮点型（8个字节）,,OPER_HEIGHT,手术时身高,手术时身高,8,,
,\x00\x28,MAU0040,Double双精度浮点型（8个字节）,,OPER_WEIGHT,手术时体重,手术时体重,8,,
,\x00\x29,MAU0041,String字符串（变长）,,OPER_PRESSURE,手术时血压,手术时血压,50,,
,\x00\x2A,MAU0042,Integer整型（4个字节）,,OPER_RATE,手术时心率,手术时心率,4,,
,\x00\x2B,MAU0043,Integer整型（4个字节）,,OPER_PULSE,手术时脉搏,手术时脉搏,4,,
,\x00\x2C,MAU0044,Integer整型（4个字节）,,OPER_BREATHE,手术时呼吸,手术时呼吸,4,,
,\x00\x2D,MAU0045,Double双精度浮点型（8个字节）,,OPER_TEMPERATURE,手术时体温,手术时体温,8,,
,\x00\x2E,MAU0046,String字符串（变长）,,SC_OPER_POSITION,手术部位编码,院内手术部位编码,50,,
,\x00\x2F,MAU0047,String字符串（变长）,,ST_OPER_POSITION,手术部位名称,院内手术部位名称,50,,
,\x00\x30,MAU0048,String字符串（变长）,,CHECK_ITEM,病人交接核对项目,病人交接核对项目,200,,
,\x00\x31,MAU0049,String字符串（变长）,,CHECK_FLAG_AFR,关后核对标志,关后核对标志,200,,
,\x00\x32,MAU0050,String字符串（变长）,,CHECK_FLAG_BEF,关前核对标志,关前核对标志,200,,
,\x00\x33,MAU0051,String字符串（变长）,,ALLERGY_HISTORY,过敏史,过敏史,200,,
,\x00\x34,MAU0052,String字符串（变长）,,ALLERGY_HISTORY_FLAG,过敏史标志,过敏史标志,200,,
,\x00\x35,MAU0053,String字符串（变长）,,NUR_OPR_RES,护理操作结果,护理操作结果,200,,
,\x00\x36,MAU0054,String字符串（变长）,,NUR_OPR_NAME,护理操作名称,护理操作名称,200,,
,\x00\x37,MAU0055,String字符串（变长）,,NUR_OPR_ITEM_NAME,护理操作项目类目名称,护理操作项目类目名称,200,,
,\x00\x38,MAU0056,String字符串（变长）,,SC_NUR_CLASS,护理等级代码,护理等级代码,200,,
,\x00\x39,MAU0057,String字符串（变长）,,ST_NUR_CLASS,护理等级说明,护理等级说明,200,,
,\x00\x3A,MAU0058,String字符串（变长）,,NUR_OBS_RES,护理观察结果,护理观察结果,200,,
,\x00\x3B,MAU0059,String字符串（变长）,,NUR_OBS_ITEN_NAME,护理观察项目名称,护理观察项目名称,200,,
,\x00\x3C,MAU0060,String字符串（变长）,,SC_NUT_TYPE,护理类型代码,护理类型代码,200,,
,\x00\x3D,MAU0061,String字符串（变长）,,ST_NUT_TYPE,护理类型说明,护理类型说明,200,,
,\x00\x3E,MAU0062,String字符串（变长）,,SC_NUR_HAND_SIGN,交接护士签名,交接护士签名,200,,
,\x00\x3F,MAU0063,String字符串（变长）,,ST_NUR_HAND_SIGN,交接护士签名名称,交接护士签名名称,200,,
,\x00\x40,MAU0064,String字符串（变长）,,HAND_DATE,交接日期时间,交接日期时间,200,,
,\x00\x41,MAU0065,String字符串（变长）,,SKIN_EXAM_DESC,皮肤检查描述,皮肤检查描述,200,,
,\x00\x42,MAU0066,String字符串（变长）,,INVENT_FLAG_BEF,术前清点标志,术前清点标志,200,,
,\x00\x43,MAU0067,String字符串（变长）,,PIS_FLAG_INTRA,术中病理标志,术中病理标志,200,,
,\x00\x44,MAU0068,String字符串（变长）,,GOOD_NAME_AFR,术中所用物品名称,术中所用物品名称,200,,
,\x00\x45,MAU0069,String字符串（变长）,,SC_TRANS,转运者签名编码,转运者签名编码,200,,
,\x00\x46,MAU0070,String字符串（变长）,,ST_TRANS,转运者签名名称,转运者签名名称,200,,
,\x00\x47,MAU0071,String字符串（变长）,,PERPARATION,准备事项,准备事项,200,,
,\x00\x48,MAU0072,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,,,
,\x00\x49,MAU0073,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
,\x00\x4A,MAU0074,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
