索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_CONTENT_DETAIL,表全名,JHPDL:JH_OP_CONTENT_DETAIL,,,,,,
,表说明,手术过程交接记录内容,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAZ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAZ0001,String字符串（变长）,,OPER_APY_DET_SN,手术过程交接内容编号,手术过程交接内容编号,50,是,
,\x00\x02,MAZ0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAZ0003,String字符串（变长）,,OPER_APY_CON_SN,手术过程记录编号,手术过程记录编号，来源JH_OP_CONTENT_MASTER,50,是,
,\x00\x04,MAZ0004,String字符串（变长）,,OPER_CON_NO,手术过程交接记录号,手术过程交接记录号,50,,
,\x00\x05,MAZ0005,String字符串（变长）,,CONTENT_ITEM,记录项目,记录项目,200,,
,\x00\x06,MAZ0006,String字符串（变长）,,CONTENT,记录内容,记录内容,200,,
,\x00\x07,MAZ0007,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x08,MAZ0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x09,MAZ0009,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
