索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_CONTENT_MASTER,表全名,JHPDL:JH_OP_CONTENT_MASTER,,,,,,
,表说明,手术过程交接记录主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAY,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAY0001,String字符串（变长）,,OPER_APY_CON_SN,手术过程交接记录编号,,50,是,
,\x00\x02,MAY0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAY0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,50,是,
,\x00\x04,MAY0004,String字符串（变长）,,OPER_CON_NO,手术过程交接记录号,,50,,
,\x00\x05,MAY0005,String字符串（变长）,,SC_CONTENT_TYPE,记录单类型编码,病房与手术室交接单、手术室与手术间交接单、器械清点单等,50,,
,\x00\x06,MAY0006,String字符串（变长）,,ST_CONTENT_TYPE,记录单类型说明,病房与手术室交接单、手术室与手术间交接单、器械清点单等,50,,
,\x00\x07,MAY0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CREATE_TIME,记录单创建时间,,19,,
,\x00\x08,MAY0008,String字符串（变长）,,SC_CREATEUSER,记录人编码,,50,,
,\x00\x09,MAY0009,String字符串（变长）,,ST_CREATEUSER,记录人姓名,,50,,
,\x00\x0A,MAY0010,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x0B,MAY0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x0C,MAY0012,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
