索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_FIN_INQUIRY,表全名,JHPDL:JH_OP_FIN_INQUIRY,,,,,,
,表说明,术后访视记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAW,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAW0001,String字符串（变长）,,OPER_APY_FIN_SN,手术术后访视编号,,50,是,
,\x00\x02,MAW0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAW0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,50,是,
,\x00\x04,MAW0004,String字符串（变长）,,FIN_INQUIRY_NO,术后访视记录号,,50,,
,\x00\x05,MAW0005,String字符串（变长）,,FIN_INQUIRY_NUM,术后访视次数,,50,,
,\x00\x06,MAW0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,INQUIRY_TIME,随访时间,,19,,
,\x00\x07,MAW0007,String字符串（变长）,,SC_INQUIRY_USER,随访人员编码,,50,,
,\x00\x08,MAW0008,String字符串（变长）,,ST_INQUIRY_USER,随访人员姓名,,50,,
,\x00\x09,MAW0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_TIME,录入日期及时间,,19,,
,\x00\x0A,MAW0010,String字符串（变长）,,SC_ENTERED_BY,录入者编码,,50,,
,\x00\x0B,MAW0011,String字符串（变长）,,ST_ENTERED_BY,录入者姓名,,50,,
,\x00\x0C,MAW0012,String字符串（变长）,,FIN_CONSCIOUSNESS,意识状态,(清醒、嗜睡、昏迷),50,,
,\x00\x0D,MAW0013,String字符串（变长）,,FIN_THROAT_ACHE,咽喉,,50,,
,\x00\x0E,MAW0014,String字符串（变长）,,FIN_BREATH,呼吸,,50,,
,\x00\x0F,MAW0015,String字符串（变长）,,FIN_SOUND_HOARSENESS,声音,,50,,
,\x00\x10,MAW0016,String字符串（变长）,,FIN_NAUSEA,恶心，呕吐,,50,,
,\x00\x11,MAW0017,String字符串（变长）,,FIN_LIMB,四肢,,50,,
,\x00\x12,MAW0018,String字符串（变长）,,FIN_EMICTION_RETENTION,尿潴留,,50,,
,\x00\x13,MAW0019,String字符串（变长）,,FIN_BLOOD_PRESS,血压,,50,,
,\x00\x14,MAW0020,String字符串（变长）,,FIN_CARDIOTACH,心率(单位:次/分),,50,,
,\x00\x15,MAW0021,String字符串（变长）,,FIN_HEADACHE,头,,50,,
,\x00\x16,MAW0022,String字符串（变长）,,FIN_PUNCTURE_POSTION_OF_ACHE,穿刺点,,50,,
,\x00\x17,MAW0023,String字符串（变长）,,GEN_EXAM_RES,一般状况检查结果,,500,,
,\x00\x18,MAW0024,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SOBER_DATE,清醒日期时间,,19,,
,\x00\x19,MAW0025,String字符串（变长）,,TRAC_EXT_FLAG,拔除气管插管标志,,50,,
,\x00\x1A,MAW0026,String字符串（变长）,,EXEC_CASE,特殊情况,,500,,
,\x00\x1B,MAW0027,String字符串（变长）,,ANAE_INDIC,麻醉适应证,,500,,
,\x00\x1C,MAW0028,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x1D,MAW0029,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,,,
,\x00\x1E,MAW0030,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
