索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_PACU,表全名,JHPDL:JH_OP_PACU,,,,,,
,表说明,手术进出恢复室(PACU)记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAV,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAV0001,String字符串（变长）,,OPER_APY_PACU_SN,手术恢复室PACU入出记录编号,,50,是,
,\x00\x02,MAV0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,是,
,\x00\x03,MAV0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,50,是,
,\x00\x04,MAV0004,String字符串（变长）,,OPER_PACU_NO,进出恢复室PACU记录号,进出恢复室PACU记录号,50,,
,\x00\x05,MAV0005,String字符串（变长）,,PACU_BED,PACU床号,PACU床号,50,,
,\x00\x06,MAV0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,IN_RECOVERY_ROOM_TIME,入麻醉复苏室时间,入麻醉复苏室时间,19,,
,\x00\x07,MAV0007,String字符串（变长）,,SC_RECOVERY_DOCTOR,麻醉复苏医师编码,麻醉复苏医师编码,50,,
,\x00\x08,MAV0008,String字符串（变长）,,ST_RECOVERY_DOCTOR,麻醉复苏医师姓名,麻醉复苏医师姓名,50,,
,\x00\x09,MAV0009,String字符串（变长）,,SC_RECOVERY_NURSE,麻醉复苏护士编码,麻醉复苏护士编码,50,,
,\x00\x0A,MAV0010,String字符串（变长）,,ST_RECOVERY_NURSE,麻醉复苏护士姓名,麻醉复苏护士姓名,50,,
,\x00\x0B,MAV0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OUT_RECOVERY_ROOM_TIME,出麻醉复苏室时间,出麻醉复苏室时间,19,,
,\x00\x0C,MAV0012,String字符串（变长）,,PACU_TRSFU_AMOUNT,PACU液体总量,输液量,50,,
,\x00\x0D,MAV0013,String字符串（变长）,,PACU_URINE_VOLUME,PACU尿量,PACU尿量,50,,
,\x00\x0E,MAV0014,String字符串（变长）,,PACU_DRAINAGE_VOLUME,PACU引流量,PACU引流量,50,,
,\x00\x0F,MAV0015,String字符串（变长）,,IN_OPER_HR,入恢复室心率,入恢复室心率,50,,
,\x00\x10,MAV0016,String字符串（变长）,,IN_OPER_R,入恢复室呼吸,入恢复室呼吸,50,,
,\x00\x11,MAV0017,String字符串（变长）,,IN_OPER_T,入恢复室体温,入恢复室体温,50,,
,\x00\x12,MAV0018,String字符串（变长）,,IN_OPER_BP,入恢复室血压,入恢复室血压,50,,
,\x00\x13,MAV0019,String字符串（变长）,,IN_OPER_VT,入恢复室通气量,入恢复室通气量,50,,
,\x00\x14,MAV0020,String字符串（变长）,,IN_OPER_DISABILITY,入恢复室意识,入恢复室意识,50,,
,\x00\x15,MAV0021,String字符串（变长）,,IN_OPER_POSITION,入恢复室体位,入恢复室体位,50,,
,\x00\x16,MAV0022,String字符串（变长）,,RECOVERY_SCORE,苏醒评分,出室总评分,50,,
,\x00\x17,MAV0023,String字符串（变长）,,IN_OPER_WOUND_OBV,伤口观察,伤口观察,50,,
,\x00\x18,MAV0024,String字符串（变长）,,IN_OPER_STOMACH,胃管,胃管,50,,
,\x00\x19,MAV0025,String字符串（变长）,,IN_OPER_PB,外周静脉,外周静脉,50,,
,\x00\x1A,MAV0026,String字符串（变长）,,IN_OPER_CV,中心静脉,中心静脉,50,,
,\x00\x1B,MAV0027,String字符串（变长）,,INFUSION_TRSFU_AMOUNT,输液量,输液量,50,,
,\x00\x1C,MAV0028,String字符串（变长）,,OUT_OPER_HR,出恢复室心率,出恢复室心率,50,,
,\x00\x1D,MAV0029,String字符串（变长）,,OUT_OPER_R,出恢复室呼吸,出恢复室呼吸,50,,
,\x00\x1E,MAV0030,String字符串（变长）,,OUT_OPER_T,出恢复室体温,出恢复室体温,50,,
,\x00\x1F,MAV0031,String字符串（变长）,,OUT_OPER_BP,出恢复室血压,出恢复室血压,50,,
,\x00\x20,MAV0032,String字符串（变长）,,OUT_OPER_VT,出恢复室通气量,出恢复室通气量,50,,
,\x00\x21,MAV0033,String字符串（变长）,,OUT_OPER_O2,出恢复室吸氧条件,出恢复室吸氧条件,50,,
,\x00\x22,MAV0034,String字符串（变长）,,OUT_OPER_SP02,出恢复室血氧饱和度,出恢复室血氧饱和度,50,,
,\x00\x23,MAV0035,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x24,MAV0036,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x25,MAV0037,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
