索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_PRE_INQUIRY,表全名,JHPDL:JH_OP_PRE_INQUIRY,,,,,,
,表说明,术前访视记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAT,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAT0001,String字符串（变长）,,OPER_APY_PRE_SN,术前访视编号,,20,是,
,\x00\x02,MAT0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,20,是,
,\x00\x03,MAT0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,20,是,
,\x00\x04,MAT0004,String字符串（变长）,,PRE_INQUIRY_NO,术前访视记录号,术前访视记录号,20,,
,\x00\x05,MAT0005,String字符串（变长）,,SC_INPT_USER,记录人编码,记录人编码,20,,
,\x00\x06,MAT0006,String字符串（变长）,,ST_INPT_USER,记录人姓名,记录人姓名,60,,
,\x00\x07,MAT0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,INPT_TIME,记录时间,记录时间,19,,
,\x00\x08,MAT0008,String字符串（变长）,,SC_OP_PRE_DIAG,术前主要诊断编码,术前主要诊断编码,20,,
,\x00\x09,MAT0009,String字符串（变长）,,ST_OP_PRE_DIAG,术前主要诊断描述,术前主要诊断描述,100,,
,\x00\x0A,MAT0010,String字符串（变长）,,PRE_OPER_PRESSURE,术前血压,术前血压,10,,
,\x00\x0B,MAT0011,Integer整型（4个字节）,,PRE_OPER_RATE,术前心率,术前心率,4,,
,\x00\x0C,MAT0012,Integer整型（4个字节）,,PRE_OPER_BREATHE,术前呼吸,术前呼吸,4,,
,\x00\x0D,MAT0013,Integer整型（4个字节）,,PRE_OPER_TEMPERATURE,术前体温,术前体温,4,,
,\x00\x0E,MAT0014,Integer整型（4个字节）,,PRE_OPER_WEIGHT,术前体重,术前体重,4,,
,\x00\x0F,MAT0015,String字符串（变长）,,PRE_OPER_BLOOD,术前血常规,术前血常规,200,,
,\x00\x10,MAT0016,String字符串（变长）,,PRE_OPER_URINE,术前尿常规,术前尿常规,200,,
,\x00\x11,MAT0017,String字符串（变长）,,PRE_OPER_LIVER,术前肝功能,术前肝功能,200,,
,\x00\x12,MAT0018,String字符串（变长）,,PRE_OPER_KIDNEY,术前肾功能,术前肾功能,200,,
,\x00\x13,MAT0019,String字符串（变长）,,PRE_OPER_HEART,术前心功能,术前心功能,200,,
,\x00\x14,MAT0020,String字符串（变长）,,PRE_OPER_LUNGS,术前肺功能,术前肺功能,200,,
,\x00\x15,MAT0021,String字符串（变长）,,PRE_OPER_ECG,术前心电图,术前心电图,200,,
,\x00\x16,MAT0022,String字符串（变长）,,PRE_OPER_OTHER_EXAM,术前其他特殊检查,术前其他特殊检查,200,,
,\x00\x17,MAT0023,String字符串（变长）,,PRE_OPER_B_ULT,术前B超,术前B超,200,,
,\x00\x18,MAT0024,String字符串（变长）,,PRE_OPER_MRI,术前MRI,术前MRI,200,,
,\x00\x19,MAT0025,String字符串（变长）,,PRE_OPER_BG,术前血气分析,术前血气分析,200,,
,\x00\x1A,MAT0026,String字符串（变长）,,PRE_OPER_GCS,术前一般状况检查,术前一般状况检查,200,,
,\x00\x1B,MAT0027,String字符串（变长）,,MENTAL_HEALTH_FLAG,精神状态正常标志,精神状态正常标志,200,,
,\x00\x1C,MAT0028,String字符串（变长）,,PRE_OPER_HA,术前心脏听诊,术前心脏听诊,200,,
,\x00\x1D,MAT0029,String字符串（变长）,,PRE_OPER_LA,术前肺部听诊,术前肺部听诊,200,,
,\x00\x1E,MAT0030,String字符串（变长）,,PRE_OPER_EXTR_EXAM,术前四肢检査,术前四肢检査,200,,
,\x00\x1F,MAT0031,String字符串（变长）,,PRE_OPER_TRACHEA_EXAM,术前气管检查,术前气管检查,200,,
,\x00\x20,MAT0032,String字符串（变长）,,PRE_OPER_TOOTH_EXAM,术前牙齿检査,术前牙齿检査,200,,
,\x00\x21,MAT0033,String字符串（变长）,,PRE_OPER_INDI_ANES,术前麻醉适应症,术前麻醉适应症,200,,
,\x00\x22,MAT0034,String字符串（变长）,,ALLERGY_HISTORY,过敏史,过敏史,200,,
,\x00\x23,MAT0035,String字符串（变长）,,ALLERGY_MATTER,抗过敏药物,抗过敏药物,200,,
,\x00\x24,MAT0036,String字符串（变长）,,SMOK_HISTORY,吸烟史,吸烟史,200,,
,\x00\x25,MAT0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SMOK_STAR_DATE,吸烟开始年份,吸烟开始年份,19,,
,\x00\x26,MAT0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SMOK_STAR_END,吸烟结束年份,吸烟结束年份,19,,
,\x00\x27,MAT0039,Integer整型（4个字节）,,SMOK_DAY,吸烟天数,吸烟天数,4,,
,\x00\x28,MAT0040,String字符串（变长）,,DRINK_HISTORY,喝酒史,喝酒史,200,,
,\x00\x29,MAT0041,String字符串（变长）,,DRINK_NUMBER,喝酒量,喝酒量,200,,
,\x00\x2A,MAT0042,String字符串（变长）,,ASTHMA_HISTORY,哮喘史,哮喘史,200,,
,\x00\x2B,MAT0043,String字符串（变长）,,ASTHMA_TYPE,哮喘类型,哮喘类型,200,,
,\x00\x2C,MAT0044,String字符串（变长）,,ASTHMA_FRE,哮喘频率,哮喘频率,200,,
,\x00\x2D,MAT0045,String字符串（变长）,,HIGH_BLOOD_HISTORY,高血压史,高血压史,200,,
,\x00\x2E,MAT0046,String字符串（变长）,,CHEST_TEXT,胸痛备注,胸痛备注,200,,
,\x00\x2F,MAT0047,String字符串（变长）,,CHEST_HISTORY,胸痛史,胸痛史,200,,
,\x00\x30,MAT0048,String字符串（变长）,,DIABETES_HISTORY,糖尿病史,糖尿病史,200,,
,\x00\x31,MAT0049,String字符串（变长）,,DIABETES_TYPE,糖尿病治疗方式,糖尿病治疗方式,200,,
,\x00\x32,MAT0050,String字符串（变长）,,MEDICATED_HISTORY,用药史,用药史,200,,
,\x00\x33,MAT0051,String字符串（变长）,,ANES_HISTORY,麻醉史,麻醉史,200,,
,\x00\x34,MAT0052,String字符串（变长）,,SPECIAL_HISTORY,特殊病史,特殊病史,200,,
,\x00\x35,MAT0053,String字符串（变长）,,PRE_OPER_SPI,术前脊柱检査,术前脊柱检査,200,,
,\x00\x36,MAT0054,String字符串（变长）,,PRE_OPER_ABD,术前腹部检查,术前腹部检查,200,,
,\x00\x37,MAT0055,String字符串（变长）,,PRE_OPER_ANSMED,拟实施麻醉方法代码,拟实施麻醉方法代码,200,,
,\x00\x38,MAT0056,String字符串（变长）,,PRE_OPER_ANSORD,术前麻醉医嘱,术前麻醉医嘱,200,,
,\x00\x39,MAT0057,String字符串（变长）,,PRE_OPER_MEMO,注意事项,注意事项,200,,
,\x00\x3A,MAT0058,String字符串（变长）,,PRE_OPER_DIS,术前合并疾病,术前合并疾病,200,,
,\x00\x3B,MAT0059,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x3C,MAT0060,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,,,
,\x00\x3D,MAT0061,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x3E,MAT0062,String字符串（变长）,,PRE_OPER_SOLID,术前凝血,术前凝血,200,,
,\x00\x3F,MAT0063,String字符串（变长）,,PRE_OPER_ELEC,术前电解质,术前电解质,200,,
,\x00\x40,MAT0064,String字符串（变长）,,PRE_OPER_OTHER_LAB,术前其他检验,术前其他检验,200,,
