索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_RECORD,表全名,JHPDL:JH_OP_RECORD,,,,,,
,表说明,手术麻醉信息表（实际手术信息记录）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OAR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OAR0001,String字符串（变长）,,OPER_RECORD_SN,手术记录单编号,手术记录单编号，系统生成三级编码，如“PR0.000.000.001”,20,是,是
,\x00\x02,OAR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x04,OAR0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x03,OAR0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,20,是,是
,\x00\x06,OAR0006,String字符串（变长）,,HIS_APPLY_NO,手术申请号,业务系统生成的手术申请单号,200,是,是
,\x00\x07,OAR0007,String字符串（变长）,,OPER_SN_NO,手术号,手术系统生成的手术编号,200,,
,\x00\x05,OAR0005,String字符串（变长）,,OPERATION_NAME,手术名称,手术名称,500,,
,\x00\x0C,OAR0012,String字符串（变长）,,OPERATION_SCALE,手术级别,手术的级别（等级）,200,是,是
,\x00\x0F,OAR0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_START_TIME,手术开始时间,,19,是,是
,\x00\x10,OAR0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_STOP_TIME,手术结束时间,,19,是,是
,\x00\x09,OAR0009,String字符串（变长）,,PATIENT_CONDITION,病情说明,对病人体征、病情等进一步说明,4000,,
,\x00\x4A,OAR0074,String字符串（变长）,,TREATMENT_HISTORY,病史及治疗,系统病史及治疗药物,4000,,
,\x00\x4E,OAR0078,String字符串（变长）,,ALLERGY_MATTER,过敏物,过敏物,500,,
,\x00\x50,OAR0080,String字符串（变长）,,GUARD_AGAINST,防范措施,术中困难估计及防范措施,500,,
,\x00\x11,OAR0017,String字符串（变长）,,OPER_ROOM,手术室,,200,,
,\x00\x12,OAR0018,String字符串（变长）,,OPER_ROOM_NO,手术间,,200,,
,\x00\x13,OAR0019,Integer整型（4个字节）,,OPER_SEQUENCE,手术台次,表示上述同一个手术间的手术台次，由手术室分配,20,,
,\x00\x15,OAR0021,String字符串（变长）,,FIRST_ASST,第一手术助手,,200,,
,\x00\x16,OAR0022,String字符串（变长）,,SECOND_ASST,第二手术助手,,200,,
,\x00\x17,OAR0023,String字符串（变长）,,THIRD_ASST,第三手术助手,,200,,
,\x00\x18,OAR0024,String字符串（变长）,,FOURTH_ASST,第四手术助手,,200,,
,\x00\x19,OAR0025,String字符串（变长）,,INST_NURSE,器械护士,,200,,
,\x00\x1A,OAR0026,String字符串（变长）,,CIRCUIT_NURSE,巡回护士,,200,,
,\x00\x1C,OAR0028,String字符串（变长）,,ANES_DOCT_2ND,麻醉医师2,,200,,
,\x00\x1D,OAR0029,String字符串（变长）,,ANES_DOCT_3RD,麻醉医师3,,200,,
,\x00\x1E,OAR0030,String字符串（变长）,,ANES_ASST,麻醉助手,,200,,
,\x00\x1F,OAR0031,String字符串（变长）,,ANES_ASST_2ND,麻醉助手2,,200,,
,\x00\x20,OAR0032,String字符串（变长）,,ANES_ASST_3RD,麻醉助手3,,200,,
,\x00\x22,OAR0034,String字符串（变长）,,BLOOD_TRAN_DOCTOR,输血医师,,200,,
,\x00\x23,OAR0035,String字符串（变长）,,FIRST_OPER_NURSE,第一台上护士,,200,,
,\x00\x24,OAR0036,String字符串（变长）,,SECOND_OPER_NURSE,第二台上护士,,200,,
,\x00\x25,OAR0037,String字符串（变长）,,THIRD_OPER_NURSE,第三台上护士,,200,,
,\x00\x26,OAR0038,String字符串（变长）,,FIRST_SUPPLY_NURSE,第一供应护士,,200,,
,\x00\x27,OAR0039,String字符串（变长）,,SECOND_SUPPLY_NURSE,第二供应护士,,200,,
,\x00\x28,OAR0040,String字符串（变长）,,THIRD_SUPPLY_NURSE,第三供应护士,,200,,
,\x00\x31,OAR0049,String字符串（变长）,,OPER_PART,手术体位,,200,,
,\x00\x32,OAR0050,Integer整型（4个字节）,,VOLUME_INPUT,其它入量,其它入量（单位“ML”）,20,,
,\x00\x33,OAR0051,Integer整型（4个字节）,,VOLUME_OUT,其它出量,其它出量（单位“ML”）,20,,
,\x00\x34,OAR0052,Integer整型（4个字节）,,VOLUME_INFUSION,输液量,输液量（单位“ML”）,20,,
,\x00\x35,OAR0053,Integer整型（4个字节）,,VOLUME_URINE,尿量,尿量（单位“ML”）,20,,
,\x00\x36,OAR0054,Integer整型（4个字节）,,VOLUME_BLOOD_LOSS,失血量,失血量（单位“ML”）,20,,
,\x00\x37,OAR0055,Integer整型（4个字节）,,VOLUME_BLOOD,输血量,输血量（单位“ML”）,20,,
,\x00\x38,OAR0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_ROOM_TIME,进入手术室时间,,19,,
,\x00\x39,OAR0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXIT_ROOM_TIME,离开手术室时间,,19,,
,\x00\x3A,OAR0058,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_PACU_TIME,进入PACU时间,,19,,
,\x00\x3B,OAR0059,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,EXIT_PACU_TIME,离开PACU时间,,19,,
,\x00\x3C,OAR0060,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRE_OPER_VIEW_TIME,术前访视时间,,19,,
,\x00\x3D,OAR0061,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,END_OPER_VIEW_TIME,术后随访时间,,19,,
,\x00\x3E,OAR0062,String字符串（变长）,,OPER_REMARK,手术备注,手术信息记录备注,4000,,
,\x00\x3F,OAR0063,String字符串（变长）,,OPER_INPUT,手术录入者,手术信息数据录入人员,200,,
,\x00\x40,OAR0064,String字符串（变长）,,ANES_SN_NO,麻醉单编号,,200,,
,\x00\x42,OAR0066,Double双精度浮点型（8个字节）,,OPER_HEIGHT,手术时身高,身高(单位“CM”),20,,
,\x00\x43,OAR0067,Double双精度浮点型（8个字节）,,OPER_WEIGHT,手术时体重,体重(单位“KG”),20,,
,\x00\x44,OAR0068,String字符串（变长）,,OPER_PRESSURE,手术时血压,血压,200,,
,\x00\x45,OAR0069,Integer整型（4个字节）,,OPER_RATE,手术时心率,心率(单位“次/分”),20,,
,\x00\x46,OAR0070,Integer整型（4个字节）,,OPER_PULSE,手术时脉搏,脉搏(单位“次/分”),20,,
,\x00\x47,OAR0071,Integer整型（4个字节）,,OPER_BREATHE,手术时呼吸,呼吸(单位“次/分”),20,,
,\x00\x48,OAR0072,Double双精度浮点型（8个字节）,,OPER_TEMPERATURE,手术时体温,体温（单位“摄氏度”）,38,,
,\x00\x51,OAR0081,String字符串（变长）,,ANES_DRUG,麻醉药,麻醉药,500,,
,\x00\x52,OAR0082,String字符串（变长）,,OPER_USE_DRUG,手术时用药,手术时用药,2000,,
,\x00\x53,OAR0083,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ANES_START_TIME,麻醉开始时间,麻醉开始时间,19,,
,\x00\x54,OAR0084,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ANES_STOP_TIME,麻醉结束时间,麻醉结束时间,19,,
,\x00\x55,OAR0085,String字符串（变长）,,OPER_PRE_DRUG,术前用药,术前用药,500,,
,\x00\x57,OAR0087,String字符串（变长）,,ANES_WAY,麻醉方法,麻醉方法,500,,
,\x00\x58,OAR0088,String字符串（变长）,,ANES_PART,麻醉体位,麻醉体位,500,,
,\x00\x59,OAR0089,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x5A,OAR0090,简化字典（Integer整型，4个字节）,425,SD_OPER_TYPE,手术类型简码,手术类型，择期手术、当天手术、急诊手术、抢救手术,20,是,是
,\x00\x5B,OAR0091,String字符串（变长）,,ST_OPER_TYPE,手术类型描述,源业务系统的手术类型描述,500,,
,\x00\x5C,OAR0092,String字符串（变长）,,SC_PAT_DEPT,所在科室编码,患者所在科室,200,,
,\x00\x5D,OAR0093,String字符串（变长）,,ST_PAT_DEPT,所在科室名称,,200,,
,\x00\x5E,OAR0094,String字符串（变长）,,SC_OP_PRE_DIAG,术前主要诊断编码,,500,,
,\x00\x5F,OAR0095,String字符串（变长）,,ST_OP_PRE_DIAG,术前主要诊断描述,,4000,,
,\x00\x60,OAR0096,String字符串（变长）,,SC_OP_FIN_DIAG,术后主要诊断编码,,500,,
,\x00\x61,OAR0097,String字符串（变长）,,ST_OP_FIN_DIAG,术后主要诊断描述,,4000,,
,\x00\x62,OAR0098,String字符串（变长）,,SC_OP_DEPT,手术科室编码,执行手术的科室,200,,
,\x00\x63,OAR0099,String字符串（变长）,,ST_OP_DEPT,手术科室名称,,200,,
,\x00\x64,OAR0100,String字符串（变长）,,SC_OP_DOCT,手术医师编码,执行手术的医生,200,,
,\x00\x65,OAR0101,String字符串（变长）,,ST_OP_DOCT,手术医师名称,,200,,
,\x00\x66,OAR0102,String字符串（变长）,,SC_ANES_DOCT,麻醉医师编码,,200,,
,\x00\x67,OAR0103,String字符串（变长）,,ST_ANES_DOCT,麻醉医师名称,,200,,
,\x00\x68,OAR0104,简化字典（Integer整型，4个字节）,233,SD_ANES_METHOD,麻醉方式简码,,20,,
,\x00\x69,OAR0105,String字符串（变长）,,ST_ANES_METHOD,麻醉方式描述,,500,,
,\x00\x6A,OAR0106,简化字典（Integer整型，4个字节）,379,SD_EMERGENCY,是否急诊,是否急诊,20,,
,\x00\x6B,OAR0107,简化字典（Integer整型，4个字节）,442,SD_ISOLA_TYPE,隔离类型简码,隔离类型：正常、隔离、放射,20,,
,\x00\x6C,OAR0108,String字符串（变长）,,ST_ISOLA_TYPE,隔离类型描述,,200,,
,\x00\x6D,OAR0109,简化字典（Integer整型，4个字节）,379,SD_CHANGE_NURSE,是否护士换班,手术护士是否换班,20,,
,\x00\x6E,OAR0110,简化字典（Integer整型，4个字节）,379,SD_SMOOTHLY,是否过程顺利,手术过程是否顺利,20,,
,\x00\x6F,OAR0111,简化字典（Integer整型，4个字节）,379,SD_COMPLETE,是否完成,,20,,
,\x00\x70,OAR0112,简化字典（Integer整型，4个字节）,379,SD_COMMIT_ORDER,是否医嘱提交,,20,,
,\x00\x71,OAR0113,简化字典（Integer整型，4个字节）,379,SD_COMMIT_FEE,是否费用提交,,20,,
,\x00\x72,OAR0114,简化字典（Integer整型，4个字节）,443,SD_OP_STATE,手术状态简码,,20,,
,\x00\x73,OAR0115,String字符串（变长）,,ST_OP_STATE,手术状态描述,,200,,
,\x00\x74,OAR0116,简化字典（Integer整型，4个字节）,444,SD_ANES_SATISF,麻醉满意简码,麻醉满意程度：满意、不全满意、改麻醉,20,,
,\x00\x75,OAR0117,String字符串（变长）,,ST_ANES_SATISF,麻醉满意描述,,4000,,
,\x00\x76,OAR0118,简化字典（Integer整型，4个字节）,445,SD_AWARENESS,手术时意识简码,意识(清醒、嗜睡、昏迷),20,,
,\x00\x77,OAR0119,String字符串（变长）,,ST_AWARENESS,手术时意识描述,,4000,,
,\x00\x78,OAR0120,简化字典（Integer整型，4个字节）,379,SD_OPER_HIST,是否有手术史,手术麻醉史(无/有，1-有、0-无),20,,
,\x00\x79,OAR0121,简化字典（Integer整型，4个字节）,379,SD_CONCURRENT,是否有并发症,并发症(无/有，1-有、0-无),20,,
,\x00\x7A,OAR0122,简化字典（Integer整型，4个字节）,379,SD_ALLERGY,是否有过敏史,过敏史(无/有，1-有、0-无),20,,
,\x00\x7B,OAR0123,简化字典（Integer整型，4个字节）,446,SD_ASA_ASSESS,ASA估计简码,ASA病情估计分级(分为I，II，III，IV，V，（E）六个选项),20,,
,\x00\x7C,OAR0124,String字符串（变长）,,ST_ASA_ASSESS,ASA估计描述,,500,,
,\x00\x7D,OAR0125,简化字典（Integer整型，4个字节）,447,SD_PRE_EFFECT,术前用药效果简码,术前用药效果(1/佳、2/较好、3/好、4/一般),20,,
,\x00\x7E,OAR0126,String字符串（变长）,,ST_PRE_EFFECT,术前用药效果描述,,500,,
,\x00\x7F,OAR0127,String字符串（变长）,,SC_OPER_TYPE,手术类型编码,源业务系统的手术类型编码,200,,
,\x00\x80,OAR0128,String字符串（变长）,,SC_ANES_METHOD,麻醉方式编码,源业务系统的麻醉方式编码,200,,
