索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OP_SCH,表全名,JHPDL:JH_OP_SCH,,,,,,
,表说明,手术预约排期,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OAS,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OAS0001,String字符串（变长）,,OPER_APY_SCH_SN,手术排期编号,手术排期编号，系统生成三级编码，如“PS0.000.000.001”,20,是,是
,\x00\x02,OAS0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,OAS0003,String字符串（变长）,,OPER_APPLY_SN,手术申请单编号,手术申请单编号，来源JH_OP_APPLY的OAP0001,20,是,是
,\x00\x04,OAS0004,String字符串（变长）,,OPER_PRE_DIAG,术前主要诊断,手术前的主要临床诊断描述,2000,,
,\x00\x05,OAS0005,String字符串（变长）,,OPERATION_NAME,手术操作,申请的手术名称,200,是,是
,\x00\x06,OAS0006,String字符串（变长）,,OPERATION_SCALE,手术级别,申请手术的级别,200,是,是
,\x00\x07,OAS0007,String字符串（变长）,,PATIENT_CONDITION,病情说明,对病人体征、病情等进一步说明,2000,,
,\x00\x08,OAS0008,String字符串（变长）,,HIS_APPLY_NO,业务申请号,业务系统生成的手术申请单号,200,是,是
,\x00\x09,OAS0009,String字符串（变长）,,HIS_SCH_NO,业务排班号,业务系统生成的手术排期编号,200,,
,\x00\x0B,OAS0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PLAN_OPER_TIME,拟手术时间,排班后拟手术时间,19,,
,\x00\x0C,OAS0012,String字符串（变长）,,PLAN_OPER_ROOM,拟手术室,,200,,
,\x00\x0D,OAS0013,String字符串（变长）,,PLAN_OPER_ROOM_NO,拟手术间,,200,,
,\x00\x0E,OAS0014,Integer整型（4个字节）,,PLAN_SEQUENCE,拟手术台次,表示上述同一个手术间的手术台次，由手术室分配,20,,
,\x00\x0F,OAS0015,String字符串（变长）,,PLAN_OPER_DOCTOR,拟手术医师,,200,,
,\x00\x10,OAS0016,String字符串（变长）,,PLAN_FIRST_ASST,拟第一手术助手,,200,,
,\x00\x11,OAS0017,String字符串（变长）,,PLAN_SECOND_ASST,拟第二手术助手,,200,,
,\x00\x12,OAS0018,String字符串（变长）,,PLAN_THIRD_ASST,拟第三手术助手,,200,,
,\x00\x13,OAS0019,String字符串（变长）,,PLAN_FOURTH_ASST,拟第四手术助手,,200,,
,\x00\x14,OAS0020,String字符串（变长）,,PLAN_INST_NURSE,拟器械护士,,200,,
,\x00\x15,OAS0021,String字符串（变长）,,PLAN_CIRCUIT_NURSE,拟巡回护士,,200,,
,\x00\x16,OAS0022,String字符串（变长）,,PLAN_ANES_DOCTOR,拟麻醉医师,,200,,
,\x00\x17,OAS0023,String字符串（变长）,,PLAN_ANES_DOCT_2ND,拟麻醉医师2,,200,,
,\x00\x18,OAS0024,String字符串（变长）,,PLAN_ANES_DOCT_3RD,拟麻醉医师3,,200,,
,\x00\x19,OAS0025,String字符串（变长）,,PLAN_ANES_ASST,拟麻醉助手,,200,,
,\x00\x1A,OAS0026,String字符串（变长）,,PLAN_ANES_ASST_2ND,拟麻醉助手2,,200,,
,\x00\x1B,OAS0027,String字符串（变长）,,PLAN_ANES_ASST_3RD,拟麻醉助手3,,200,,
,\x00\x1D,OAS0029,String字符串（变长）,,BLOOD_TRAN_DOCTOR,输血医师,,200,,
,\x00\x1E,OAS0030,String字符串（变长）,,FIRST_OPER_NURSE,第一台上护士,,200,,
,\x00\x1F,OAS0031,String字符串（变长）,,SECOND_OPER_NURSE,第二台上护士,,200,,
,\x00\x20,OAS0032,String字符串（变长）,,THIRD_OPER_NURSE,第三台上护士,,200,,
,\x00\x21,OAS0033,String字符串（变长）,,FIRST_SUPPLY_NURSE,第一供应护士,,200,,
,\x00\x22,OAS0034,String字符串（变长）,,SECOND_SUPPLY_NURSE,第二供应护士,,200,,
,\x00\x23,OAS0035,String字符串（变长）,,THIRD_SUPPLY_NURSE,第三供应护士,,200,,
,\x00\x26,OAS0038,String字符串（变长）,,OPER_SCH_REMARK,备注,,2000,,
,\x00\x27,OAS0039,String字符串（变长）,,OPER_SCH_INPUT,录入者,,200,,
,\x00\x28,OAS0040,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x29,OAS0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x2A,OAS0042,简化字典（Integer整型，4个字节）,425,SD_OPER_TYPE,手术类型简码,手术类型，择期手术、当天手术、急诊手术、抢救手术,20,是,是
,\x00\x2B,OAS0043,String字符串（变长）,,ST_OPER_TYPE,手术类型描述,,500,,
,\x00\x2C,OAS0044,简化字典（Integer整型，4个字节）,233,SD_PLAN_ANES_METH,拟麻醉方式简码,,20,,
,\x00\x2D,OAS0045,String字符串（变长）,,ST_PLAN_ANES_METH,拟麻醉方式描述,,500,,
,\x00\x2E,OAS0046,简化字典（Integer整型，4个字节）,379,SD_ACK_APPLY,是否接收申请,,20,,
,\x00\x2F,OAS0047,简化字典（Integer整型，4个字节）,426,SD_OPER_SCH_STA,手术排期状态,排期状态，如：未安排，已安排，已作废，已完成手术,20,是,是
,\x00\x30,OAS0048,Double双精度浮点型（8个字节）,,DURATION,预计持续时间,预计持续时间,38,,
,\x00\x31,OAS0049,String字符串（变长）,,DURATION_UNITS,预计持续时间单位,预计持续时间单位描述,200,,
,\x00\x32,OAS0050,String字符串（变长）,,SC_OPER_TYPE,手术类型编码,源业务系统的手术类型编码,200,,
,\x00\x33,OAS0051,String字符串（变长）,,SC_PLAN_ANES_METH,拟麻醉方式编码,源业务系统的拟麻醉方式编码,200,,
,\x00\x34,OAS0052,String字符串（变长）,,SC_OPER_SCH_STA,手术排期状态编码,源业务系统的手术排期状态编码,200,,
,\x00\x35,OAS0053,String字符串（变长）,,ST_OPER_SCH_STA,手术排期状态描述,源业务系统的手术排期状态描述,200,,
,\x00\x36,OAS0054,String字符串（变长）,,ST_ACK_APPLY,是否接收申请描述,源业务系统是否接收申请描述,20,,
,\x00\x37,OAS0055,String字符串（变长）,,SC_ACK_APPLY,是否接收申请编码,源业务系统是否接收申请编码,20,,
,\x00\x38,OAS0056,简化字典（Integer整型，4个字节）,,SD_OPERATION_SCALE,手术级别编码,中台标准手术级别编码,4,,
,\x00\x39,OAS0057,String字符串（变长）,,SC_OPERATION_SCALE,手术级别编码,源业务系统手术级别编码,20,,
,\x00\x3A,OAS0058,String字符串（变长）,,ST_OPERATION_SCALE,手术级别描述,源业务系统手术级别描述,20,,
,\x00\x3B,OAS0059,String字符串（变长）,,SC_APPOINT_MACHINE,预约设备编码,预约设备编码,200,,
,\x00\x3C,OAS0060,String字符串（变长）,,ST_APPOINT_MACHINE,预约设备名称,预约设备名称,200,,
,\x00\x3D,OAS0061,String字符串（变长）,,SC_PLAN_OPER_DOCTOR,主刀医生工号,主刀医生工号,200,,
,\x00\x3E,OAS0062,String字符串（变长）,,ST_PLAN_OPER_DOCTOR,主刀医生姓名,主刀医生姓名,200,,
,\x00\x3F,OAS0063,String字符串（变长）,,SC_APPLY_OPER_DEPT,拟执行科室编码,拟执行科室编码,200,,
,\x00\x40,OAS0064,String字符串（变长）,,ST_APPLY_OPER_DEPT,拟执行科室名称,拟执行科室名称,200,,
,\x00\x41,OAS0065,String字符串（变长）,,SC_PLAN_OPER_ROOM_NO,预约手术间编码,预约手术间编码,200,,
,\x00\x42,OAS0066,String字符串（变长）,,ST_PLAN_OPER_ROOM_NO,预约手术间名称,预约手术间名称,200,,
,\x00\x43,OAS0067,String字符串（变长）,,SC_PLAN_FIRST_ASST,手术一助工号,,,,
,\x00\x44,OAS0068,String字符串（变长）,,ST_PLAN_FIRST_ASST,手术一助姓名,,,,
,\x00\x45,OAS0069,简化字典（Integer整型，4个字节）,233,SD_PLAN_ANES_METH2,拟麻醉方式简码2,,20,,
,\x00\x46,OAS0070,String字符串（变长）,,SC_PLAN_ANES_METH2,拟麻醉方式编码2,,100,,
,\x00\x47,OAS0071,String字符串（变长）,,ST_PLAN_ANES_METH2,拟麻醉方式描述2,,500,,
,\x00\x48,OAS0072,简化字典（Integer整型，4个字节）,233,SD_PLAN_ANES_METH3,拟麻醉方式简码3,,20,,
,\x00\x49,OAS0073,String字符串（变长）,,SC_PLAN_ANES_METH3,拟麻醉方式编码3,,100,,
,\x00\x4A,OAS0074,String字符串（变长）,,ST_PLAN_ANES_METH3,拟麻醉方式描述3,,500,,
,\x00\x4B,OAS0075,String字符串（变长）,,OPER_SN_NO,手术标识号,手术标识号，与麻醉记录单中的手术标识号保持一致,,,
,\x00\x4C,OAS0076,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x4D,OAS0077,String字符串（变长）,,SC_OPER_POSITION,手术部位编码,手术部位编码,200,,
,\x00\x4E,OAS0078,String字符串（变长）,,ST_OPER_POSITION,手术部位名称,手术部位名称,200,,
,\x00\x0A,OAS0010,自定义字典类型，字符串（变长）,425,OPER_TYPE,手术类型,手术类型，择期手术、当天手术、急诊手术、抢救手术,200,是,是
,\x00\x1C,OAS0028,自定义字典类型，字符串（变长）,233,PLAN_ANES_METHOD,拟麻醉方式,,200,,
,\x00\x24,OAS0036,自定义字典类型，字符串（变长）,379,ACK_APPLY_FLAG,接收申请标识,,200,,
,\x00\x25,OAS0037,自定义字典类型，字符串（变长）,426,OPER_SCH_STATE,手术排期状态,排期状态，如：未安排，已安排，已作废，已完成手术,200,,
