索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OUT_MR,表全名,JHPDL:JH_OUT_MR,,,,,,
,表说明,门诊电子病历记录（索引和大字段）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OMR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OMR0001,String字符串（变长）,,OUT_MR_SN,门诊病历记录编号,门诊就诊编号，系统生成二级编码，如“M00.000.001”,20,是,是
,\x00\x02,OMR0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,OMR0003,String字符串（变长）,,OUT_HOSP_SN,门诊就诊编号,就诊编号，来源JH_PAT_VISIT的PAV0001,20,是,是
,\x00\x04,OMR0004,String字符串（变长）,,MR_CODE,病历编号,门诊业务系统发放的编号,200,,
,\x00\x05,OMR0005,String字符串（变长）,,MR_NAME,病历文件名,前往门诊的次数,200,,
,\x00\x06,OMR0006,String字符串（变长）,,MR_TOPIC,文书标题,患者实际门诊就诊日期与时间,200,,
,\x00\x30,OMR0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CAPTION_DATE_TIME,病历标题时间,,31,,
,\x00\x07,OMR0007,自定义字典类型，字符串（变长）,432,MR_TYPE,文书归类,第一门诊标记，是否,200,,
,\x00\x08,OMR0008,String字符串（变长）,,MR_CLASS,模板大类,"门诊就诊科室编码＋名称，如“001#,#内科”",200,,
,\x00\x09,OMR0009,String字符串（变长）,,MR_SUB_CLASS,模板小类,"门诊就诊诊间编码＋名称，如“001#,#内科一室”",200,,
,\x00\x0A,OMR0010,String字符串（变长）,,CREATOR_NAME,书写医生,"就诊医师编码＋名称，如“1001#,#张三”",200,,
,\x00\x25,OMR0037,String字符串（变长）,,SC_CREATOR,书写医生编码,,200,,
,\x00\x0B,OMR0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CREATE_TIME,书写时间,"反映从预约到就诊的状态变化，如“1#,#002#,#预约”（预约、已确认、就诊、已取消）",19,,
,\x00\x26,OMR0038,String字符串（变长）,,ST_CREATOR,书写医生名称,,200,,
,\x00\x0C,OMR0012,String字符串（变长）,,DEPT_NAME,书写科室,,200,,
,\x00\x27,OMR0039,String字符串（变长）,,SC_DEPT,书写科室编码,,200,,
,\x00\x0D,OMR0013,自定义字典类型，字符串（变长）,434,PHOTOCOPY,复印状态,挂号方式，如现场、预约、特诊,200,,
,\x00\x28,OMR0040,String字符串（变长）,,ST_DEPT,书写科室名称,,200,,
,\x00\x0E,OMR0014,String字符串（变长）,,FILE_COMMENT,备注,预约类型，如现场、电话、短信、网上、APP,4000,,
,\x00\x0F,OMR0015,自定义字典类型，字符串（变长）,379,DELETE_FLAG,删除标记,"窗口挂号操作员编码＋名称，如“001#,#张三”",200,,
,\x00\x10,OMR0016,String字符串（变长）,,MR_CONTENT_HTML,HTML内容号,,200,,
,\x00\x11,OMR0017,String字符串（变长）,,MR_CONTENT_TEXT,TEXT内容号,"窗口挂号操作员编码＋名称，如“001#,#张三”",200,,
,\x00\x12,OMR0018,String字符串（变长）,,MR_CONTENT_CDA,CDA内容号,,200,,
,\x00\x13,OMR0019,String字符串（变长）,,MR_CONTENT_PDF,PDF内容号,,200,,
,\x00\x19,OMR0025,String字符串（变长）,,MR_CONTENT_1,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x1A,OMR0026,String字符串（变长）,,MR_CONTENT_2,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x1B,OMR0027,String字符串（变长）,,MR_CONTENT_3,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x1C,OMR0028,String字符串（变长）,,MR_CONTENT_4,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x14,OMR0020,自定义字典类型，字符串（变长）,439,MR_LINK_TYPE,病历内容格式,PDF、JPG等,200,,
,\x00\x23,OMR0035,简化字典（Integer整型，4个字节）,439,SD_MR_LINK_TYPE,病历内容格式,PDF、JPG等,20,,
,\x00\x2C,OMR0044,String字符串（变长）,,SC_MR_LINK_TYPE,病历内容格式编码,源业务系统的病历内容格式编码,200,,
,\x00\x2D,OMR0045,String字符串（变长）,,ST_MR_LINK_TYPE,病历内容格式描述,源业务系统的病历内容格式描述,200,,
,\x00\x15,OMR0021,String字符串（变长）,,MR_LINK_URL,病历访问地址,可以是病历文件获取的URL地址，或详细的获得串等,500,,
,\x00\x16,OMR0022,String字符串（变长）,,MR_LINK_EXT,病历访问参数,用于从第三方获取病历内容的额外参数或扩展记录用,500,,
,\x00\x17,OMR0023,自定义字典类型，字符串（变长）,438,LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,200,,
,\x00\x2E,OMR0046,String字符串（变长）,,SC_LINK_APP,展示处理程序编码,源业务系统的展示处理程序编码,200,,
,\x00\x2F,OMR0047,String字符串（变长）,,ST_LINK_APP,展示处理程序描述,源业务系统的展示处理程序描述,200,,
,\x00\x18,OMR0024,String字符串（变长）,,LINK_PARA,展示处理参数,指定展示与处理（获取）第三方病历内容文件的程序需要用到的扩展参数,500,,
,\x00\x1F,OMR0031,简化字典（Integer整型，4个字节）,432,SD_MR_TYPE,文书归类简码,,20,,
,\x00\x20,OMR0032,String字符串（变长）,,ST_MR_TYPE,文书归类描述,,500,,
,\x00\x29,OMR0041,String字符串（变长）,,SC_MR_TYPE,文书归类编码,源业务系统的文书归类编码,200,,
,\x00\x21,OMR0033,简化字典（Integer整型，4个字节）,434,SD_PHOTOCOPY,复印状态,复印状态；未复印、已复印、封存,20,,
,\x00\x2A,OMR0042,String字符串（变长）,,SC_PHOTOCOPY,复印状态编码,源业务系统的复印状态编码,200,,
,\x00\x2B,OMR0043,String字符串（变长）,,ST_PHOTOCOPY,复印状态描述,源业务系统的复印状态描述,200,,
,\x00\x22,OMR0034,简化字典（Integer整型，4个字节）,379,SD_DELETE,是否删除,是否删除,20,,
,\x00\x24,OMR0036,简化字典（Integer整型，4个字节）,438,SD_LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,20,,
,\x00\x31,OMR0049,String字符串（变长）,,FILE_FLAG,病历状态,,200,,
,\x00\x32,OMR0050,String字符串（变长）,,SC_FILE_STA,病历状态编码,,200,,
,\x00\x33,OMR0051,String字符串（变长）,,ST_FILE_STA,病历状态描述,,200,,
,\x00\x34,OMR0052,Integer整型（4个字节）,,SD_FILE_STA,病历状态简码,,20,,
,\x00\x35,OMR0053,String字符串（变长）,,LAST_MODIFY_NAME,最后修改人,,200,,
,\x00\x36,OMR0054,String字符串（变长）,,SC_LAST_MODIFY,最后修改人编码,,200,,
,\x00\x37,OMR0055,String字符串（变长）,,ST_LAST_MODIFY,最后修改人名称,,200,,
,\x00\x38,OMR0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_MODIFY_TIME,最后修改时间,,19,,
,\x00\x1D,OMR0029,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x1E,OMR0030,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x39,OMR0057,String字符串（变长）,,SIGN_TYPE,签名类型,签名类型,10,,
,\x00\x3A,OMR0058,String字符串（变长）,,SIGN_STATUS,签名状态,签名状态,10,,
,\x00\x3B,OMR0059,String字符串（变长）,,SC_SIGN,签名人工号,签名人工号,200,,
,\x00\x3C,OMR0060,String字符串（变长）,,ST_SIGN,签名人姓名,签名人姓名,200,,
,\x00\x3D,OMR0061,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SIGNTIME,签名时间,签名时间,,,
,\x00\x3E,OMR0062,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
