索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_OUT_ORD_DTL,表全名,JHPDL:JH_OUT_ORD_DTL,,,,,,
,表说明,门诊处方明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,OOD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,OOD0001,String字符串（变长）,,OUT_ORD_DTL_SN,处方明细编号,处方明细编号，系统生成三级编码，如“ML0.000.000.001”,20,是,是
,\x00\x02,OOD0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,OOD0003,String字符串（变长）,,OUT_ORDERS_SN,门诊处方编号,门诊处方编号，来源JH_OUT_ORDERS的OOR0001,20,是,是
,\x00\x3C,OOD0060,String字符串（变长）,,PRESC_NO,处方号,,200,是,是
,\x00\x04,OOD0004,自定义字典类型，字符串（变长）,408,ORD_DTL_TYPE,项目类型,"项目类型，如“1#,#002#,#西药”（西药、中药、治疗、检查、检验）",200,是,是
,\x00\x1F,OOD0031,简化字典（Integer整型，4个字节）,408,SD_ORD_DTL_TYPE,项目类型简码,项目类型，如西药、中药、治疗、检查、检验,20,,
,\x00\x20,OOD0032,String字符串（变长）,,ST_ORD_DTL_TYPE,项目类型描述,,500,,
,\x00\x5E,OOD0094,String字符串（变长）,,SC_ORD_DTL_TYPE,项目类型编码,源业务系统的项目类型编码,200,,
,\x00\x05,OOD0005,String字符串（变长）,,ORD_DTL_CODE,项目代码,,200,,
,\x00\x06,OOD0006,String字符串（变长）,,ORD_DTL_NAME,项目名称,,200,,
,\x00\x07,OOD0007,String字符串（变长）,,ORD_DTL_SPEC,项目规格,,200,,
,\x00\x08,OOD0008,Double双精度浮点型（8个字节）,,AMOUNT,数量,,38,,
,\x00\x21,OOD0033,简化字典（Integer整型，4个字节）,410,SD_UNITS,总量单位简码,,20,,
,\x00\x22,OOD0034,String字符串（变长）,,ST_UNITS,总量单位描述,,200,,
,\x00\x5F,OOD0095,String字符串（变长）,,SC_UNITS,总量单位编码,源业务系统的总量单位编码,200,,
,\x00\x09,OOD0009,自定义字典类型，字符串（变长）,410,UNITS,单位,,200,,
,\x00\x0A,OOD0010,Double双精度浮点型（8个字节）,,DOSAGE,一次用量,,38,,
,\x00\x23,OOD0035,简化字典（Integer整型，4个字节）,410,SD_DOSAGE_UNITS,一次用量单位简码,,20,,
,\x00\x24,OOD0036,String字符串（变长）,,ST_DOSAGE_UNITS,一次用量单位描述,,500,,
,\x00\x60,OOD0096,String字符串（变长）,,SC_DOSAGE_UNITS,一次用量单位编码,源业务系统的一次用量单位编码,200,,
,\x00\x16,OOD0022,Double双精度浮点型（8个字节）,,ONCE_AMOUNT,单次数量,,38,,
,\x00\x0B,OOD0011,自定义字典类型，字符串（变长）,410,DOSAGE_UNITS,用量单位,,200,,
,\x00\x0C,OOD0012,String字符串（变长）,,FREQUENCY,频次,,200,,
,\x00\x2F,OOD0047,Integer整型（4个字节）,,FREQ_INTERVAL,执行频次间隔,,20,,
,\x00\x30,OOD0048,String字符串（变长）,,FREQUENCY_DESC,执行频次描述,,200,,
,\x00\x6A,OOD0106,String字符串（变长）,,SC_FREQUENCY,频次编码,,100,,
,\x00\x6B,OOD0107,String字符串（变长）,,ST_FREQUENCY,频次描述,频次描述,100,,
,\x00\x0D,OOD0013,String字符串（变长）,,ADMINISTRATION,用药途径,,200,,
,\x00\x43,OOD0067,String字符串（变长）,,SC_PHAR_WAY,给药途径编码,源业务系统的给药途径和方法编码,200,是,是
,\x00\x44,OOD0068,String字符串（变长）,,ST_PHAR_WAY,给药途径描述,源业务系统的给药途径和方法文字描述,200,,
,\x00\x0E,OOD0014,自定义字典类型，字符串（变长）,379,PROVIDED_FLAG,自备标记,,200,,
,\x00\x0F,OOD0015,Integer整型（4个字节）,,REPETITION,付数,中药的剂数,20,,
,\x00\x10,OOD0016,String字符串（变长）,,ORDER_GROUP,分组号,用于成组或中药合成一包,200,,
,\x00\x11,OOD0017,String字符串（变长）,,ORDER_SUB_GROUP,子分组号,用于成组或中药合成一包,200,,
,\x00\x12,OOD0018,String字符串（变长）,,ORD_DTL_NOTE,备注说明,,2000,,
,\x00\x13,OOD0019,自定义字典类型，字符串（变长）,379,GETDRUG_FLAG,取药标志,是否已经取药,200,,
,\x00\x25,OOD0037,简化字典（Integer整型，4个字节）,379,SD_PROVIDED,是否自备药,,20,,
,\x00\x26,OOD0038,简化字典（Integer整型，4个字节）,379,SD_GET_DRUG,是否已取药,是否已经取药,20,,
,\x00\x29,OOD0041,String字符串（变长）,,DRUG_USING_TIME_POINT,给药时机,,200,,
,\x00\x2A,OOD0042,String字符串（变长）,,INFUSION_SPEED,给药速度,,200,,
,\x00\x2B,OOD0043,String字符串（变长）,,DRUG_USING_AREA,给药部位,,200,,
,\x00\x2C,OOD0044,Integer整型（4个字节）,,DURATION,持续时间,一次执行的持续时间,20,,
,\x00\x2D,OOD0045,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,WILL_START_TIME,拟开始时间,,31,,
,\x00\x2E,OOD0046,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,WILL_STOP_TIME,拟停止时间,,31,,
,\x00\x3D,OOD0061,String字符串（变长）,,PRESC_DRUG_NO,发药单号,,200,,
,\x00\x3E,OOD0062,String字符串（变长）,,PRESC_DRUG_CAUSE,用药目的,,200,,
,\x00\x45,OOD0069,String字符串（变长）,,ST_DURA_UNITS,持续单位描述,,200,,
,\x00\x56,OOD0086,自定义字典类型，字符串（变长）,268,DOSAGE_FORM,药物剂型,药物剂型,200,,
,\x00\x67,OOD0103,简化字典（Integer整型，4个字节）,268,SD_DOSAGE_FORM,药物剂型字典对照,,,,
,\x00\x68,OOD0104,String字符串（变长）,,SC_DOSAGE_FORM,药物剂型编码,,100,,
,\x00\x69,OOD0105,String字符串（变长）,,ST_DOSAGE_FORM,药物剂型描述,,200,,
,\x00\x6C,OOD0108,String字符串（变长）,,SC_COURSE,疗程编码,,100,,
,\x00\x6D,OOD0109,String字符串（变长）,,ST_COURSE,疗程名称,,100,,
,\x00\x14,OOD0020,自定义字典类型，字符串（变长）,391,BILLING_ATTR,计价属性,正常计价、自带药,200,,
,\x00\x27,OOD0039,简化字典（Integer整型，4个字节）,391,SD_BILLING_ATTR,计价属性,,20,,
,\x00\x61,OOD0097,String字符串（变长）,,SC_BILLING_ATTR,计价属性编码,源业务系统的计价属性编码,200,,
,\x00\x62,OOD0098,String字符串（变长）,,ST_BILLING_ATTR,计价属性说明,源业务系统的计价属性描述,200,,
,\x00\x15,OOD0021,自定义字典类型，字符串（变长）,392,BILLING_DONE,计价状态,未计价、计价完成、已缴费、申请退费、已退费,200,,
,\x00\x28,OOD0040,简化字典（Integer整型，4个字节）,392,SD_BILLING_DONE,计价状态,,20,,
,\x00\x63,OOD0099,String字符串（变长）,,SC_BILLING_DONE,计价状态编码,源业务系统的计价状态编码,200,,
,\x00\x64,OOD0100,String字符串（变长）,,ST_BILLING_DONE,计价状态说明,源业务系统的计价状态描述,200,,
,\x00\x17,OOD0023,String字符串（变长）,,FEE_ID_CODE,费用项关联号,关联的费用明细项的唯一编号，可以是组合键,200,,
,\x00\x18,OOD0024,Double双精度浮点型（8个字节）,,ORD_DTL_FEE,费用,,38,,
,\x00\x1C,OOD0028,String字符串（变长）,,SRC_OS_CODE,内部医嘱状态编码,源业务系统医嘱状态编码,200,,
,\x00\x1D,OOD0029,String字符串（变长）,,SRC_OS_STATE,内部医嘱状态说明,源业务系统医嘱状态说明,200,,
,\x00\x1E,OOD0030,简化字典（Integer整型，4个字节）,455,STD_OS_STATE,标化医嘱状态,医嘱状态的内部简化字典,20,,
,\x00\x65,OOD0101,String字符串（变长）,,SC_ORDER_STATE,医嘱状态编码,源业务系统的医嘱状态编码,200,,
,\x00\x66,OOD0102,String字符串（变长）,,ST_ORDER_STATE,医嘱状态描述,源业务系统的医嘱状态描述,200,,
,\x00\x47,OOD0071,简化字典（Integer整型，4个字节）,390,SD_ORDER_STATE,医嘱状态,,20,,
,\x00\x31,OOD0049,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTER_TIME,医嘱开立时间,,31,,
,\x00\x48,OOD0072,String字符串（变长）,,SC_ENTER_DEPT,开立科室编码,,200,,
,\x00\x49,OOD0073,String字符串（变长）,,ST_ENTER_DEPT,开立科室描述,,200,是,是
,\x00\x4A,OOD0074,String字符串（变长）,,SC_ENTER_DOCT,开立医生编码,,200,,
,\x00\x4B,OOD0075,String字符串（变长）,,ST_ENTER_DOCT,开立医生名称,,200,,
,\x00\x32,OOD0050,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,医嘱校对时间,,31,,
,\x00\x4C,OOD0076,String字符串（变长）,,SC_CHECK_NURSE,校对护士编码,,200,,
,\x00\x4D,OOD0077,String字符串（变长）,,ST_CHECK_NURSE,校对护士名称,,200,,
,\x00\x33,OOD0051,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_DOCT_TIME,停止医嘱计划时间,医生计划停止医嘱的时间,31,,
,\x00\x34,OOD0052,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_ENTER_TIME,停止医嘱录入时间,医生录入停止医嘱的时间,31,,
,\x00\x35,OOD0053,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_CHECK_TIME,医嘱停止校对时间,校对医嘱停止的时间,31,,
,\x00\x36,OOD0054,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STOP_DATE_TIME,医嘱实际停止时间,护士实际停止医嘱的时间,31,,
,\x00\x4E,OOD0078,String字符串（变长）,,SC_STOP_DOCT,停止医生编码,,200,,
,\x00\x4F,OOD0079,String字符串（变长）,,ST_STOP_DOCT,停止医生名称,,200,,
,\x00\x50,OOD0080,String字符串（变长）,,SC_STOP_NURSE,停止护士编码,,200,,
,\x00\x51,OOD0081,String字符串（变长）,,ST_STOP_NURSE,停止护士名称,,200,,
,\x00\x52,OOD0082,String字符串（变长）,,SC_PERFORM_DEPT,执行科室编码,,200,,
,\x00\x53,OOD0083,String字符串（变长）,,ST_PERFORM_DEPT,执行科室名称,,200,是,是
,\x00\x54,OOD0084,String字符串（变长）,,SC_PERFORM_WARD,执行病区编码,,200,,
,\x00\x55,OOD0085,String字符串（变长）,,ST_PERFORM_WARD,执行病区名称,,200,,
,\x00\x57,OOD0087,String字符串（变长）,,SC_REAL_NURSE,实际执行人编码,,200,,
,\x00\x58,OOD0088,String字符串（变长）,,ST_REAL_NURSE,实际执行人名称,,200,,
,\x00\x59,OOD0089,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REAL_PRESC_TIME,实际执行时间,,31,,
,\x00\x5A,OOD0090,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,AUDICT_TIME,医嘱审核时间,医嘱审核时间,31,,
,\x00\x5B,OOD0091,String字符串（变长）,,SC_AUDIT_STAFF,医嘱审核者工号,医嘱审核者工号,200,,
,\x00\x5C,OOD0092,String字符串（变长）,,ST_AUDIT_STAFF,医嘱审核者姓名,医嘱审核者姓名,200,,
,\x00\x37,OOD0055,String字符串（变长）,,APPLY_SN,关联申请单号,该医嘱关联的申请单号,200,,
,\x00\x38,OOD0056,Integer整型（4个字节）,,PRINT_NUM,医嘱打印次数,该医嘱已经打印的次数,20,,
,\x00\x39,OOD0057,String字符串（变长）,,ORDER_DESC,医嘱说明,,2000,,
,\x00\x3A,OOD0058,String字符串（变长）,,ORDER_NOTE,备注,,2000,,
,\x00\x3B,OOD0059,String字符串（变长）,,ORDER_ID_CODE,医嘱唯一标识,医嘱系统的记录项唯一编号，若与业务主键一致可以不记录,200,,
,\x00\x41,OOD0065,String字符串（变长）,,SC_ORDER_CLASS,医嘱类别编码,源业务系统的医嘱类别编码,200,是,是
,\x00\x42,OOD0066,String字符串（变长）,,ST_ORDER_CLASS,医嘱类别描述,源业务系统的医嘱类别描述,500,,
,\x00\x46,OOD0070,String字符串（变长）,,ST_FREQ_INTE_UNIT,频次间隔单位描述,,500,,
,\x00\x3F,OOD0063,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SKIN_TEST_TIME,皮试时间,,31,,
,\x00\x40,OOD0064,String字符串（变长）,,SKIN_TEST_RES,皮试结果,,2000,,
,\x00\x5D,OOD0093,String字符串（变长）,,ORD_COURSE,疗程,,200,,
,\x00\x19,OOD0025,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
