索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PAT_INFO,表全名,JHPDL:JH_PAT_INFO,,,,,,
,表说明,患者基本信息表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,PAT,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,PAT0001,String字符串（变长）,,PATIENT_SN,患者编号,患者编号，系统生成二级编码，如“P00.000.001”,20,是,是
,\x00\x02,PAT0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,PAT0003,String字符串（变长）,,PATIENT_NAME,患者姓名,患者姓名,100,是,是
,\x00\x04,PAT0004,String字符串（变长）,,ALIAS_NAME,别名,别名,200,,
,\x00\x67,PAT0103,String字符串（变长）,,SC_ABO_BLO,ABO血型编码,源业务系统的ABO血型编码,200,,
,\x00\x58,PAT0088,简化字典（Integer整型，4个字节）,114,SD_ABO_BLO,ABO血型简码,中台标准编码，ABO血型,20,,
,\x00\x59,PAT0089,String字符串（变长）,,ST_ABO_BLO,ABO血型说明,源业务系统的ABO血型描述,500,,
,\x00\x68,PAT0104,String字符串（变长）,,SC_RH_BLO,RH血型编码,源业务系统的RH血型编码,200,,
,\x00\x5A,PAT0090,简化字典（Integer整型，4个字节）,120,SD_RH_BLO,RH血型简码,中台标准编码，RH血型,20,,
,\x00\x5B,PAT0091,String字符串（变长）,,ST_RH_BLO,RH血型说明,源业务系统的RH血型描述,500,,
,\x00\x6F,PAT0111,简化字典（Integer整型，4个字节）,379,SD_VIP,VIP标志,,50,,
,\x00\x94,PAT0148,String字符串（变长）,,SC_VIP,VIP标志编码,源业务系统VIP标志编码,20,,
,\x00\x98,PAT0152,String字符串（变长）,,ST_VIP,VIP标志内容,源业务系统VIP标志内容,20,,
,\x00\x5F,PAT0095,简化字典（Integer整型，4个字节）,381,SD_CONFIDENT_LV,保密级别,中台标准编码，该患者资料保密级别,20,,
,\x00\x69,PAT0105,String字符串（变长）,,SC_CONFIDENT_LV,保密级别编码,源业务系统的保密级别编码,200,,
,\x00\x6A,PAT0106,String字符串（变长）,,ST_CONFIDENT_LV,保密级别说明,源业务系统的保密级别描述,200,,
,\x00\x41,PAT0065,String字符串（变长）,,CASE_NO,病案号,院内病案号,50,是,是
,\x00\x45,PAT0069,String字符串（变长）,,PLS_NO,病理号,院内病理号,50,是,是
,\x00\x71,PAT0113,String字符串（变长）,,POVERTY_POLICY_DESC,不予享受扶贫政策情况,,500,,
,\x00\x17,PAT0023,Date日期型（yyyy-mm-dd）（10个字节）,,WORK_TIME,参加工作时间,参加工作时间,10,,
,\x00\x12,PAT0018,String字符串（变长）,,DISABILITY_CODE,残疾码,残疾码,50,,
,\x00\x75,PAT0117,String字符串（变长）,,SC_DISABILITY,残疾码,,50,,
,\x00\x76,PAT0118,String字符串（变长）,,ST_DISABILITY,残疾名称,,100,,
,\x00\x87,PAT0135,String字符串（变长）,,HEALTH_RECORD_NO,城乡居民健康档案编号,城乡居民健康档案编号,200,,
,\x00\x08,PAT0008,String字符串（变长）,,BIRTH_PLACE,出生地点,出生地点,200,,
,\x00\x06,PAT0006,Date日期型（yyyy-mm-dd）（10个字节）,,DATE_OF_BIRTH,出生日期,出生日期,50,,
,\x00\x18,PAT0024,String字符串（变长）,,BUSINESS_PHONE_PHONE,单位电话,单位电话,200,是,是
,\x00\x43,PAT0067,String字符串（变长）,,MSR_NO,放射号,院内放射科号码,50,是,是
,\x00\xAD,PAT0173,String字符串（变长）,,ST_CHARGE_TYPE,费别说明,,200,,
,\x00\x3C,PAT0060,String字符串（变长）,,HK_MO_NO,港澳通行号,港澳通行证号码,50,是,是
,\x00\x28,PAT0040,String字符串（变长）,,EMPLOYER_ADDRESS,工作单位地址,工作单位地址,200,,
,\x00\x26,PAT0038,String字符串（变长）,,EMPLOYER_COMPANY,工作单位名称,工作单位名称,200,,
,\x00\x27,PAT0039,String字符串（变长）,,EMPLOYER_POSTCODE,工作单位邮编,工作单位邮编,200,,
,\x00\x8D,PAT0141,简化字典（Integer整型，4个字节）,,SD_NATION,国籍,中台标准国籍编码,4,,
,\x00\x74,PAT0116,String字符串（变长）,6,SC_NATION,国籍代码,,50,,
,\x00\x53,PAT0083,String字符串（变长）,,ST_NATION,国籍说明,源业务系统的国籍描述,500,,
,\x00\x23,PAT0035,String字符串（变长）,,FAMILY_ADDR_CITY,户籍所在地地市,户籍所在地地市,200,,
,\x00\x24,PAT0036,String字符串（变长）,,FAMILY_ADDR_COUNTY,户籍所在地区县,户籍所在地区县,200,,
,\x00\x22,PAT0034,String字符串（变长）,,FAMILY_ADDR_PROVINCE,户籍所在地省份,户籍所在地省份,200,,
,\x00\x25,PAT0037,String字符串（变长）,,FAMILY_ADDRESS,户籍详细地址,户籍详细地址,200,,
,\x00\xA6,PAT0166,String字符串（变长）,,SC_FAMILY_ADDR_PROVINCE,户口省份,,100,,
,\x00\xA7,PAT0167,String字符串（变长）,,ST_FAMILY_ADDR_PROVINCE,户口省份,户口省份,100,,
,\x00\xA8,PAT0168,String字符串（变长）,,SC_FAMILY_ADDR_CITY,户口市,,100,,
,\x00\xA9,PAT0169,String字符串（变长）,,ST_FAMILY_ADDR_CITY,户口市,,100,,
,\x00\xAA,PAT0170,String字符串（变长）,,SC_FAMILY_ADDR_COUNTY,户口县,,100,,
,\x00\xAB,PAT0171,String字符串（变长）,,ST_FAMILY_ADDR_COUNTY,户口县,,100,,
,\x00\x3B,PAT0059,String字符串（变长）,,PASSPORT_NO,护照号,外国人护照号码,50,是,是
,\x00\xB1,PAT0177,String字符串（变长）,,SC_REC_STATUS,患者档案状态编码,标识患者同个患者ID下存在多个档案时，档案的正常或注销状态,200,,
,\x00\xB3,PAT0179,简化字典（Integer整型，4个字节）,,SD_REC_STATUS,患者档案状态简码,,4,,
,\x00\xB2,PAT0178,String字符串（变长）,,ST_REC_STATUS,患者档案状态说明,标识患者同个患者ID下存在多个档案时，档案的正常或注销状态,200,,
,\x00\x77,PAT0119,String字符串（变长）,,IDENTITY_NAME,患者来源地,本地、外地、境外、其他等,10,,
,\x00\x47,PAT0071,String字符串（变长）,,HIS_PAT_ID,患者业务唯一号,院内来源业务系统业务流通的患者唯一编号,100,是,是
,\x00\xAC,PAT0172,String字符串（变长）,,EMPI,患者主索引,患者主索引号,200,,
,\x00\x51,PAT0081,简化字典（Integer整型，4个字节）,8,SD_MARI_STAT,婚姻状态,婚姻状态，中台标准“婚姻状态”编码,20,,
,\x00\x65,PAT0101,String字符串（变长）,,SC_MARI_STAT,婚姻状态编码,源业务系统的婚姻状态编码,200,,
,\x00\x64,PAT0100,String字符串（变长）,,ST_MARI_STAT,婚姻状态说明,源业务系统的婚姻状态描述,200,,
,\x00\x15,PAT0021,String字符串（变长）,,NATIVE_PROVINCE,籍贯,籍贯,200,,
,\x00\x9E,PAT0158,String字符串（变长）,,SC_NATIVE_PROVINCE,籍贯,,100,,
,\x00\x9F,PAT0159,String字符串（变长）,,ST_NATIVE_PROVINCE,籍贯,,100,,
,\x00\x83,PAT0131,String字符串（变长）,,MAILING_ADDR_VILLAGE,家庭地址-村（街、路、弄等）,家庭地址-村（街、路、弄等）,200,,
,\x00\x84,PAT0132,String字符串（变长）,,MAILING_ADDR_SECTNUM,家庭地址-门牌号码 ,家庭地址-门牌号码 ,200,,
,\x00\x19,PAT0025,String字符串（变长）,,HOME_PHONE,家庭电话,家庭电话,200,是,是
,\x00\x80,PAT0128,String字符串（变长）,,SC_MEDICAL_RECORD,建档医疗机构组织机构代码,建档医疗机构组织机构代码,200,,
,\x00\x85,PAT0133,String字符串（变长）,,SC_REGISTRATION_CUSTODIAN,建卡保管机构编码,建卡保管机构编码,200,,
,\x00\x86,PAT0134,String字符串（变长）,,ST_REGISTRATION_CUSTODIAN,建卡保管机构名称,建卡保管机构名称,200,,
,\x00\x61,PAT0097,String字符串（变长）,,REGISTRATION_WORKER,建卡登记人,建卡登记人,200,,
,\x00\x7A,PAT0122,String字符串（变长）,,SC_REGISTRATION_WORKER,建卡登记人编码,建卡登记人编码,200,,
,\x00\x7B,PAT0123,String字符串（变长）,,ST_REGISTRATION_WORKER,建卡登记人姓名,建卡登记人姓名,200,,
,\x00\x39,PAT0057,String字符串（变长）,,HEALTH_CARD_NO,健康卡号,国家健康卡号码,100,是,是
,\x00\x55,PAT0085,String字符串（变长）,,ST_FINAN_SITU,经济状况,源业务系统的经济状况描述,200,,
,\x00\x8A,PAT0138,String字符串（变长）,,SC_FINAN_SITU,经济状况编码,源业务系统经济状况编码,20,,
,\x00\x40,PAT0064,String字符串（变长）,,VISIT_CARD_NO,就诊卡号,院内就诊卡号码,50,是,是
,\x00\x62,PAT0098,String字符串（变长）,,VISIT_CARD_STATUS,就诊卡状态,院内就诊卡状态描述,100,,
,\x00\x82,PAT0130,String字符串（变长）,,ST_VISIT_CARD_STATUS,就诊卡状态,就诊卡状态,200,,
,\x00\x3A,PAT0058,String字符串（变长）,,SOLDIER_NO,军人证号,军人证件号码,50,是,是
,\x00\x1E,PAT0030,String字符串（变长）,,MAILING_ADDR_CITY,联系地址地市,联系地址地市,200,,
,\x00\x20,PAT0032,String字符串（变长）,,MAILING_ADDR_STREET,联系地址街道,联系地址街道,200,,
,\x00\x1F,PAT0031,String字符串（变长）,,MAILING_ADDR_COUNTY,联系地址区县,联系地址区县,200,,
,\x00\x1D,PAT0029,String字符串（变长）,,MAILING_ADDR_PROVINCE,联系地址省份,联系地址省份,200,是,是
,\x00\xA0,PAT0160,String字符串（变长）,,SC_MAILING_ADDR_PROVINCE,联系地址省份,,100,,
,\x00\xA1,PAT0161,String字符串（变长）,,ST_MAILING_ADDR_PROVINCE,联系地址省份,,100,,
,\x00\xA2,PAT0162,String字符串（变长）,,SC_MAILING_ADDR_CITY,联系地址市,,100,,
,\x00\xA3,PAT0163,String字符串（变长）,,ST_MAILING_ADDR_CITY,联系地址市,,100,,
,\x00\xA4,PAT0164,String字符串（变长）,,SC_MAILING_ADDR_COUNTY,联系地址县,,100,,
,\x00\xA5,PAT0165,String字符串（变长）,,ST_MAILING_ADDR_COUNTY,联系地址县,,100,,
,\x00\x29,PAT0041,String字符串（变长）,,NEXT_OF_KIN,联系人,联系人,200,是,是
,\x00\x2D,PAT0045,String字符串（变长）,,NEXT_OF_KIN_ADDR,联系人地址,联系人地址,200,,
,\x00\x2B,PAT0043,String字符串（变长）,,NEXT_OF_KIN_PHONE,联系人电话,联系人电话,500,是,是
,\x00\x2C,PAT0044,String字符串（变长）,,NEXT_OF_KIN_POST,联系人邮编,联系人邮编,200,,
,\x00\x66,PAT0102,String字符串（变长）,,SC_RELATIONSHIP,联系人与患者关系编码,源业务系统的联系人与患者关系编码,200,,
,\x00\x56,PAT0086,简化字典（Integer整型，4个字节）,7,SD_RELATIONSHIP,联系人与患者关系简码,中台标准“联系人与患者关系”编码,20,,
,\x00\x57,PAT0087,String字符串（变长）,,ST_RELATIONSHIP,联系人与患者关系说明,源业务系统的联系人与患者关系描述,500,,
,\x00\x21,PAT0033,String字符串（变长）,,MAILING_ADDRESS,联系详细地址,联系详细地址,500,,
,\x00\x44,PAT0068,String字符串（变长）,,OUTP_NO,门诊号,院内门诊号,50,是,是
,\x00\x8E,PAT0142,简化字典（Integer整型，4个字节）,13,SD_NATIONALITY,民族,中台标准民族编码,4,,
,\x00\x73,PAT0115,String字符串（变长）,13,SC_NATIONALITY,民族代码,,50,,
,\x00\x54,PAT0084,String字符串（变长）,,ST_NATIONALITY,民族说明,源业务系统的民族描述,500,,
,\x00\x1A,PAT0026,String字符串（变长）,,OTHER_PHONE,其他电话,其他电话,200,,
,\x00\x3E,PAT0062,String字符串（变长）,,INSURANCE_NO,商业保险号,商业医疗保险号码,50,是,是
,\x00\x38,PAT0056,String字符串（变长）,,SSN_NO,社保号,国家社保号码,50,是,是
,\x00\xAE,PAT0174,String字符串（变长）,,SC_IDENTITY,身份编码,,200,,
,\x00\xAF,PAT0175,String字符串（变长）,,ST_IDENTITY,身份说明,军人、公务员、教师,200,,
,\x00\x37,PAT0055,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,50,是,是
,\x00\x7C,PAT0124,String字符串（变长）,,SC_ID_TYPE,身份证类别编码,身份证类别编码,200,,
,\x00\x7D,PAT0125,String字符串（变长）,,ST_ID_TYPE,身份证类别描述,身份证类别描述,200,,
,\x00\x52,PAT0082,简化字典（Integer整型，4个字节）,379,SD_ORGAN_DONOR,是否器官捐献者,器官捐献者标记，中台标准“是否”编码,20,,
,\x00\x92,PAT0146,String字符串（变长）,,SC_ORGAN_DONOR,是否器官捐献者,源业务系统是否器官捐献者编码,20,,
