索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PAT_VISIT,表全名,JHPDL:JH_PAT_VISIT,,,,,,
,表说明,通用就诊记录（不分门诊、住院、急诊、转诊等）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,PAV,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,PAV0001,String字符串（变长）,,PAT_VISIT_SN,就诊编号,就诊编号，系统生成二级编码，如“V00.000.001”,20,是,是
,\x00\x02,PAV0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,PAV0003,String字符串（变长）,,PATIENT_SN,患者编号,患者编号，关联JH_PAT_INFO的PAT0001,20,是,是
,\x00\x06,PAV0006,String字符串（变长）,,MED_ORG_SN,医疗机构编号,本次就诊的医疗机构唯一编号；用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,200,是,是
,\x00\x08,PAV0008,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0B,PAV0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x10,PAV0016,String字符串（变长）,,ST_VISIT_STATE,就诊状态说明,源业务系统的就诊状态描述,200,,
,\x00\x0F,PAV0015,String字符串（变长）,,SC_VISIT_STATE,就诊状态编码,源业务系统的就诊状态编码,200,是,是
,\x00\x11,PAV0017,简化字典（Integer整型，4个字节）,,SD_VISIT_STATE,就诊状态编码,中台标准就诊状态编码,4,,
,\x00\x0A,PAV0010,简化字典（Integer整型，4个字节）,452,VISIT_STATE,就诊状态,患者就诊状态说明；字典项：在院或正常门诊，退院或取消，正常出院，预约,20,是,是
,\x00\x07,PAV0007,String字符串（变长）,,HIS_VIS_ID,就诊业务唯一号,院内来源业务系统业务流通的就诊唯一编号,100,是,是
,\x00\x0E,PAV0014,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,源业务系统的就诊类型描述,200,,
,\x00\x0D,PAV0013,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,源业务系统的就诊类型编码,200,是,是
,\x00\x0C,PAV0012,简化字典（Integer整型，4个字节）,383,SD_VISIT_TYPE,就诊类型,就诊类型的中台标准编码,20,是,是
,\x00\x04,PAV0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,VISIT_TIME,就诊开始时间,业务发生时间（开始就诊时间）,19,是,是
,\x00\x09,PAV0009,Integer整型（4个字节）,,VISIT_NUM,就诊次数,按类型累计的就诊次数，如患者第几次住院（自增顺序累计数值）,10,是,是
,\x00\x12,PAV0018,String字符串（变长）,,EMOI_CODE,标准组织机构代码,标准组织机构代码,200,,
,\x00\x13,PAV0019,String字符串（变长）,,EMOI_NAME,标准组织机构名称,标准组织机构名称,200,,
,\x00\x05,PAV0005,自定义字典类型，字符串（变长）,383,VISIT_TYPE,就诊类型,"就诊类型，如“3#,#4#,#门诊”（门诊、住院、体检、急诊、群体事件、其它）",200,是,是
